Player,2012/2013 - Number of Injuries,2012/2013 - Games Missed,2013/2014 - Number of Injuries,2013/2014 - Games Missed,2014/2015 - Number of Injuries,2014/2015 - Games Missed,Total Number of Injuries (2012-2014),Total Games Missed (2012-2014),Age first concussion (2012-2014),Team(s) during concussion incidents 2012-2014,Roles during injuries,Current Age (approx.),Date of Birth,Biography,Wikipedia Url,Image
Jeremy Kerley,,,1,1,,,1,1,24.83,New York Jets,Wide Receiver,26,8/11/1988,"Jeremy Dashon Kerley (born November 8, 1988) is an American football wide receiver and punt returner for the New York Jets of the National Football League. He was drafted by the Jets in the fifth round of the 2011 NFL Draft. He played college football at TCU. ",http://en.wikipedia.org/wiki/Jeremy_Kerley,//upload.wikimedia.org/wikipedia/commons/1/1d/Jeremy_Kerley.jpg
Gino Gradkowski,1,0,,,,,1,0,24.19,Baltimore Ravens,Guard,26,5/11/1988,"Gino Gradkowski (born November 5, 1988) is an American football guard and center for the Baltimore Ravens of the National Football League (NFL). He played college football at the University of Delaware. ",http://en.wikipedia.org/wiki/Gino_Gradkowski,//upload.wikimedia.org/wikipedia/commons/9/9f/Gino_Gradkowski_2013.JPG
Bilal Powell,1,0,,,,,1,0,24.04,New York Jets,Running Back,26,27/10/1988,"Bilal Powell (born October 27, 1988) is an American football running back for the New York Jets of the National Football League. He was drafted by the Jets in the fourth round of the 2011 NFL Draft. He played college football at Louisville. ",http://en.wikipedia.org/wiki/Bilal_Powell,//upload.wikimedia.org/wikipedia/commons/c/c7/Greg_McElroy_handoff_to_Bilal_Powell.jpg
Aldrick Robinson,1,1,,,,,1,1,24.02,Washington Redskins,Wide Receiver,26,24/09/1988,"Aldrick Robinson (born September 24, 1988) is an American football wide receiver for the Washington Redskins of the National Football League (NFL). He was selected in the sixth round of the 2011 NFL Draft with the 178th pick by the Redskins. He played college football at Southern Methodist University. ",http://en.wikipedia.org/wiki/Aldrick_Robinson,//upload.wikimedia.org/wikipedia/commons/6/6a/Aldrick_robinson.jpg
Antonio Allen,,,1,0,1,0,2,0,25.11,New York Jets,Safety,26,23/09/1988,"Antonio Allen (born September 23, 1988) is an American football defensive back for the New York Jets of the National Football League (NFL). Allen was drafted by the New York Jets in the seventh round, 242nd overall pick of the 2012 NFL Draft. He played college football at South Carolina. ",http://en.wikipedia.org/wiki/Antonio_Allen,http://l2.yimg.com/bt/api/res/1.2/gpung4U449SGVhXh9_gA0A--/YXBwaWQ9eW5ld3M7Zmk9ZmlsbDtoPTIzMDtxPTc1O3c9MzQ1/https://sp.yimg.com/j/assets/i/us/sp/v/nfl_cutout/players_l/20141101/25952.png
Coby Fleener,1,0,,,,,1,0,24.05,Indianapolis Colts,Tight End,26,20/09/1988,"Jacoby ""Coby"" Fleener (born September 20, 1988) is an American football tight end for the Indianapolis Colts of the National Football League (NFL). After playing at Joliet Catholic Academy during high school, Fleener played college football at Stanford University. He was drafted with the 34th overall pick by the Colts in the 2012 NFL Draft, where he was considered a top tight end prospect. ",http://en.wikipedia.org/wiki/Coby_Fleener,//upload.wikimedia.org/wikipedia/commons/f/f6/Coby_Fleener.JPG
Dexter McCluster,1,0,,,,,1,0,24.25,Kansas City Chiefs,Wide Receiver,26,25/08/1988,"Dexter Marquise McCluster (born August 25, 1988) is an American football kick returner and wide receiver for the Tennessee Titans of the National Football League (NFL). He was drafted by the Kansas City Chiefs in the second round of the 2010 NFL Draft. He played college football for Ole Miss. ",http://en.wikipedia.org/wiki/Dexter_McCluster,//upload.wikimedia.org/wikipedia/commons/6/69/Mccluster_spring_game.jpg
Ben Tate,1,0,,,,,1,0,24.05,Houston Texans,Running Back,26,21/08/1988,"Benjamin Franklin ""Ben"" Tate (born August 21, 1988) is an American football running back for the Minnesota Vikings of the National Football League (NFL). He was drafted by the Houston Texans in the second round of the 2010 NFL Draft. He set several Maryland high school football records at Stephen Decatur High School and Snow Hill High before being recruited to play college football at Auburn. ",http://en.wikipedia.org/wiki/Ben_Tate,//upload.wikimedia.org/wikipedia/commons/6/61/Ben_Tate_2014_Browns_training_camp_%282%29.jpg
Johnny Patrick,,,2,0,,,2,0,25.06,San Diego Chargers,Cornerback,26,17/08/1988,"Johnny Patrick (born August 17, 1988) is an American football cornerback who is currently a free agent. He was drafted by the New Orleans Saints in the third round of the 2011 NFL Draft. He played college football at Louisville. ",http://en.wikipedia.org/wiki/Johnny_Patrick,//upload.wikimedia.org/wikipedia/commons/0/0b/Red%26black.svg
Chris Culliver,,,,,1,0,1,0,26.06,San Francisco 49ers,Cornerback,26,17/08/1988,"Chris Culliver (born August 17, 1988) is an American football cornerback for the San Francisco 49ers of the National Football League (NFL). He was drafted by the 49ers in the third round of the 2011 NFL Draft. He played college football at South Carolina. ",http://en.wikipedia.org/wiki/Chris_Culliver,//upload.wikimedia.org/wikipedia/commons/4/45/Chris_Culliver_signs_autograph_in_2009.jpg
Jordan Cameron,1,2,1,1,1,2,3,5,24.36,Cleveland Browns,Tight End,26,7/08/1988,"Jordan Cravens Cameron (born August 7, 1988) is an American football tight end for the Cleveland Browns of the National Football League (NFL). He was drafted by the Browns in the fourth round of the 2011 NFL Draft. He played college football at USC. ",http://en.wikipedia.org/wiki/Jordan_Cameron,//upload.wikimedia.org/wikipedia/commons/1/10/Jordon_Cameron_Browns_training_camp.jpg
Anthony Allen,2,0,,,,,2,0,24.40,Baltimore Ravens,Running Back,26,6/08/1988,"Anthony Allen (born August 6, 1988) is an American football running back who is currently playing for the Saskatchewan Roughriders of the Canadian Football League. He was drafted by the Ravens in the seventh round of the 2011 NFL Draft. His freshman year of college he attended the University of Louisville and set freshman rushing records. He then played the rest of his college career at Georgia Tech. He attended Jesuit High School (Tampa)",http://en.wikipedia.org/wiki/Anthony_Allen_(running_back),//upload.wikimedia.org/wikipedia/commons/b/b6/Anthony_Allen_MT_Stadium_2012_Practice.jpg
Virgil Green,,,,,1,0,1,0,26.13,Denver Broncos,Tight End,26,3/08/1988,"Virgil Leo Green (born August 3, 1988) is an American football tight end for the Denver Broncos of the National Football League. He was drafted by the Broncos in the seventh round of the 2011 NFL Draft. He played college football at Nevada. ",http://en.wikipedia.org/wiki/Virgil_Green,//upload.wikimedia.org/wikipedia/commons/0/04/Virgil_Green.JPG
Jimmy Smith,,,1,0,,,1,0,25.34,Baltimore Ravens,Cornerback,26,26/07/1988,"James Michael ""Jimmy"" Smith (born July 26, 1988) is an American football cornerback for the Baltimore Ravens of the National Football League (NFL). He was drafted by the Ravens with the 27th pick in the 2011 NFL Draft. He played college football at Colorado. ",http://en.wikipedia.org/wiki/Jimmy_Smith_(cornerback),//upload.wikimedia.org/wikipedia/commons/3/3d/Jimmy_smith_2011_stadium_practice.jpg
Jaquian Williams,,,,,1,0,1,0,26.30,New York Giants,Linebacker,26,21/07/1988,"Jacquian Williams (born July 21, 1988 in Tampa, Florida ) is an American football linebacker for the New York Giants of the National Football League. He was drafted by the Giants in the sixth round of the 2011 NFL Draft. He played college football at South Florida. ",http://en.wikipedia.org/wiki/Jacquian_Williams,//upload.wikimedia.org/wikipedia/commons/1/1f/Jacquian_Williams.jpg
Phillip Adams,2,0,,,,,2,0,24.37,Oakland Raiders,Cornerback,26,20/07/1988,"Phillip M. Adams (born July 20, 1988) is an American football cornerback for the New York Jets of the National Football League (NFL). He was drafted in the seventh round of the 2010 NFL Draft by the San Francisco 49ers. He played college football for South Carolina State University. ",http://en.wikipedia.org/wiki/Phillip_Adams_(American_football),//upload.wikimedia.org/wikipedia/commons/9/95/Phillip_Adams_Raiders_2012.jpg
Terrell McClain,,,,,1,1,1,1,26.17,Dallas Cowboys,Defensive Tackle,26,20/07/1988,"Terrell McClain (born July 20, 1988) is an American football defensive tackle for the Dallas Cowboys of the National Football League (NFL). He was drafted by the Carolina Panthers in the third round of the 2011 NFL Draft. He played college football at the University of South Florida. ",http://en.wikipedia.org/wiki/Terrell_McClain,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCC342970.png
Luke Stocker,1,0,,,,,1,0,24.42,Tampa Bay Buccaneers,Tight End,26,17/07/1988,"Luke Stocker (July 17, 1988) is an American football tight end for the Tampa Bay Buccaneers. ",http://en.wikipedia.org/wiki/Luke_Stocker,//upload.wikimedia.org/wikipedia/commons/a/ad/Luke_Stocker.jpg
Nate Irving,1,1,,,,,1,1,24.20,Denver Broncos,Linebacker,26,12/07/1988,"Nathaniel Irving (born July 12, 1988) is an American football linebacker for the Denver Broncos of the National Football League. He played collegiate football at North Carolina State University. ",http://en.wikipedia.org/wiki/Nate_Irving,//upload.wikimedia.org/wikipedia/commons/1/10/Nate_Irving.JPG
LeSean McCoy,1,4,,,,,1,4,24.35,Philadelphia Eagles,Running Back,26,12/07/1988,"LeSean Kamel McCoy (born July 12, 1988), nicknamed "" Shady "", is an American football running back for the Philadelphia Eagles of the National Football League (NFL). He also played college football for the University of Pittsburgh, and was chosen by the Eagles in the second round of the 2009 NFL Draft. ",http://en.wikipedia.org/wiki/LeSean_McCoy,//upload.wikimedia.org/wikipedia/commons/2/28/LeSean_McCoy_in_2011.jpg
Michael Hoomanawanui,1,2,,,,,1,2,24.24,New England Patriots,Tight End,26,4/07/1988,"Michael Patrick Hoomanawanui ( /ˌhoʊʔoʊməˌnɑːwɑːˈnuːiː/ HOH’-oh-mah--NAH-wah-NOO-ee; born July 4, 1988) is an American football tight end for the New England Patriots of the National Football League (NFL). He was drafted by the St. Louis Rams in the fifth round of the 2010 NFL Draft. He attended the University of Illinois. ",http://en.wikipedia.org/wiki/Michael_Hoomanawanui,//upload.wikimedia.org/wikipedia/commons/3/37/Michael_Hoomanawanui.JPG
Alex Green,1,2,,,,,1,2,24.48,Green Bay Packers,Running Back,26,23/06/1988,"Alexander Denell Green (born June 23, 1988) is an American football running back who is currently a free agent. He played college football at The University of Hawaii. He was considered one of the better running back prospects for the 2011 NFL Draft. He was drafted third round, 96th overall, by the Green Bay Packers in the 2011 NFL Draft. ",http://en.wikipedia.org/wiki/Alex_Green,//upload.wikimedia.org/wikipedia/commons/a/ab/Alex_Green_Hawaii_Warriors.jpg
Jeron Johnson,,,,,1,1,1,1,26.37,Seattle Seahawks,Safety,26,12/06/1988,"Jeron Johnson (born June 12, 1988) is an American football strong safety for the Seattle Seahawks of the National Football League. He was signed by the Seahawks as an undrafted free agent in 2011. He played college football at Boise State. ",http://en.wikipedia.org/wiki/Jeron_Johnson,//upload.wikimedia.org/wikipedia/commons/d/d1/Jeron_Johnson_2014.jpg
Colin McCarthy,1,5,,,,,1,5,24.49,Tennessee Titans,Linebacker,26,30/05/1988,Colin McCarthy is an American football linebacker for the Tennessee Titans of the National Football League. He played college football at the University of Miami after graduating from Clearwater Central Catholic High School. He was considered one of the better linebacker prospects for the 2011 NFL Draft. ,http://en.wikipedia.org/wiki/Colin_McCarthy,http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14074.png
Percy Harvin,,,1,1,,,1,1,25.62,Seattle Seahawks,Wide Receiver,26,28/05/1988,"William Percival Harvin III (born May 28, 1988) is an American football wide receiver and kickoff returner for the New York Jets of the National Football League (NFL). The Associated Press recognized him as its Offensive Rookie of the Year for the 2009 NFL season. He was drafted by the Minnesota Vikings in 2009, and has also played for the NFL's Seattle Seahawks. ",http://en.wikipedia.org/wiki/Percy_Harvin,//upload.wikimedia.org/wikipedia/commons/e/ec/Percy_Harvin_vs._Redskins_2014_Cropped.jpg
Amari Spievey,1,10,,,,,1,10,24.52,Detroit Lions,Safety,27,15/04/1988,"Amari Spievey (born April 15, 1988) is an American football safety, and is currently a free agent. He played college football at Iowa. He was considered one of the top cornerback prospects for the 2010 NFL Draft. He was picked in the 3rd round (66th overall) in the 2010 NFL Draft. On August 31, 2013 he was released by the Lions.",http://en.wikipedia.org/wiki/Amari_Spievey,//upload.wikimedia.org/wikipedia/commons/4/44/Amari_Spievey.JPG
Nate Solder,,,2,1,,,2,1,25.66,New England Patriots,Offensive Tackle,27,12/04/1988,"Nathaniel Perry Solder (born April 12, 1988) is an American football offensive lineman for the New England Patriots of the National Football League (NFL). He played college football for the University of Colorado, and was recognized as an All-American. The Patriots picked him in the first round of the 2011 NFL Draft. ",http://en.wikipedia.org/wiki/Nate_Solder,//upload.wikimedia.org/wikipedia/commons/2/29/Nate_Solder.JPG
Josh McNary,,,1,0,,,1,0,25.73,Indianapolis Colts,Linebacker,27,10/04/1988,Josh McNary is an American football linebacker for the Indianapolis Colts. McNary played his college football at the United States Military Academy. ,http://en.wikipedia.org/wiki/Josh_McNary,http://dy.snimg.com/story-image/2/36/4513931/171490-650-366.jpg
Phil Taylor,,,1,1,,,1,1,25.71,Cleveland Browns,Offensive Tackle,27,7/04/1988,"Phillip Eugene Taylor (born April 7, 1988) is an American football nose tackle for the Cleveland Browns of the National Football League. He was drafted 21st overall in the 2011 NFL Draft. He played college football at Penn State and Baylor. ",http://en.wikipedia.org/wiki/Phil_Taylor_(American_football),//upload.wikimedia.org/wikipedia/commons/7/76/Phil_Taylor_in_2014.jpg
A.J. Jefferson,1,0,,,,,1,0,24.68,Minnesota Vikings,Cornerback,27,4/04/1988,"Anthony Ray ""A. J."" Jefferson Jr. (born April 4, 1988) is an American football cornerback for the Seattle Seahawks of the National Football League (NFL). He played college football at Fresno State. He was signed as an undrafted free agent by the Arizona Cardinals in 2010.",http://en.wikipedia.org/wiki/A._J._Jefferson,//upload.wikimedia.org/wikipedia/commons/e/ef/A.J._Jefferson.JPG
Kevin Rutland,1,2,,,,,1,2,24.48,Jacksonville Jaguars,Cornerback,27,2/04/1988,"Kevin Rutland (born April 2, 1988) is an American football cornerback who is currently a free agent. He was signed by the Jacksonville Jaguars as an undrafted free agent in 2011. He played college football at Missouri. ",http://en.wikipedia.org/wiki/Kevin_Rutland,http://prod.static.jaguars.clubs.nfl.com/assets/images/imported/JAC/photos/centerpiece-hp-737x430/20111203-rutland.jpg
William Powell,1,0,,,,,1,0,24.57,Arizona Cardinals,Running Back,27,9/03/1988,"William Powell (born March 9, 1988) is an American football running back who is currently a free agent.",http://en.wikipedia.org/wiki/William_Powell_(American_football),http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14432.png
Christian Ponder,,,1,4,,,1,4,25.76,Minnesota Vikings,Quarterback,27,25/02/1988,"Christian Andrew Ponder (born February 25, 1988), is an American football quarterback for the Minnesota Vikings of the National Football League (NFL). He was drafted by the Vikings with the twelfth overall pick in the 2011 NFL Draft, and signed with them on July 31, 2011, shortly after the 2011 NFL lockout ended. He played college football as the starting quarterback for the Florida State Seminoles at Florida State University. ",http://en.wikipedia.org/wiki/Christian_Ponder,//upload.wikimedia.org/wikipedia/commons/b/bc/Christian_Ponder_close-up.jpg
Marcus Gilbert,,,,,1,1,1,1,26.68,Pittsburgh Steelers,Offensive Tackle,27,15/02/1988,"Marcus Christopher Gilbert (born February 15, 1988) is an American football offensive lineman for the Pittsburgh Steelers of the National Football League (NFL). He played college football for the University of Florida, and was a member of a BCS National Championship team. He was drafted by the Steelers in the second round of the 2011 NFL Draft. ",http://en.wikipedia.org/wiki/Marcus_Gilbert_(American_football),//upload.wikimedia.org/wikipedia/commons/b/bb/Marcus_Gilbert_%28American_football%29.JPG
Johnny White,1,7,,,,,1,7,24.81,Green Bay Packers,Running Back,27,3/02/1988,"Johnny White (born February 3, 1988) is an American football running back who most recently played for the Green Bay Packers of the National Football League (NFL). White played college football for the North Carolina Tar Heels. He was drafted by the Buffalo Bills in the 5th round, 133rd Overall in the 2011 NFL Draft. ",http://en.wikipedia.org/wiki/Johnny_White_(American_football),http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14115.png
Jordan Pugh,1,0,,,,,1,0,24.71,Washington Redskins,Safety,27,29/01/1988,"Jordan Alexander Pugh (born January 29, 1988) is an American football safety who is currently a free agent. Pugh most recently played for the New Orleans Saints of the National Football League (NFL). He played college football at Texas A&M University. He was selected in the sixth round of the 2010 NFL Draft by the Carolina Panthers. ",http://en.wikipedia.org/wiki/Jordan_Pugh,http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13439.png
Josh Freeman,,,1,2,,,1,2,25.77,Minnesota Vikings,Quarterback,27,13/01/1988,"Joshua Tyler ""Josh"" Freeman (born January 13, 1988) is an American football quarterback who is currently a free agent. He was drafted by the Tampa Bay Buccaneers in the first round of the 2009 NFL Draft. He played college football at Kansas State. ",http://en.wikipedia.org/wiki/Josh_Freeman,//upload.wikimedia.org/wikipedia/commons/8/8b/Josh_Freeman_2012.JPG
Darryl Sharpton,,,1,0,,,1,0,25.69,Houston Texans,Linebacker,27,1/01/1988,"Darryl Sharpton (born January 1, 1988) is an American football linebacker for the Chicago Bears. He was drafted by the Houston Texans in the fourth round of the 2010 NFL Draft. He played college football at the University of Miami. ",http://en.wikipedia.org/wiki/Darryl_Sharpton,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SHA507578.png
Richard Goodman,1,0,,,,,1,0,24.70,San Diego Chargers,Wide Receiver,27,30/12/1987,"Richard Goodman (born December 30, 1987) in Ft. Lauderdale, Florida is an American football wide receiver who is a free agent. He attended Florida State University, as a member of the 2010 graduating class. Shortly after the draft ended, Goodman joined the San Diego Chargers as an undrafted free agent. ",http://en.wikipedia.org/wiki/Richard_Goodman_(American_football),http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GOO467147.png
Cecil Shorts,1,1,,,,,1,1,24.95,Jacksonville Jaguars,Wide Receiver,27,22/12/1987,"Cecil Carlon Shorts III (born December 22, 1987) is an American football wide receiver for the Jacksonville Jaguars. He attended Collinwood High School in Cleveland, Ohio, and later the University of Mount Union where he played for the Mount Union Purple Raiders football team.",http://en.wikipedia.org/wiki/Cecil_Shorts_III,http://jacksonville.com/sites/default/files/imagecache/superphoto/11421303.jpg
Daniel Kilgore,1,0,,,,,1,0,24.86,San Francisco 49ers,Guard,27,18/12/1987,"Daniel Kilgore (born December 18, 1987) is an American football offensive guard and center for the San Francisco 49ers of the National Football League (NFL). He was drafted by the 49ers in the fifth round of the 2011 NFL Draft. He played college football at Appalachian State and attended Dobyns-Bennett High School in Kingsport, Tennessee. ",http://en.wikipedia.org/wiki/Daniel_Kilgore_(American_football),//upload.wikimedia.org/wikipedia/commons/e/e0/Daniel_Kilgore_%28American_football%29.JPG
Donald Jones,1,0,,,,,1,0,24.79,Buffalo Bills,Wide Receiver,27,17/12/1987,"Donald Jones (born December 17, 1987) is a former American football wide receiver who played in the National Football League. He was signed by the Buffalo Bills as an undrafted free agent in 2010. He played college football at Youngstown State. He has also played for the New England Patriots. ",http://en.wikipedia.org/wiki/Donald_Jones_(American_football),//upload.wikimedia.org/wikipedia/commons/7/77/Donald_Jones_%28American_football%29.JPG
Josh Norman,,,,,1,2,1,2,26.81,Carolina Panthers,Cornerback,27,15/12/1987,"Josh Norman (born December 15, 1987) is an American football cornerback for the Carolina Panthers of the National Football League (NFL). He played college football at Coastal Carolina. He was selected by the Panthers in the fifth round of the 2012 NFL Draft, where he was considered one of the best cornerback prospects. ",http://en.wikipedia.org/wiki/Josh_Norman_(cornerback),http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/NOR291905.png
Stanley Havili,,,1,1,,,1,1,26,Indianapolis Colts,Full Back,27,14/11/1987,"Stanley Havili (born November 14, 1987) is an American football fullback who is currently a free agent. He was drafted by the Philadelphia Eagles in the seventh round of the 2011 NFL Draft. He played college football at Southern California. ",http://en.wikipedia.org/wiki/Stanley_Havili,//upload.wikimedia.org/wikipedia/commons/0/0f/2008-0808-USC11-StanleyHavili.jpg
Bryan Walters,,,,,1,2,1,2,26.96,Seattle Seahawks,Wide Receiver,27,4/11/1987,"Bryan Robert Walters (born November 4, 1987) is an American football wide receiver for the Seattle Seahawks of the National Football League. He was signed as an undrafted free agent by the San Diego Chargers in 2010. He played college football at Cornell, where he was elected to the Sphinx Head Society. ",http://en.wikipedia.org/wiki/Bryan_Walters,//upload.wikimedia.org/wikipedia/commons/a/a4/Bryan_Walters.jpg
Daniel Thomas,2,2,,,,,2,2,24.86,Miami Dolphins,Running Back,27,29/10/1987,"Daniel Thomas (born October 29, 1987) is an American football running back for the Miami Dolphins in the National Football League (NFL). He played college football for the Kansas State Wildcats football team. He was selected in the second round of the 2011 NFL Draft by the Miami Dolphins. ",http://en.wikipedia.org/wiki/Daniel_Thomas_(American_football),//upload.wikimedia.org/wikipedia/commons/8/83/Daniel_Thomas.jpg
Javier Arenas,1,0,,,,,1,0,25.01,Kansas City Chiefs,Cornerback,27,28/10/1987,"Javier E. Arenas (born October 28, 1987) is an American football cornerback and return specialist for the Atlanta Falcons of the National Football League (NFL). Arenas played college football for the University of Alabama, earned consensus All-American honors, and was a member of a BCS National Championship team. He was drafted by the Kansas City Chiefs in the second round of the 2010 NFL Draft. He has also played for the Arizona Cardinals. ",http://en.wikipedia.org/wiki/Javier_Arenas_(American_football),//upload.wikimedia.org/wikipedia/commons/0/07/Javier_Arenas_%28American_football%29_2014_02.jpg
Colin Jones,1,0,,,,,1,0,25.08,Carolina Panthers,Safety,27,27/10/1987,"Colin Jones (born October 27, 1987) is an American football safety for the Carolina Panthers of the National Football League (NFL). He was drafted by the San Francisco 49ers in the sixth round of the 2011 NFL Draft. He played college football at TCU. He went to high school in Bridgeport, Texas and graduated in 2006.",http://en.wikipedia.org/wiki/Colin_Jones_(American_football),//upload.wikimedia.org/wikipedia/commons/8/8e/Colin_Jones_49ers.jpg
Shawn Lauvao,1,0,,,,,1,0,25.14,Cleveland Browns,Guard,27,26/10/1987,"Shawn Lauvao (born October 26, 1987) is an American football guard for the Washington Redskins of the National Football League (NFL). He was drafted by the Cleveland Browns in the third round of the 2010 NFL Draft. He played college football at Arizona State. ",http://en.wikipedia.org/wiki/Shawn_Lauvao,//upload.wikimedia.org/wikipedia/commons/0/0a/Shawn_Lauvao.JPG
Ryan Mathews,,,1,0,,,1,0,25.99,San Diego Chargers,Running Back,27,10/10/1987,"Ryan Jefforey Mathews (born October 10, 1987) is an American football running back for the San Diego Chargers of the National Football League (NFL). He played college football for Fresno State. He skipped his senior year and declared for the 2010 NFL Draft, and he was selected in the first round by the Chargers with the 12th overall pick. He was selected to his first Pro Bowl after the 2011 season. ",http://en.wikipedia.org/wiki/Ryan_Mathews_(American_football),//upload.wikimedia.org/wikipedia/commons/7/77/Ryan_Mathews_%28American_football%29.JPG
Martin Tevaseu,1,0,,,,,1,0,25.13,Indianapolis Colts,Defensive Tackle,27,7/10/1987,"Martin Tauamanu Tevaseu ( /ˌteɪvəˈseɪjuː/ TAY-və-SAY-ew; born October 7, 1987) is an American football nose tackle for the Indianapolis Colts. He signed with the Cleveland Browns in 2010 as an undrafted free agent. He played college football at University of Nevada, Las Vegas. ",http://en.wikipedia.org/wiki/Martin_Tevaseu,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TEV059326.png
T.J. Lang,1,0,1,0,,,2,0,25.24,Green Bay Packers,Guard,27,20/09/1987,"Thomas John ""T. J."" Lang, Jr. (born September 20, 1987) is an American football guard for the Green Bay Packers of the National Football League. He was drafted by the Packers in the fourth round of the 2009 NFL Draft. He played college football at Eastern Michigan. ",http://en.wikipedia.org/wiki/T._J._Lang,//upload.wikimedia.org/wikipedia/commons/1/17/TJ_Lang_%28cropped%29.jpg
Jason Pinkston,,,1,1,,,1,1,26.30,Cleveland Browns,Guard,27,5/09/1987,"Jason R. Pinkston (born September 5, 1987) is an former American football offensive guard, who played his entire career for the Cleveland Browns of the National Football League. He is also the cousin of Todd Pinkston, a former NFL wide receiver. ",http://en.wikipedia.org/wiki/Jason_Pinkston,//upload.wikimedia.org/wikipedia/commons/8/8f/Jason_Pinkston.JPG
Devin McCourty,,,1,1,,,1,1,26.36,New England Patriots,Safety,27,13/08/1987,"Devin McCourty (born August 13, 1987) is an American football defensive back and kickoff returner for the New England Patriots of the National Football League (NFL). He played college football for Rutgers University, and was drafted by the Patriots in the first round of the 2010 NFL Draft. ",http://en.wikipedia.org/wiki/Devin_McCourty,//upload.wikimedia.org/wikipedia/commons/7/77/Devin_McCourty.JPG
Kevin Ogletree,1,1,,,,,1,1,25.29,Dallas Cowboys,Wide Receiver,27,5/08/1987,"Kevin Ogletree (born August 5, 1987) is an American football wide receiver for the New York Giants of the National Football League. He played college football at Virginia and was signed by the Dallas Cowboys as an undrafted free agent in 2009. ",http://en.wikipedia.org/wiki/Kevin_Ogletree,//upload.wikimedia.org/wikipedia/en/f/f2/Kevin_Ogletree.JPG
Roy Miller,1,1,,,,,1,1,25.40,Tampa Bay Buccaneers,Defensive Tackle,27,9/07/1987,"Roy Miller (born July 9, 1987) is an American football defensive tackle for the Jacksonville Jaguars of the National Football League (NFL). He was drafted by the Tampa Bay Buccaneers in the third round of the 2009 NFL Draft. He played college football at Texas. ",http://en.wikipedia.org/wiki/Roy_Miller_(American_football),//upload.wikimedia.org/wikipedia/commons/e/e2/Roy_Miller_%28American_football%29.JPG
Darrell Stuckey,,,1,0,,,1,0,26.44,San Diego Chargers,Safety,27,16/06/1987,"Darrell Stuckey, Jr. (born June 16, 1987) is an American football safety who currently plays for the San Diego Chargers of National Football League (NFL). He attended University of Kansas throughout his college career. Stuckey was an All-Big 12 First Team selection in 2008 and was considered one of the top safeties available in the 2010 NFL Draft. ",http://en.wikipedia.org/wiki/Darrell_Stuckey,//upload.wikimedia.org/wikipedia/commons/e/e4/Darrell_Stuckey.JPG
Mike Mitchell,1,0,,,,,1,0,25.48,Oakland Raiders,Safety,27,10/06/1987,"Michael Mitchell (born June 10, 1987) is an American football safety for the Pittsburgh Steelers of the National Football League (NFL). He was drafted by the Oakland Raiders in the second round of the 2009 NFL Draft. He played college football at Ohio. ",http://en.wikipedia.org/wiki/Mike_Mitchell_(safety),//upload.wikimedia.org/wikipedia/commons/3/3c/Mike_Mitchell_%28safety%29.JPG
Jeff Linkenbach,1,0,,,,,1,0,25.41,Indianapolis Colts,Offensive Tackle,27,9/06/1987,"Jeffrey Scott Linkenbach, II (born June 9, 1987) is an American football offensive lineman for the Kansas City Chiefs of the National Football League (NFL). He was signed by the Indianapolis Colts as an undrafted free agent in 2010. He played college football at Cincinnati and high school football at Margaretta High School in Castalia, OH.",http://en.wikipedia.org/wiki/Jeffrey_Linkenbach,//upload.wikimedia.org/wikipedia/commons/c/c5/Jeffrey_Linkenbach.JPG
Tony Moeaki,1,1,,,,,1,1,25.52,Kansas City Chiefs,Tight End,27,8/06/1987,"Anthony ""Tony"" Moeaki (born June 8, 1987) is an American football tight end for the Seattle Seahawks of the National Football League (NFL). He finished his senior season at Iowa with 30 catches for 387 yards and 4 touchdowns. Moeaki was considered one of the top tight end prospects for the 2010 NFL Draft. ",http://en.wikipedia.org/wiki/Tony_Moeaki,//upload.wikimedia.org/wikipedia/commons/7/7d/Tony_Moeaki.JPG
Brandon Ghee,,,1,0,,,1,0,26.26,Cincinnati Bengals,Cornerback,27,6/06/1987,"Brandon Ghee (born June 6, 1987) is an American football cornerback for the Tennessee Titans. He was drafted by the Cincinnati Bengals in the third round (96th overall) of the 2010 NFL Draft. He played college football at Wake Forest. He has also played for the San Diego Chargers. ",http://en.wikipedia.org/wiki/Brandon_Ghee,//upload.wikimedia.org/wikipedia/en/6/61/Brand_Ghee_Training_Camp_2014.jpg
Ellis Lankster,1,1,,,,,1,1,25.56,New York Jets,Cornerback,27,3/06/1987,"Ellis Lankster (born June 3, 1987) is an American football cornerback and special teamer who is currently a free agent. He was drafted by the Buffalo Bills in the seventh round of the 2009 NFL Draft. He played college football at West Virginia. ",http://en.wikipedia.org/wiki/Ellis_Lankster,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/LAN676799.png
