Winner,http://upload.wikimedia.org/wikipedia/commons/6/6e/Kailash_Satyarthi.jpg,Known For,Field,Gender,Place of Birth,Country of Birth,Short Description,Description,Year of Birth,Age of Nobel Win,Universities,Country represented for Nobel Prize,Image,DBpedia Link,Profile
John Vane,1982 - Medicine / Physiology,Aspirin,,Male,"Worcestershire, Tardebigge, United Kingdom",United Kingdom,Pharmacologist,"Sir John Robert Vane FRS (29 March 1927 – 19 November 2004) was an English pharmacologist who was instrumental in the understanding of how aspirin produces pain-relief and anti-inflammatory effects and his work led to new treatments for heart and blood vessel disease and introduction of ACE inhibitors. He was awarded the Nobel Prize in Physiology or Medicine in 1982 along with Sune K. Bergström and Bengt I. Samuelsson for ""their discoveries concerning prostaglandins and related biologically active substances"". ",1927,55,"University of Oxford, University of Birmingham",United Kingdom,http://upload.wikimedia.org/wikipedia/commons/e/e3/John_Robert_Vane.jpg,http://dbpedia.org/page/John_Vane,http://en.wikipedia.org/wiki/John_Vane
Sune Bergström,1982 - Medicine / Physiology,,,Male,"Stockholm, Sweden",Sweden,Swedish Biochemist,Karl Sune Detlof Bergström (10 January 1916 – 15 August 2004) was a Swedish biochemist.,1916,66,,Sweden,http://upload.wikimedia.org/wikipedia/commons/3/3e/Sune_Bergstr%C3%B6m.jpg,http://dbpedia.org/page/Sune_Bergstr%C3%B6m,http://en.wikipedia.org/wiki/Sune_Bergstr%C3%B6m
Bengt I. Samuelsson,1982 - Medicine / Physiology,Prostaglandins,,Male,,,Swedish Biochemist,Bengt Ingemar Samuelsson (born 21 May 1934) is a Swedish biochemist.,1934,48,,Sweden,,http://dbpedia.org/page/Bengt_I._Samuelsson,http://en.wikipedia.org/wiki/Bengt_I._Samuelsson
Alfonso García Robles,1982 - Peace,,,Male,"Michoacán, Zamora, Mexico",Mexico,Mexican Diplomat And Politician,"Alfonso García Robles (20 March 1911 – 2 September 1991) was a Mexican diplomat and politician who, in conjunction with Sweden s Alva Myrdal, received the Nobel Peace Prize in 1982.",1911,71,National Autonomous University of Mexico,Mexico,http://upload.wikimedia.org/wikipedia/commons/3/31/Alfonso_Garcia_Robles_1981.jpg,http://dbpedia.org/page/Alfonso_Garc%C3%ADa_Robles,http://en.wikipedia.org/wiki/Alfonso_Garc%C3%ADa_Robles
Alva Myrdal,1982 - Peace,,,Female,"Uppsala, Sweden",Sweden,Swedish Sociologist And Politician,Alva Myrdal ( Swedish: [ˌalːva ˈmyːɖɑːl]; née Reimer; 31 January 1902 – 1 February 1986) was a Swedish sociologist and politician. She received the Nobel Peace Prize in 1982. She married Gunnar Myrdal in 1924.,1902,80,,Sweden,http://upload.wikimedia.org/wikipedia/commons/f/f7/ARB-Alva-Myrdal.jpg,http://dbpedia.org/page/Alva_Myrdal,http://en.wikipedia.org/wiki/Alva_Myrdal
Kenneth G. Wilson,1982 - Physics,"Wilson loop, Phase transitions",,Male,"Waltham, Massachusetts, United States",United States of America,American Physicist,"Kenneth Geddes Wilson (June 8, 1936 – June 15, 2013) was an American theoretical physicist and a pioneer in leveraging computers for studying particle physics. He was awarded the 1982 Nobel Prize in Physics for his work on phase transitions —illuminating the subtle essence of phenomena like melting ice and emerging magnetism. It was embodied in his fundamental work on the renormalization group.",1936,46,"California Institute of Technology, Harvard University",United States of America,http://upload.wikimedia.org/wikipedia/en/d/d1/Kenneth_G._Wilson.jpg,http://dbpedia.org/page/Kenneth_G._Wilson,http://en.wikipedia.org/wiki/Kenneth_G._Wilson
Henry Taube,1983 - Chemestry,Inner sphere electron transfer,,Male,"Saskatchewan, Neudorf, Canada",Canada,American Chemist,"Henry Taube, Ph.D, M.Sc, B.Sc., FRSC (November 30, 1915 – November 16, 2005) was a Canadian -born American chemist noted for having been awarded the 1983 Nobel Prize in Chemistry for ""his work in the mechanisms of electron-transfer reactions, especially in metal complexes."" He was the first Canadian-born chemist to win the Nobel Prize. Taube completed his undergraduate and Masters degrees at the University of Saskatchewan, and his Ph.D from the University of California, Berkeley. After finishing graduate school, Taube worked at Cornell University, the University of Chicago and Stanford University.",1915,68,"University of California - Berkeley, University of Saskatchewan","Canada, United States of America",http://upload.wikimedia.org/wikipedia/commons/9/9d/DrHenryTaube.jpg,http://dbpedia.org/page/Henry_Taube,http://en.wikipedia.org/wiki/Henry_Taube
Gérard Debreu,1983 - Economics,,,Male,"Calais, France",France,French Economist,"Gérard Debreu ( French: [dəbʁø]; July 4, 1921 – December 31, 2004) was a French economist and mathematician, who also came to have United States citizenship. Best known as a professor of economics at the University of California, Berkeley, where he began work in 1962, he won the 1983 Nobel Memorial Prize in Economics.",1921,62,University of California - Berkeley,"France, United States of America",http://upload.wikimedia.org/wikipedia/commons/2/2d/Debreu%2C_G%C3%A9rard_%281921-2004%29.jpeg,http://dbpedia.org/page/G%C3%A9rard_Debreu,http://en.wikipedia.org/wiki/G%C3%A9rard_Debreu
William Golding,1983 - Literature,,,Male,"St. Columb Minor, Newquay, Cornwall, United Kingdom",United Kingdom,"Novelist, Poet, Playwright","Sir William Gerald Golding CBE (19 September 1911 – 19 June 1993) was an English novelist, playwright, and poet who won a Nobel Prize in Literature, and is best known for his novel Lord of the Flies. He was also awarded the Booker Prize for literature in 1980 for his novel Rites of Passage, the first book in what became his sea trilogy, To the Ends of the Earth.",1911,72,,United Kingdom,http://upload.wikimedia.org/wikipedia/commons/f/f9/William_Golding_1983.jpg,http://dbpedia.org/page/William_Golding,http://en.wikipedia.org/wiki/William_Golding
Barbara McClintock,1983 - Medicine / Physiology,Work in genetic structure of maize,Cytogenetics,Female,"Connecticut, United States",United States of America,,"Barbara McClintock (June 16, 1902 – September 2, 1992), was an American scientist and one of the world's most distinguished cytogeneticists, the 1983 Nobel laureate in Physiology or Medicine. McClintock received her PhD in botany from Cornell University in 1927. There she started her career as the leader in the development of maize cytogenetics, the focus of her research for the rest of her life. From the late 1920s, McClintock studied chromosomes and how they change during reproduction in maize. Her work was groundbreaking; she developed the technique for visualizing maize chromosomes and used microscopic analysis to demonstrate many fundamental genetic ideas. One of those ideas was the notion of genetic recombination by crossing-over during meiosis —a mechanism by which chromosomes exchange information. She produced the first genetic map for maize, linking regions of the chromosome to physical traits. She demonstrated the role of the telomere and centromere, regions of the chromosome that are important in the conservation of genetic information. She was recognized among the best in the field, awarded prestigious fellowships, and elected a member of the National Academy of Sciences in 1944.",1902,81,Cornell University,United States of America,http://upload.wikimedia.org/wikipedia/commons/3/30/Barbara_McClintock_%281902-1992%29.jpg,http://dbpedia.org/page/Barbara_McClintock,http://en.wikipedia.org/wiki/Barbara_McClintock
Lech Wałęsa,1983 - Peace,,,Male,"Popowo, Gmina Tłuchowo, Poland",Poland,President Of Poland,"Lech Wałęsa ( /ˌlɛkvəˈwɛnsə/; Polish: [ˈlɛx vaˈwɛ̃sa]; born 29 September 1943) is a Polish politician, trade-union organizer and human-rights activist. A charismatic leader, he co-founded Solidarity ( Solidarność ), the Soviet bloc's first independent trade union, won the Nobel Peace Prize in 1983, and served as President of Poland from 1990 to 1995. ",1943,40,,Poland,http://upload.wikimedia.org/wikipedia/commons/8/87/Lech_Walesa_-_2009.jpg,http://dbpedia.org/page/Lech_Wa%C5%82%C4%99sa,http://en.wikipedia.org/wiki/Lech_Wa%C5%82%C4%99sa
William Alfred Fowler,1983 - Physics,,,Male,"Pennsylvania, Pittsburgh, United States",United States of America,American Astronomer,"William Alfred ""Willie"" Fowler ( /ˈfaʊlər/; August 9, 1911 – March 14, 1995) was an American nuclear physicist, later astrophysicist, who, with Subrahmanyan Chandrasekhar won the 1983 Nobel Prize in Physics; (he is not to be confused with the British astronomer Alfred Fowler ).",1911,72,,United States of America,http://upload.wikimedia.org/wikipedia/en/9/9b/William_Alfred_Fowler.jpg,http://dbpedia.org/page/William_Alfred_Fowler,http://en.wikipedia.org/wiki/William_Alfred_Fowler
Subrahmanyan Chandrasekhar,1983 - Physics,Chandrasekhar limit,,Male,"Lahore, Pakistan",Pakistan,,"Subrahmanyan Chandrasekhar, FRS ( i/ˌtʃʌndrəˈʃeɪkɑr/; Tamil: சுப்பிரமணியன் சந்திரசேகர்; October 19, 1910 – August 21, 1995), was an Indian American astrophysicist born in Lahore who, with William A. Fowler, was awarded the 1983 Nobel Prize for Physics for his mathematical theory of black holes, which was a key discovery that led to the currently accepted theory on the later evolutionary stages of massive stars. The Chandrasekhar limit is named after him.",1910,73,"University of Cambridge, Presidency College - Chennai","India, United States of America",http://upload.wikimedia.org/wikipedia/en3/3a/ChandraNobel.png,http://dbpedia.org/page/Subrahmanyan_Chandrasekhar,http://en.wikipedia.org/wiki/Subrahmanyan_Chandrasekhar
Robert Bruce Merrifield,1984 - Chemestry,Peptide synthesis,,Male,"Fort Worth, Texas, United States",United States of America,American Biochemist,"Robert Bruce Merrifield (July 15, 1921 – May 14, 2006) was an American biochemist who won the Nobel Prize in Chemistry in 1984 for the invention of solid phase peptide synthesis. ",1921,63,,United States of America,http://upload.wikimedia.org/wikipedia/en/0/05/Robert_Bruce_Merrifield.jpg,http://dbpedia.org/page/Robert_Bruce_Merrifield,http://en.wikipedia.org/wiki/Robert_Bruce_Merrifield
Richard Stone,1984 - Economics,,,Male,"London, United Kingdom",United Kingdom,British Economist,"Sir John Richard Nicholas Stone (30 August 1913 – 6 December 1991) was an eminent British economist who in 1984 received the Nobel Memorial Prize in Economic Sciences for developing an accounting model that could be used to track economic activities on a national and, later, an international scale. While he was not the first economist to work in this field, he was the first to do so with double entry accounting. Double entry accounting basically states that every income item on one side of the balance sheet must be met by an expenditure item on the opposite side of the accounting sheet therefore creating a system of balance. This double entry system is the basis of nearly all modern accounting today. This allowed for a reliable way of tracking trade and wealth transfer on a global scale. He is sometimes known as the 'father of national income accounting', and is the author of studies of consumer demand statistics and demand modeling, economic growth, and input-output. During his acceptance speech Stone mentioned François Quesnay as well as the Tableau économique. Stone stated that it was one of the very first works in economics to examine various sectors on such a global level and how they are all interconnected. Stone was educated at Westminster School, Cambridge University ( Caius and King's ).",1913,71,University of Cambridge,United Kingdom,http://upload.wikimedia.org/wikipedia/en7/71/Richard_Stone.jpg,http://dbpedia.org/page/Richard_Stone,http://en.wikipedia.org/wiki/Richard_Stone
Jaroslav Seifert,1984 - Literature,,,Male,"Žižkov, Czech Republic",Czech Republic,Czech Writer,"Jaroslav Seifert ( Czech pronunciation: [ˈjaroslav] and German pronunciation: [ˈzaɪ̯fərt]; 23 September 1901 – 10 January 1986) was a Nobel Prize–winning Czech writer, poet and journalist.",1901,83,,Czech Republic,http://upload.wikimedia.org/wikipedia/commons/e/eb/Jaroslav_Seifert_1981_foto_Hana_Hamplov%C3%A1.jpg,http://dbpedia.org/page/Jaroslav_Seifert,http://en.wikipedia.org/wiki/Jaroslav_Seifert
César Milstein,1984 - Medicine / Physiology,"Immune system, Monoclonal antibody",Biochemistry,Male,"Bahía Blanca, Argentina",Argentina,Argentine Biochemist,"César Milstein, FRS (8 October 1927 – 24 March 2002) was a Argentinian biochemist, (nationalized British)] in the field of antibody research. Milstein shared the Nobel Prize in Physiology or Medicine in 1984 with Niels Kaj Jerne and Georges J. F. Köhler. ",1927,57,"University of Buenos Aires, University of Cambridge","Argentina, United Kingdom",http://upload.wikimedia.org/wikipedia/commons/7/7f/Milstein_lnp.jpg,http://dbpedia.org/page/C%C3%A9sar_Milstein,http://en.wikipedia.org/wiki/C%C3%A9sar_Milstein
Niels Kaj Jerne,1984 - Medicine / Physiology,,,Male,,,Danish Immunologist,"Niels Kaj Jerne, FRS (December 23, 1911 – October 7, 1994) was a Danish immunologist. He shared the Nobel Prize in Physiology or Medicine in 1984 with Georges J. F. Köhler and César Milstein ""or theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies "".",1911,73,,"Denmark, United Kingdom",http://upload.wikimedia.org/wikipedia/en/3/39/Niels_Kaj_Jerne.gif,http://dbpedia.org/page/Niels_Kaj_Jerne,http://en.wikipedia.org/wiki/Niels_Kaj_Jerne
Georges J. F. Köhler,1984 - Medicine / Physiology,,,Male,"Munich, Germany",Germany,German Immunologist,"Georges Jean Franz Köhler ( Munich, April 17, 1946 – March 1, 1995 in Freiburg im Breisgau ) was a German biologist.",1946,38,,Switzerland,,http://dbpedia.org/page/Georges_J._F._K%C3%B6hler,http://en.wikipedia.org/wiki/Georges_J._F._K%C3%B6hler
Desmond Tutu,1984 - Peace,,,Male,"Klerksdorp, Western Transvaal, South Africa",South Africa,"South African Churchman, Politician, Archbishop",Desmond Mpilo Tutu (born 7 October 1931) is a South African social rights activist and retired Anglican bishop who rose to worldwide fame during the 1980s as an opponent of apartheid.,1931,53,King's College,South Africa,http://upload.wikimedia.org/wikipedia/commons/e/e4/Archbishop-Tutu-medium.jpg,http://dbpedia.org/page/Desmond_Tutu,http://en.wikipedia.org/wiki/Desmond_Tutu
Simon van der Meer,1984 - Physics,Stochastic cooling,,Male,"The Hague, The Netherlands",The Netherlands,Dutch Particle Physicist,"Simon van der Meer (24 November 1925 – 4 March 2011) was a Dutch particle accelerator physicist who shared the Nobel Prize in Physics in 1984 with Carlo Rubbia for contributions to the CERN project which led to the discovery of the W and Z particles, two of the most fundamental constituents of matter. ",1925,59,Delft University of Technology,Netherlands,http://upload.wikimedia.org/wikipedia/commons/6/64/Simon_van_der_Meer_Nl-HaNa_2.24.01.07_253-8884.jpg,http://dbpedia.org/page/Simon_van_der_Meer,http://en.wikipedia.org/wiki/Simon_van_der_Meer
Carlo Rubbia,1984 - Physics,W and Z bosons,,Male,"Gorizia, Friuli-Venezia Giulia, Italy",Italy,Italian Physicist,Carlo Rubbia OMRI (born on 31 March 1934) is an Italian particle physicist and inventor who shared the Nobel Prize in Physics in 1984 with Simon van der Meer for work leading to the discovery of the W and Z particles at CERN.,1934,50,"Columbia University, Scuola Normale Superiore di Pisa",Italy,http://upload.wikimedia.org/wikipedia/commons/a/a0/Carlo_Rubbia_2012.jpg,http://dbpedia.org/page/Carlo_Rubbia,http://en.wikipedia.org/wiki/Carlo_Rubbia
Jerome Karle,1985 - Chemestry,,,Male,"New York City, New York, United States",United States of America,American Chemist,"Jerome Karle (born Jerome Karfunkle; June 18, 1918 - June 6, 2013) was an American physical chemist. Jointly with Herbert A. Hauptman, he was awarded the Nobel Prize in Chemistry in 1985, for the direct analysis of crystal structures using X-ray scattering techniques. ",1918,67,"University of Michigan, Harvard University, City University of New York",United States of America,http://upload.wikimedia.org/wikipedia/commons//2/2b/Jerome_Karle.jpg,http://dbpedia.org/page/Jerome_Karle,http://en.wikipedia.org/wiki/Jerome_Karle
Herbert A. Hauptman,1985 - Chemestry,,,Male,"New York City, New York, United States",United States of America,,"Herbert Aaron Hauptman (February 14, 1917 – October 23, 2011) was an American mathematician and Nobel laureate. He pioneered and developed a mathematical method that has changed the whole field of chemistry and opened a new era in research in determination of molecular structures of crystallized materials. Today, Hauptman's direct methods, which he continued to improve and refine, are routinely used to solve complicated structures. It was the application of this mathematical method to a wide variety of chemical structures that led the Royal Swedish Academy of Sciences to name Hauptman and Jerome Karle recipients of the 1985 Nobel Prize in Chemistry.",1917,68,University of Maryland,United States of America,http://upload.wikimedia.org/wikipedia/commons/e/e1/Herbert_Hauptman_-_UB_2009.jpg,http://dbpedia.org/page/Herbert_A._Hauptman,http://en.wikipedia.org/wiki/Herbert_A._Hauptman
Franco Modigliani,1985 - Economics,,,Male,"Rome, Italy",Italy,,"Franco Modigliani ( Italian: [ˈfraŋko modiʎˈʎani]; June 18, 1918 – September 25, 2003) was an Italian economist naturalized American, a professor at the MIT Sloan School of Management and MIT Department of Economics who won the Nobel Memorial Prize in Economics in 1985.",1918,67,The New School,"Italy, United States of America",http://upload.wikimedia.org/wikipedia/commons/5/53/Franco_Modigliani.jpg,http://dbpedia.org/page/Franco_Modigliani,http://en.wikipedia.org/wiki/Franco_Modigliani
Claude Simon,1985 - Literature,,,Male,"Antananarivo, Madagascar",Madagascar,French Writer,"Claude Simon ( French: [simɔ̃]; 10 October 1913 – 6 July 2005) was a French novelist and the 1985 Nobel Laureate in Literature. He was born in Antananarivo, Madagascar, and died in Paris, France.",1913,72,,France,,http://dbpedia.org/page/Claude_Simon,http://en.wikipedia.org/wiki/Claude_Simon
Joseph L. Goldstein,1985 - Medicine / Physiology,Cholesterol,,Male,"Kingstree, South Carolina, United States",United States of America,American Biochemist,"Joseph Leonard Goldstein (born April 18, 1940) received the Nobel Prize in Physiology or Medicine in 1985, along with fellow University of Texas researcher, Michael Brown, for their studies regarding cholesterol. They discovered that ""human cells have low-density lipoprotein (LDL) receptors that remove cholesterol from the blood"" and that when ""LDL receptors are not present in sufficient numbers, individuals develop hypercholesteromeia"" and become at risk for cholesterol related diseases. Their studies led to the development of statin drugs. ",1940,45,"Washington and Lee University, University of Texas",United States of America,http://upload.wikimedia.org/wikipedia/commons/5/5f/Joseph_Goldstein.jpg,http://dbpedia.org/page/Joseph_L._Goldstein,http://en.wikipedia.org/wiki/Joseph_L._Goldstein
Michael Stuart Brown,1985 - Medicine / Physiology,Regulation of cholesterol metabolism,Biology,Male,"Brooklyn, New York City, New York, United States",United States of America,American Biologist,"Michael Stuart Brown (born April 13, 1941) is an American geneticist and Nobel laureate. He was awarded the Nobel Prize in Physiology or Medicine with Joseph L. Goldstein in 1985 for describing the regulation of cholesterol metabolism.",1941,44,"University of Pennsylvania, University of Pennsylvania",United States of America,http://upload.wikimedia.org/wikipedia/commons/9/9c/Mike_Brown_2003.jpg,http://dbpedia.org/page/Michael_Stuart_Brown,http://en.wikipedia.org/wiki/Michael_Stuart_Brown
International Physicians for the Prevention of Nuclear War,1985 - Peace,,,,,,,"International Physicians for the Prevention of Nuclear War (IPPNW) is a non-partisan federation of national medical groups in 63 countries, representing tens of thousands of doctors, medical students, other health workers, and concerned citizens who share the common goal of creating a more peaceful and secure world freed from the threat of nuclear annihilation. The organization's headquarters is in Somerville, Massachusetts. IPPNW was awarded the Nobel Peace Prize in 1985. ",,,,,http://upload.wikimedia.org/wikipedia/en/5/5b/International_Physicians_for_Prevention_of_Nuclear_War_%28IPPNW%29_Logo.gif,http://dbpedia.org/page/International_Physicians_for_the_Prevention_of_Nuclear_War,http://en.wikipedia.org/wiki/International_Physicians_for_the_Prevention_of_Nuclear_War
Klaus von Klitzing,1985 - Physics,Quantum Hall effect,,Male,"Schroda, Germany",Germany,German Physicist,"Klaus von Klitzing (28 June 1943 in Schroda ) is a German physicist known for discovery of the integer quantum Hall Effect, for which he was awarded the 1985 Nobel Prize in Physics.",1943,42,,Germany,http://upload.wikimedia.org/wikipedia/commons/5/5b/Klausvonklitzing.jpg,http://dbpedia.org/page/Klaus_von_Klitzing,http://en.wikipedia.org/wiki/Klaus_von_Klitzing
Dudley R. Herschbach,1986 - Chemestry,Molecular dynamics,,Male,"San Jose, California, United States",United States of America,American Chemist,"Dudley Robert Herschbach (born June 18, 1932) is an American chemist at Harvard University. He won the 1986 Nobel Prize in Chemistry jointly with Yuan T. Lee and John C. Polanyi ""for their contributions concerning the dynamics of chemical elementary processes."" Herschbach and Lee specifically worked with molecular beams, performing so-called "" crossed molecular beam "" experiments that enabled a detailed molecular-level understanding of many elementary reaction processes.",1932,54,"Stanford University, Harvard University",United States of America,http://upload.wikimedia.org/wikipedia/commons/1/1c/Dudley_R._Herschbach_in_Lindau.jpg,http://dbpedia.org/page/Dudley_R._Herschbach,http://en.wikipedia.org/wiki/Dudley_R._Herschbach
John Polanyi,1986 - Chemestry,Chemical kinetics,,Male,"Berlin, Germany",Germany,Canadian Chemist,"John Charles Polanyi, PCCCFRSCOOntFRS (born 23 January 1929) is a Hungarian-Canadian chemist who won the 1986 Nobel Prize in Chemistry, for his research in chemical kinetics. Polanyi was educated at Manchester University, and did postdoctoral research at the National Research Council in Canada and Princeton University in New Jersey. Polanyi's first academic appointment was at the University of Toronto, and he remains there as of 2014. In addition to the Nobel Prize, Polanyi has received numerous other awards, including 33 honorary degrees, the Wolf Prize in Chemistry and the Gerhard Herzberg Canada Gold Medal for Science and Engineering. Outside of his scientific pursuits, Polanyi is active in public policy discussion, especially concerning science and nuclear weapons. His father, Mihály ( Michael ), was a noted chemist and philosopher. His uncle Karl was an economist.",1929,57,University of Manchester,Canada,,http://dbpedia.org/page/John_Polanyi,http://en.wikipedia.org/wiki/John_Polanyi
Yuan T. Lee,1986 - Chemestry,,,Male,"Hsinchu, Taiwan",Taiwan,Taiwanese Chemist,"Yuan Tseh Lee ( traditional Chinese: 李遠哲; simplified Chinese: 李远哲; pinyin: Lǐ Yuǎnzhé; Wade–Giles: Li³ Yüan³-che²; Pe̍h-ōe-jī: Lí Oán-tiat; born November 19, 1936) is a Taiwanese chemist. He was the first Taiwanese Nobel Prize laureate, who, along with the Hungarian - Canadian John C. Polanyi and American Dudley R. Herschbach won the Nobel Prize in Chemistry in 1986 ""for their contributions to the dynamics of chemical elementary processes"". Lee's particular Physical chemistry work was related to the use of advanced chemical kinetics techniques to investigate and manipulate the behavior of chemical reactions for relative large molecules using crossed molecular beams. From January 15, 1994 to October 19, 2006, Lee served as the President of the Academia Sinica of the Taiwan (ROC). In 2011, he was elected head of the International Council for Science.",1936,50,"University of California - Berkeley, National Taiwan University, National Tsing Hua University",United States of America,http://upload.wikimedia.org/wikipedia/commons/2/2f/Yuan_T._Lee_1-1.jpg,http://dbpedia.org/page/Yuan_T._Lee,http://en.wikipedia.org/wiki/Yuan_T._Lee
James M. Buchanan,1986 - Economics,,Public choice,Male,"Murfreesboro, Tennessee, United States",United States of America,Economist,"James McGill Buchanan, Jr. ( /bjuːˈkænɨn/; October 3, 1919 – January 9, 2013) was an American economist known for his work on public choice theory, for which he received the Nobel Memorial Prize in 1986. Buchanan's work initiated research on how politicians' self-interest and non-economic forces affect government economic policy. He was a member of the Board of Advisors of The Independent Institute, a member (and for a time the President) of the Mont Pelerin Society, a Distinguished Senior Fellow of the Cato Institute, and professor at George Mason University.",1919,67,"University of Chicago, Middle Tennessee State University, University of Tennessee",United States of America,http://upload.wikimedia.org/wikipedia/commons/1/11/James_Buchanan_by_Atlas_network.jpg,http://dbpedia.org/page/James_M._Buchanan,http://en.wikipedia.org/wiki/James_M._Buchanan
Wole Soyinka,1986 - Literature,,,Male,"Abeokuta, Ogun State, Nigeria",Nigeria,Nigerian Writer,"Akinwande Oluwole ""Wole"" Soyinka ( Yoruba: Oluwo̩lé S̩óyinká, pronounced ""Shoyinka""; born 13 July 1934) is a Nigerian playwright and poet. He was awarded the 1986 Nobel Prize in Literature, the first African to be so honored.",1934,52,,Nigeria,http://upload.wikimedia.org/wikipedia/commons//3/3d/Soyinka%2C_Wole_%281934%29.jpg,http://dbpedia.org/page/Wole_Soyinka,http://en.wikipedia.org/wiki/Wole_Soyinka
Stanley Cohen,1986 - Medicine / Physiology,Nerve growth factor,,Male,"Brooklyn, New York City, New York, United States",United States of America,American Biochemist,"Stanley Cohen (born November 17, 1922) is an American biochemist and Nobel Prize Laureate in Physiology and Medicine (1986). ",1922,64,"University of Michigan, Oberlin College, Brooklyn College",United States of America,http://upload.wikimedia.org/wikipedia/commons//5/51/Stanley_Cohen-Biochemist.jpg,http://dbpedia.org/page/Stanley_Cohen_(biochemist),http://en.wikipedia.org/wiki/Stanley_Cohen_(biochemist)
Rita Levi-Montalcini,1986 - Medicine / Physiology,,,Female,"Turin, Italy",Italy,,"Rita Levi-Montalcini ( Italian pronunciation: [ˈrita ˈlɛvi montalˈtʃini]; 22 April 1909 – 30 December 2012) was an Italian neurologist who, together with colleague Stanley Cohen, received the 1986 Nobel Prize in Physiology or Medicine for their discovery of nerve growth factor (NGF). Also, from 2001, until her death, she served in the Italian Senate as a Senator for Life. ",1909,77,University of Turin,"Italy, United States of America",http://upload.wikimedia.org/wikipedia/commons/9/92/Rita_Levi_Montalcini.jpg,http://dbpedia.org/page/Rita_Levi-Montalcini,http://en.wikipedia.org/wiki/Rita_Levi-Montalcini
Elie Wiesel,1986 - Peace,,,Male,"Sighetu Marmației, Maramureș County, Romania",Romania,"American-jewish Political Activist, Professor, And Novelist","Eliezer ""Elie"" Wiesel KBE ( /ˈɛlivɨˈzɛl/; born September 30, 1928) is a Romanian -born Jewish-American professor and political activist. He is the author of 57 books, including Night, a work based on his experiences as a prisoner in the Auschwitz, Buna, and Buchenwald concentration camps. Wiesel is also the Advisory Board chairman of the newspaper Algemeiner Journal.",1928,58,,"Romania, United States of America",http://upload.wikimedia.org/wikipedia/commons/6/61/Elie_Wiesel_2012_Shankbone.JPG,http://dbpedia.org/page/Elie_Wiesel,http://en.wikipedia.org/wiki/Elie_Wiesel
Gerd Binnig,1986 - Physics,"Scanning tunneling microscope, Atomic force microscopy",,Male,"Frankfurt, Germany",Germany,German Physicist,"Gerd Binnig (born 20 July 1947 ) is a German physicist, who won the Nobel Prize in Physics in 1986 for the invention of the scanning tunneling microscope. ",1947,39,Goethe University Frankfurt,Germany,http://upload.wikimedia.org/wikipedia/commons/c/c9/Gerd_Binnig_sw.jpg,http://dbpedia.org/page/Gerd_Binnig,http://en.wikipedia.org/wiki/Gerd_Binnig
Ernst Ruska,1986 - Physics,Electron microscope,,Male,"Heidelberg, Germany",Germany,German Physicist,"Ernst August Friedrich Ruska (25 December 1906 – 27 May 1988) was a German physicist who won the Nobel Prize in Physics in 1986 for his work in electron optics, including the design of the first electron microscope. ",1906,80,Technische Universität München,Germany,,http://dbpedia.org/page/Ernst_Ruska,http://en.wikipedia.org/wiki/Ernst_Ruska
Heinrich Rohrer,1986 - Physics,Co-inventor of Scanning tunneling microscope,,Male,"St. Gallen, Switzerland",Switzerland,Swiss Physicist,Heinrich Rohrer (6 June 1933 – 16 May 2013) was a Swiss physicist who shared half of the 1986 Nobel Prize in Physics with Gerd Binnig for the design of the scanning tunneling microscope (STM). The other half of the Prize was awarded to Ernst Ruska.,1933,53,,Switzerland,http://upload.wikimedia.org/wikipedia/commons/3/32/Rohrer.jpg,http://dbpedia.org/page/Heinrich_Rohrer,http://en.wikipedia.org/wiki/Heinrich_Rohrer
Jean-Marie Lehn,1987 - Chemestry,Cryptands,Supramolecular chemistry,Male,"Rosheim, France",France,French Chemist,"Jean-Marie Lehn (born September 30, 1939) is a French chemist. He received the Nobel Prize in Chemistry together with Donald Cram and Charles Pedersen in 1987 for his synthesis of cryptands. Lehn was an early innovator in the field of supramolecular chemistry, i.e., the chemistry of host-guest molecular assemblies created by intermolecular interactions, and continues to innovate in this field. His group has published in excess of 900 peer-reviewed articles in chemistry literature.",1939,48,,France,http://upload.wikimedia.org/wikipedia/commons/a/a2/Portrait_Jean-Marie_Lehn.JPG,http://dbpedia.org/page/Jean-Marie_Lehn,http://en.wikipedia.org/wiki/Jean-Marie_Lehn
Charles J. Pedersen,1987 - Chemestry,,,Male,"Busan, South Korea",South Korea,,"Charles John Pedersen (October 3, 1904 – October 26, 1989) was an American organic chemist best known for describing methods of synthesizing crown ethers. He shared the Nobel Prize in Chemistry in 1987 with Donald J. Cram and Jean-Marie Lehn. His Japanese first name was Yoshio (良男?).",1904,83,,United States of America,http://upload.wikimedia.org/wikipedia/commons/6/63/18-crown-6-potassium.png,http://dbpedia.org/page/Charles_J._Pedersen,http://en.wikipedia.org/wiki/Charles_J._Pedersen
Donald J. Cram,1987 - Chemestry,"Asymmetric induction, Host–guest chemistry, Paracyclophanes",,Male,"Chester, Vermont, United States",United States of America,,"Donald James Cram (April 22, 1919 – June 17, 2001) was an American chemist who shared the 1987 Nobel Prize in Chemistry with Jean-Marie Lehn and Charles J. Pedersen ""for their development and use of molecules with structure-specific interactions of high selectivity."" They were the founders of the field of host-guest chemistry.",1919,68,"Harvard University, University of Nebraska–Lincoln, Rollins College",United States of America,,http://dbpedia.org/page/Donald_J._Cram,http://en.wikipedia.org/wiki/Donald_J._Cram
