Rank,Name,Sport,Total Pay,Salary/Winnings,Endorsements,Nation,Gender,Year of birth,Birth Date,Place of Birth,Height (cm),Wikipedia Page,dbpedia Page,Image,Description
60,Robinson Cano,Baseball,"$21,500,000","$18,000,000","$3,500,000",Dominican Republic,Male,1982,22/11/1982,"San Pedro de Macorís, Dominican Republic",183,http://en.wikipedia.org/wiki/Robinson_Cano,dbpedia.org/resource/Robinson_Cano,http://upload.wikimedia.org/wikipedia/commons/f/fc/Robinson_Cano_Mariners_in_Houston_July_2014.jpg,"Robinson José Canó Mercedes ( Spanish pronunciation: [kaˈno]; born October 22, 1982) is a Dominican-American professional baseball second baseman for the Seattle Mariners of Major League Baseball . He made his MLB debut with the New York Yankees in 2005, after spending four years in the minor leagues, and played for the Yankees until 2013."
7,Roger Federer,Tennis,"$56,200,000","$4,200,000","$52,000,000",Switzerland,Male,1981,8/08/1981,"Basel, Switzerland",183,http://en.wikipedia.org/wiki/Roger_Federer,dbpedia.org/resource/Roger_Federer,"http://commons.wikimedia.org/wiki/Special:FilePath/Roger_Federer_(26_June_2009,_Wimbledon)_2_new.jpg?width=300","Roger Federer ( German pronunciation: [ˈfeːdərər]; born 8 August 1981) is a Swiss professional tennis player who is currently ranked world no. 2 by the Association of Tennis Professionals (ATP). He has been ranked inside the top 10 continuously since October 2002 and the top 20 since April 2001. Numerous commentators, pundits, and former and current players of the sport regard Federer as the greatest tennis player of all time . "
35,Rory McIlroy,Golf,"$24,300,000","$4,300,000","$20,000,000",Northern Ireland,Male,1989,4/05/1989,"County Down, Northern Ireland, United Kingdom",175,http://en.wikipedia.org/wiki/Rory_McIlroy,dbpedia.org/resource/Rory_McIlroy,http://commons.wikimedia.org/wiki/Special:FilePath/Rory_McIlroy_watches_drive_flight_(portrait_orientation).jpg?width=300,"Rory McIlroy, MBE (born 4 May 1989) is a Northern Irish professional golfer from Holywood in County Down who is a member of both the European and PGA Tours . He is the current World Number One and a four-time major champion ."
88,Rudy Gay,Basketball,"$18,600,000","$17,900,000","$700,000",United States,Male,1986,17/08/1986,Baltimore,203,http://en.wikipedia.org/wiki/Rudy_Gay,dbpedia.org/resource/Rudy_Gay,http://commons.wikimedia.org/wiki/Special:FilePath/Rudy_Gay_Drew-Goodman_(cropped).jpg?width=300,"Rudy Carlton Gay, Jr. (born August 17, 1986) is an American professional basketball player who currently plays for the Sacramento Kings of the National Basketball Association (NBA). He played college basketball at the University of Connecticut ."
82,Russell Westbrook,Basketball,"$19,200,000","$14,700,000","$4,500,000",United States,Male,1988,12/11/1988,"Long Beach, California",191,http://en.wikipedia.org/wiki/Russell_Westbrook,dbpedia.org/resource/Russell_Westbrook,http://commons.wikimedia.org/wiki/Special:FilePath/Russell_Westbrook.jpg?width=300,"Russell Westbrook Jr. (born November 12, 1988) is an American professional basketball player who currently plays for the Oklahoma City Thunder of the National Basketball Association (NBA). Westbrook played college basketball for UCLA and was selected with the fourth pick in the first round of the 2008 NBA draft by the Seattle SuperSonics who then relocated to Oklahoma City six days after the draft. The point guard is a three-time NBA All-Star, and a three-time All-NBA Second Team member. He has also represented the United States on their national team twice, winning gold medals in the 2010 FIBA World Championship and the 2012 Olympics ."
53,Ryan Howard,Baseball,"$22,400,000","$21,700,000","$700,000",United States,Male,1979,19/11/1979,St. Louis,193,http://en.wikipedia.org/wiki/Ryan_Howard,dbpedia.org/resource/Ryan_Howard,http://commons.wikimedia.org/wiki/Special:FilePath/RH1.jpg?width=300,"Ryan James Howard (born November 19, 1979) is an American professional baseball first baseman for the Philadelphia Phillies of Major League Baseball (MLB). Nicknamed The Big Piece, Howard stands 6 feet 4 inches (193 cm) and weighs 240 pounds (110 kg). He bats and throws left-handed . Howard holds numerous MLB and Phillies' franchise records."
66,Canelo Alvarez,Boxing,"$21,000,000","$19,500,000","$1,500,000",Mexico,Male,1990,18/07/1990,"Guadalajara, Jalisco, Mexico",180,http://en.wikipedia.org/wiki/Canelo_Alvarez,dbpedia.org/resource/Canelo_Alvarez,http://upload.wikimedia.org/wikipedia/commons/c/cd/Free_Main_Header_photo_of_Saul_Canelo_Alvarez.jpg,"Santos Saúl Álvarez Barragán ( Spanish pronunciation: [saˈul ˈalβaɾes]; born July 18, 1990), commonly known as El Canelo, from canela, Spanish for cinnamon, in reference to his red hair; is a Mexican professional boxer in the Light Middleweight division. He is the former WBC, WBA, and Ring Magazine Light Middleweight Champion. He is promoted by Oscar De La Hoya s Golden Boy Promotions . "
83,Sebastian Vettel,Racing,"$19,000,000","$18,000,000","$1,000,000",Germany,Male,1987,3/07/1987,"Heppenheim, Hesse, Germany",176,http://en.wikipedia.org/wiki/Sebastian_Vettel,dbpedia.org/resource/Sebastian_Vettel,http://en.wikipedia.org/wiki/Special:FilePath/Sebastian_Vettel_2012_Bahrain_GP.jpg?width=300,"Sebastian Vettel ( [zeˈbastjan ˈfɛtəl]; born 3 July 1987 ) is a professional German Formula One racing driver, currently driving for the Austrian racing team Red Bull Racing . He is the current Formula One World Champion, having won the four previous championships in 2010, 2011, 2012, and 2013 . He is among the most successful F1 drivers of all time. "
55,Serena Williams,Tennis,"$22,000,000","$11,000,000","$11,000,000",United States,Female,1981,26/09/1981,"Saginaw, Michigan, United States",175,http://en.wikipedia.org/wiki/Serena_Williams,dbpedia.org/resource/Serena_Williams,http://commons.wikimedia.org/wiki/Special:FilePath/Serena_Williams_US_Open_2013.jpg?width=300,"Serena Jameka Williams (born September 26, 1981) is an American professional tennis player who is currently ranked No. 1 in women's singles tennis . The Women's Tennis Association has ranked her World No. 1 in singles on six separate occasions. She became the World No. 1 for the first time on July 8, 2002, and regained this ranking for the sixth time on February 18, 2013, becoming the oldest world no. 1 player in WTA's history. Williams is also regarded by some experts and former tennis players to be the greatest female tennis player in history. She is the only female player to have won over $60 million in prize money, and is the reigning US Open, WTA Tour Championships and Olympic ladies singles champion. "
44,Sergio Agüero,Soccer,"$23,300,000","$18,300,000","$5,000,000",Argentina,Male,1988,2/06/1988,Buenos Aires,173,http://en.wikipedia.org/wiki/Sergio_Ag%C3%BCero,dbpedia.org/resource/Sergio_Ag%C3%BCero,http://commons.wikimedia.org/wiki/Special:FilePath/Suisse_vs_Argentine_-_Sergio_Agüero_(cropped).jpg?width=300,"Sergio Leonel ""Kun"" Agüero Del Castillo ( Spanish pronunciation: [ˈserxjo aˈɣweɾo]; born 2 June 1988) known professionally as Sergio Agüero is an Argentine professional footballer who plays as a striker for Premier League club Manchester City and the Argentina national team . On 5 July 2003, he became the youngest player to debut in the Argentine Primera División at 15 years and 35 days, breaking the record previously established by Diego Maradona in 1976 . He plays with the shirt name Kun Agüero . "
86,Steven Gerrard,Soccer,"$18,700,000","$13,200,000","$5,500,000",England,Male,1980,30/05/1980,"Whiston, Merseyside, England, United States",183,http://en.wikipedia.org/wiki/Steven_Gerrard,dbpedia.org/resource/Steven_Gerrard,http://commons.wikimedia.org/wiki/Special:FilePath/SGerrard.JPG?width=300,"Steven George Gerrard MBE (born 30 May 1980) is an English footballer who plays for and captains Premier League club Liverpool . He has played much of his career as a central midfielder, but he has also been used as a second striker, holding midfielder, attacking midfielder, right back and right winger . "
96,Terrell Suggs,Football,"$17,600,000","$17,400,000","$200,000",United States,Male,1982,11/10/1982,"Minneapolis, Minnesota, United States",191,http://en.wikipedia.org/wiki/Terrell_Suggs,dbpedia.org/resource/Terrell_Suggs,http://commons.wikimedia.org/wiki/Special:FilePath/Terrell_Suggs_2011_stadium_practice.jpg?width=300,"Terrell Raymonn Suggs (born October 11, 1982) is an American football outside linebacker for the Baltimore Ravens of the National Football League (NFL). He played college football for Arizona State University, and was recognized as a unanimous All-American . The Ravens selected him with the tenth overall pick in the 2003 NFL Draft, and he is now the team's all-time leader in sacks with 96. Suggs is a six-time Pro Bowl selection and was the NFL Defensive Player of the Year in 2011."
73,Tim Lincecum,Baseball,"$20,550,000","$20,300,000","$250,000",United States,Male,1984,15/06/1984,"Bellevue, Washington",180,http://en.wikipedia.org/wiki/Tim_Lincecum,dbpedia.org/resource/Tim_Lincecum,http://commons.wikimedia.org/wiki/Special:FilePath/Tim_Lincecum_2008.jpg?width=300,"Timothy Leroy Lincecum ( /ˈlɪnsɨkʌm/ LIN-sə-kʌm; born June 15, 1984), nicknamed ""The Freak"" and ""Big Time Timmy Jim,"" is an American professional baseball pitcher for the San Francisco Giants of Major League Baseball (MLB)."
45,Usain Bolt,Track,"$23,200,000","$200,000","$23,000,000",Jamaica,Male,1986,21/08/1986,"Trelawny Parish, Jamaica",196,http://en.wikipedia.org/wiki/Usain_Bolt,dbpedia.org/resource/Usain_Bolt,http://commons.wikimedia.org/wiki/Special:FilePath/Usain_Bolt_2012_Olympics_1.jpg?width=300,"Usain St. Leo Bolt OJ CD ( /ˈjuːseɪn/; born 21 August 1986) is a Jamaican sprinter . Widely regarded as the fastest person ever, he is the first man to hold both the 100 metres and 200 metres world records since fully automatic time measurements became mandatory in 1977. Along with his teammates, he also set the world record in the 4×100 metres relay . He is the reigning Olympic champion in these three events, the first man to win six Olympic gold medals in sprinting, and an eight-time World champion. He was the first to achieve a ""double double"" by winning 100 m and 200 m titles at consecutive Olympics (2008 and 2012), and topped this through the first ""double triple"" (including 4×100 m relays). "
65,Vernon Wells,Baseball,"$21,100,000","$21,000,000","$100,000",United States,Male,1978,8/12/1978,"Shreveport, Louisiana",185,http://en.wikipedia.org/wiki/Vernon_Wells,dbpedia.org/resource/Vernon_Wells,"http://commons.wikimedia.org/wiki/Special:FilePath/Vernon_Wells_on_May_20,_2013.jpg?width=300","Vernon Michael Wells III (born December 8, 1978) is an American professional baseball outfielder who is a free agent. He has played in MLB for the Toronto Blue Jays, the Los Angeles Angels of Anaheim, and the New York Yankees ."
43,Wayne Rooney,Soccer,"$23,400,000","$18,400,000","$5,000,000",England,Male,1985,24/10/1985,"Croxteth, Liverpool, England, United Kingdom",176,http://en.wikipedia.org/wiki/Wayne_Rooney,dbpedia.org/resource/Wayne_Rooney,http://en.wikipedia.org/wiki/Special:FilePath/Wayne_Rooney_Euro_2012_vs_Italy.jpg?width=300,Wayne Mark Rooney /ˈruːni/ (born 24 October 1985) is an English footballer who plays for and captains both Manchester United and the England national team . He commonly plays as a forward .
25,Wladimir Klitschko,Boxing,"$28,000,000","$24,000,000","$4,000,000",Ukraine,Male,1976,25/03/1976,Kazakhstan,198,http://en.wikipedia.org/wiki/Wladimir_Klitschko,dbpedia.org/resource/Wladimir_Klitschko,http://commons.wikimedia.org/wiki/Special:FilePath/Wladimir_Klitschko_2008_02_05.jpg?width=300,"Wladimir Klitschko ( Ukrainian: Володи́мир Володи́мирович Кличко́; born 25 March 1976) is a Ukrainian heavyweight professional boxer . Klitschko is the current Transnational Boxing Rankings Board, lineal, WBA (Super), IBF, WBO, IBO and The Ring world champion (see List of heavyweight boxing champions .) Klitschko is the longest reigning IBF, WBO & IBO heavyweight champion in history with the most title defenses for those organizations. Overall, he is the second longest reigning Heavyweight Champion of all time with the second most successful grand total title defenses with 21 (including his ""super"" title recognition). On 13 October 2013, Boxrec rated Klitschko as the number two pound-for-pound fighter in the world. On 15 April 2014, he reached a career peak of number three on the pound-for-pound list of Ring Magazine . Klitschko is tied with Muhammad Ali for second on the all-time list for most heavyweight title fights with 25, behind only Joe Louis with 27. He is the younger brother of former WBC, WBO & Ring magazine heavyweight champion Vitali Klitschko ."
84,Zach Randolph,Basketball,"$18,800,000","$18,300,000","$500,000",United States,Male,1981,16/07/1981,"Marion, Indiana",206,http://en.wikipedia.org/wiki/Zach_Randolph,dbpedia.org/resource/Zach_Randolph,http://commons.wikimedia.org/wiki/Special:FilePath/Zach_Randolph_20131118_cropped.jpg?width=300,"Zachary Randolph (born July 16, 1981) is an American professional basketball player who currently plays for the Memphis Grizzlies of the National Basketball Association (NBA). The two-time NBA All-Star played college basketball for Michigan State University before being drafted in the 2001 NBA draft by the Portland Trail Blazers ."
12,Zlatan Ibrahimović,Soccer,"$40,400,000","$36,400,000","$4,000,000",Sweden,Male,1981,3/10/1981,"Malmö, Sweden",195,http://en.wikipedia.org/wiki/Zlatan_Ibrahimovi%C4%87,dbpedia.org/resource/Zlatan_Ibrahimovi%C4%87,http://commons.wikimedia.org/wiki/Special:FilePath/Zlatan_Ibrahimović-2.jpg?width=300,"Zlatan Ibrahimović ( Swedish pronunciation: [ˈslɑːtan ɪbraˈhiːmɔvɪtɕ], Bosnian pronunciation: [zlǎtan ibraxǐːmoʋit͡ɕ]; born 3 October 1981) is a Swedish professional footballer who plays as a striker for French club Paris Saint-Germain and the Swedish national team for which he is captain . "
2,Cristiano Ronaldo,Soccer,"$80,000,000","$52,000,000","$28,000,000",Portugal,Male,1985,5/02/1985,"Funchal, Madeira, Portugal",185,http://en.wikipedia.org/wiki/Cristiano_Ronaldo,dbpedia.org/resource/Cristiano_Ronaldo,"http://commons.wikimedia.org/wiki/Special:FilePath/Cristiano_Ronaldo_-_Croatia_vs._Portugal,_10th_June_2013.jpg?width=300","Cristiano Ronaldo dos Santos Aveiro, OIH (Portuguese pronunciation: [kɾɨʃtiˈɐnu ʁuˈnaɫdu]; born 5 February 1985), known as Cristiano Ronaldo, is a Portuguese professional footballer who plays as a forward for Spanish club Real Madrid and captains the Portugal national team."
