ID,Profile,Agency Lobbied,Year,Total Number of Clients,Number of reports listing agency
2014 - US Marine Corps,http://www.opensecrets.org//lobby/agencysum.php?id=210&year=2014,US Marine Corps,2014,21,39
1998 - Office of Personnel Management,http://www.opensecrets.org//lobby/agencysum.php?id=081&year=1998,Office of Personnel Management,1998,21,43
2004 - Commodity Futures Trading Commission,http://www.opensecrets.org//lobby/agencysum.php?id=045&year=2004,Commodity Futures Trading Commission,2004,21,45
2010 - Council of Economic Advisers,http://www.opensecrets.org//lobby/agencysum.php?id=014&year=2010,Council of Economic Advisers,2010,21,46
2012 - Institute of Museum & Library Services,http://www.opensecrets.org//lobby/agencysum.php?id=209&year=2012,Institute of Museum & Library Services,2012,21,48
2011 - Bureau of the Census,http://www.opensecrets.org//lobby/agencysum.php?id=105&year=2011,Bureau of the Census,2011,21,50
2012 - National Security Agency,http://www.opensecrets.org//lobby/agencysum.php?id=127&year=2012,National Security Agency,2012,21,52
2008 - Office of Juvenile Justice & Delinq Prev,http://www.opensecrets.org//lobby/agencysum.php?id=160&year=2008,Office of Juvenile Justice & Delinq Prev,2008,21,54
2009 - Defense Threat Reduction Agency,http://www.opensecrets.org//lobby/agencysum.php?id=236&year=2009,Defense Threat Reduction Agency,2009,21,55
2012 - Office of National Drug Control Policy,http://www.opensecrets.org//lobby/agencysum.php?id=019&year=2012,Office of National Drug Control Policy,2012,21,57
2011 - Bureau of Justice Assistance,http://www.opensecrets.org//lobby/agencysum.php?id=157&year=2011,Bureau of Justice Assistance,2011,21,57
2009 - Equal Employment Opportunity Commission,http://www.opensecrets.org//lobby/agencysum.php?id=050&year=2009,Equal Employment Opportunity Commission,2009,21,57
2011 - Trade & Development Agency,http://www.opensecrets.org//lobby/agencysum.php?id=093&year=2011,Trade & Development Agency,2011,21,58
2013 - Drug Enforcement Administration,http://www.opensecrets.org//lobby/agencysum.php?id=155&year=2013,Drug Enforcement Administration,2013,21,59
2012 - Pension Benefit Guaranty Corporation,http://www.opensecrets.org//lobby/agencysum.php?id=085&year=2012,Pension Benefit Guaranty Corporation,2012,21,64
2011 - Library of Congress,http://www.opensecrets.org//lobby/agencysum.php?id=007&year=2011,Library of Congress,2011,21,72
2009 - Federal Trade Commission,http://www.opensecrets.org//lobby/agencysum.php?id=064&year=2009,Federal Trade Commission,2009,211,631
2011 - Federal Aviation Administration,http://www.opensecrets.org//lobby/agencysum.php?id=172&year=2011,Federal Aviation Administration,2011,212,704
2003 - Army Corps of Engineers,http://www.opensecrets.org//lobby/agencysum.php?id=200&year=2003,Army Corps of Engineers,2003,213,378
2013 - Council on Environmental Quality,http://www.opensecrets.org//lobby/agencysum.php?id=015&year=2013,Council on Environmental Quality,2013,214,626
2012 - Commodity Futures Trading Commission,http://www.opensecrets.org//lobby/agencysum.php?id=045&year=2012,Commodity Futures Trading Commission,2012,214,818
2013 - Securities & Exchange Commission,http://www.opensecrets.org//lobby/agencysum.php?id=088&year=2013,Securities & Exchange Commission,2013,216,790
2013 - Federal Emergency Management Agency,http://www.opensecrets.org//lobby/agencysum.php?id=056&year=2013,Federal Emergency Management Agency,2013,218,652
2002 - National Indian Gaming Commission,http://www.opensecrets.org//lobby/agencysum.php?id=208&year=2002,National Indian Gaming Commission,2002,22,23
2001 - Council of Economic Advisers,http://www.opensecrets.org//lobby/agencysum.php?id=014&year=2001,Council of Economic Advisers,2001,22,25
2002 - US Copyright Office,http://www.opensecrets.org//lobby/agencysum.php?id=207&year=2002,US Copyright Office,2002,22,26
2004 - Office of National Drug Control Policy,http://www.opensecrets.org//lobby/agencysum.php?id=019&year=2004,Office of National Drug Control Policy,2004,22,27
2005 - Trade & Development Agency,http://www.opensecrets.org//lobby/agencysum.php?id=093&year=2005,Trade & Development Agency,2005,22,28
2001 - Library of Congress,http://www.opensecrets.org//lobby/agencysum.php?id=007&year=2001,Library of Congress,2001,22,29
2014 - Council of Economic Advisers,http://www.opensecrets.org//lobby/agencysum.php?id=014&year=2014,Council of Economic Advisers,2014,22,32
2007 - US Marine Corps,http://www.opensecrets.org//lobby/agencysum.php?id=210&year=2007,US Marine Corps,2007,22,34
1998 - Health Resources & Svcs Administration,http://www.opensecrets.org//lobby/agencysum.php?id=137&year=1998,Health Resources & Svcs Administration,1998,22,34
1999 - Bureau of Alcohol Tobacco & Firearms,http://www.opensecrets.org//lobby/agencysum.php?id=182&year=1999,Bureau of Alcohol Tobacco & Firearms,1999,22,35
2001 - Office of Thrift Supervision,http://www.opensecrets.org//lobby/agencysum.php?id=192&year=2001,Office of Thrift Supervision,2001,22,36
2007 - Postal Regulatory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=086&year=2007,Postal Regulatory Commission,2007,22,37
2007 - National Transportation Safety Board,http://www.opensecrets.org//lobby/agencysum.php?id=077&year=2007,National Transportation Safety Board,2007,22,38
2005 - Consumer Product Safety Commission,http://www.opensecrets.org//lobby/agencysum.php?id=046&year=2005,Consumer Product Safety Commission,2005,22,38
2000 - Federal Maritime Commission,http://www.opensecrets.org//lobby/agencysum.php?id=059&year=2000,Federal Maritime Commission,2000,22,39
2003 - Surface Transportation Board,http://www.opensecrets.org//lobby/agencysum.php?id=181&year=2003,Surface Transportation Board,2003,22,48
2007 - Postal Rate Commission,http://www.opensecrets.org//lobby/agencysum.php?id=848&year=2007,Postal Rate Commission,2007,22,5
2003 - Office of Thrift Supervision,http://www.opensecrets.org//lobby/agencysum.php?id=192&year=2003,Office of Thrift Supervision,2003,22,50
2010 - Corp for National & Community Service,http://www.opensecrets.org//lobby/agencysum.php?id=047&year=2010,Corp for National & Community Service,2010,22,52
2008 - Trade & Development Agency,http://www.opensecrets.org//lobby/agencysum.php?id=093&year=2008,Trade & Development Agency,2008,22,53
2011 - National Endowment for the Arts,http://www.opensecrets.org//lobby/agencysum.php?id=206&year=2011,National Endowment for the Arts,2011,22,61
2011 - AMTRAK,http://www.opensecrets.org//lobby/agencysum.php?id=075&year=2011,AMTRAK,2011,22,63
2014 - Dept of Veterans Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=042&year=2014,Dept of Veterans Affairs,2014,220,392
2008 - Federal Aviation Administration,http://www.opensecrets.org//lobby/agencysum.php?id=172&year=2008,Federal Aviation Administration,2008,220,765
2014 - Federal Communications Commission,http://www.opensecrets.org//lobby/agencysum.php?id=053&year=2014,Federal Communications Commission,2014,221,454
2010 - Federal Aviation Administration,http://www.opensecrets.org//lobby/agencysum.php?id=172&year=2010,Federal Aviation Administration,2010,221,766
2007 - Dept of Veterans Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=042&year=2007,Dept of Veterans Affairs,2007,222,364
2008 - Federal Trade Commission,http://www.opensecrets.org//lobby/agencysum.php?id=064&year=2008,Federal Trade Commission,2008,222,664
2012 - National Institutes of Health,http://www.opensecrets.org//lobby/agencysum.php?id=139&year=2012,National Institutes of Health,2012,223,673
2000 - Federal Trade Commission,http://www.opensecrets.org//lobby/agencysum.php?id=064&year=2000,Federal Trade Commission,2000,225,354
2009 - Federal Aviation Administration,http://www.opensecrets.org//lobby/agencysum.php?id=172&year=2009,Federal Aviation Administration,2009,225,762
2011 - Commodity Futures Trading Commission,http://www.opensecrets.org//lobby/agencysum.php?id=045&year=2011,Commodity Futures Trading Commission,2011,225,855
2002 - Bureau of Indian Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=146&year=2002,Bureau of Indian Affairs,2002,226,276
2011 - Dept of Navy,http://www.opensecrets.org//lobby/agencysum.php?id=031&year=2011,Dept of Navy,2011,227,616
2011 - Internal Revenue Service,http://www.opensecrets.org//lobby/agencysum.php?id=188&year=2011,Internal Revenue Service,2011,228,714
2006 - Economic Development Administration,http://www.opensecrets.org//lobby/agencysum.php?id=108&year=2006,Economic Development Administration,2006,23,26
2006 - Central Intelligence Agency,http://www.opensecrets.org//lobby/agencysum.php?id=044&year=2006,Central Intelligence Agency,2006,23,29
2004 - US Marine Corps,http://www.opensecrets.org//lobby/agencysum.php?id=210&year=2004,US Marine Corps,2004,23,30
2007 - Drug Enforcement Administration,http://www.opensecrets.org//lobby/agencysum.php?id=155&year=2007,Drug Enforcement Administration,2007,23,34
1998 - National Security Agency,http://www.opensecrets.org//lobby/agencysum.php?id=127&year=1998,National Security Agency,1998,23,34
2006 - Substance Abuse & Mental Hlth Svcs Adm,http://www.opensecrets.org//lobby/agencysum.php?id=141&year=2006,Substance Abuse & Mental Hlth Svcs Adm,2006,23,36
2004 - Council of Economic Advisers,http://www.opensecrets.org//lobby/agencysum.php?id=014&year=2004,Council of Economic Advisers,2004,23,36
2006 - US Citizenship & Immigration Services,http://www.opensecrets.org//lobby/agencysum.php?id=154&year=2006,US Citizenship & Immigration Services,2006,23,37
2005 - National Transportation Safety Board,http://www.opensecrets.org//lobby/agencysum.php?id=077&year=2005,National Transportation Safety Board,2005,23,37
2005 - Pension Benefit Guaranty Corporation,http://www.opensecrets.org//lobby/agencysum.php?id=085&year=2005,Pension Benefit Guaranty Corporation,2005,23,37
2004 - Substance Abuse & Mental Hlth Svcs Adm,http://www.opensecrets.org//lobby/agencysum.php?id=141&year=2004,Substance Abuse & Mental Hlth Svcs Adm,2004,23,38
1999 - Office of Thrift Supervision,http://www.opensecrets.org//lobby/agencysum.php?id=192&year=1999,Office of Thrift Supervision,1999,23,42
2014 - Defense Logistics Agency,http://www.opensecrets.org//lobby/agencysum.php?id=123&year=2014,Defense Logistics Agency,2014,23,44
2011 - Institute of Museum & Library Services,http://www.opensecrets.org//lobby/agencysum.php?id=209&year=2011,Institute of Museum & Library Services,2011,23,44
2014 - Nuclear Regulatory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=078&year=2014,Nuclear Regulatory Commission,2014,23,50
1999 - Federal Deposit Insurance Commission,http://www.opensecrets.org//lobby/agencysum.php?id=054&year=1999,Federal Deposit Insurance Commission,1999,23,50
2010 - Employment & Training Administration,http://www.opensecrets.org//lobby/agencysum.php?id=244&year=2010,Employment & Training Administration,2010,23,52
2008 - Export-Import Bank of the US,http://www.opensecrets.org//lobby/agencysum.php?id=051&year=2008,Export-Import Bank of the US,2008,23,57
2013 - Library of Congress,http://www.opensecrets.org//lobby/agencysum.php?id=007&year=2013,Library of Congress,2013,23,59
2011 - Office of National Drug Control Policy,http://www.opensecrets.org//lobby/agencysum.php?id=019&year=2011,Office of National Drug Control Policy,2011,23,60
2013 - US Geological Survey,http://www.opensecrets.org//lobby/agencysum.php?id=144&year=2013,US Geological Survey,2013,23,61
2012 - Council on Environmental Quality,http://www.opensecrets.org//lobby/agencysum.php?id=015&year=2012,Council on Environmental Quality,2012,230,636
2012 - Federal Aviation Administration,http://www.opensecrets.org//lobby/agencysum.php?id=172&year=2012,Federal Aviation Administration,2012,230,741
2000 - Food & Drug Administration,http://www.opensecrets.org//lobby/agencysum.php?id=135&year=2000,Food & Drug Administration,2000,231,387
2009 - Dept of Navy,http://www.opensecrets.org//lobby/agencysum.php?id=031&year=2009,Dept of Navy,2009,231,673
2013 - Federal Aviation Administration,http://www.opensecrets.org//lobby/agencysum.php?id=172&year=2013,Federal Aviation Administration,2013,231,753
2010 - Dept of Navy,http://www.opensecrets.org//lobby/agencysum.php?id=031&year=2010,Dept of Navy,2010,232,692
2002 - Federal Trade Commission,http://www.opensecrets.org//lobby/agencysum.php?id=064&year=2002,Federal Trade Commission,2002,233,374
2008 - National Institutes of Health,http://www.opensecrets.org//lobby/agencysum.php?id=139&year=2008,National Institutes of Health,2008,233,677
2013 - Internal Revenue Service,http://www.opensecrets.org//lobby/agencysum.php?id=188&year=2013,Internal Revenue Service,2013,233,732
2008 - Internal Revenue Service,http://www.opensecrets.org//lobby/agencysum.php?id=188&year=2008,Internal Revenue Service,2008,235,699
2002 - National Aeronautics & Space Admin,http://www.opensecrets.org//lobby/agencysum.php?id=068&year=2002,National Aeronautics & Space Admin,2002,236,324
2010 - Securities & Exchange Commission,http://www.opensecrets.org//lobby/agencysum.php?id=088&year=2010,Securities & Exchange Commission,2010,236,746
2008 - Dept of Navy,http://www.opensecrets.org//lobby/agencysum.php?id=031&year=2008,Dept of Navy,2008,239,715
2006 - Equal Employment Opportunity Commission,http://www.opensecrets.org//lobby/agencysum.php?id=050&year=2006,Equal Employment Opportunity Commission,2006,24,28
2002 - Library of Congress,http://www.opensecrets.org//lobby/agencysum.php?id=007&year=2002,Library of Congress,2002,24,30
2004 - Federal Election Commission,http://www.opensecrets.org//lobby/agencysum.php?id=055&year=2004,Federal Election Commission,2004,24,32
2001 - Drug Enforcement Administration,http://www.opensecrets.org//lobby/agencysum.php?id=155&year=2001,Drug Enforcement Administration,2001,24,32
2000 - Drug Enforcement Administration,http://www.opensecrets.org//lobby/agencysum.php?id=155&year=2000,Drug Enforcement Administration,2000,24,34
2004 - Federal Railroad Administration,http://www.opensecrets.org//lobby/agencysum.php?id=174&year=2004,Federal Railroad Administration,2004,24,35
2006 - Indian Health Service,http://www.opensecrets.org//lobby/agencysum.php?id=138&year=2006,Indian Health Service,2006,24,36
2006 - National Transportation Safety Board,http://www.opensecrets.org//lobby/agencysum.php?id=077&year=2006,National Transportation Safety Board,2006,24,38
2001 - Federal Transit Administration,http://www.opensecrets.org//lobby/agencysum.php?id=176&year=2001,Federal Transit Administration,2001,24,38
1998 - National Transportation Safety Board,http://www.opensecrets.org//lobby/agencysum.php?id=077&year=1998,National Transportation Safety Board,1998,24,39
2007 - Export-Import Bank of the US,http://www.opensecrets.org//lobby/agencysum.php?id=051&year=2007,Export-Import Bank of the US,2007,24,40
2005 - Office of Thrift Supervision,http://www.opensecrets.org//lobby/agencysum.php?id=192&year=2005,Office of Thrift Supervision,2005,24,40
1999 - National Security Agency,http://www.opensecrets.org//lobby/agencysum.php?id=127&year=1999,National Security Agency,1999,24,41
2007 - Congressional Budget Office,http://www.opensecrets.org//lobby/agencysum.php?id=008&year=2007,Congressional Budget Office,2007,24,44
2004 - Congressional Budget Office,http://www.opensecrets.org//lobby/agencysum.php?id=008&year=2004,Congressional Budget Office,2004,24,46
2001 - Federal Deposit Insurance Commission,http://www.opensecrets.org//lobby/agencysum.php?id=054&year=2001,Federal Deposit Insurance Commission,2001,24,46
2012 - Def Advanced Research Projects Agency,http://www.opensecrets.org//lobby/agencysum.php?id=116&year=2012,Def Advanced Research Projects Agency,2012,24,51
2008 - Defense Threat Reduction Agency,http://www.opensecrets.org//lobby/agencysum.php?id=236&year=2008,Defense Threat Reduction Agency,2008,24,58
2009 - AMTRAK,http://www.opensecrets.org//lobby/agencysum.php?id=075&year=2009,AMTRAK,2009,24,59
2012 - Pipeline & Hazardous Materials Safety,http://www.opensecrets.org//lobby/agencysum.php?id=254&year=2012,Pipeline & Hazardous Materials Safety,2012,24,68
2013 - Pension Benefit Guaranty Corporation,http://www.opensecrets.org//lobby/agencysum.php?id=085&year=2013,Pension Benefit Guaranty Corporation,2013,24,75
2013 - National Endowment for the Arts,http://www.opensecrets.org//lobby/agencysum.php?id=206&year=2013,National Endowment for the Arts,2013,24,80
2012 - National Endowment for the Arts,http://www.opensecrets.org//lobby/agencysum.php?id=206&year=2012,National Endowment for the Arts,2012,24,87
2012 - Internal Revenue Service,http://www.opensecrets.org//lobby/agencysum.php?id=188&year=2012,Internal Revenue Service,2012,240,751
2012 - Securities & Exchange Commission,http://www.opensecrets.org//lobby/agencysum.php?id=088&year=2012,Securities & Exchange Commission,2012,240,854
2004 - Army Corps of Engineers,http://www.opensecrets.org//lobby/agencysum.php?id=200&year=2004,Army Corps of Engineers,2004,241,417
1998 - Dept of Army,http://www.opensecrets.org//lobby/agencysum.php?id=030&year=1998,Dept of Army,1998,244,400
2012 - Federal Communications Commission,http://www.opensecrets.org//lobby/agencysum.php?id=053&year=2012,Federal Communications Commission,2012,244,842
2014 - Dept of Housing & Urban Development,http://www.opensecrets.org//lobby/agencysum.php?id=035&year=2014,Dept of Housing & Urban Development,2014,246,451
2009 - Internal Revenue Service,http://www.opensecrets.org//lobby/agencysum.php?id=188&year=2009,Internal Revenue Service,2009,246,722
2013 - Federal Communications Commission,http://www.opensecrets.org//lobby/agencysum.php?id=053&year=2013,Federal Communications Commission,2013,248,811
2005 - US Marine Corps,http://www.opensecrets.org//lobby/agencysum.php?id=210&year=2005,US Marine Corps,2005,25,34
2003 - Agency for Health Care Policy & Research,http://www.opensecrets.org//lobby/agencysum.php?id=132&year=2003,Agency for Health Care Policy & Research,2003,25,34
2000 - Library of Congress,http://www.opensecrets.org//lobby/agencysum.php?id=007&year=2000,Library of Congress,2000,25,35
2000 - National Transportation Safety Board,http://www.opensecrets.org//lobby/agencysum.php?id=077&year=2000,National Transportation Safety Board,2000,25,38
1999 - Federal Railroad Administration,http://www.opensecrets.org//lobby/agencysum.php?id=174&year=1999,Federal Railroad Administration,1999,25,38
2001 - Surface Transportation Board,http://www.opensecrets.org//lobby/agencysum.php?id=181&year=2001,Surface Transportation Board,2001,25,41
2006 - Surface Transportation Board,http://www.opensecrets.org//lobby/agencysum.php?id=181&year=2006,Surface Transportation Board,2006,25,42
1999 - Office of National Drug Control Policy,http://www.opensecrets.org//lobby/agencysum.php?id=019&year=1999,Office of National Drug Control Policy,1999,25,42
1998 - Bureau of Alcohol Tobacco & Firearms,http://www.opensecrets.org//lobby/agencysum.php?id=182&year=1998,Bureau of Alcohol Tobacco & Firearms,1998,25,42
2009 - Defense Intelligence Agency,http://www.opensecrets.org//lobby/agencysum.php?id=120&year=2009,Defense Intelligence Agency,2009,25,44
2006 - Office of Thrift Supervision,http://www.opensecrets.org//lobby/agencysum.php?id=192&year=2006,Office of Thrift Supervision,2006,25,44
2006 - Congressional Budget Office,http://www.opensecrets.org//lobby/agencysum.php?id=008&year=2006,Congressional Budget Office,2006,25,45
2014 - National Indian Gaming Commission,http://www.opensecrets.org//lobby/agencysum.php?id=208&year=2014,National Indian Gaming Commission,2014,25,46
2004 - US Copyright Office,http://www.opensecrets.org//lobby/agencysum.php?id=207&year=2004,US Copyright Office,2004,25,47
2013 - Council of Economic Advisers,http://www.opensecrets.org//lobby/agencysum.php?id=014&year=2013,Council of Economic Advisers,2013,25,48
1999 - Office of Personnel Management,http://www.opensecrets.org//lobby/agencysum.php?id=081&year=1999,Office of Personnel Management,1999,25,48
2009 - Library of Congress,http://www.opensecrets.org//lobby/agencysum.php?id=007&year=2009,Library of Congress,2009,25,57
2013 - Office of National Drug Control Policy,http://www.opensecrets.org//lobby/agencysum.php?id=019&year=2013,Office of National Drug Control Policy,2013,25,58
2010 - National Labor Relations Board,http://www.opensecrets.org//lobby/agencysum.php?id=073&year=2010,National Labor Relations Board,2010,25,59
2008 - Office of Justice Program,http://www.opensecrets.org//lobby/agencysum.php?id=156&year=2008,Office of Justice Program,2008,25,64
2013 - Bureau of Justice Assistance,http://www.opensecrets.org//lobby/agencysum.php?id=157&year=2013,Bureau of Justice Assistance,2013,25,66
2010 - Postal Regulatory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=086&year=2010,Postal Regulatory Commission,2010,25,74
2010 - Federal Maritime Commission,http://www.opensecrets.org//lobby/agencysum.php?id=059&year=2010,Federal Maritime Commission,2010,25,78
2010 - Postal Rate Commission,http://www.opensecrets.org//lobby/agencysum.php?id=848&year=2010,Postal Rate Commission,2010,25,8
2009 - Dept of Veterans Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=042&year=2009,Dept of Veterans Affairs,2009,250,751
2000 - Federal Aviation Administration,http://www.opensecrets.org//lobby/agencysum.php?id=172&year=2000,Federal Aviation Administration,2000,251,402
1999 - Dept of Housing & Urban Development,http://www.opensecrets.org//lobby/agencysum.php?id=035&year=1999,Dept of Housing & Urban Development,1999,251,442
2011 - Securities & Exchange Commission,http://www.opensecrets.org//lobby/agencysum.php?id=088&year=2011,Securities & Exchange Commission,2011,251,891
2009 - National Institutes of Health,http://www.opensecrets.org//lobby/agencysum.php?id=139&year=2009,National Institutes of Health,2009,253,708
2011 - Dept of Army,http://www.opensecrets.org//lobby/agencysum.php?id=030&year=2011,Dept of Army,2011,255,657
2001 - Centers for Medicare & Medicaid Services,http://www.opensecrets.org//lobby/agencysum.php?id=136&year=2001,Centers for Medicare & Medicaid Services,2001,256,415
2010 - Internal Revenue Service,http://www.opensecrets.org//lobby/agencysum.php?id=188&year=2010,Internal Revenue Service,2010,257,726
2006 - US Marine Corps,http://www.opensecrets.org//lobby/agencysum.php?id=210&year=2006,US Marine Corps,2006,26,33
2002 - Natl Inst on Alcohol Abuse & Alcoholism,http://www.opensecrets.org//lobby/agencysum.php?id=193&year=2002,Natl Inst on Alcohol Abuse & Alcoholism,2002,26,35
2000 - Office of National Drug Control Policy,http://www.opensecrets.org//lobby/agencysum.php?id=019&year=2000,Office of National Drug Control Policy,2000,26,35
1998 - US Information Agency,http://www.opensecrets.org//lobby/agencysum.php?id=096&year=1998,US Information Agency,1998,26,36
2002 - Bureau of Alcohol Tobacco & Firearms,http://www.opensecrets.org//lobby/agencysum.php?id=182&year=2002,Bureau of Alcohol Tobacco & Firearms,2002,26,37
2007 - US Citizenship & Immigration Services,http://www.opensecrets.org//lobby/agencysum.php?id=154&year=2007,US Citizenship & Immigration Services,2007,26,39
2014 - National Endowment for the Arts,http://www.opensecrets.org//lobby/agencysum.php?id=206&year=2014,National Endowment for the Arts,2014,26,40
2001 - Nuclear Regulatory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=078&year=2001,Nuclear Regulatory Commission,2001,26,40
2002 - Congressional Budget Office,http://www.opensecrets.org//lobby/agencysum.php?id=008&year=2002,Congressional Budget Office,2002,26,41
2014 - Pipeline & Hazardous Materials Safety,http://www.opensecrets.org//lobby/agencysum.php?id=254&year=2014,Pipeline & Hazardous Materials Safety,2014,26,43
2006 - Export-Import Bank of the US,http://www.opensecrets.org//lobby/agencysum.php?id=051&year=2006,Export-Import Bank of the US,2006,26,43
2007 - Substance Abuse & Mental Hlth Svcs Adm,http://www.opensecrets.org//lobby/agencysum.php?id=141&year=2007,Substance Abuse & Mental Hlth Svcs Adm,2007,26,44
2002 - Consumer Product Safety Commission,http://www.opensecrets.org//lobby/agencysum.php?id=046&year=2002,Consumer Product Safety Commission,2002,26,44
2005 - Surface Transportation Board,http://www.opensecrets.org//lobby/agencysum.php?id=181&year=2005,Surface Transportation Board,2005,26,45
2001 - Ofc of the Comptroller of the Currency,http://www.opensecrets.org//lobby/agencysum.php?id=183&year=2001,Ofc of the Comptroller of the Currency,2001,26,46
2012 - Council of Economic Advisers,http://www.opensecrets.org//lobby/agencysum.php?id=014&year=2012,Council of Economic Advisers,2012,26,53
2008 - Minerals Management Service,http://www.opensecrets.org//lobby/agencysum.php?id=147&year=2008,Minerals Management Service,2008,26,57
2011 - Central Intelligence Agency,http://www.opensecrets.org//lobby/agencysum.php?id=044&year=2011,Central Intelligence Agency,2011,26,64
2010 - Office of National Drug Control Policy,http://www.opensecrets.org//lobby/agencysum.php?id=019&year=2010,Office of National Drug Control Policy,2010,26,67
2010 - US Geological Survey,http://www.opensecrets.org//lobby/agencysum.php?id=144&year=2010,US Geological Survey,2010,26,72
2010 - Office of Thrift Supervision,http://www.opensecrets.org//lobby/agencysum.php?id=192&year=2010,Office of Thrift Supervision,2010,26,79
2012 - Federal Maritime Commission,http://www.opensecrets.org//lobby/agencysum.php?id=059&year=2012,Federal Maritime Commission,2012,26,85
2008 - Dept of Veterans Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=042&year=2008,Dept of Veterans Affairs,2008,260,768
1998 - Dept of Housing & Urban Development,http://www.opensecrets.org//lobby/agencysum.php?id=035&year=1998,Dept of Housing & Urban Development,1998,269,448
2011 - Nuclear Regulatory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=078&year=2011,Nuclear Regulatory Commission,2011,27,100
2014 - Library of Congress,http://www.opensecrets.org//lobby/agencysum.php?id=007&year=2014,Library of Congress,2014,27,38
2002 - Federal Bureau of Investigation,http://www.opensecrets.org//lobby/agencysum.php?id=150&year=2002,Federal Bureau of Investigation,2002,27,39
2001 - Social Security Administration,http://www.opensecrets.org//lobby/agencysum.php?id=091&year=2001,Social Security Administration,2001,27,39
2006 - Nuclear Regulatory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=078&year=2006,Nuclear Regulatory Commission,2006,27,42
2001 - Federal Bureau of Investigation,http://www.opensecrets.org//lobby/agencysum.php?id=150&year=2001,Federal Bureau of Investigation,2001,27,43
2003 - National Indian Gaming Commission,http://www.opensecrets.org//lobby/agencysum.php?id=208&year=2003,National Indian Gaming Commission,2003,27,44
2002 - Office of Thrift Supervision,http://www.opensecrets.org//lobby/agencysum.php?id=192&year=2002,Office of Thrift Supervision,2002,27,48
2000 - Federal Bureau of Investigation,http://www.opensecrets.org//lobby/agencysum.php?id=150&year=2000,Federal Bureau of Investigation,2000,27,48
2007 - Surface Transportation Board,http://www.opensecrets.org//lobby/agencysum.php?id=181&year=2007,Surface Transportation Board,2007,27,50
2004 - Office of Thrift Supervision,http://www.opensecrets.org//lobby/agencysum.php?id=192&year=2004,Office of Thrift Supervision,2004,27,50
2010 - Library of Congress,http://www.opensecrets.org//lobby/agencysum.php?id=007&year=2010,Library of Congress,2010,27,55
2010 - Office of Director of Natl Intelligence,http://www.opensecrets.org//lobby/agencysum.php?id=214&year=2010,Office of Director of Natl Intelligence,2010,27,66
2012 - Bureau of Justice Assistance,http://www.opensecrets.org//lobby/agencysum.php?id=157&year=2012,Bureau of Justice Assistance,2012,27,72
2010 - Defense Logistics Agency,http://www.opensecrets.org//lobby/agencysum.php?id=123&year=2010,Defense Logistics Agency,2010,27,73
2008 - Library of Congress,http://www.opensecrets.org//lobby/agencysum.php?id=007&year=2008,Library of Congress,2008,27,77
2011 - Pension Benefit Guaranty Corporation,http://www.opensecrets.org//lobby/agencysum.php?id=085&year=2011,Pension Benefit Guaranty Corporation,2011,27,79
2012 - Library of Congress,http://www.opensecrets.org//lobby/agencysum.php?id=007&year=2012,Library of Congress,2012,27,85
2011 - National Indian Gaming Commission,http://www.opensecrets.org//lobby/agencysum.php?id=208&year=2011,National Indian Gaming Commission,2011,27,95
2012 - Dept of Veterans Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=042&year=2012,Dept of Veterans Affairs,2012,278,811
2012 - National Indian Gaming Commission,http://www.opensecrets.org//lobby/agencysum.php?id=208&year=2012,National Indian Gaming Commission,2012,28,101
2001 - Centers for Disease Control & Prevention,http://www.opensecrets.org//lobby/agencysum.php?id=134&year=2001,Centers for Disease Control & Prevention,2001,28,29
2004 - ACCESS Board,http://www.opensecrets.org//lobby/agencysum.php?id=199&year=2004,ACCESS Board,2004,28,30
2001 - International Trade Administration,http://www.opensecrets.org//lobby/agencysum.php?id=109&year=2001,International Trade Administration,2001,28,32
1999 - International Trade Administration,http://www.opensecrets.org//lobby/agencysum.php?id=109&year=1999,International Trade Administration,1999,28,32
2005 - Equal Employment Opportunity Commission,http://www.opensecrets.org//lobby/agencysum.php?id=050&year=2005,Equal Employment Opportunity Commission,2005,28,34
2001 - Export-Import Bank of the US,http://www.opensecrets.org//lobby/agencysum.php?id=051&year=2001,Export-Import Bank of the US,2001,28,36
2006 - Pension Benefit Guaranty Corporation,http://www.opensecrets.org//lobby/agencysum.php?id=085&year=2006,Pension Benefit Guaranty Corporation,2006,28,39
2005 - Central Intelligence Agency,http://www.opensecrets.org//lobby/agencysum.php?id=044&year=2005,Central Intelligence Agency,2005,28,45
2001 - National Highway Traffic Safety Admin,http://www.opensecrets.org//lobby/agencysum.php?id=175&year=2001,National Highway Traffic Safety Admin,2001,28,47
2014 - National Guard,http://www.opensecrets.org//lobby/agencysum.php?id=231&year=2014,National Guard,2014,28,48
