Video Game,Profile,Descritpion,Release Year,Users' Review (stars),Image,Genre,Theme,Platform Manufacturer(s),Platform(s),Developers
Metal Gear Solid: Digital Graphic Novel,http://www.giantbomb.com/metal-gear-solid-digital-graphic-novel/3030-3070/,"A collection of Metal Gear Solid comics released as a PSP game. The comics are presented along with music, sound effects, limited animation, and some interactive elements.",2006,,http://static.giantbomb.com/uploads/scale_small/8/87790/1789941-box_mgsdgn.png,Adventure,"Sci-Fi, Espionage, Modern Military",Sony,PlayStation Portable,Kojima Productions
Metal Gear Solid: The Twin Snakes,http://www.giantbomb.com/metal-gear-solid-the-twin-snakes/3030-9594/,"Remake of the acclaimed PlayStation stealth-action action title Metal Gear Solid, developed under supervision of creator Hideo Kojima and legendary Nintendo game designer Shigeru Miyamoto.",2004,3.89,http://static.giantbomb.com/uploads/scale_small/8/87790/1789944-box_mgstts.png,"Action, Adventure","Sci-Fi, Espionage, Modern Military, Martial Arts",Nintendo,GameCube,"Konami, Silicon Knights"
Monkey Kong,http://www.giantbomb.com/monkey-kong/3030-5440/,A Donkey Kong clone for CoCo and Dragon.,1984,,http://static.giantbomb.com/uploads/scale_small/16/164924/2614852-0135038728-Medsy.jpg,Action,,"Dragon Data, Tnady, Motorola","Dragon 32/64, TRS-80 CoCo",Med Systems
Mr. Gimmick,http://www.giantbomb.com/mr-gimmick/3030-6037/,A platformer released for the NES late in the system's lifespan. It has gained a cult following thanks to its meticulously designed world and challenging gameplay.,1992,,http://static.giantbomb.com/uploads/scale_small/9/93770/2362077-nes_mrgimmick_eu.jpg,"Action, Platformer",Fantasy,Nintendo,Nintendo Entertainment System,SunSoft
Musashi: Samurai Legend,http://www.giantbomb.com/musashi-samurai-legend/3030-13668/,This action RPG for the PlayStation 2 is the sequel to Square's Brave Fencer Musashi. Musashi is summoned once again to save the world from the growing threat posed by Gandrake Enterprises.,2005,3,http://static.giantbomb.com/uploads/scale_small/8/87790/2276016-box_musashisl.png,"Role-Playing, Action, Adventure","Fantasy, Comedy, Steampunk",Sony,PlayStation 2,Square Enix
My Hero,http://www.giantbomb.com/my-hero/3030-9602/,"Be a hero in this rudimentary brawler from Sega, which challenges players to beat up foes using jump kicks and glass bottles in order to save your girl.",1985,,http://static.giantbomb.com/uploads/scale_small/9/93770/2362959-sms_myhero.jpg,"Action, Brawler",,"Sega, Arcade","Sega Master System, Arcade",Coreland
Mystic Ark,http://www.giantbomb.com/mystic-ark/3030-168/,"Mystic Ark is the spiritual successor to The 7th Saga, you play as a mute hero finding their way back to their own world.",1995,,http://static.giantbomb.com/uploads/scale_small/6/66248/1441935-mystic_ark_front.jpg,"Adventure, Role-Playing","Fantasy, Sci-Fi, Alternate Historical, Medieval",Nintendo,Super Nintendo Entertainment System,Produce
Nano Breaker,http://www.giantbomb.com/nano-breaker/3030-23035/,"Nanobreaker is a hack-and-slash game set in an apocalyptic future populated by ""Orgamechs"" and is most notably known for the copious amount of blood spilled during combat.",2005,1,http://static.giantbomb.com/uploads/scale_small/8/87790/2525221-box_nbreaker.png,Action,Sci-Fi,Sony,PlayStation 2,Konami
NES Remix,http://www.giantbomb.com/nes-remix/3030-44783/,8-bit NES classic games with new twists and challenges.,2013,4,http://static.giantbomb.com/uploads/scale_small/8/82063/2625347-nes-remix.jpg,Minigame Collection,,Nintendo,Wii U,"Indies Zero, Nintendo"
New Super Mario Bros.,http://www.giantbomb.com/new-super-mario-bros/3030-8224/,Mario must use all of his abilities as well as several new power ups to rescue Princess Peach from the clutches of Bowser Junior in the first Super Mario Bros. game for the DS.,2006,4.4,http://static.giantbomb.com/uploads/scale_small/8/87790/2119731-box_nsmb.png,Platformer,"Fantasy, Superhero",Nintendo,Nintendo DS,Nintendo
Ninja Gaiden II: The Dark Sword of Chaos,http://www.giantbomb.com/ninja-gaiden-ii-the-dark-sword-of-chaos/3030-14416/,"The sequel to Tecmo's action packed platformer, Ninja Gaiden II: The Dark Sword of Chaos improves upon the gameplay concept of the original by adding new features like the ability to scale walls and to create Shadow Clones.",1990,5,http://static.giantbomb.com/uploads/scale_small/9/93770/2362088-nes_ninjagaiden2.jpg,"Action, Platformer",Martial Arts,"Nintendo, PC","Nintendo Entertainment System, Wii Shop, PC, Nintendo 3DS eShop",Tecmo
Ninja Gaiden Trilogy,http://www.giantbomb.com/ninja-gaiden-trilogy/3030-8268/,"A compilation of the first three Ninja Gaiden titles. This version features updated visuals and music with certain drawbacks and limitations, including non-configurable controls.",1995,,http://static.giantbomb.com/uploads/scale_small/9/93770/2364498-snes_ninjagaidentrilogy.jpg,"Action, Adventure",Martial Arts,Nintendo,Super Nintendo Entertainment System,Tecmo
Nosferatu,http://www.giantbomb.com/nosferatu/3030-6408/,Nosferatu has taken Kyle's girlfriend and now she must be rescued before her soul sinks into darkness. Kyle will have to battle his way through the castle of the wicked vampire to and save his beloved Erin.,1994,,http://static.giantbomb.com/uploads/scale_small/14/149200/2133274-nosfe_snes.jpg,"Platformer, Action, Adventure",Horror,Nintendo,Super Nintendo Entertainment System,SETA Corporation
Onimusha: Warlords,http://www.giantbomb.com/onimusha-warlords/3030-9088/,In Onimusha: Warlords you follow the young samurai Samanosuke as he explores Inabayama Castle searching for Princess Yuki.,2001,5,http://static.giantbomb.com/uploads/scale_small/8/87790/2115766-box_onimusha.png,"Action, Adventure","Horror, Alternate Historical","Sony, PC","PlayStation 2, PC",Capcom
Paper Mario,http://www.giantbomb.com/paper-mario/3030-19929/,"The second Mario themed RPG, Bowser has stolen the Star Rod and has now has near limitless power. Mario goes on a quest to save the Seven Star Spirits, and retrieve the Star Rod from Bowser in order to save Princess Peach and the Mushroom Kingdom.",2000,4.5,http://static.giantbomb.com/uploads/scale_small/8/87790/2108508-box_pm.png,"Adventure, Role-Playing, Platformer","Fantasy, Comedy",Nintendo,"Nintendo 64, Wii Shop",Intelligent Systems
Paper Mario: The Thousand-Year Door,http://www.giantbomb.com/paper-mario-the-thousand-year-door/3030-7481/,"In his second paper-themed adventure, Mario must once again rescue the captured princess while he foils the X-Nauts' plans. The Thousand-Year Door features a turn-based battle system with real-time elements.",2004,4.55,http://static.giantbomb.com/uploads/scale_small/8/87790/2108509-box_pmttyd.png,"Action, Role-Playing","Fantasy, Comedy",Nintendo,GameCube,Intelligent Systems
Penguin Adventure,http://www.giantbomb.com/penguin-adventure/3030-15847/,"It's a race to save the penguin princess in this speed-based platformer. Collect fish and trade for items, navigate obstacles, fight massive bosses, and help Pentarou deliver the golden apple to cure the princess in this sequel to Antarctic Adventure.",1986,,http://static.giantbomb.com/uploads/scale_small/0/771/189523-penguin_adventure_1986_konami_0.png,"Action, Adventure",,"Microsoft, Nintendo","MSX, Wii Shop",Konami
Peter Jackson's King Kong: The Official Game of the Movie,http://www.giantbomb.com/peter-jacksons-king-kong-the-official-game-of-the-/3030-9458/,"When the beautiful Ann Darrow is kidnapped by the inhabitants of Skull Island, Jack and his team must fight their way through the island's prehistoric inhabitants and hostile environments, solving puzzles and fending off attackers, all in search of her. But unfortunately for them, so is a giant ape.",2005,2.86,http://static.giantbomb.com/uploads/scale_small/8/87790/2285669-box_kingkong.png,"Action, Adventure",,"Sony, Microsoft, Nintendo, PC","Game Boy Advance, PlayStation Portable, PlayStation 2, Xbox 360, GameCube, Xbox, Nintendo DS, Xbox 360 Games Store, PC","Ubisoft, Ubisoft, Ubisoft"
Peter's Quest: For The Love of Daphne,http://www.giantbomb.com/peters-quest-for-the-love-of-daphne/3030-29042/,An obscure platformer for the Amiga. Players control peter on his quest through 20 levels in which he much collect hearts to save his girlfriend Daphne.,,,http://static.giantbomb.com/uploads/scale_small/0/1099/1170664-pq1.jpg,Platformer,,Commodore,Amiga,
Pinball Quest,http://www.giantbomb.com/pinball-quest/3030-16223/,The only game ever to combine RPG-like character development and.... pinball?!,1989,,http://static.giantbomb.com/uploads/scale_small/9/93770/2362117-nes_pinballquest.jpg,"Adventure, Role-Playing, Pinball",Fantasy,Nintendo,Nintendo Entertainment System,TOSE
Popeye,http://www.giantbomb.com/popeye/3030-14419/,"Every third round, Olive needs rescuing",1982,,http://static.giantbomb.com/uploads/scale_small/9/93770/2362121-nes_popeye_gb.jpg,Action,"Comedy, Comic Book","Commodore, Nintendo, Coleco Industries, Texas Instruments, Mattel, Magnavox, Atari, Arcade","Commodore 64, Nintendo Entertainment System, Atari 8-bit, Atari 2600, ColecoVision, TI-99/4A, Intellivision, Odyssey 2, Atari 5200, Arcade",Nintendo
Power Blade II,http://www.giantbomb.com/power-blade-ii/3030-18596/,,1992,,http://static.giantbomb.com/uploads/scale_small/9/93770/2362126-nes_powerblade2_2.jpg,Action,Sci-Fi,Nintendo,Nintendo Entertainment System,Taito Corporation
Prey,http://www.giantbomb.com/prey/3030-16372/,Aliens turned Tommy's world upside down. It's about time he returned the favor.,2006,3.55,http://static.giantbomb.com/uploads/scale_small/8/87790/2226789-box_prey.png,"Action, Shooter, Shooter",Sci-Fi,"Apple, Microsoft, PC, Zeebo","Mac, Xbox 360, PC, Zeebo","Human Head Studios, Venom Games"
Prince of Persia,http://www.giantbomb.com/prince-of-persia/3030-2561/,Prince of Persia is the original Persian adventure by Jordan Mechner and the first game in a multi-million dollar franchise.,1989,1,http://static.giantbomb.com/uploads/scale_small/0/2891/801317-pop_boxart.jpg,"Platformer, Action, Adventure",Fantasy,"Amstrad, Atari, Commodore, Sinclair Research, Apple, Nintendo, Sega, NEC, PC","Amiga, Game Boy, Game Gear, Genesis, Sega Master System, Super Nintendo Entertainment System, Amstrad CPC, Apple II, Atari ST, Commodore 64, ZX Spectrum, Mac, Nintendo Entertainment System, Sega CD, TurboGrafx-CD, TurboGrafx-16, Game Boy Color, Wii Shop, PC, iPhone, Nintendo 3DS eShop","Red Orb Entertainment, Domark Software, Broderbund Software"
Prince of Persia Classic,http://www.giantbomb.com/prince-of-persia-classic/3030-18940/,"A remake of the first Prince of Persia, the player controls the Prince as he attempts to save the Princess from the evil Vizier Jaffar.",2007,4,http://static.giantbomb.com/uploads/scale_small/1/10831/781328-1.gif,"Action, Puzzle, Platformer",Egyptian,"Microsoft, Sony, Apple, Android","Xbox 360 Games Store, PlayStation Network (PS3), iPhone, Android","Gameloft, Ubisoft"
Protect Me Knight,http://www.giantbomb.com/protect-me-knight/3030-31280/,Choose between four unique classes to protect your princess from invading monster in this Ancient developed 8-bit throwback action game for Xbox Live Indie Games.,2010,4.75,http://static.giantbomb.com/uploads/scale_small/0/5150/1377230-protectme.jpg,Action,"Fantasy, Anime, Medieval",Microsoft,Xbox 360 Games Store,Ancient
Ranger X,http://www.giantbomb.com/ranger-x/3030-1421/,The Homeworld has been invaded by the Edgezone terrorists and it is up to Ranger X to save the day!,1993,,http://static.giantbomb.com/uploads/scale_small/9/97089/2237979-586414_46772_front.jpg,"Action, Shooter","Sci-Fi, Post-Apocalyptic",Sega,Genesis,Nex Entertainment
Raw Danger,http://www.giantbomb.com/raw-danger/3030-18977/,"In 2010, catastrophe strikes the city of Del Ray as the levees that protect the municipality fail and the Cascade Lake begins to drown the city.",2007,5,http://static.giantbomb.com/uploads/scale_small/8/87790/2243875-box_rawdanger.png,"Action, Adventure",,Sony,PlayStation 2,Irem
Ray-Gun,http://www.giantbomb.com/ray-gun/3030-38838/,"An adult RPG about a man named George who travels through six different worlds in order to find his fiancée, who was captured by mechanical beasts called ""Steroids"".",1990,,http://static.giantbomb.com/uploads/scale_small/5/59247/2250644-raygun.jpg,Role-Playing,"Anime, Adult","Microsoft, Sharp, NEC","MSX, Sharp X68000, NEC PC-8801, NEC PC-9801",Elf
Rayman 2: The Great Escape,http://www.giantbomb.com/rayman-2-the-great-escape/3030-609/,Help to repair the damage done to the world and repel an evil pirate invasion in this critically acclaimed platforming adventure.,1999,4,http://static.giantbomb.com/uploads/scale_small/8/87790/1810957-box_rayman2.png,Platformer,"Fantasy, Comedy","Sega, Nintendo, Sony, PC, Apple","PlayStation 2, PlayStation, Dreamcast, Nintendo 64, Nintendo DS, Game Boy Color, PlayStation Network (PS3), PC, iPhone, PlayStation Network (PSP), Nintendo 3DS, PlayStation Network (Vita)","Ubisoft, Gameloft, Ubisoft, Ubisoft, DC Studios"
Red Steel,http://www.giantbomb.com/red-steel/3030-7712/,"Red Steel was one of the initial First Person Shooters available for the Wii at the system's launch, and one of the first games to make significant use of the Wii's motion-sensitive hardware.",2006,2.5,http://static.giantbomb.com/uploads/scale_small/8/87790/2303988-box_rsteel.png,"Action, Shooter",Martial Arts,Nintendo,Wii,Ubisoft
Resident Evil Revival Selection,http://www.giantbomb.com/resident-evil-revival-selection/3030-34552/,A port compilation including HD versions of Resident Evil 4 and Resident Evil Code: Veronica.,2011,,http://static.giantbomb.com/uploads/scale_small/16/160705/2266149-rersboxart.jpg,"Action, Action, Adventure","Horror, Sci-Fi","Microsoft, Sony","Xbox 360, PlayStation 3",Capcom
Rise to Honor,http://www.giantbomb.com/rise-to-honor/3030-13809/,Jet Li stars as police officer Kit Yun as he fights his way from Hong Kong to San Francisco to fulfill a dead man's wish.,2004,2,http://static.giantbomb.com/uploads/scale_small/8/87790/2525193-box_jlroh.png,"Action, Adventure",Martial Arts,Sony,PlayStation 2,Sony
Rocket Ranger,http://www.giantbomb.com/rocket-ranger/3030-4233/,Don your jetpack and take the fight to the surprisingly Nazi-like aliens who have invaded the Earth in this 1988 NES classic.,1988,,http://static.giantbomb.com/uploads/scale_small/9/93770/2362162-nes_rocketranger.jpg,"Action, Adventure","Alternate Historical, Superhero","Apple, Atari, Commodore, Nintendo, PC","Amiga, Atari ST, Commodore 64, Nintendo Entertainment System, Apple IIgs, PC",Cinemaware
Rocky Rodent,http://www.giantbomb.com/rocky-rodent/3030-11083/,"Like a combination of Sonic the Hedgehog and the Tazmanian Devil, Rocky Rodent is another drop in the ""Mascots with Attitude"" bucket.",1993,,http://static.giantbomb.com/uploads/scale_small/9/93770/2364641-snes_rockyrodent.jpg,"Action, Platformer","Comedy, Steampunk, Crime",Nintendo,Super Nintendo Entertainment System,Irem
Rygar: The Legendary Adventure,http://www.giantbomb.com/rygar-the-legendary-adventure/3030-14034/,A 3D character action game for the PS2 that reimagines the 2D sidescroller Rygar.,2002,,http://static.giantbomb.com/uploads/scale_small/8/87790/2367523-box_rygar.png,"Action, Action, Adventure",Fantasy,Sony,"PlayStation 2, PlayStation Network (PS3)",Tecmo
Samurai Warrior: The Battles of Usagi Yojimbo,http://www.giantbomb.com/samurai-warrior-the-battles-of-usagi-yojimbo/3030-7421/,Samurai Warrior was a computer game based on the Usagi Yojimbo comic book.,1988,,http://static.giantbomb.com/uploads/scale_small/16/164924/2482491-usagi.jpg,"Action, Adventure",Alternate Historical,"Amstrad, Commodore, Sinclair Research","Amstrad CPC, Commodore 64, ZX Spectrum, Amstrad CPC, Commodore 64, ZX Spectrum",Krome Studios Melbourne
Shadow Complex,http://www.giantbomb.com/shadow-complex/3030-26706/,"A modern expansion of the Metroidvania concept, Shadow Complex is a downloadable side-scrolling action-adventure platformer (for the Xbox 360) set in the near future, where reluctant hero Jason Fleming must investigate a mysterious and dangerous organization to rescue his new girlfriend.",2009,4.67,http://static.giantbomb.com/uploads/scale_small/1/13158/1087721-gb.png,"Action, Shooter",Sci-Fi,Microsoft,Xbox 360 Games Store,"Epic Games, Chair Entertainment"
Shadow of the Beast II,http://www.giantbomb.com/shadow-of-the-beast-ii/3030-14076/,,1990,,http://static.giantbomb.com/uploads/scale_small/7/73970/1250134-shadowofthebeast2_amiga.jpg,"Action, Puzzle, Platformer",Fantasy,"Commodore, Sega, Atari, Fujitsu","Amiga, Genesis, Atari ST, Sega CD, FM Towns",Ubisoft
Shadows of the Damned,http://www.giantbomb.com/shadows-of-the-damned/3030-32684/,"As demon hunter Garcia ""F**king"" Hotspur, players must venture into Hell itself in order to rescue Paula, Garcia's innocent girlfriend, from the sadistic torments of Fleming, the Lord of Demons.",2011,3.96,http://static.giantbomb.com/uploads/scale_small/8/87790/2080544-box_sotd.png,Shooter,"Horror, Comedy","Microsoft, Sony","Xbox 360, PlayStation 3","Grasshopper Manufacture, DIGITAL Hearts Co."
Shalom: Knightmare III,http://www.giantbomb.com/shalom-knightmare-iii/3030-3124/,A fantasy adventure game where a regular college student is drawn into the world of Konami's Knightmare series.,1987,,http://static.giantbomb.com/uploads/scale_small/13/137417/2350229-55232.jpg,Adventure,Fantasy,Microsoft,MSX,Konami
Sheriff,http://www.giantbomb.com/sheriff/3030-27792/,"1979 arcade shooter by Nintendo where the player must fight sixteen surrounding desperadoes. A precursor to Donkey Kong, it was designed by Genyo Takeda, with assistance from Shigeru Miyamoto, working on his first video game. Possibly the first run &amp; gun shooter, it also introduced the damsel-in-distress trope to gaming as well as continuous background music.",1979,,http://static.giantbomb.com/uploads/scale_small/0/7667/1103485-slide04.jpg,"Action, Shooter, Shooter, Shoot 'Em Up",Western,Arcade,Arcade,Nintendo
Shining Force II,http://www.giantbomb.com/shining-force-ii/3030-14528/,"The demon lord Zeon has been set free by an unwitting thief. It is the job of Bowie, a young hero from the Kingdom of Granseal, to lead the Shining Force to victory in this Tactical RPG from Sega.",1993,,http://static.giantbomb.com/uploads/scale_small/8/87790/2525246-box_sforce2.png,"Strategy, Role-Playing",Fantasy,"Sega, Nintendo, PC","Genesis, Wii Shop, PC",Camelot Software Planning
Sid Meier's Pirates!,http://www.giantbomb.com/sid-meiers-pirates/3030-16331/,"Remake of the original Sid Meier's pirates, placing you in the role of a pirate searching for his kidnapped family. Battle rival pirates on the high seas and command an ever-growing crew of pirates as you work towards becoming a legendary pirate.",2004,4.5,http://static.giantbomb.com/uploads/scale_small/8/87790/2345922-box_smpirates.png,"Strategy, Role-Playing, Simulation, Real-Time Strategy, Action, Adventure","Dating, Crime, Aquatic","Apple, Sony, Microsoft, Nintendo, PC","Mac, PlayStation Portable, Xbox, Wii, PC, iPhone, iPad, Windows Phone","Firaxis Games, Full Fat Productions, Virtuos"
Sideway: New York,http://www.giantbomb.com/sideway-new-york/3030-32852/,A platform adventure game for the PlayStation Network and PC.,2011,3,http://static.giantbomb.com/uploads/scale_small/9/93770/2261572-sideway_new_york.jpg,"Adventure, Platformer",,"Sony, PC","PlayStation Network (PS3), PC","Playbrains, Fuel Industries"
Silver,http://www.giantbomb.com/silver/3030-7749/,"Step into the shoes of the young hero David to rescue the abducted women of Jarrah, including David's wife, Jennifer, from the evil fangs of the malicious sorcerer known as Silver.",1999,3,http://static.giantbomb.com/uploads/scale_small/0/9778/2206322-sega_dreamcast_silver.jpg,"Action, Role-Playing",Fantasy,"Apple, Sega, PC","Mac, Dreamcast, PC",Spiral House
Skate or Die: Bad 'N Rad,http://www.giantbomb.com/skate-or-die-bad-n-rad/3030-5589/,A skateboarding game released for the original Game Boy that featured side-scrolling/top-down platforming action.,1990,,http://static.giantbomb.com/uploads/scale_small/10/103881/2181146-cover.jpg,"Action, Skateboarding, Platformer",,Nintendo,Game Boy,Konami
Smart Ball,http://www.giantbomb.com/smart-ball/3030-21634/,A simple SNES platform game in which the player has been transformed into a blue ball and must embark on a journey to stop an evil witch.,1991,,http://static.giantbomb.com/uploads/scale_small/0/8113/216004-smart_ball.jpg,Platformer,Fantasy,Nintendo,Super Nintendo Entertainment System,"Game Freak, System Sacom"
Smurf: Rescue in Gargamel's Castle,http://www.giantbomb.com/smurf-rescue-in-gargamels-castle/3030-19373/,Smurf: Rescue in Gargamel's castle puts eveyone's favorite Belgium woodland creature in a daring adventure where he must jump over fences in search of Smurfette.,1982,,http://static.giantbomb.com/uploads/scale_small/0/40/11888-smurfs.jpg,Action,,"Atari, Coleco Industries","Atari 2600, ColecoVision",Coleco
Sonic Blast Man,http://www.giantbomb.com/sonic-blast-man/3030-2840/,A superhero brawler franchise developed by Taito for the Arcades before moving to the SNES.,1992,,http://static.giantbomb.com/uploads/scale_small/9/93770/2364763-snes_sonicblastman.jpg,"Action, Brawler",Superhero,"Nintendo, Arcade","Super Nintendo Entertainment System, Arcade","Taito Corporation, ITL"
Sonic CD,http://www.giantbomb.com/sonic-cd/3030-14433/,"Sonic the Hedgehog's sole adventure for the Sega CD, as he travels through time to save the fate of Little Planet from Dr. Robotnik's army of robots (including Sonic's new adversary: his metallic doppelganger).",1993,4.33,http://static.giantbomb.com/uploads/scale_small/0/1486/2078290-soniccd_brighterandcleaner.png,"Action, Platformer","Fantasy, Sci-Fi, Anime, Post-Apocalyptic","Sega, Microsoft, Sony, PC, Apple, Android, Ouya","Sega CD, Xbox 360 Games Store, PlayStation Network (PS3), PC, iPhone, iPad, Android, Windows Phone, Ouya","Sonic Team, BlitWorks"
Space Ace,http://www.giantbomb.com/space-ace/3030-463/,"A Laserdisc-based animated reaction game. Space Ace must save his girlfriend, Kimberly from the evil alien, Borf in this follow up to Dragon's Lair.",1984,,http://static.giantbomb.com/uploads/scale_small/11/117445/1654787-space_ace_.jpg,Adventure,,"Commodore, 3DO, Phillips, Atari, Sega, Arcade, Sony, PC, Apple, Nintendo, RDI Video Systems","Amiga, Super Nintendo Entertainment System, Atari ST, Commodore 64, 3DO, CD-i, Jaguar, Sega CD, Wii, Arcade, PlayStation Network (PS3), PC, iPhone, DSiWare, RDI Halcyon","Probe Entertainment, RDI Video Systems"
Sparkster,http://www.giantbomb.com/sparkster/3030-19920/,Sort of a spin-off game to the Genesis game known as Rocket Knight Adventures. A Genesis game was released at the same time but was a more direct sequel.,1994,,http://static.giantbomb.com/uploads/scale_small/9/93770/2364768-snes_sparkster_2.jpg,"Action, Platformer",Fantasy,Nintendo,Super Nintendo Entertainment System,Konami
Spelunky,http://www.giantbomb.com/spelunky/3030-24999/,"As a brave, but fragile adventurer, explore dangerous procedurally-generated caves to collect treasure and gain better equipment, before dying horribly and starting all over again.",2009,4.73,http://static.giantbomb.com/uploads/scale_small/9/93770/2288493-spelunky.png,"Puzzle, Platformer, Action, Adventure","Sci-Fi, Mayan","Microsoft, Sony, PC","Xbox 360 Games Store, PlayStation Network (PS3), PC, PlayStation Network (Vita), PlayStation 4","Mossmouth, BlitWorks"
Spider-Man: The Movie,http://www.giantbomb.com/spider-man-the-movie/3030-8322/,A game based on Marvel's superhero and on the first movie of the Spider-Man franchise. It also featured many villains that did not appear in the movie.,2002,,http://static.giantbomb.com/uploads/scale_small/8/87790/2280510-box_sman.png,"Action, Adventure","Crime, Superhero","Sony, Microsoft, Nintendo, PC","Game Boy Advance, PlayStation 2, GameCube, Xbox, PC","Digital Eclipse Software, Treyarch, Westlake Interactive"
Spinmaster,http://www.giantbomb.com/spinmaster/3030-10031/,,1994,,http://static.giantbomb.com/uploads/scale_small/1/17172/1083066-spin_001.jpg,"Action, Platformer",Fantasy,"SNK, Arcade, Nintendo, Zeebo","Neo Geo, Arcade, Wii Shop, Zeebo",Data East
Splatterhouse,http://www.giantbomb.com/splatterhouse/3030-22968/,"Splatterhouse revisits Rick Taylor as he tries to rescue his girlfriend Jennifer from the evil clutches of Dr. West. In the process, he must battle against evil beings known as the ""Corrupted"" in bloody and brutal combat.",2010,3.08,http://static.giantbomb.com/uploads/scale_small/8/87790/1886626-box_shouse.png,"Action, Brawler","Horror, Sci-Fi, Comedy","Microsoft, Sony","Xbox 360, PlayStation 3","Bandai Namco Games, Bottlerocket Entertainment"
Sqrxz III,http://www.giantbomb.com/sqrxz-iii/3030-44490/,Sqrxz must rescue his girlfriend from the forces of evil in this third outing from Retroguru.,2011,,http://static.giantbomb.com/uploads/scale_small/16/164924/2570119-5033957890-sqrxz.png,Platformer,,"Commodore, Apple, Sega, PC, GamePark, Linux","Amiga, Mac, Dreamcast, PC, GamePark 32, Linux",Retroguru
Star Fox Adventures,http://www.giantbomb.com/star-fox-adventures/3030-19026/,"Rare's last game for a major Nintendo console, Star Fox Adventures is a spin-off action-adventure game (in the Star Fox series of shooters) starring Fox McCloud, who must find a way to save the aptly-named Dinosaur Planet from destruction.",2002,3.44,http://static.giantbomb.com/uploads/scale_small/8/87790/1806119-box_sfoxa.png,"Action, Adventure, Shooter, Flight Simulator","Fantasy, Sci-Fi",Nintendo,GameCube,Rare
Super Ghouls 'N Ghosts,http://www.giantbomb.com/super-ghouls-n-ghosts/3030-7450/,"Sequel to the classic action-platformer Ghouls 'N Ghosts, once again sending Arthur on a brutally difficult quest.",1991,4,http://static.giantbomb.com/uploads/scale_small/9/93770/2364818-snes_superghoulsnghosts.jpg,"Action, Platformer","Horror, Fantasy, Sci-Fi","Sony, Sega, Nintendo","Game Boy Advance, Super Nintendo Entertainment System, PlayStation, Saturn, Wii Shop",Capcom
Super Mario 64 DS,http://www.giantbomb.com/super-mario-64-ds/3030-8942/,"A remake of the original Nintendo 64 classic, Super Mario 64 DS adds 30 new stars, three new playable characters and 36 mini-games utilizing the touch screen.",2004,3.86,http://static.giantbomb.com/uploads/scale_small/8/87790/1839039-box_sm64ds.png,"Minigame Collection, Platformer, Action, Adventure",Fantasy,Nintendo,Nintendo DS,Nintendo
Super Mario Bros.,http://www.giantbomb.com/super-mario-bros/3030-15544/,"Focusing on a humble plumber and his brother setting out to rescue a Princess who has been kidnapped by a vile lizard king, Super Mario Bros. is a platformer created by Shigeru Miyamoto, published by Nintendo, and is one of the best selling video games of all time.",1985,4.73,http://static.giantbomb.com/uploads/scale_small/9/93770/2362267-nes_supermariobros.jpg,Platformer,Fantasy,Nintendo,"Game Boy Advance, Nintendo Entertainment System, Wii Shop, Famicom Disk System, Nintendo 3DS eShop, Wii U","Nintendo, SRD"
Super Mario Bros. 3: Super Mario Advance 4,http://www.giantbomb.com/super-mario-bros-3-super-mario-advance-4/3030-20748/,Super Mario Advance 4 is the Game Boy Advance remake of Super Mario Bros. 3 on the NES.,2003,5,http://static.giantbomb.com/uploads/scale_small/0/775/215281-589393_24375_front.jpg,"Adventure, Platformer",Fantasy,Nintendo,Game Boy Advance,Nintendo
Super Mario Land,http://www.giantbomb.com/super-mario-land/3030-19834/,Princess Daisy of Sarasaland has been kidnapped by the evil alien Tatanga and it's up to Mario to rescue her in this handheld platformer (and launch title) for the original Game Boy.,1989,3.6,http://static.giantbomb.com/uploads/scale_small/8/87790/2269418-box_sml.png,"Platformer, Shoot 'Em Up","Fantasy, Egyptian",Nintendo,"Game Boy, Nintendo 3DS eShop",Nintendo
Super Mario RPG: Legend of the Seven Stars,http://www.giantbomb.com/super-mario-rpg-legend-of-the-seven-stars/3030-7358/,Join Mario in his first RPG adventure! Explore new and previously unseen areas of the Mushroom Kingdom on a quest to stop the mechanical Smithy on a path of conquest in this collaboration between Square and Nintendo.,1996,4.91,http://static.giantbomb.com/uploads/scale_small/9/93770/2364832-snes_supermariorpg_2.jpg,"Adventure, Role-Playing",Fantasy,Nintendo,"Super Nintendo Entertainment System, Wii Shop","Squaresoft, Square Enix"
Super Mario Sunshine,http://www.giantbomb.com/super-mario-sunshine/3030-6649/,"Peach, as usual...",2002,4.14,http://static.giantbomb.com/uploads/scale_small/8/82063/2609772-smsclean.jpg,"Platformer, Action, Adventure",Fantasy,Nintendo,GameCube,Nintendo
Super Meat Boy,http://www.giantbomb.com/super-meat-boy/3030-25114/,"When his beloved Bandage Girl is kidnapped by the evil Dr. Fetus, the diminutive yet plucky Meat Boy springs into action!",2010,4.61,http://static.giantbomb.com/uploads/scale_small/8/87790/1633133-box_supermeatboy.png,Platformer,Comedy,"Apple, Microsoft, PC, Linux","Mac, Xbox 360, PC, Linux",Team Meat
