Facility,Duplicates note,Owner / Operator of Facility,Address,State,Coordinates,Total Penalties,Last Penalty Amount,Clean Air Act Compliance,Clean Water Act Compliance,Resource Conservation and Recovery Act Compliance,Safe Drinking Water Act Compliance,Significant Noncompliance,Quarters in Noncompliance
Invista S.A.R.L. - Seaford Plant,,Invista S.A.R.L.,"400 Woodland RoadSeaford, De 19973",Delaware,"38.63486842000049, -75.62534367099965","$650,000","$650,000",No Violation,"Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",No Violation,,Yes,8
Invista S.A.R.L. - Waynesboro Facility,,Invista S.A.R.L.,"400 Du Pont BoulevardWaynesboro, Va 22980",Virginia,"38.064790308000454, -78.88174281799968","$650,000","$650,000",No Violation,Noncompliance,No Violation,,No,4
Jackson Publiclty Owned Trearment Works,,City of Jackson,"Franklin D Roosevelt Drive WJackson, Ms 39213",Mississippi,"32.36965039000046, -90.26543516899966","$460,716","$437,916",,Noncompliance,,,No,6
Jaguas & Pesas Filter Plant,,Puerto Rico Aqueduct and Sewer Authority,"State Road # 615 Km 4.2Ciales, Pr 00638",Puerto Rico,"18.336356259000468, -66.46923155399963","$1,024,427","$1,024,427",,Noncompliance,,,No,12
Jamaica Water Pollution Control Plant,,City of New York City,"150-20 134th StJamaica, Ny 11430",New York,"40.66299480100048, -73.80678018599963","$340,000","$100,000",No Violation,Noncompliance,No Violation,,No,12
Jeffrey Energy Center,,Westar Energy,"25905 Jeffrey RoadSaint Marys, Ks 66536",Kansas,"39.281873058000485, -96.11338831799969","$3,000,000","$3,000,000",No Violation,"Significant Noncompliance Category I, Effluent violations of monthly average limits",No Violation,,Yes,8
Jeld-Wen,,Jeld-Wen,"100 Henry Mccall RoadMarion, Nc 28752",North Carolina,"35.662489389000484, -82.10092001199968","$426,782",$242,"Addressed Violation, EPA Lead Enforcement",Unknown,No Violation,,Yes,12
Jerome Cheese,,Jerome Cheese,"547 W Nez PerceJerome, Id 83338",Idaho,"42.70958675500049, -114.52714003999972","$304,000","$304,000",No Violation,Noncompliance,No Violation,,No,12
Jupiter Aluminum,,Jupiter Aluminum,"1745 165th St.Hammond, In 46320",Indiana,"41.595737915000484, -87.48688984099965","$2,000,000","$2,000,000","Unaddressed Violation, State/Local Lead Enforcement",,No Violation,,Yes,12
Kailua Regional Wastewater Treatment Plant - Digester Covers Project,,City of Charleston,"95 Kaneohe Bay DriveKailua, Hi 96734",Hawaii,"21.426942550000433, -157.75383229899975","$2,550,000","$2,550,000",,Noncompliance,,,No,12
"Kc, Westside Wastewater Treatment Plant",,City of Kansas City,"1849 Woodswether RoadKansas City, Mo 64105",Missouri,"39.1097041000005, -94.60671244999969","$600,000","$600,000",,"Significant Noncompliance Category I, Compliance schedule reporting violation",,,Yes,12
Kellogg's,,Kellogg's,"425 Porter StreetBattle Creek, Mi 49014",Michigan,"42.317070155000465, -85.14902834599968","$500,000","$500,000","Addressed Violation, EPA Lead Enforcement",,No Violation,,Yes,12
Kellogg's - Morning Foods Grand Rapids Bakery,,Kellogg's,"310 28th St.Grand Rapids, Mi 49548",Michigan,"42.91284212000045, -85.65875095399969","$500,000","$500,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
LaFarge - Aggregates & Concrete,,LaFarge,"1000 S StFrederick, Md 21704",Maryland,"39.402243849000456, -77.39257507299965","$307,112","$307,112",No Violation,Noncompliance,,,No,11
LaFarge - Medford Quarry,,LaFarge,"1111 Medford RoadNew Windsor, Md 21776",Maryland,"39.547953400000495, -77.05382485999968","$307,112","$307,112",No Violation,Noncompliance,No Violation,,No,11
"LaFarge - Midwest,  Joppa Plant",,LaFarge,"2500 Portland RdGrand Chain, Il 62941",Illinois,"37.23124237000047, -88.87619884299966","$1,460,942","$1,460,942","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
"LaFarge - North America, Seattle",,LaFarge,"5400 West Marginal Way SouthwestSeattle, Wa 98106",Washington,"47.554714925000496, -122.34792247199971","$315,481","$315,481","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
"LaFarge - North America, Whitehall Plant",,LaFarge,"5160 Main St.Whitehall, Pa 18052",Pennsylvania,"40.68940489200048, -75.50715968699967","$323,741","$8,260","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Lares 4.0 MDG Filtration Plant,,Puerto Rico Aqueduct and Sewer Authority,"State Road Rp-124, Km. 7.9, Espino WardLares, Pr 00000",Puerto Rico,"18.29824998400045, -66.87340999299965","$1,024,427","$1,024,427",,Noncompliance,,,No,12
Lee Lake Water District Wastewater Treatment Plant,,Lee Lake Water District,"22646 Temescal Canyon RdCorona, Ca 92883",California,"33.78994251600045, -117.4955409699997","$336,000","$336,000",,Noncompliance,,No Violation,No,9
Leon Creek Water Recycling Center,,San Antonio Water System,"1104 Mauerman RoadSan Antonio, Tx 78224",Texas,"29.28385330900045, -98.52108058299967","$2,600,000","$2,600,000",,Noncompliance,,,No,11
Lewisburg STP,,City of Lewisburg,"100 Water StreetLewisburg, Tn 37091",Tennessee,"35.45096813700047, -86.78790877799969","$332,500","$332,500",,Noncompliance,,,No,12
Lifoam Industries,,Lifoam Industries,"2340 E 52nd StLos Angeles, Ca 90058",California,"33.995183358000475, -118.23136918499972","$450,000","$450,000","Addressed Violation, EPA Lead Enforcement",,,,Yes,12
Lilly Technology Center,,Eli Lilly and Company,"1200 Kentucky Ave.Indianapolis, In 46221",Indiana,"39.752557725000486, -86.17757877399964","$337,500","$337,500",No Violation,Noncompliance,Noncompliance,,No,6
Lima Refining,,Lima Refining,"1150 South Metcalf StreetLima, Oh 45804",Ohio,"40.72211010600046, -84.11332671599968","$516,084","$130,084","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Lion Oil,,Lion Oil,"1000 MchenryEl Dorado, Ar 71730",Arkansas,"33.20143052800046, -92.6736096629997","$504,500","$504,000","Addressed Violation, EPA Lead Enforcement","Significant Noncompliance Category I, Effluent violations of monthly average limits",No Violation,,Yes,12
Live Oak Wastewater Treatment Plant,,City of Live Oak,"3450 Treatment Plant RoadLive Oak, Ca 95953",California,"39.266607412000496, -121.66556908399969","$1,302,000","$288,000",,Noncompliance,,,No,11
Lone Mountain Processing,,Arch Coal,"24367 Highway 38Holmes Mill, Ky 40843",Kentucky,"36.872353864000445, -82.95714643399964","$826,667","$826,667",,Noncompliance,,,No,2
Los Coyotes Water Reclamation Plant,,Los Angeles County,"16515 Piuma AvenueCerritos, Ca 90703",California,"33.88247937300048, -118.10459212399968","$312,000","$312,000",,Noncompliance,No Violation,,No,12
Los Filtros Filtration Plant,,Puerto Rico Aqueduct and Sewer Authority,"Carr. 833, Km 14.8Guaynabo, Pr 00965",Puerto Rico,"18.428979982000442, -66.11146000199966","$1,119,427","$1,024,427",,Noncompliance,No Violation,,No,12
Lucas Waste Water Treatment Plant,,City of Shreveport,"11301 East Kings HighwayShreveport, La 71115",Louisiana,"32.40081897400046, -93.6912350129997","$650,000","$650,000",,Noncompliance,No Violation,,No,9
Luminous Recycling,,Luminous Recycling,"5301 Peoria St Unit ADenver, Co 80239",Colorado,"39.7933605930005, -104.84725639099969","$570,000","$285,000",,,Significant Violation,,Yes,5
Luquillo Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 983, Km 6.2Luquillo, Pr 00773",Puerto Rico,"18.37471958900045, -65.71549031499961","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
LWD Industrial Parkway,,LWD Industrial Parkway,"2475 Industrial ParkwayCalvert City, Ky 42029",Kentucky,"37.0462859270005, -88.32555795599967","$785,714","$785,714",,,Significant Violation,,Yes,12
Marathon Petroleum - Illinois Refining Div,,Marathon Petroleum,"100 Marathon AvenueRobinson, Il 62454",Illinois,"39.00585173900049, -87.72618130899968","$4,234,000","$4,004,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Marathon Petroleum - Michigan Refining Division,,Marathon Petroleum,"1300 S Fort StDetroit, Mi 48217",Michigan,"42.280878921000465, -83.15170605899965","$4,234,000","$4,004,000","Unaddressed Violation, State/Local Lead Enforcement",,No Violation,,Yes,12
Marathon Petroleum - Ohio Refining Div,,Marathon Petroleum,"2408 Gambrinus Rd. S.W.Canton, Oh 44706",Ohio,"40.770388410000464, -81.41839420499969","$4,234,000","$4,004,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Marisco,,Marisco,"91-607 Malakole RdKapolei, Hi 96707",Hawaii,"21.319187895000425, -158.11593589399973","$859,250","$710,000",,Noncompliance,No Violation,,No,12
Maynard C. Stiles,,Maynard C. Stiles,"2303 North SecondMemphis, Tn 38127",Tennessee,"35.18891031500044, -90.04615662999964","$1,290,000","$1,290,000",No Violation,Noncompliance,No Violation,,No,12
Medio Creek Water Recycling Center,,San Antonio Water System,"9500 Adams Hill DriveSan Antonio, Tx 78245",Texas,"29.409323414000482, -98.67090059799966","$2,646,000","$2,600,000",,Noncompliance,,,No,9
Memphis T. E. Maxson Wastewater Treatment Plant,,City of Memphis,"2685 Steam Plant RoadMemphis, Tn 38109",Tennessee,"35.069366422000485, -90.13211199399967","$1,290,000","$1,290,000",No Violation,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",No Violation,,Yes,11
Merck Sharp & Dohme,,Merck Sharp & Dohme,"770 Sumneytown PikeWest Point, Pa 19486",Pennsylvania,"40.207887679000464, -75.29746921999964","$1,500,000","$1,500,000",Noncompliance,No Violation,No Violation,,No,12
Metropolitan Bus Authority,,Puerto Rico Metropolitan Bus Authority,"Jose De Diego Avenue No. 37Urb San Francisco, Pr 00927",Puerto Rico,"18.38095747300042, -66.07957862999962","$1,200,000","$1,200,000",,,Noncompliance,,No,12
Metropolitan Sewer District - Lemay Wastewater Treatment Plant,,Metropolitan St. Louis Sewer District,"201 Hoffmeister AvenueSaint Louis, Mo 63125",Missouri,"38.533481845000495, -90.27536709799966","$1,200,000","$1,200,000",No Violation,"Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",No Violation,,Yes,12
Metropolitan Sewer District - Little Miami Wastewater Plant,,Metropolitan St. Louis Sewer District,"225 Wilmer AvenueCincinnati, Oh 45226",Ohio,"39.10242706600047, -84.43193033299968","$1,200,000","$1,200,000",No Violation,No Violation,Noncompliance,,No,6
Metropolitan Water Reclamation District of Greater Chicago,,Metropolitan Water Reclamation District of Greater Chicago,"400 East 130th StreetChicago, Il 60628",Illinois,"41.65913985800046, -87.61316288999967","$675,000","$675,000",No Violation,Noncompliance,No Violation,,No,6
Metropolitan Water Reclamation District of Greater Chicago - Kirie Water Reclamation Plant,,Metropolitan Water Reclamation District of Greater Chicago,"701 West Oakton StreetDes Plaines, Il 60018",Illinois,"42.02274226700047, -87.93524951399968","$675,000","$675,000",No Violation,Noncompliance,No Violation,,No,11
Metropolitan Water Reclamation District of Greater Chicago - Lemont,,Metropolitan Water Reclamation District of Greater Chicago,"13 Stephen StLemont, Il 60439",Illinois,"41.67737442600048, -88.00012294599969","$675,000","$675,000",Unknown,Noncompliance,,,No,8
Metropolitan Water Reclamation District of Greater Chicago - Northside Water Recycling Plant,,Metropolitan Water Reclamation District of Greater Chicago,"3500 West Howard StreetSkokie, Il 60076",Illinois,"42.01909825500047, -87.71639790899968","$675,000","$675,000",No Violation,Noncompliance,No Violation,,No,10
Millbury Resource Recovery Facility,,Wheelabrator,"331 Southwest CutoffMillbury, Ma 01527",Massachusetts,"42.211681857000485, -71.78549586699967","$2,000,000","$2,000,000",No Violation,,Significant Violation,,Yes,12
Miradero-Mayaguez Filtration Plant,,Puerto Rico Aqueduct and Sewer Authority,"Carr 108 Km 2.8Mayaguez, Pr 00680",Puerto Rico,"18.223669174000463, -67.14114001299964","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",No Violation,Noncompliance,Yes,12
Missouri River Wastewater Treatment Plant,,Metropolitan St. Louis Sewer District,"3455 Creve Coeur Mill RoadSaint Louis, Mo 63146",Missouri,"38.73074436100046, -90.48369501099967","$1,200,000","$1,200,000",No Violation,Noncompliance,No Violation,,No,12
"Mobil Oil - Guam, Cabras Island Terminal",,Mobil Oil,"1189 Cabras HighwayHagatna, Gu 96932",Guam,"13.4631679,144.6676164","$2,403,443","$2,403,443","Addressed Violation, EPA Lead Enforcement",Noncompliance,,,Yes,12
Moccasin Bend Wastewater Treatment Plant,,City of Chattanooga,"455 Moccasin Bend RoadChattanooga, Tn 37405",Tennessee,"35.05046929800045, -85.33348299799968","$478,320","$476,400",No Violation,Noncompliance,No Violation,,No,12
Morovis Sur Filtration Plant,,Puerto Rico Aqueduct and Sewer Authority,"State Road 618, Km 0.3Morovis, Pr 00687",Puerto Rico,"18.32602426200043, -66.40736446999966","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Moyer Packing Beef & Rendering Facility,,Moyer Packing,"741 Souder RoadSouderton, Pa 18964",Pennsylvania,"40.2794831650005, -75.34428126499967","$1,928,446","$6,882",No Violation,Noncompliance,No Violation,,No,11
MTA Long Island Bus Rockville Centre Depot,,MTA Long Island Bus,"50 Banks AvenueRockville Centre, Ny 11570",New York,"40.6584899610005, -73.65084896199966","$400,000","$400,000",,No Violation,Noncompliance,,No,12
Murphy Oil - Superior Refinery,,Murphy Oil,"2407 Stinson AveSuperior, Wi 54880",Wisconsin,"46.69135425100046, -92.06655068299966","$367,188","$367,188",No Violation,Noncompliance,No Violation,,No,7
Nassau County Department Of Public Works,,Nassau County,"Foot Of 4th AvenueEast Rockaway, Ny 11518",New York,"40.641597438000474, -73.66605869499966","$1,000,000","$1,000,000",Noncompliance,Noncompliance,No Violation,,No,12
National Cooperative Refinery,,National Cooperative Refinery,"1391 Iron Horse RoadMcpherson, Ks 67460",Kansas,"38.34772280800047, -97.66869047999967","$803,146","$700,046","Addressed Violation, EPA Lead Enforcement",Unknown,No Violation,,Yes,12
Native Chemicals,,Native Chemicals,"Carr 718 Km 0.9 Bo Pasto Sector CardinAibonito, Pr 00705",Puerto Rico,"18.11399488100045, -66.26035044399964","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,Noncompliance,Yes,12
Navajo Refining,,Navajo Refining,"501 East Main StreetArtesia, Nm 88210",New Mexico,"32.84258843000049, -104.39153315699969","$747,279","$54,375","Addressed Violation, State/Local Lead Enforcement",,Significant Violation,,Yes,12
Nebraska By Products,,Nebraska By-Products,"1208 E. WalnutLexington, Ne 68850",Nebraska,"40.77215329900048, -99.72666921999968","$1,142,937",,,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,11
Negros-Corozal Filtration Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr-159 Km 11.5Corozal, Pr 00783",Puerto Rico,"18.330765632000464, -66.33306314299966","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
New York City Department of Environmental Protection - Bowery Bay Water Pollution Control Plant,,City of New York City,"43-10 Berrian BlvdAstoria, Ny 11105",New York,"40.77854309500049, -73.89482941499966","$340,000","$100,000",,Noncompliance,,,No,12
New York City Department of Environmental Protection - Red Hook Water Pollution Control Plant,,City of New York City,"Marshall Street And Little StreetBrooklyn, Ny 11205",New York,"40.693007543000476, -73.96587710899968","$340,000","$100,000",,Noncompliance,,,No,12
New York City Department of Environmental Protection - Rockaway Water Pollution Control Plant,,City of New York City,"Beach Channel Dr &amp; 106th StRockaway Park, Ny 11694",New York,"40.57824725800049, -73.84318718899965","$340,000","$100,000",,Noncompliance,No Violation,,No,12
Newtown Creek Wastewater Treatment Plant,,City of New York City,"329-69 Greenpoint AvenueBrooklyn, Ny 11222",New York,"40.731493282000486, -73.94629681699968","$29,331,686","$100,000",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",No Violation,,Yes,12
NIPSCO - Bailly Generating Station,,NIPSCO,"246 Bailly Station RoadChesterton, In 46304",Indiana,"41.6298089440005, -87.09220957899964","$3,500,000","$3,500,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
NIPSCO - Dean H. Mitchell Generating Station,,NIPSCO,"1 North Clark RoadGary, In 46401",Indiana,"41.60981079600049, -87.39426507999968","$3,500,000","$3,500,000",No Violation,Noncompliance,No Violation,,No,3
NIPSCO - Michigan City Generating Station,,NIPSCO,"101 Wabash StMichigan City, In 46360",Indiana,"41.71972574200049, -86.90650162199967","$3,500,000","$3,500,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
NIPSCO - Rollin M Schahfer Generating Station,,NIPSCO,"2723 E 1500 NWheatfield, In 46392",Indiana,"41.230063585000494, -87.01024155499965","$3,500,000","$3,500,000","Addressed Violation, EPA Lead Enforcement","Significant Noncompliance Category I, Effluent violations of monthly average limits",No Violation,,Yes,12
North District Wastewater Treatment Plant,,Miami-Dade County,"2575 Ne 151st StNorth Miami Beach, Fl 33160",Florida,"25.915676008000446, -80.14728673399964","$978,100","$978,100",No Violation,Noncompliance,No Violation,,No,6
North River Water Pollution Control Plant,,City of New York City,"135th Street &amp; 12th AvenueNew York, Ny 10031",New York,"40.824969705000456, -73.94892724299967","$642,000","$100,000","Addressed Violation, State/Local Lead Enforcement",Noncompliance,Noncompliance,,Yes,12
Owens Brockway Glass Container,,Owens Brockway Glass Container,"York & Shawnee StreetMuskogee, Ok 74403",Oklahoma,"35.72600581600045, -95.33599586999969","$913,111","$913,111","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Owens Brockway Glass Container - Plant 15,,Owens Brockway Glass Container,"5220 Beverly Dr.Waco, Tx 76711",Texas,"31.510121541000444, -97.17022010799968","$913,111","$913,111","Addressed Violation, EPA Lead Enforcement",,No Violation,,Yes,12
Owens Brockway Glass Container - Plant 23,,Owens Brockway Glass Container,"2901 To 2923 Fruitland AvenueVernon, Ca 90058",California,"33.99647133500048, -118.21780143899969","$453,000","$453,000","Unaddressed Violation, State/Local Lead Enforcement",Noncompliance,No Violation,,Yes,11
Owls Head Water Pollution Control Plant,,City of New York City,"6700 Shore RoadBrooklyn, Ny 11220",New York,"40.63985766200045, -74.03555868199965","$642,000","$100,000",No Violation,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",No Violation,,Yes,12
PCS Nitrogen Facility,,PotashCorp,"1900 Fort Amanda RoadLima, Oh 45804",Ohio,"40.71568430600047, -84.13724460199967","$1,178,853","$1,150,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Placid Refining Company,,Placid Refining Company,"1940 North Louisiana Highway 1Port Allen, La 70767",Louisiana,"30.475775072000488, -91.21127387799964","$679,000","$675,000",Noncompliance,Noncompliance,No Violation,,No,10
Pole Bridge Alternative Waste Treatment Facility,,DeKalb County,"4664 Flat Bridge RdLithonia, Ga 30038",Georgia,"33.640615514000444, -84.14947963499964","$453,000","$453,000",,"Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",No Violation,,Yes,3
Pomona Water Reclamation Plant,,Los Angeles County,"295 Humane WayPomona, Ca 91766",California,"34.055617491000476, -117.79025083399972","$312,000","$312,000",,Noncompliance,,,No,12
Ponce Nueva Filtration Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr-501 Km 0.1Ponce, Pr 00731",Puerto Rico,"18.03874640500044, -66.64569130699965","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,12
Port Aggregates - Deridder Plant,,Port Aggregates,"225 Lemon StreetJennings, La 70546",Louisiana,"30.238211729000454, -92.66066735899966","$435,566","$217,783",,Noncompliance,,,No,12
Port Richmond Water Pollution Control Plant,,City of New York City,"1801 Richmond TerraceStaten Island, Ny 10310",New York,"40.637285188000476, -74.12538608199964","$642,000","$100,000",No Violation,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,12
PPG Industries - Ohio,,PPG Industries,"559 Pittsburgh RoadCircleville, Oh 43113",Ohio,"39.55710364300046, -82.94526209699967","$342,793","$155,793","Unaddressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Prasa -  Rucio Wastewater Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 391 Km. 18Penuelas, Pr 00724",Puerto Rico,"18.056730014000436, -66.72190998699966","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,12
Prasa - Adjuntas Nueva Wastewater Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Baez Ephless, System Eng.Adjuntas, Pr 00601",Puerto Rico,"18.16283926900047, -66.72373642099961","$1,024,427","$1,024,427",,Noncompliance,,,No,9
Prasa - Adjuntas Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr-518 Km 0.1Adjuntas, Pr 00601",Puerto Rico,"18.15802030700047, -66.72092625399966","$1,024,427","$1,024,427",,Noncompliance,,,No,10
Prasa - Aguadilla Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr-459 Km 0.3 Bo MontanaAguadilla, Pr 00603",Puerto Rico,"18.445465633000424, -67.14091069199964","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",No Violation,,Yes,12
Prasa - Aguas Buenas Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 173, Km 0.4Aguas Buenas, Pr 00703",Puerto Rico,"18.25676897000045, -66.10540497799963","$1,024,427","$1,024,427",,Noncompliance,No Violation,,No,12
Prasa - Aibonito Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Domingo Colon Street FinalAibonito, Pr 00705",Puerto Rico,"18.13823154600044, -66.27904662699962","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Anasco Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Carr 109 Km 5.4Anasco, Pr 00610",Puerto Rico,"18.27572187000044, -67.12185724499966","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Apeadero Filtration Plant,,Puerto Rico Aqueduct and Sewer Authority,"State Rd. #562, Km 3.1Villalba, Pr 00766",Puerto Rico,"18.128807324000434, -66.49214259099966","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Arecibo Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"State Road 636, Km 1.3Arecibo, Pr 00612",Puerto Rico,"18.44634498600044, -66.64531999399964","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",No Violation,,Yes,12
Prasa - Baranquitas Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr-156, Km. 9.6Barranquitas, Pr 00794",Puerto Rico,"18.19145763600045, -66.33755356099965","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Barrancas Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr-771, Km 5.3Barranquitas, Pr 00794",Puerto Rico,"18.22235088700046, -66.31243574599966","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Bucarabones Wastewater Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"State Road Pr-105 Km 37.7Maricao, Pr 00000",Puerto Rico,"18.17797461900045, -66.92922284199966","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,5
Prasa - Canovanas Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 3, Km 14.3Canovanas, Pr 00629",Puerto Rico,"18.375479984000435, -65.90440000699965","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Cayey Filter Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Carr 1 Km 59.0Cayey, Pr 00736",Puerto Rico,"18.10444658600045, -66.16392035999962","$1,119,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",No Violation,,Yes,12
Prasa - Cayey Recycled Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"State Road #742 - Km.47Cayey, Pr 00736",Puerto Rico,"18.114624725000454, -66.15373429199963","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,12
Prasa - Cedro Arriba Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"State Road 779 Km 9.9 Int. 152Naranjito, Pr 00719",Puerto Rico,"18.30090997600047, -66.24573500999963","$1,024,427","$1,024,427",,Noncompliance,,,No,12
Prasa - Coamo Urano,,Puerto Rico Aqueduct and Sewer Authority,"Pr-155 Hm 1Coamo, Pr 00769",Puerto Rico,"18.16552500800043, -66.40571998899964","$1,024,427","$1,024,427",,Noncompliance,No Violation,,No,12
Prasa - Cotto Laurel Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 14 Km 82Ponce, Pr 00732",Puerto Rico,"18.011650011000427, -66.61441997899965","$1,024,427","$1,024,427",,Noncompliance,,,No,12
Prasa - Cubuy Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 186, Km 8.5Canovanas, Pr 00729",Puerto Rico,"18.378258982000432, -65.89284293399965","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Culebra Desalinization Plant,,Puerto Rico Aqueduct and Sewer Authority,"Street #250Culebra, Pr 00775",Puerto Rico,"18.31055998000045, -65.29935999999964","$1,024,427","$1,024,427",,Noncompliance,,,No,12
Prasa - Culebrinas Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr-443 Km 5.9Aguadilla, Pr 00604",Puerto Rico,"18.434406236000427, -67.12530885499962","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,12
Prasa - Enrique Ortega Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 827 Km 5.6Toa Alta, Pr 00953",Puerto Rico,"18.35290498900042, -66.21457001499965","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",No Violation,,Yes,8
Prasa - Esperanza Filter Plant,,Puerto Rico Aqueduct and Sewer Authority,"State Road 623Arecibo, Pr 00612",Puerto Rico,"18.46998577700043, -66.71997242999964","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,12
Prasa - Espino Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"State Road # 183 R-745 Km 5.2 Bo. EspinoSan Lorenzo, Pr 00754",Puerto Rico,"18.19154244200047, -65.96095049499962","$1,024,427","$1,024,427",,,,Serious Violator,Yes,
Prasa - Guajataca Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"State Road 1 19 Km 191Isabela, Pr 00662",Puerto Rico,"18.502984968000476, -67.07431086999964","$1,024,427","$1,024,427",,Noncompliance,,,No,12
Prasa - Guama Wastewater Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 362 Km. 9.6San German, Pr 00683",Puerto Rico,"18.082061311000473, -67.04374381899964","$1,024,427","$1,024,427",,Noncompliance,,,No,12
