ID,Traded Currencies,Percentage of Market,Source,Volume (17 Oct. '14),Price,Volume (%)
SwissCEX - FedoraCoin / Dogecoin,"FedoraCoin, Dogecoin",0.00%,SwissCEX,$1,$0.00,0.07 %
AllCoin - FedoraCoin / Litecoin,"FedoraCoin, Litecoin",0.00%,AllCoin,$1,$0.00,0.10 %
BTER - FedoraCoin / Litecoin,"FedoraCoin, Litecoin",0.00%,BTER,$124,$0.00,10.66 %
Cryptsy - FedoraCoin / Litecoin,"FedoraCoin, Litecoin",0.00%,Cryptsy,$887,$0.00,76.12 %
SwissCEX - FedoraCoin / Litecoin,"FedoraCoin, Litecoin",0.00%,SwissCEX,$1,$0.00,0.06 %
Bittrex - Fibre / Bitcoin,"Fibre, Bitcoin",0.01%,Bittrex,"$2,694",$0.30,67.63 %
Coinbroker - Fibre / Bitcoin,"Fibre, Bitcoin",0.01%,Coinbroker,$0,$0.04,0.00 %
Cryptsy - Fibre / Bitcoin,"Fibre, Bitcoin",0.01%,Cryptsy,$987,$0.31,24.78 %
Poloniex - Fibre / Bitcoin,"Fibre, Bitcoin",0.01%,Poloniex,$302,$0.29,7.59 %
CCEDK - FIMKrypto / Bitcoin,"FIMKrypto, Bitcoin",0.00%,CCEDK,$70,$0.00,47.91 %
DGEX - FIMKrypto / Bitcoin,"FIMKrypto, Bitcoin",0.00%,DGEX,$76,$0.00,52.09 %
AllCoin - Firecoin / Bitcoin,"Firecoin, Bitcoin",0.00%,AllCoin,$22,$0.05,11.00 %
Bittrex - Firecoin / Bitcoin,"Firecoin, Bitcoin",0.00%,Bittrex,$180,$0.02,89.00 %
AllCoin - FlappyCoin / Dogecoin,"FlappyCoin, Dogecoin",0.00%,AllCoin,$0,$0.00,0.00 %
AllCoin - FlappyCoin / Litecoin,"FlappyCoin, Litecoin",0.00%,AllCoin,$0,$0.00,0.01 %
Cryptsy - FlappyCoin / Litecoin,"FlappyCoin, Litecoin",0.00%,Cryptsy,$71,$0.00,92.21 %
Cryptsy - FlappyCoin / Ripple,"FlappyCoin, Ripple",0.00%,Cryptsy,$6,$0.00,7.78 %
Bittrex - Flexiblecoin / Bitcoin,"Flexiblecoin, Bitcoin",0.00%,Bittrex,$24,$0.00,74.67 %
Cryptsy - Flexiblecoin / Bitcoin,"Flexiblecoin, Bitcoin",0.00%,Cryptsy,$8,$0.00,25.33 %
Cryptsy - FlorinCoin / Litecoin,"FlorinCoin, Litecoin",0.00%,Cryptsy,$105,$0.00,100.00 %
BTER - FlutterCoin / Bitcoin,"FlutterCoin, Bitcoin",0.00%,BTER,$191,$0.00,31.07 %
Cryptsy - FlutterCoin / Bitcoin,"FlutterCoin, Bitcoin",0.00%,Cryptsy,$398,$0.00,64.87 %
Poloniex - FlutterCoin / Bitcoin,"FlutterCoin, Bitcoin",0.00%,Poloniex,$25,$0.00,4.06 %
MasterXchange - FoldingCoin / Bitcoin,"FoldingCoin, Bitcoin",0.00%,MasterXchange,$32,$0.00,100.00 %
Counterparty DEX - FoldingCoin / Counterparty,"FoldingCoin, Counterparty",0.00%,Counterparty DEX,$0,$0.00,0.00 %
Coin-Swap - Fractalcoin / Bitcoin,"Fractalcoin, Bitcoin",0.00%,Coin-Swap,$0,$0.00,0.00 %
Cryptsy - Fractalcoin / Bitcoin,"Fractalcoin, Bitcoin",0.00%,Cryptsy,$1,$0.00,100.00 %
Poloniex - Fractalcoin / Bitcoin,"Fractalcoin, Bitcoin",0.00%,Poloniex,$0,$0.00,0.00 %
Coins-E - Franko / Bitcoin,"Franko, Bitcoin",0.00%,Coins-E,$0,$0.04,0.00 %
Cryptex - Franko / Bitcoin,"Franko, Bitcoin",0.00%,Cryptex,$0,$0.05,0.00 %
Cryptsy - Franko / Bitcoin,"Franko, Bitcoin",0.00%,Cryptsy,$28,$0.04,94.51 %
Cryptsy - Franko / Litecoin,"Franko, Litecoin",0.00%,Cryptsy,$2,$0.05,5.49 %
BTER - FreeMarket / Bitcoin,"FreeMarket, Bitcoin",0.03%,BTER,"$9,642",$1.05,99.76 %
Nxt Asset Exchange - FreeMarket / Nxt,"FreeMarket, Nxt",0.03%,Nxt Asset Exchange,$24,$0.85,0.24 %
BTER - Freicoin / Bitcoin,"Freicoin, Bitcoin",0.00%,BTER,$91,$0.00,24.66 %
Cryptsy - Freicoin / Bitcoin,"Freicoin, Bitcoin",0.00%,Cryptsy,$256,$0.00,69.06 %
Vircurex - Freicoin / Bitcoin,"Freicoin, Bitcoin",0.00%,Vircurex,$23,$0.00,6.23 %
BTER - Freicoin / Chinese Yuan,"Freicoin, Chinese Yuan",0.00%,BTER,$0,$0.00,0.05 %
Bittrex - FreshCoin / Bitcoin,"FreshCoin, Bitcoin",0.00%,Bittrex,$8,$0.00,2.70 %
BTER - FreshCoin / Bitcoin,"FreshCoin, Bitcoin",0.00%,BTER,$283,$0.00,97.30 %
Bittrex - FuelCoin / Bitcoin,"FuelCoin, Bitcoin",0.00%,Bittrex,$110,$0.00,100.00 %
Ybex - Functioncoin / Bitcoin,"Functioncoin, Bitcoin",0.00%,Ybex,$761,$0.01,100.00 %
Bittrex - GAIA / Bitcoin,"GAIA, Bitcoin",0.00%,Bittrex,$28,$0.00,100.00 %
Cryptsy - GameCoin / Litecoin,"GameCoin, Litecoin",0.00%,Cryptsy,$2,$0.00,100.00 %
Bittrex - GameLeagueCoin / Bitcoin,"GameLeagueCoin, Bitcoin",0.00%,Bittrex,$46,$0.00,97.50 %
BTER - GameLeagueCoin / Bitcoin,"GameLeagueCoin, Bitcoin",0.00%,BTER,$0,$0.00,0.00 %
Cryptsy - GameLeagueCoin / Bitcoin,"GameLeagueCoin, Bitcoin",0.00%,Cryptsy,$1,$0.00,2.50 %
Poloniex - GameLeagueCoin / Bitcoin,"GameLeagueCoin, Bitcoin",0.00%,Poloniex,$0,$0.00,0.00 %
Bittrex - GamerholicCoin / Bitcoin,"GamerholicCoin, Bitcoin",0.00%,Bittrex,$207,$0.03,100.00 %
Comkort - GamersCoin / Bitcoin,"GamersCoin, Bitcoin",0.00%,Comkort,$8,$0.00,100.00 %
SwissCEX - GBCoin / Bitcoin,"GBCoin, Bitcoin",0.00%,SwissCEX,$0,$0.00,100.00 %
AllCoin - Ghostcoin / Bitcoin,"Ghostcoin, Bitcoin",0.00%,AllCoin,$26,$0.00,100.00 %
Bittrex - Ghostcoin / Bitcoin,"Ghostcoin, Bitcoin",0.03%,Bittrex,"$8,367",$0.00,82.52 %
BTER - Ghostcoin / Bitcoin,"Ghostcoin, Bitcoin",0.03%,BTER,"$1,772",$0.00,17.48 %
Poloniex - Global Denomination / Bitcoin,"Global Denomination, Bitcoin",0.00%,Poloniex,$8,$0.00,100.00 %
Coin-Swap - GlobalBoost / Bitcoin,"GlobalBoost, Bitcoin",0.00%,Coin-Swap,$4,$0.00,100.00 %
AllCoin - GlobalBoost-Y / Bitcoin,"GlobalBoost-Y, Bitcoin",0.00%,AllCoin,$1,$0.00,0.52 %
Bittrex - GlobalBoost-Y / Bitcoin,"GlobalBoost-Y, Bitcoin",0.00%,Bittrex,$199,$0.00,91.56 %
C-CEX - GlobalBoost-Y / Bitcoin,"GlobalBoost-Y, Bitcoin",0.00%,C-CEX,$12,$0.00,5.46 %
Coin-Swap - GlobalBoost-Y / Bitcoin,"GlobalBoost-Y, Bitcoin",0.00%,Coin-Swap,$5,$0.00,2.46 %
Coins-E - GlobalCoin / Bitcoin,"GlobalCoin, Bitcoin",0.00%,Coins-E,$0,$0.00,0.63 %
Cryptsy - GlobalCoin / Bitcoin,"GlobalCoin, Bitcoin",0.00%,Cryptsy,$11,$0.00,99.37 %
Bittrex - Glyph / Bitcoin,"Glyph, Bitcoin",0.00%,Bittrex,$8,$0.00,69.48 %
Coins-E - Glyph / Bitcoin,"Glyph, Bitcoin",0.00%,Coins-E,$0,$0.04,0.00 %
Cryptsy - Glyph / Bitcoin,"Glyph, Bitcoin",0.00%,Cryptsy,$4,$0.00,30.05 %
Cryptsy - Glyph / Litecoin,"Glyph, Litecoin",0.00%,Cryptsy,$0,$0.00,0.48 %
Bittrex - Gnosis / Bitcoin,"Gnosis, Bitcoin",0.00%,Bittrex,$184,$0.00,89.81 %
C-CEX - Gnosis / Bitcoin,"Gnosis, Bitcoin",0.00%,C-CEX,$21,$0.00,10.19 %
Coin-Swap - Gnosis / Bitcoin,"Gnosis, Bitcoin",0.00%,Coin-Swap,$0,$0.00,0.00 %
Cryptsy - GoldCoin / Bitcoin,"GoldCoin, Bitcoin",0.00%,Cryptsy,$176,$0.01,73.98 %
Cryptsy - GoldCoin / Litecoin,"GoldCoin, Litecoin",0.00%,Cryptsy,$62,$0.01,26.02 %
AllCoin - GoldReserve / Bitcoin,"GoldReserve, Bitcoin",0.00%,AllCoin,$29,$0.00,100.00 %
Coin-Swap - GoldReserve / Bitcoin,"GoldReserve, Bitcoin",0.00%,Coin-Swap,$0,$0.00,0.00 %
AllCoin - GoodCoin / Bitcoin,"GoodCoin, Bitcoin",0.00%,AllCoin,$1,$0.00,100.00 %
SwissCEX - Grain / Litecoin,"Grain, Litecoin",0.00%,SwissCEX,$18,$0.00,100.00 %
Coins-E - GrandCoin / Bitcoin,"GrandCoin, Bitcoin",0.00%,Coins-E,$0,$0.00,0.00 %
Cryptex - GrandCoin / Bitcoin,"GrandCoin, Bitcoin",0.00%,Cryptex,$0,$0.00,0.02 %
Cryptsy - GrandCoin / Bitcoin,"GrandCoin, Bitcoin",0.00%,Cryptsy,$12,$0.00,99.98 %
Bleutrade - GraniteCoin / Bitcoin,"GraniteCoin, Bitcoin",0.00%,Bleutrade,$2,$0.00,100.00 %
Bittrex - GreenBacks / Bitcoin,"GreenBacks, Bitcoin",0.00%,Bittrex,"$1,243",$0.00,76.52 %
Cryptsy - GreenBacks / Bitcoin,"GreenBacks, Bitcoin",0.00%,Cryptsy,$382,$0.00,23.48 %
AllCoin - Greencoin / Bitcoin,"Greencoin, Bitcoin",0.00%,AllCoin,$274,$0.00,100.00 %
C-CEX - Gridcoin / Bitcoin,"Gridcoin, Bitcoin",0.00%,C-CEX,$933,$0.01,98.68 %
Poloniex - Gridcoin / Bitcoin,"Gridcoin, Bitcoin",0.00%,Poloniex,$12,$0.01,1.32 %
AllCoin - GroestlCoin / Bitcoin,"GroestlCoin, Bitcoin",0.00%,AllCoin,$57,$0.00,39.50 %
Poloniex - GroestlCoin / Bitcoin,"GroestlCoin, Bitcoin",0.00%,Poloniex,$88,$0.00,60.50 %
AllCoin - GROUPCoin / Bitcoin,"GROUPCoin, Bitcoin",0.00%,AllCoin,$5,$0.00,1.47 %
Bittrex - GROUPCoin / Bitcoin,"GROUPCoin, Bitcoin",0.00%,Bittrex,$362,$0.00,98.38 %
Coin-Swap - GROUPCoin / Bitcoin,"GROUPCoin, Bitcoin",0.00%,Coin-Swap,$1,$0.00,0.15 %
Bittrex - Guerillacoin / Bitcoin,"Guerillacoin, Bitcoin",0.00%,Bittrex,$65,$0.00,61.26 %
Cryptsy - Guerillacoin / Bitcoin,"Guerillacoin, Bitcoin",0.00%,Cryptsy,$41,$0.00,38.73 %
Cryptsy - Guerillacoin / Litecoin,"Guerillacoin, Litecoin",0.00%,Cryptsy,$0,$0.00,0.01 %
Bittrex - Guldencoin / Bitcoin,"Guldencoin, Bitcoin",0.00%,Bittrex,$968,$0.00,92.12 %
Bleutrade - Guldencoin / Bitcoin,"Guldencoin, Bitcoin",0.00%,Bleutrade,$81,$0.00,7.75 %
Coin-Swap - Guldencoin / Bitcoin,"Guldencoin, Bitcoin",0.00%,Coin-Swap,$0,$0.00,0.04 %
SwissCEX - Guldencoin / Bitcoin,"Guldencoin, Bitcoin",0.00%,SwissCEX,$1,$0.00,0.08 %
Bleutrade - Guldencoin / Dogecoin,"Guldencoin, Dogecoin",0.00%,Bleutrade,$0,$0.00,0.01 %
Bleutrade - Guncoin / Bitcoin,"Guncoin, Bitcoin",0.00%,Bleutrade,$1,$0.00,72.59 %
Coin-Swap - Guncoin / Bitcoin,"Guncoin, Bitcoin",0.00%,Coin-Swap,$0,$0.00,1.16 %
Bleutrade - Guncoin / Dogecoin,"Guncoin, Dogecoin",0.00%,Bleutrade,$0,$0.00,26.24 %
Bittrex - Halcyon / Bitcoin,"Halcyon, Bitcoin",0.00%,Bittrex,$640,$0.02,80.62 %
Cryptsy - Halcyon / Bitcoin,"Halcyon, Bitcoin",0.00%,Cryptsy,$154,$0.02,19.38 %
Cryptsy - Halcyon / Ripple,"Halcyon, Ripple",0.00%,Cryptsy,$0,$0.03,0.00 %
Cryptsy - Heavycoin / Bitcoin,"Heavycoin, Bitcoin",0.00%,Cryptsy,$1,$0.00,100.00 %
Bleutrade - Heisenberg / Bitcoin,"Heisenberg, Bitcoin",0.00%,Bleutrade,$0,$0.00,0.00 %
Bleutrade - Heisenberg / Dogecoin,"Heisenberg, Dogecoin",0.00%,Bleutrade,$4,$0.00,46.10 %
SwissCEX - Heisenberg / Dogecoin,"Heisenberg, Dogecoin",0.00%,SwissCEX,$4,$0.00,51.52 %
SwissCEX - Heisenberg / Litecoin,"Heisenberg, Litecoin",0.00%,SwissCEX,$0,$0.00,2.39 %
Bittrex - HempCoin / Bitcoin,"HempCoin, Bitcoin",0.04%,Bittrex,"$13,608",$0.00,97.14 %
C-CEX - HempCoin / Bitcoin,"HempCoin, Bitcoin",0.04%,C-CEX,$400,$0.00,2.86 %
AllCoin - Hirocoin / Bitcoin,"Hirocoin, Bitcoin",0.00%,AllCoin,$39,$0.00,79.61 %
Poloniex - Hirocoin / Bitcoin,"Hirocoin, Bitcoin",0.00%,Poloniex,$10,$0.00,20.39 %
Cryptsy - HoboNickels / Bitcoin,"HoboNickels, Bitcoin",0.00%,Cryptsy,"$1,638",$0.03,99.92 %
Cryptsy - HoboNickels / Ripple,"HoboNickels, Ripple",0.00%,Cryptsy,$1,$0.03,0.08 %
Nxt Asset Exchange - HRNXTPool / Nxt,"HRNXTPool, Nxt",0.00%,Nxt Asset Exchange,$275,$1.62,100.00 %
Bleutrade - HTMLCOIN / Dogecoin,"HTMLCOIN, Dogecoin",0.00%,Bleutrade,$471,$0.00,83.24 %
Bleutrade - HTMLCOIN / Litecoin,"HTMLCOIN, Litecoin",0.00%,Bleutrade,$95,$0.00,16.76 %
Cryptsy - HunterCoin / Bitcoin,"HunterCoin, Bitcoin",0.00%,Cryptsy,$5,$0.01,26.46 %
Poloniex - HunterCoin / Bitcoin,"HunterCoin, Bitcoin",0.00%,Poloniex,$15,$0.01,73.54 %
Bittrex - Hyper / Bitcoin,"Hyper, Bitcoin",0.00%,Bittrex,$642,$0.07,100.00 %
AllCoin - HyperStake / Bitcoin,"HyperStake, Bitcoin",0.02%,AllCoin,$98,$0.02,1.38 %
Ask Coin - HyperStake / Bitcoin,"HyperStake, Bitcoin",0.02%,Ask Coin,$16,$0.02,0.23 %
BX Thailand - HyperStake / Bitcoin,"HyperStake, Bitcoin",0.02%,BX Thailand,$0,$0.03,0.00 %
Coin-Swap - HyperStake / Bitcoin,"HyperStake, Bitcoin",0.02%,Coin-Swap,$5,$0.02,0.07 %
Poloniex - HyperStake / Bitcoin,"HyperStake, Bitcoin",0.02%,Poloniex,"$6,608",$0.02,93.51 %
Poloniex - HyperStake / Monero,"HyperStake, Monero",0.02%,Poloniex,$340,$0.02,4.81 %
Vircurex - I0Coin / Bitcoin,"I0Coin, Bitcoin",0.00%,Vircurex,$0,$0.00,0.00 %
Bittrex - IcebergCoin / Bitcoin,"IcebergCoin, Bitcoin",0.00%,Bittrex,$15,$0.00,46.21 %
Cryptsy - IcebergCoin / Bitcoin,"IcebergCoin, Bitcoin",0.00%,Cryptsy,$17,$0.00,53.79 %
AllCoin - ImperialCoin / Bitcoin,"ImperialCoin, Bitcoin",0.00%,AllCoin,$1,$0.00,62.00 %
Coin-Swap - ImperialCoin / Bitcoin,"ImperialCoin, Bitcoin",0.00%,Coin-Swap,$0,$0.00,11.58 %
Comkort - ImperialCoin / Bitcoin,"ImperialCoin, Bitcoin",0.00%,Comkort,$0,$0.00,14.86 %
useCryptos - ImperialCoin / Bitcoin,"ImperialCoin, Bitcoin",0.00%,useCryptos,$0,$0.00,11.56 %
Comkort - ImperialCoin / Dogecoin,"ImperialCoin, Dogecoin",0.00%,Comkort,$0,$0.00,0.00 %
Comkort - ImperialCoin / Litecoin,"ImperialCoin, Litecoin",0.00%,Comkort,$0,$0.00,0.00 %
Bittrex - IncognitoCoin / Bitcoin,"IncognitoCoin, Bitcoin",0.00%,Bittrex,$43,$0.00,100.00 %
Bleutrade - Infinitecoin / Bitcoin,"Infinitecoin, Bitcoin",0.01%,Bleutrade,$0,$0.00,0.01 %
Cryptsy - Infinitecoin / Bitcoin,"Infinitecoin, Bitcoin",0.01%,Cryptsy,$50,$0.00,2.84 %
BTER - Infinitecoin / Chinese Yuan,"Infinitecoin, Chinese Yuan",0.01%,BTER,"$1,601",$0.00,90.41 %
BTER - Infinitecoin / Litecoin,"Infinitecoin, Litecoin",0.01%,BTER,$18,$0.00,0.99 %
Cryptex - Infinitecoin / Litecoin,"Infinitecoin, Litecoin",0.01%,Cryptex,$11,$0.00,0.62 %
Cryptsy - Infinitecoin / Litecoin,"Infinitecoin, Litecoin",0.01%,Cryptsy,$91,$0.00,5.13 %
Poloniex - Infinitecoin / Monero,"Infinitecoin, Monero",0.01%,Poloniex,$0,$0.00,0.00 %
Cryptsy - Infinitecoin / Ripple,"Infinitecoin, Ripple",0.01%,Cryptsy,$0,$0.00,0.01 %
Bittrex - InkWayCoin / Bitcoin,"InkWayCoin, Bitcoin",0.00%,Bittrex,$246,$0.14,100.00 %
Bittrex - Instant / Bitcoin,"Instant, Bitcoin",0.00%,Bittrex,$559,$0.01,100.00 %
Nxt Asset Exchange - InstantDEX / Nxt,"InstantDEX, Nxt",0.00%,Nxt Asset Exchange,$521,$0.74,100.00 %
AllCoin - Intellicoin / Bitcoin,"Intellicoin, Bitcoin",0.00%,AllCoin,$0,$0.00,14.63 %
Bittrex - Intellicoin / Bitcoin,"Intellicoin, Bitcoin",0.00%,Bittrex,$1,$0.00,85.37 %
AllCoin - IOCoin / Bitcoin,"IOCoin, Bitcoin",0.01%,AllCoin,$0,$0.01,0.00 %
Bittrex - IOCoin / Bitcoin,"IOCoin, Bitcoin",0.01%,Bittrex,"$1,934",$0.00,95.35 %
Coin-Swap - IOCoin / Bitcoin,"IOCoin, Bitcoin",0.01%,Coin-Swap,$0,$0.02,0.00 %
Cryptsy - IOCoin / Bitcoin,"IOCoin, Bitcoin",0.01%,Cryptsy,$94,$0.01,4.65 %
Bittrex - Isracoin / Bitcoin,"Isracoin, Bitcoin",0.00%,Bittrex,$231,$0.00,99.74 %
Coin-Swap - Isracoin / Bitcoin,"Isracoin, Bitcoin",0.00%,Coin-Swap,$0,$0.01,0.00 %
SwissCEX - Isracoin / Bitcoin,"Isracoin, Bitcoin",0.00%,SwissCEX,$1,$0.00,0.26 %
CEX.IO - Ixcoin / Bitcoin,"Ixcoin, Bitcoin",0.07%,CEX.IO,"$24,313",$0.04,98.99 %
Cryptsy - Ixcoin / Bitcoin,"Ixcoin, Bitcoin",0.07%,Cryptsy,$245,$0.04,1.00 %
SwissCEX - Ixcoin / Bitcoin,"Ixcoin, Bitcoin",0.07%,SwissCEX,$1,$0.03,0.01 %
Vircurex - Ixcoin / Bitcoin,"Ixcoin, Bitcoin",0.07%,Vircurex,$0,$0.05,0.00 %
Cryptsy - Ixcoin / Ripple,"Ixcoin, Ripple",0.07%,Cryptsy,$1,$0.04,0.00 %
Ask Coin - JackpotCoin / Bitcoin,"JackpotCoin, Bitcoin",0.01%,Ask Coin,"$2,005",$0.00,59.65 %
Bittrex - JackpotCoin / Bitcoin,"JackpotCoin, Bitcoin",0.01%,Bittrex,"$1,356",$0.00,40.35 %
Nxt Asset Exchange - Jinn / Nxt,"Jinn, Nxt",0.00%,Nxt Asset Exchange,$13,$6.45,100.00 %
Poloniex - jl777hodl / Bitcoin,"jl777hodl, Bitcoin",0.00%,Poloniex,$2,$0.07,0.25 %
Nxt Asset Exchange - jl777hodl / Nxt,"jl777hodl, Nxt",0.00%,Nxt Asset Exchange,$948,$0.06,99.75 %
Bittrex - Joincoin / Bitcoin,"Joincoin, Bitcoin",0.00%,Bittrex,$0,$0.00,0.00 %
Cryptsy - Joulecoin / Bitcoin,"Joulecoin, Bitcoin",0.00%,Cryptsy,$33,$0.00,100.00 %
Bittrex - Judgecoin / Bitcoin,"Judgecoin, Bitcoin",0.00%,Bittrex,$18,$0.00,40.63 %
Cryptsy - Judgecoin / Bitcoin,"Judgecoin, Bitcoin",0.00%,Cryptsy,$26,$0.00,59.37 %
Cryptsy - Junkcoin / Bitcoin,"Junkcoin, Bitcoin",0.00%,Cryptsy,$0,$0.00,100.00 %
Bleutrade - Karmacoin / Bitcoin,"Karmacoin, Bitcoin",0.00%,Bleutrade,$0,$0.00,0.00 %
Bleutrade - Karmacoin / Dogecoin,"Karmacoin, Dogecoin",0.00%,Bleutrade,$2,$0.00,0.86 %
Cryptsy - Karmacoin / Litecoin,"Karmacoin, Litecoin",0.00%,Cryptsy,$257,$0.00,97.72 %
Cryptsy - Karmacoin / Ripple,"Karmacoin, Ripple",0.00%,Cryptsy,$4,$0.00,1.43 %
SwissCEX - KashmirCoin / Bitcoin,"KashmirCoin, Bitcoin",0.00%,SwissCEX,$1,$13.37,100.00 %
Bittrex - KeyCoin / Bitcoin,"KeyCoin, Bitcoin",0.00%,Bittrex,$155,$0.03,60.30 %
Cryptsy - KeyCoin / Bitcoin,"KeyCoin, Bitcoin",0.00%,Cryptsy,$102,$0.03,39.70 %
Poloniex - KeyCoin / Bitcoin,"KeyCoin, Bitcoin",0.00%,Poloniex,$0,$0.03,0.00 %
Bittrex - KeyCoin / BlackCoin,"KeyCoin, BlackCoin",0.00%,Bittrex,$0,$0.00,0.00 %
Cryptex - KimDotCoin / Litecoin,"KimDotCoin, Litecoin",0.00%,Cryptex,$0,$0.00,100.00 %
Cryptsy - Kittehcoin / Litecoin,"Kittehcoin, Litecoin",0.00%,Cryptsy,$12,$0.00,100.00 %
SwissCEX - Kittehcoin / Litecoin,"Kittehcoin, Litecoin",0.00%,SwissCEX,$0,$0.00,0.00 %
BTER - KlondikeCoin / Bitcoin,"KlondikeCoin, Bitcoin",0.00%,BTER,$1,$0.00,27.01 %
Cryptsy - KlondikeCoin / Bitcoin,"KlondikeCoin, Bitcoin",0.00%,Cryptsy,$2,$0.00,72.99 %
Ask Coin - KoreCoin / Bitcoin,"KoreCoin, Bitcoin",0.01%,Ask Coin,$17,$0.11,0.33 %
Bittrex - KoreCoin / Bitcoin,"KoreCoin, Bitcoin",0.01%,Bittrex,"$5,121",$0.09,99.67 %
Coins-E - Krugercoin / Bitcoin,"Krugercoin, Bitcoin",0.00%,Coins-E,$0,$0.00,0.00 %
Cryptsy - Krugercoin / Bitcoin,"Krugercoin, Bitcoin",0.00%,Cryptsy,$15,$0.00,100.00 %
Bittrex - Kryptkoin / Bitcoin,"Kryptkoin, Bitcoin",0.00%,Bittrex,$18,$0.00,100.00 %
Coin-Swap - Kryptkoin / Bitcoin,"Kryptkoin, Bitcoin",0.00%,Coin-Swap,$0,$0.00,0.00 %
AllCoin - Kumacoin / Bitcoin,"Kumacoin, Bitcoin",0.00%,AllCoin,$7,$0.00,100.00 %
Mona Tore - Kumacoin / Litecoin,"Kumacoin, Litecoin",0.00%,Mona Tore,$0,$0.00,0.00 %
Coin-Swap - Latium / Bitcoin,"Latium, Bitcoin",0.00%,Coin-Swap,$312,$0.02,100.00 %
Cryptsy - LeafCoin / Litecoin,"LeafCoin, Litecoin",0.00%,Cryptsy,$6,$0.00,91.00 %
Cryptsy - LeafCoin / Ripple,"LeafCoin, Ripple",0.00%,Cryptsy,$1,$0.00,9.00 %
Cryptsy - LegendaryCoin / Bitcoin,"LegendaryCoin, Bitcoin",0.00%,Cryptsy,$6,$0.00,100.00 %
AllCoin - LemurCoin / Bitcoin,"LemurCoin, Bitcoin",0.00%,AllCoin,$36,$0.08,16.68 %
Bittrex - LemurCoin / Bitcoin,"LemurCoin, Bitcoin",0.00%,Bittrex,$146,$0.08,68.32 %
Bleutrade - LemurCoin / Bitcoin,"LemurCoin, Bitcoin",0.00%,Bleutrade,$7,$0.08,3.24 %
C-CEX - LemurCoin / Bitcoin,"LemurCoin, Bitcoin",0.00%,C-CEX,$25,$0.08,11.77 %
Bleutrade - LemurCoin / Dogecoin,"LemurCoin, Dogecoin",0.00%,Bleutrade,$0,$0.13,0.00 %
Cryptsy - Libertycoin / Bitcoin,"Libertycoin, Bitcoin",0.00%,Cryptsy,$29,$0.00,100.00 %
Bittrex - Librexcoin / Bitcoin,"Librexcoin, Bitcoin",0.00%,Bittrex,$451,$0.04,73.35 %
Coin-Swap - Librexcoin / Bitcoin,"Librexcoin, Bitcoin",0.00%,Coin-Swap,$0,$0.02,0.00 %
Cryptsy - Librexcoin / Bitcoin,"Librexcoin, Bitcoin",0.00%,Cryptsy,$164,$0.04,26.65 %
AllCoin - Lightcoin / Bitcoin,"Lightcoin, Bitcoin",0.00%,AllCoin,$2,$0.00,100.00 %
Bittrex - Lightspeed / Bitcoin,"Lightspeed, Bitcoin",0.00%,Bittrex,$36,$0.01,31.88 %
Cryptsy - Lightspeed / Bitcoin,"Lightspeed, Bitcoin",0.00%,Cryptsy,$77,$0.01,68.12 %
AllCoin - Lion / Bitcoin,"Lion, Bitcoin",0.00%,AllCoin,$0,$0.00,0.00 %
Cryptsy - LiteBar / Bitcoin,"LiteBar, Bitcoin",0.00%,Cryptsy,$113,$0.03,100.00 %
BTC-E - Litecoin / Bitcoin,"Litecoin, Bitcoin",12.74%,BTC-E,"$521,886",$3.99,11.84 %
Cryptsy - Litecoin / Bitcoin,"Litecoin, Bitcoin",12.74%,Cryptsy,"$27,487",$3.99,0.62 %
HitBTC - Litecoin / Bitcoin,"Litecoin, Bitcoin",12.74%,HitBTC,"$17,846",$3.98,0.40 %
BTC - Litecoin / Chinese Yuan (1),"Litecoin, Chinese Yuan",12.74%,BTC,"$79,105",$3.99,1.79 %
BTC - Litecoin / Chinese Yuan (2),"Litecoin, Chinese Yuan",12.74%,BTC,"$21,237",$3.98,0.48 %
BTC China - Litecoin / Chinese Yuan,"Litecoin, Chinese Yuan",12.74%,BTC China,"$346,922",$3.99,7.87 %
Bitfinex - Litecoin / US Dollar,"Litecoin, US Dollar",12.74%,Bitfinex,"$62,796",$3.98,1.42 %
BTC-E - Litecoin / US Dollar,"Litecoin, US Dollar",12.74%,BTC-E,"$375,388",$3.90,8.52 %
HitBTC - Litecoin / US Dollar,"Litecoin, US Dollar",12.74%,HitBTC,"$22,559",$3.99,0.51 %
OkCoin Intl. - Litecoin / US Dollar,"Litecoin, US Dollar",12.74%,OkCoin Intl.,"$2,838,790",$4.00,64.40 %
Bittrex - LitecoinDark / Bitcoin,"LitecoinDark, Bitcoin",0.04%,Bittrex,"$13,094",$0.01,89.73 %
Coin-Swap - LitecoinDark / Bitcoin,"LitecoinDark, Bitcoin",0.04%,Coin-Swap,$0,$0.00,0.00 %
Cryptsy - LitecoinDark / Bitcoin,"LitecoinDark, Bitcoin",0.04%,Cryptsy,"$1,487",$0.01,10.19 %
Cryptsy - LitecoinDark / Ripple,"LitecoinDark, Ripple",0.04%,Cryptsy,$12,$0.01,0.08 %
Cryptex - LottoCoin / Litecoin,"LottoCoin, Litecoin",0.00%,Cryptex,$2,$0.00,74.68 %
Cryptsy - LottoCoin / Litecoin,"LottoCoin, Litecoin",0.00%,Cryptsy,$1,$0.00,23.22 %
SwissCEX - LottoCoin / Litecoin,"LottoCoin, Litecoin",0.00%,SwissCEX,$0,$0.00,2.10 %
