Player,Team(s) when fined/suspended,Role when fined/suspended,Number of fines,Days of suspensions,Fined Amount,Age first fine (approximate),Date first fine,Date of Birth,Biography,Wikipedia Profile,Image
Brad Jones,Green Bay Packers,Inside Linebacker,1,0,"$15,750",26.6,23/11/2012,01/04/1986,"Bradley Edward Jones (born April 1, 1986) is an American football linebacker for the Green Bay Packers of the National Football League . He was drafted by the Packers in the seventh round of the 2009 NFL Draft . He played college football at Colorado .",http://en.wikipedia.org/wiki/Brad_Jones_(American_football),//upload.wikimedia.org/wikipedia/commons/8/8b/Brad_Jones_Packers_LB.jpg
Cameron Wake,Miami Dolphins,Defense,1,0,"$15,750",31.8,29/11/2013,30/01/1982,"Derek Cameron Wake (born January 30, 1982) is an American football defensive end for the Miami Dolphins of the National Football League (NFL). He played college football for Penn State University , and was signed by the New York Giants as an undrafted free agent in 2005.",http://en.wikipedia.org/wiki/Cameron_Wake,//upload.wikimedia.org/wikipedia/commons/d/d7/Cameron_Wake_2014.JPG
Carlos Dunlap,Cincinnati Bengals,Defense,1,0,"$15,750",24.7,15/11/2013,28/02/1989,"Carlos Dunlap (born February 28, 1989) is an American football defensive end for the Cincinnati Bengals of the National Football League (NFL). He played college football for the University of Florida, and was a key member of the Florida Gators team that won the 2009 national championship. He was then drafted by the Bengals in the second round of the 2010 NFL Draft. ",http://en.wikipedia.org/wiki/Carlos_Dunlap,//upload.wikimedia.org/wikipedia/commons/0/0b/Carlos_Dunlap.jpg
Charles Godfrey,Carolina Panthers,Safety,2,0,"$15,750",26.9,28/09/2012,15/11/1985,"Charles Marquise Godfrey (born November 15, 1985) is an American football free safety for the Atlanta Falcons . He played college football at Iowa and was drafted by the Carolina Panthers in the third round of the 2008 NFL Draft .",http://en.wikipedia.org/wiki/Charles_Godfrey_(American_football),
Chris Canty,New York Giants,Defense,1,0,"$15,750",30.0,02/11/2012,10/11/1982,"Christopher Lee Canty (born November 10, 1982) is an American football defensive end for the Baltimore Ravens of the National Football League . He was drafted by the Dallas Cowboys in the fourth round of the 2005 NFL Draft . He played college football at Virginia . He has also played for the New York Giants , winning Super Bowl XLVI with them in 2011.",http://en.wikipedia.org/wiki/Chris_Canty_(defensive_lineman),//upload.wikimedia.org/wikipedia/commons/2/20/Chris_canty_2014.jpg
Chris Clemons,Seattle Seahawks,Defense,1,0,"$15,750",31.0,12/10/2012,30/10/1981,"Christopher Clemons (born October 30, 1981) is an American football defensive end for the Jacksonville Jaguars of the National Football League (NFL). He was signed by the Washington Redskins as an undrafted free agent in 2003. He played college football at Georgia .",http://en.wikipedia.org/wiki/Chris_Clemons_%28defensive_end%29,//upload.wikimedia.org/wikipedia/commons/5/5a/Chris_Clemons_with_Eagles_2009.jpg
D'Brickashaw Ferguson,New York Jets,Left Tackle,1,0,"$15,750",29.8,18/09/2013,10/12/1983,"D'Brickashaw Montgomery Ferguson (born December 10, 1983), is an American football left tackle for the New York Jets of the National Football League (NFL). He played college football for the University of Virginia and received All-American honors. He was picked by the Jets fourth overall in the 2006 NFL Draft , and has been selected for the Pro Bowl three times.",http://en.wikipedia.org/wiki/D%27Brickashaw_Ferguson,//upload.wikimedia.org/wikipedia/commons/8/87/D%27Brickashaw_Ferguson_-_Jets_-_Sept_2009.jpg
DeAndre Levy,Detroit Lions,Outside Linebacker,1,0,"$15,750",26.7,06/12/2013,26/03/1987,"DeAndre Levy, (born March 26, 1987) is an American football linebacker for the Detroit Lions of the National Football League . He was drafted by the Lions in the third round of the 2009 NFL Draft . He played college football at Wisconsin .",http://en.wikipedia.org/wiki/DeAndre_Levy,//upload.wikimedia.org/wikipedia/commons/0/0a/DeAndre_Levy.JPG
DeMarcus Ware,Dallas Cowboys,Defense,1,0,"$15,750",30.4,20/12/2012,31/07/1982,"DeMarcus Omar Ware (born July 31, 1982) is an American football defensive end for the Denver Broncos of the National Football League (NFL). He was drafted by the Dallas Cowboys with the 11th overall pick in the 2005 NFL Draft out of Troy University . He has been selected to seven Pro Bowls and has led the NFL in sacks twice.",http://en.wikipedia.org/wiki/DeMarcus_Ware,//upload.wikimedia.org/wikipedia/commons/1/18/DeMarcus_Ware.JPG
Garrett McIntyre,New York Jets,Outside Linebacker,1,0,"$15,750",31.2,23/11/2012,29/08/1981,"Jeremiah Jerome Ratliff (born August 29, 1981), is an American football defensive tackle for the Chicago Bears of the National Football League (NFL). He played college football for Auburn University . He was drafted by the Dallas Cowboys in the seventh round of the 2005 NFL Draft , and he was selected to four straight Pro Bowls .",http://en.wikipedia.org/wiki/Jeremiah_Ratliff,//upload.wikimedia.org/wikipedia/en/c/cf/Jayrat08.jpg
George Selvie,Dallas Cowboys,Defense,1,0,"$15,750",26.8,13/12/2013,06/03/1987,"George Selvie (born March 6, 1987) is an American football defensive end for the Dallas Cowboys of the National Football League (NFL). He played college football for the University of South Florida, and received consensus All-American honors. The St. Louis Rams drafted him in the seventh round of the 2010 NFL Draft, and he has also played for the Carolina Panthers and Jacksonville Jaguars. ",http://en.wikipedia.org/wiki/George_Selvie,//upload.wikimedia.org/wikipedia/commons/1/15/George_Selvie.JPG
Greg Hardy,Carolina Panthers,Defense,1,0,"$15,750",24.3,09/11/2012,28/07/1988,"Gregory Hardy (born July 28, 1988), nicknamed The Kraken , is an American football defensive end for the Carolina Panthers . He was drafted by the Panthers in the sixth round of the 2010 NFL Draft . He played college football at Ole Miss .",http://en.wikipedia.org/wiki/Greg_Hardy,
Harrison Smith,Minnesota Vikings,Safety,1,0,"$15,750",23.7,19/10/2012,02/02/1989,"Harrison Smith (born February 2, 1989) is an American football safety for the Minnesota Vikings of the National Football League. He was drafted in the first round, 29th overall of the 2012 NFL Draft. He played college football for Notre Dame. ",http://en.wikipedia.org/wiki/Harrison_Smith_(American_football),//upload.wikimedia.org/wikipedia/commons/f/f8/Harrison_Smith_of_Vikings_in_2012.jpg
Jairus Byrd,Buffalo Bills,Safety,1,0,"$15,750",27.2,13/12/2013,07/10/1986,"Jairus Keelon Byrd (born October 7, 1986) is an American football free safety for the New Orleans Saints of the National Football League (NFL). He played college football for the University of Oregon . He was drafted by the Buffalo Bills in the second round of the 2009 NFL Draft . He is a three-time Pro Bowl selection.",http://en.wikipedia.org/wiki/Jairus_Byrd,//upload.wikimedia.org/wikipedia/commons/3/3d/Jairus_Byrd.jpg
Jared Crick,Houston Texans,Defense,1,0,"$15,750",24.2,25/10/2013,21/08/1989,"Jared Crick (born August 21, 1989) is an American football defensive end for the Houston Texans of the National Football League (NFL). He played college football at the University of Nebraska–Lincoln . The Texans selected him in the fourth round of the 2012 NFL Draft .",http://en.wikipedia.org/wiki/Jared_Crick,//upload.wikimedia.org/wikipedia/commons/d/d6/Jared_Crick.JPG
Jelani Jenkins,Miami Dolphins,Outside Linebacker,1,0,"$15,750",21.6,25/10/2013,13/03/1992,"Jelani M. Jenkins (born March 13, 1992) is an American football linebacker for the Miami Dolphins of the National Football League (NFL). Jenkins played college football for the University of Florida . He was drafted by the Miami Dolphins in the fourth round of the 2013 NFL Draft .",http://en.wikipedia.org/wiki/Jelani_Jenkins,//upload.wikimedia.org/wikipedia/commons/4/49/Jelani_Jenkins.JPG
Jermichael Finley,Green Bay Packers,Tight End,1,0,"$15,750",26.6,18/10/2013,26/03/1987,"Jermichael Decorean Finley (born March 26, 1987) is an American football tight end who is currently a free agent. He was drafted by the Packers in the third round of the 2008 NFL Draft. He played college football at Texas. ",http://en.wikipedia.org/wiki/Jermichael_Finley,//upload.wikimedia.org/wikipedia/commons/3/33/Jermichael_Finley_in_2012.jpg
Jim Leonhard,Buffalo Bills,Safety,1,0,"$15,750",30.9,04/10/2013,27/10/1982,"James Andrew ""Jim"" Leonhard (born October 27, 1982) is an American football safety for the Cleveland Browns of the National Football League (NFL). He was signed by the Buffalo Bills as an undrafted free agent in 2005 after playing college football at the University of Wisconsin .",http://en.wikipedia.org/wiki/Jim_Leonhard,//upload.wikimedia.org/wikipedia/commons/d/d6/Jim_Leonhard.JPG
Jimmy Wilson,Miami Dolphins,Safety,1,0,"$15,750",26.1,21/09/2012,30/07/1986,"James Leon ""Jimmy"" Wilson (born July 30, 1986) is an American football cornerback and safety for the Miami Dolphins of the National Football League . He was drafted by the Dolphins in the seventh round of the 2011 NFL Draft . He played college football at Montana .",http://en.wikipedia.org/wiki/Jimmy_Wilson_(American_football),//upload.wikimedia.org/wikipedia/commons/5/57/Jimmy_Wilson.jpg
Joseph Fauria,Detroit Lions,Tight End,2,0,"$15,750",23.6,30/08/2013,16/01/1990,"Joseph Jules Fauria (born January 16, 1990) is an American football tight end for the Detroit Lions of the National Football League (NFL). He was signed by the Lions as an undrafted free agent in 2013. He played college football at Notre Dame and UCLA .",http://en.wikipedia.org/wiki/Joseph_Fauria,//upload.wikimedia.org/wikipedia/commons/1/1b/4_stars.svg
Jurrell Casey,Tennessee Titans,Defense,1,0,"$15,750",23.9,07/11/2013,05/12/1989,"Jurrell Casey (born December 5, 1989) is an American football defensive end for the Tennessee Titans of the National Football League (NFL). He was drafted by the Titans in the third round of the 2011 NFL Draft . He played college football for the University of Southern California (USC).",http://en.wikipedia.org/wiki/Jurrell_Casey,//upload.wikimedia.org/wikipedia/commons/8/83/Jurrell_Casey.JPG
Lawrence Jackson,Detroit Lions,Defense,1,0,"$15,750",27.1,19/10/2012,30/08/1985,"Lawrence Christopher Jackson (born August 30, 1985) is an American football defensive end who is currently a free agent. He was drafted by the Seattle Seahawks in the first round of the 2008 NFL Draft. He played college football at USC. ",http://en.wikipedia.org/wiki/Lawrence_Jackson,//upload.wikimedia.org/wikipedia/commons/6/6c/091507-USCNeb-LawrenceJackson.jpg
London Fletcher,Washington Redskins,Inside Linebacker,1,0,"$15,750",38.5,08/11/2013,19/05/1975,"London Levi Fletcher-Baker (born May 19, 1975) is a retired American football linebacker that played in the National Football League (NFL). Undrafted in 1998, he was signed by the St. Louis Rams as a rookie free agent and became a Super Bowl champion with the team. He was also a member of the Buffalo Bills , where he played for five seasons, and the Washington Redskins , where he played for seven seasons.",http://en.wikipedia.org/wiki/London_Fletcher,//upload.wikimedia.org/wikipedia/commons/5/56/London_Fletcher.JPG
Lorenzo Alexander,Washington Redskins,Outside Linebacker,1,0,"$15,750",29.3,21/09/2012,31/05/1983,"Lorenzo John Alexander (born May 31, 1983) is an American football linebacker and special teamer for the Arizona Cardinals of the National Football League (NFL). He played college football for the University of California , and was signed as an undrafted free agent by the Carolina Panthers in 2005.",http://en.wikipedia.org/wiki/Lorenzo_Alexander,//upload.wikimedia.org/wikipedia/commons/9/90/Lorenzo_alexander_2011.jpg
Marcus Benard,Arizona Cardinals,Outside Linebacker,1,0,"$15,750",28.4,20/12/2013,26/07/1985,"Marcus Benard (born July 26, 1985) is an American football linebacker for the Arizona Cardinals . He was signed by the Cleveland Browns as an undrafted free agent in 2009. He played college football at Jackson State .",http://en.wikipedia.org/wiki/Marcus_Benard,
Marcus Cannon,New England Patriots,Guard,1,0,"$15,750",25.5,22/11/2013,06/05/1988,"Marcus Darell Cannon (born May 6, 1988) is an American football guard and tackle with the New England Patriots of the National Football League . Prior to the 2011 NFL Draft , Cannon was considered one of the top offensive guard prospects; the Patriots selected Cannon in the fifth round with the 138th pick. He played college football at Texas Christian University , where he played offensive tackle .",http://en.wikipedia.org/wiki/Marcus_Cannon,//upload.wikimedia.org/wikipedia/commons/d/de/Marcus_Cannon.JPG
Marcus Dowtin,New York Jets,Outside Linebacker,1,0,"$15,750",23.8,02/11/2012,22/01/1989,"Marcus Dowtin (born January 22, 1989) is an American football linebacker who is currently a free agent. Dowtin was signed by the New York Jets as an undrafted free agent in 2012. Dowtin played college football at Georgia before transferring to North Alabama during his senior year.",http://en.wikipedia.org/wiki/Marcus_Dowtin,//upload.wikimedia.org/wikipedia/commons/1/1b/4_stars.svg
Matt Hasselbeck,Tennessee Titans,Quarterback,1,0,"$15,750",37.1,09/11/2012,25/09/1975,"Matthew Michael ""Matt"" Hasselbeck (born September 25, 1975) is an American football quarterback for the Indianapolis Colts of the National Football League (NFL). He was drafted in the sixth round of the 1998 NFL Draft by the Green Bay Packers . After a season on the practice squad and two seasons backing up Brett Favre , he was traded to the Seattle Seahawks in 2001 . Hasselbeck gained the starting role in 2003 , and led Seattle to six playoff appearances and a Super Bowl appearance ; he was selected to three Pro Bowls and an All-Pro selection.",http://en.wikipedia.org/wiki/Matt_Hasselbeck,//upload.wikimedia.org/wikipedia/commons/e/e2/Matt_Hasselbeck_2014.JPG
Melvin Ingram,San Diego Chargers,Outside Linebacker,1,0,"$15,750",23.5,12/10/2012,26/04/1989,"Melvin Ingram (born April 26, 1989) is an American football linebacker for the San Diego Chargers of the National Football League (NFL). He played college football for the University of South Carolina , and earned All-American honors. He was selected by the Chargers in the first round with the 18th overall pick of the 2012 NFL Draft , and was considered one of the top pass rusher prospects available. ",http://en.wikipedia.org/wiki/Melvin_Ingram,//upload.wikimedia.org/wikipedia/commons/5/5c/Melvin_Ingram.JPG
Michael Bennett,Seattle Seahawks,Defense,1,0,"$15,750",28.0,15/11/2013,13/11/1985,"Michael Bennett, Jr. (born November 13, 1985) is an American football defensive end for the Seattle Seahawks of the National Football League (NFL). He played college football at Texas A&M . He signed with the Seahawks as an undrafted free agent in 2009. Bennett has also played for the Tampa Bay Buccaneers .",http://en.wikipedia.org/wiki/Michael_Bennett_(defensive_lineman),
Mike Martin,Tennessee Titans,Defense,1,0,"$15,750",22.2,02/11/2012,01/09/1990,"Michael Brendan Martin (born September 1, 1990) is an American football defensive end for the Tennessee Titans of the National Football League (NFL). He was selected by the Titans in the third round of the 2012 NFL Draft . He played college football for the Michigan Wolverines from 2008 to 2011. At Michigan, Martin recorded 172 tackles and appeared in 49 games, including 37 games as the Wolverines' starting nose tackle. He was selected as a second-team All- Big Ten Conference player by both the coaches and media in 2011 and received the same recognition from the coaches in 2010. In high school, he was the state Gatorade Player of the Year in football. He was also a two-time Michigan High School Athletic Association (MHSAA) state wrestling champion as well as a two-time MHSAA state shot put champion.",http://en.wikipedia.org/wiki/Mike_Martin_(defensive_lineman),//upload.wikimedia.org/wikipedia/commons/6/62/Mike_Martin_%28defensive_lineman%29.JPG
Mike Pouncey,Miami Dolphins,Center,2,0,"$15,750",23.1,14/09/2012,24/07/1989,"James Michael Pouncey (born July 24, 1989) is an American football center and guard for the Miami Dolphins of the National Football League (NFL). He played college football for the University of Florida , was a member of a BCS National Championship team, and earned All-American honors. He was drafted by the Dolphins in the first round of the 2011 NFL Draft .",http://en.wikipedia.org/wiki/Mike_Pouncey,//upload.wikimedia.org/wikipedia/commons/c/ca/Mike_Pouncey.jpg
Moise Fokou,Tennessee Titans,Inside Linebacker,2,0,"$15,750",28.1,27/09/2013,28/08/1985,"Moise Fokou ( /ˈmoʊzɨs/ ""Moses""; born August 28, 1985) is a Cameroon -born American football linebacker for the New Orleans Saints . He was drafted by the Philadelphia Eagles in the seventh round of the 2009 NFL Draft . He played college football at Maryland and Frostburg State .",http://en.wikipedia.org/wiki/Moise_Fokou,//upload.wikimedia.org/wikipedia/commons/1/1f/Moise_Fokou.JPG
Osi Umenyiora,Atlanta Falcons,Outside Linebacker,1,0,"$15,750",32.0,01/11/2013,16/11/1981,"Ositadimma ""Osi"" Umenyiora (born November 16, 1981) is a British-born American football player who is an outside linebacker for the Atlanta Falcons of the National Football League (NFL). He played college football for Troy University , and he was drafted by the New York Giants in the second round of the 2003 NFL Draft . Umenyiora has been selected for the Pro Bowl twice, and holds the Giants franchise record for most sacks in one game. He is one of three British-born players to have won a Super Bowl ring, joining Scott McCready and former Giants teammate Lawrence Tynes . ",http://en.wikipedia.org/wiki/Osi_Umenyiora,//upload.wikimedia.org/wikipedia/commons/7/71/Osi_Umenyiora.jpg
Prince Amukamara,New York Giants,Cornerback,1,0,"$15,750",23.5,14/12/2012,06/06/1989,"Prince Kelechi Amukamara (born June 6, 1989) is an American football cornerback for the New York Giants of the National Football League (NFL). He played college football for the University of Nebraska, and earned unanimous All-American honors. He was drafted by the Giants in the first round of the 2011 NFL Draft, and was a member of the Giants' Super Bowl championship team as a rookie. ",http://en.wikipedia.org/wiki/Prince_Amukamara,//upload.wikimedia.org/wikipedia/commons/a/a6/Prince_Amukamara_2012_Shankbone.JPG
Rey Maualuga,Cincinnati Bengals,Inside Linebacker,1,0,"$15,750",25.8,16/11/2012,20/01/1987,"Rey Maualuga (born January 20, 1987) is an American football linebacker for the Cincinnati Bengals of the National Football League (NFL). He played college football for the University of Southern California (USC), and was recognized as a unanimous All-American. The Cincinnati Bengals chose him in the second round of the 2009 NFL Draft. ",http://en.wikipedia.org/wiki/Rey_Maualuga,//upload.wikimedia.org/wikipedia/commons/f/f9/Rey_Maualuga_Bengals.jpg
Richard Sherman,Seattle Seahawks,Cornerback,2,0,"$15,750",25.7,06/12/2013,30/03/1988,"Richard Kevin Sherman (born March 30, 1988) is an American football cornerback for the Seattle Seahawks of the National Football League (NFL). He was drafted by the Seahawks in the fifth round of the 2011 NFL Draft . He played college football for Stanford , both as a wide receiver and as a cornerback. ",http://en.wikipedia.org/wiki/Richard_Sherman_(American_football),//upload.wikimedia.org/wikipedia/commons/f/f2/Richard_Sherman_%28American_football%29.JPG
Rocky McIntosh,Detroit Lions,Outside Linebacker,1,0,"$15,750",30.9,04/10/2013,15/11/1982,"Roger A. ""Rocky"" McIntosh Jr. (born November 15, 1982) is an American football linebacker who is currently a free agent/ He was drafted in the second round of the 2006 NFL Draft by the Washington Redskins . He played college football at the University of Miami .",http://en.wikipedia.org/wiki/Rocky_McIntosh,//upload.wikimedia.org/wikipedia/commons/6/6a/Rocky_mcintosh_2010.jpg
Scott Solomon,Tennessee Titans,Defense,1,0,"$15,750",23.9,28/09/2012,05/11/1988,"Scott Solomon (born November 5, 1988) is an American football defensive end free agent. He was selected in the seventh round, 211th overall, by the Tennessee Titans in the 2012 NFL Draft . He played college football at Rice .",http://en.wikipedia.org/wiki/Scott_Solomon,
Sean Weatherspoon,Atlanta Falcons,Outside Linebacker,1,0,"$15,750",25.9,06/12/2013,29/12/1987,"Franklin De'Sean ""Sean"" Weatherspoon (born December 29, 1987), nicknamed ""Spoon"" is an American football linebacker for the Atlanta Falcons of the National Football League . He played college football at University of Missouri , and was drafted by the Falcons with the 19th overall pick in the 2010 NFL Draft . ",http://en.wikipedia.org/wiki/Sean_Weatherspoon,//upload.wikimedia.org/wikipedia/commons/f/f0/Sean_Weatherspoon_2013.jpg
Sio Moore,Oakland Raiders,Inside Linebacker,1,0,"$15,750",23.6,29/11/2013,02/05/1990,"Snorsio Alston ""Sio"" Moore (born May 2, 1990) is an American football linebacker for the Oakland Raiders of the National Football League (NFL). He played college football for the University of Connecticut . The Oakland Raiders selected him in the third round (66th overall) of the 2013 NFL Draft .",http://en.wikipedia.org/wiki/Sio_Moore,
Ted Larsen,Tampa Bay Buccaneers,Guard,2,0,"$15,750",25.4,23/11/2012,13/06/1987,"Theodore ""Ted"" Larsen (born June 13, 1987) is an American football Guard for the Arizona Cardinals of the National Football League (NFL). He was drafted by the New England Patriots in the sixth round of the 2010 NFL Draft . He played college football at North Carolina State .",http://en.wikipedia.org/wiki/Ted_Larsen,//upload.wikimedia.org/wikipedia/commons/e/ea/Ted_Larsen.JPG
Thomas DeCoud,Atlanta Falcons,Safety,1,0,"$15,750",28.5,04/10/2013,19/03/1985,"Thomas DeCoud (born March 19, 1985) is an American football free safety for the Carolina Panthers of the National Football League (NFL). He played college football for the University of California, Berkeley. He was drafted by the Atlanta Falcons in the third round of the 2008 NFL Draft. ",http://en.wikipedia.org/wiki/Thomas_DeCoud,//upload.wikimedia.org/wikipedia/commons/9/9b/Thomas_DeCoud_2013.jpg
Tyron Smith,Dallas Cowboys,Left Tackle,1,0,"$15,750",21.8,14/09/2012,12/12/1990,"Tyron Smith (born December 12, 1990) is an American football offensive tackle for the Dallas Cowboys of the National Football League (NFL). He was drafted by the Cowboys ninth overall in the 2011 NFL Draft . He played college football at USC .",http://en.wikipedia.org/wiki/Tyron_Smith,//upload.wikimedia.org/wikipedia/commons/5/51/Tyron_Smith.jpg
Tyvon Branch,Oakland Raiders,Safety,1,0,"$15,750",25.9,09/11/2012,11/12/1986,"Tyvon A. Branch (born December 11, 1986) is an American football safety for the Oakland Raiders of the National Football League . He was drafted by the Raiders in the fourth round of the 2008 NFL Draft . He played college football at Connecticut .",http://en.wikipedia.org/wiki/Tyvon_Branch,//upload.wikimedia.org/wikipedia/commons/0/08/Tyvon_Branch.JPG
Wesley Woodyard,Denver Broncos,Inside Linebacker,1,0,"$15,750",27.3,01/11/2013,21/07/1986,"Wesley Woodyard Jr. (born July 21, 1986) nicknamed "" The Lumberjack "", is an American football linebacker for the Tennessee Titans of the National Football League (NFL). He was signed as an undrafted free agent by the Denver Broncos in 2008. He played college football for the University of Kentucky .",http://en.wikipedia.org/wiki/Wesley_Woodyard,//upload.wikimedia.org/wikipedia/commons/3/3a/Wesley_Woodyard_2012.JPG
Whitney Mercilus,Houston Texans,Outside Linebacker,1,0,"$15,750",23.2,27/09/2013,21/07/1990,"Whitney Mercilus (born July 21, 1990) is an American football Outside Linebacker for the Houston Texans of the National Football League (NFL). He played college football for the University of Illinois , and was recognized as a unanimous All-American . He was selected by the Texans in the first round of the 2012 NFL Draft , and was considered one of the best defensive end prospects for 2012. ",http://en.wikipedia.org/wiki/Whitney_Mercilus,//upload.wikimedia.org/wikipedia/commons/4/48/Whitney_Mercilus.JPG
William Gay,Pittsburgh Steelers,Cornerback,1,0,"$15,750",28.9,29/11/2013,01/01/1985,"William Gay (born January 1, 1985 ) is an American football cornerback for the Pittsburgh Steelers of the National Football League (NFL). He was drafted by the Steelers in the fifth round of the 2007 NFL Draft . He played college football for the University of Louisville .",http://en.wikipedia.org/wiki/William_Gay_(cornerback),//upload.wikimedia.org/wikipedia/commons/5/50/William_Gay_Steelers.jpg
Zackary Bowman,Chicago Bears,Cornerback,1,0,"$15,750",29.0,22/11/2013,18/11/1984,"Zackary Bowman (born November 18, 1984) is an American football cornerback for the New York Giants of the National Football League (NFL). He was drafted by the Chicago Bears in the fifth round of the 2008 NFL Draft . He played college football at Nebraska .",http://en.wikipedia.org/wiki/Zackary_Bowman,//upload.wikimedia.org/wikipedia/commons/5/5f/Zackary_Bowman.JPG
Andy Levitre,"Buffalo Bills, Tennessee Titans",Guard,2,0,"$15,768",24.6,11/12/2010,15/05/1986,"Andrew Steven Levitre ( /ləˈviːtri/ ; born May 15, 1986) is an American football offensive guard for the Tennessee Titans of the National Football League . He was drafted by the Buffalo Bills in the second round, 51st overall in the 2009 NFL Draft . He played college football for the Oregon State Beavers .",http://en.wikipedia.org/wiki/Andy_Levitre,//upload.wikimedia.org/wikipedia/commons/5/5a/Andy_Levitre_2013.JPG
Derrick Morgan,Tennessee Titans,Outside Linebacker,2,0,"$15,768",22.7,21/09/2011,06/01/1989,"Derrick Lee Morgan (born January 6, 1989) is an American football linebacker for the Tennessee Titans of the National Football League (NFL). He was drafted by the Titans in the first round of the 2010 NFL Draft . He played college football at Georgia Tech .",http://en.wikipedia.org/wiki/Derrick_Morgan_(American_football),//upload.wikimedia.org/wikipedia/commons/f/f1/Derrick_morgan_2014.jpg
Brian Quick,St. Louis Rams,Wide Receiver,2,0,"$16,143",24.4,25/10/2013,05/06/1989,"Brian Rumeal Quick (born June 5, 1989) is an American football wide receiver for the St. Louis Rams of the National Football League (NFL). He played college football at Appalachian State . He was considered one of the top wide receiver prospects for the 2012 NFL Draft . ",http://en.wikipedia.org/wiki/Brian_Quick,//upload.wikimedia.org/wikipedia/commons/e/e9/Brian_Quick_ASU_2011.jpg
Eugene Sims,St. Louis Rams,Defense,2,0,"$16,143",27.8,03/01/2014,16/03/1986,"Eugene Sims (born March 16, 1986) is an American football player, who currently plays as a defensive end for the St. Louis Rams. ",http://en.wikipedia.org/wiki/Eugene_Sims,http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13457.png
Jimmy Smith,Baltimore Ravens,Cornerback,2,0,"$16,143",25.1,13/09/2013,26/07/1988,"James Michael ""Jimmy"" Smith (born July 26, 1988) is an American football cornerback for the Baltimore Ravens of the National Football League (NFL). He was drafted by the Ravens with the 27th pick in the 2011 NFL Draft. He played college football at Colorado. ",http://en.wikipedia.org/wiki/Jimmy_Smith_(cornerback),//upload.wikimedia.org/wikipedia/commons/3/3d/Jimmy_smith_2011_stadium_practice.jpg
King Dunlap,"Philadelphia Eagles, San Diego Chargers",Left Tackle,2,0,"$16,143",27.3,04/01/2013,14/09/1985,"King David Dunlap, V (born September 14, 1985) is an American football offensive tackle for the San Diego Chargers of the National Football League (NFL). He was drafted by the Philadelphia Eagles 230th overall in the seventh round of the 2008 NFL Draft. He played college football at Auburn. ",http://en.wikipedia.org/wiki/King_Dunlap,//upload.wikimedia.org/wikipedia/commons/2/2a/King-Dunlap_August-2010.jpg
Kyle Long,Chicago Bears,Guard,2,0,"$16,143",25.0,29/11/2013,05/12/1988,"Kyle Howard Long (born December 5, 1988) is an American football guard for the Chicago Bears of the National Football League (NFL). He played college football for the University of Oregon . Long was drafted by the Bears in the first round of the 2013 NFL Draft . ",http://en.wikipedia.org/wiki/Kyle_Long,//upload.wikimedia.org/wikipedia/commons/9/95/Kyle_long.jpg
Bashaud Breeland,Washington Redskins,Cornerback,1,0,"$16,537",22.6,12/09/2014,30/01/1992,"Bashaud Breeland (born January 30, 1992) is an American football cornerback for the Washington Redskins of the National Football League (NFL). He played college football at Clemson University . He was selected by the Redskins in the fourth round of the 2014 NFL Draft .",http://en.wikipedia.org/wiki/Bashaud_Breeland,//upload.wikimedia.org/wikipedia/commons/5/5c/Bashaud_breeland.jpg
Dont'a Hightower,New England Patriots,Inside Linebacker,1,0,"$16,537",24.5,12/09/2014,12/03/1990,"Qualin Dont'a Hightower (born March 12, 1990) is an American football linebacker for the New England Patriots of the National Football League (NFL). He played college football for the University of Alabama , was recognized as an All-American , and was a member of two BCS National Championship teams. Hightower was selected by the Patriots in the first round of the 2012 NFL Draft .",http://en.wikipedia.org/wiki/Dont%27a_Hightower,//upload.wikimedia.org/wikipedia/commons/7/7f/Dont%27a_Hightower_Patriots.jpg
Fletcher Cox,Philadelphia Eagles,Defense,1,0,"$16,537",23.7,12/09/2014,13/12/1990,"Fletcher Cox (born December 13, 1990) is an American football defensive end for the Philadelphia Eagles of the National Football League. After playing college football for Mississippi State, he was selected 12th overall by the Eagles in the 2012 NFL Draft. ",http://en.wikipedia.org/wiki/Fletcher_Cox,//upload.wikimedia.org/wikipedia/commons/2/29/Fletcher_Cox.JPG
J.C. Tretter,Green Bay Packers,Center,1,0,"$16,537",23.8,21/11/2014,12/02/1991,"Joseph Carl Tretter, Jr. (born c. 1991) is an American football center for the Green Bay Packers of the National Football League (NFL). Tretter played college football for Cornell University . He was drafted by the Green Bay Packers in the fourth round of the 2013 NFL Draft . ",http://en.wikipedia.org/wiki/J._C._Tretter,
Jerraud Powers,Arizona Cardinals,Cornerback,1,0,"$16,537",27.3,31/10/2014,19/07/1987,"Jerraud Powers (born July 19, 1987) is an American football cornerback for the Arizona Cardinals of the National Football League . He was drafted by the Indianapolis Colts in the third round of the 2009 NFL Draft after declaring after his junior year. He played college football at Auburn .",http://en.wikipedia.org/wiki/Jerraud_Powers,//upload.wikimedia.org/wikipedia/commons/e/e8/Jerraud_Powers_2014.JPG
Keenan Robinson,Washington Redskins,Inside Linebacker,1,0,"$16,537",25.3,07/11/2014,07/07/1989,"Keenan Robinson (born July 7, 1989 ) is an American football linebacker for the Washington Redskins of the National Football League (NFL). He was selected in the fourth round of the 2012 NFL Draft by the Redskins. He played college football for the University of Texas .",http://en.wikipedia.org/wiki/Keenan_Robinson,//upload.wikimedia.org/wikipedia/commons/d/d8/Keenan_Robinson_2014.jpg
