Company,"Know to use the ""Double Irish Arrangement""?",Discloses Likely Tax Payments from Repatriation,Citizen for Tax Justice ID,Category,Description,Turnover,Profit,Employees,Address,Profile on Irish Times,Coordinates,Image,Sources,Sources Link,Homepage,Twitter
Kel-Tech Engineering,,,,Construction,"Kel-Tech is a precision fabrication and turning facility. Ray Breen established Kel-Tech Engineering in 1988. The company has grown steadily in the last 20 years but most especially in the last 5 years.Kel-Tech Engineering is situated in the city of Waterford on its purpose built 80,000sq feet factory. Kel-Tech Engineering has a number of household names on its books including Caterpillar, FG Wilson, Moffett, Combilift, Denso, Perkins and Broadcrown.","€10,900,000","-€200,000",92,ndustrial Estate  Waterford,http://www.top1000.ie/keltech-engineering,"52.132209,-7.843867",,,,http://www.keltechengineering.com/,
Kellihers Electrical,,,,Retailing,"Kellihers Electrical is an electrical wholesale and distribution company. Its main customers are electrical contractors, manufacturers and installers. Kellihers Electrical is part of the Rexel Group. It has 23 branches in the Republic of Ireland. It trades as CT Electrical in Galway, Castlebar, Sligo, Ballina, and Athlone and as Fitzpatrick Electrical in Dundalk and Navan. It employs some 190 people.","€80,700,000","€900,000",181,Ballymullen  Tralee  Co Kerry,http://www.top1000.ie/kellihers-electrical,"52.260769,-9.694169",,,,http://www.kellihers.com/,
Kellogg's,,,,Food,"The European headquarters of breakfast cereal manufacturer, Kellogg's, is based in Dublin. The Swords office undertakes finance, supply chain, nutrition, sales, marketing and business development for Kellogg's European business. It employs more than 150 people. Part of Kellogg’s operations here is (Kellogg Company of Ireland Ltd) who well cereal to the Irish market. Irish people are the largest consumers of breakfast cereal in the world. 130 million bowls of Kellogg’s cornflakes are consumed in Ireland each year.","€1,400,000,000","-€101,400,000",219,Airside Business Park  Swords  Co. Dublin,http://www.top1000.ie/kelloggs,"53.446551,-6.21929",http://www.top1000.ie/images/logo/kelloggs,,,http://www.kelloggs.ie/,@KelloggsIreland
Kenmare Resources,,,,Energy,"Kenmare Resources plc has been a mining and exploration company since 1972. The company is a member of the FTSE 250 Index and has a primary listing on the London Stock Exchange and secondary listing on the Irish Stock Exchange. The principal activities of the group are the exploration for commercial deposits of natural resources and the development and operation of mines. Kenmare's main asset is the Moma Titanium Minerals Mine, located on the coast of Mozambique. The Moma Mine contains reserves of heavy minerals which include the titanium minerals ilmenite and rutile, as well as the high-value zircon mineral.Its Irish offices are on Chatham Street, Dublin 2.","€100,100,000","-€30,600,000","1,554",Chatham House  Chatham Street  Dublin 2,http://www.top1000.ie/kenmare-resources,"53.34077,-6.261061",,,,http://www.kenmareresources.com/,
Kent Stainless,,,,Construction,"Kent Stainless Ltd. was founded in 1982 as a general steel fabricator. The company focused on Stainless Steel fabrication at the end of the 1980s and began specialising in stainless steel drainage products in the early 1990’s. Sustained growth by the company throughout the 1990s saw the introduction of stainless steel surface protection, and in the late 1990s this began to be demanded for outdoor applications.","€15,800,000","€1,100,000",101,Ardcavan  Wexford,http://www.top1000.ie/kent-stainless,"52.355568,-6.453414",,,,http://www.kentstainless.com/,
Kepak,,,,Agribusiness,"Kepak Group is one of Europe's leading food processing companies. It is divided into three strategic business units comprising Kepak Meat Division (KMD), Kepak Convenience Foods (KCF) and Agra Trading. Each plays a pivotal role in our growth and expansion. Kepak Group processes in excess of 300,000 cattle, 1.5 million lambs and 25,000 tons of consumer foods per annum.","€775,000,000",,"2,000",Clonee  Co. Meath,http://www.top1000.ie/kepak,"53.410396,-6.429469",,,,http://www.kepak.com/,
Kerry Group,,,,Food,"Kerry Group today provides food, food ingredients and flavours to the Irish and UK markets. Since the commissioning of its first dairy and ingredients plant in Listowel, Co Kerry in 1972, the company has grown to achieve current annualised sales of approximately €5.3 billion.Headquartered in Tralee, Ireland, the Group employs over 24,000 people throughout its manufacturing, sales, technology and application centres across Europe, North America, South America, Australia, New Zealand and Asian Markets.It supplies over 15,000 food, food ingredients and flavour products to customers in more than 140 countries worldwide; has manufacturing facilities in 25 different countries and international sales offices in 20 others.Launched as a public company in 1986, Kerry Group plc is listed on the Dublin and London Stock Markets and has a current market capitalisation of approximately €6 billion.","€5,800,000,000","€532,300,000","24,492",Kerry Group plc  Prince’s Street  Tralee  Co. Kerry  Ireland,http://www.top1000.ie/kerry-group,"52.266385,-9.71037",,,,http://www.kerrygroup.com/,
Kevin O'Leary Group,,,,Retailing,The Kevin O'Leary motor group sells new and used cars and commercial vehicles in the south of Ireland. It operates Opel and Honda and Nissan franchises in Cork and Tipperary. The company employed 134 people as of 2012. The group also has retail food store and forecourt business interests.,"€35,000,000","€600,000",134,Irishtown  Bandon  Co Cork,http://www.top1000.ie/kevin-oleary-group,"51.746951,-8.726729",,,,http://www.kevinoleary.ie/,
KFC Ireland,,,,Food,"Herbel Restaurants operates the Kentucky Fried Chicken (KFC) franchise in Ireland, which consists of 18 KFC outlets.KFC is a global fast-food chain.","€19,000,000","€1,500,000",211,Unit 1  Gregg Court  Parnell Street  Dublin 1,http://www.top1000.ie/kfc-ireland,"53.34963,-6.269161",http://www.top1000.ie/images/logo/kfc-ireland,,,http://www.kfc.com/,@kfc_colonel
Kildare Chilling Co,,,,Agribusiness,Kildare Chilling Co. supplies beef and lamb products to consumers fifty two weeks a year. The company is a total meat processing operation on one site.,"€140,000,000",,350,Kildare Town  Co Kildare,http://www.top1000.ie/kildare-chilling-co,"53.159829,-6.908997",,,,http://www.kildarechillingco.ie/,
Kilkenny Group,,,,Retailing,"Kilkenny is an emporium for Irish designed products, promoting Irish design and supporting Irish artists and crafts people. It celebrated its 50th year in business in 2013.Kilkenny has eleven own brand stores in Dublin City, Stillorgan, Swords, Newbridge, Cork City, Douglas, Shanagarry, Galway, Killarney, Cashel and Trim and also two sister brand stores, known as Christy's, in Killarney, Co. Kerry and Cobh, Co. Cork.","€21,500,000","€600,000",193,3 New Street  Killarney  Co Kerry,http://www.top1000.ie/kilkenny-group,"52.059241,-9.509831",,,,,
Killarney Manufacturing Group,,,,Manufacturing,"Killarney Manufacturing Group is a global based engineering company. The Group has evolved from its beginnings as a manufacturer of GRP products into a multinational corporation whose operating divisions include Water Storage, Environmental, Road Safety and Composite & Building Products.","€22,500,000",,240,Ballyspillane Industrial Estate  Killarney  Co. Kerry.,http://www.top1000.ie/killarney-manufacturing-group,"52.064297,-9.471315",,,,http://www.kmggroup.eu/,
Kilsaran Concrete,,,,Construction,"Kilsaran Concrete is a manufacturer of concrete products. The company specialises in paving & walling, pre-mixed dry products, ready-mixed concrete, blocks and road surfacing materials.","€65,000,000",,600,Piercetown  Dunboyne  Co Meath.,http://www.top1000.ie/kilsaran-concrete,"53.444279,-6.467879",,,,http://www.kilsaran.ie/,
Kingspan,,,,Construction,"Kingspan manufactures insulation and building envelope solutions for the construction industry. It is based in Ireland but has operations in western and eastern Europe, the United States, India, Australasia and the Middle East. It employs some 5800 people.","€1,800,000,000","€102,000,000","5,800",Dublin Road  Kingscourt  Co. Cavan,http://www.top1000.ie/kingspan,"53.898954,-6.803139",http://www.top1000.ie/images/logo/kingspan,,,http://www.kingspan.com/,@kingspanimp
Kingston,,,,Consumer Technology,"Kingston Technology International Ltd is a manufacturer of memory products such as USB drives. It markets over 2000 memory products and supports more than 6000 systems.It is a privately owned company with headquarters based in Fountain Valley, California and with sales offices strategically placed all over the world. Localised manufacturing and fulfilment services are carried out in Taiwan, Malaysia, China and here in Ireland. In addition to this, Kingston designs, engineers, packages, tests and validates at component level. It supports both own branded product and OEM product. In 1997, Kingston established a logistics hub in Blanchardstown, Dublin, to support its OEM customers in Europe. The company employs 4,000 people worldwide. It employs 20 full time and 20 temporary staff in Dublin.","€2,600,000,000","€334,800,000",192,Kingston Technology International Ltd.  Blanchardstown Industrial Park  Snugborough road  Blanchardstown  Dublin 15  Ireland,http://www.top1000.ie/kingston,"53.403303,-6.36647",http://www.top1000.ie/images/logo/kingston,,,http://www.kingston.com/,@kingstontech
Kirby Group,,,,Construction,"Kirby Group is an international multi-disciplinary engineering services contractor which provides six core services; electrical, mechanical, controls & instrumentation, power, data technologies, and design & engineering.Its clients include Pfizer, Shell, Vodafone, Boston Scientific, Dell and Mainstream Renewable Power.","€63,800,000","€1,000,000",402,Kirby Group Engineering  Raheen Business Park  Raheen  Limerick  Ireland,http://www.top1000.ie/kirby-group,"52.624949,-8.657849",http://www.top1000.ie/images/logo/kirby-group,,,http://www.kirbygroup.ie/,@KirbyGroupEng
Kirchhoff Ireland,,,,Manufacturing,"Kirchoff Ireland manufactures steel components for the automotive industry. Its main customers include BMW, General Motors, Ford and Bosch. It is owned by Kirchoff Automotive Deutschland.","€15,100,000","€500,000",103,Lisnennan  Letterkenny  Co Donegal,http://www.top1000.ie/kirchhoff-ireland,"54.970978,-7.712084",,,,http://www.kirchhoff.ie/,
KN Network Services,,,,Construction,"KN Network Services is an infrastructure and utilities services provider operating in Ireland, UK and internationally. Its areas of expertise span civil engineering, telecoms, construction, wireless technologies, rail infrastructure and home energy services. Its Irish office is located in Clondalkin, Dublin 22.","€88,600,000","€2,700,000",326,1-4 Crag Avenue Business Park  Clondalkin Industrial Estate  Clondalkin  Dublin 22,http://www.top1000.ie/kn-network-services,"53.330666,-6.39165",,,,http://www.knnetworkservices.com/,
Kostal Ireland,,,,Manufacturing,"The Kostal Group, of Germany provides a wide range of products for the worldwide automotive industry. Kostal employs over 9,000 people worldwide. Originally established in 1912 as a producer of insulating material, it entered the automotive market in 1927 and the industrial electrical market in 1995.Kostal Ireland was established in Abbeyfeale, Co. Limerick, in 1981. It is an integrated manufacturer of automotive electronic systems, such as window lift controllers and rain sensors. It is involved in a range of technologies including hybrid fabrication, sophisticated surface mount and automated board insertion, tool design and manufacture, plastic injection moulding and product assembly and test. Its principal end customers include Mercedes Benz, BMW, Volkswagen, General Motors, Ford, Volvo, Nissan and Toyota.","€265,000,000",,846,KOSTAL Ireland GmbH  Mountmahon  Abbeyfeale  Co Limerick,http://www.top1000.ie/kostal-ireland,"52.385943,-9.280158",,,,http://www.kostal.com/,
KPMG,,,,Professional Services Accountancy,"KPMG is a provider of professional services in Ireland, providing a range of audit, tax and advisory services. Its clients operate in all sectors of Irish business. KPMG in Ireland has 78 partners and 1,850 people employed in offices in Dublin, Belfast, Cork and Galway.","€270,000,000",,"1,848",1 Stokes Place  St Stephen’s Green  Dublin 2,http://www.top1000.ie/kpmg,"53.339835,-6.260294",http://www.top1000.ie/images/logo/kpmg,,,http://www.kpmg.ie/,@KPMG_Ireland
KSG - Kylemore Services Group,,,,Food,Kylemore Services Group is an Irish-owned restaurant and hospitality service provider. The group operates three divisions serving nine million customers annually.,"€49,800,000","€400,000",928,McKee Avenue  Finglas  Dublin 11,http://www.top1000.ie/ksg-kylemore-services-group,"53.391043,-6.298779",http://www.top1000.ie/images/logo/ksg-kylemore-services-group,,,http://www.ksg.ie/,@KSGIreland
Kuehne & Nagel,,,,Transport,"Kuehne & Nagel is one of the world's biggest logistics companies. It was founded in 1890 in Bremen, Germany, by August Kuehne and Friedrich Nagel. It has 900 offices in over 100 countries with approximately 56,000 employees. It is listed on the Swiss stock exchange. In Ireland, it is based in Dublin Airport and operates from 8 locations across the country.","€154,300,000","€5,000,000",187,Unit 5  Horizon Logistics Park  Dublin Airport,http://www.top1000.ie/kuehne-nagel,"53.41755,-6.268382",http://www.top1000.ie/images/logo/kuehne-nagel,,,http://www.kn-portal.com/locations/europe/ireland/,@knlogistics
L Lynch,,,,Construction,The principal activity of L. Lynch and Co is the provision of mechanical engineering and maintenance services to the construction sector and also the holding and management of investments. The company's projects include the provision of sophisticated cleanroom and ultra high purity piping systems to mechanical and HVAC installations. It employed 237 people in 2012.,"€42,300,000","€1,100,000",237,L. Lynch & Co. Ltd.  Unit 16  Fonthill Industrial Park  Clondalkin  Dublin 22  Ireland.,http://www.top1000.ie/l-lynch,"53.321252,-6.410471",,,,http://www.llynch.com/,
Ladbrokes,,,,Retailing,"Ladbrokes offers betting and gaming services via retail, online, mobile and telephone operations with over 16,000 employees. It is listed on the London Stock Exchange and is a member of the FTSE 250 Index","€421,900,000","-€14,300,000",917,Riverside One  Sir John Rogerson's Quay  Dublin 2,http://www.top1000.ie/ladbrokes,"53.345579,-6.23793",http://www.top1000.ie/images/logo/ladbrokes,,,http://www.ladbrokes.com/,@ladbrokesnews
Lagan Asphalts,,,,Construction,"Part of the wider Lagan Group, Lagan Asphalt tender for and carry out contracts at a local and national level in both the Public and Private sectors.It has regional depots in Bennettsbridge, Co Kilkenny; Tulla, Co Clare; Aughamore, Carraroe, Co Sligo; Rossmore Bay, Carrigtwohill, Co Cork and Kinnegad, Co Westmeath. The plants all produce high quality Bitumen Macadam and Asphalt surfacing.","€58,100,000","€4,600,000",37,Rosemount Business Park  Ballycoolin Road  Dublin 11,http://www.top1000.ie/lagan-asphalts,"53.407168,-6.346375",,,,http://www.laganasphaltgroup.com/,
Lagan Cement,,,,Construction,"Lagan Cement is part of the Lagan Group which has businesses including quarrying, cement, bricks, sand, bitumen, blocks, bricks and roof tiles.Lagan Cement has a 500-acre cement manufacturing facility in Kinnegad Co. Meath with the capacity to produce 700,000 tonnes of cement each year. It also has a silo facility at Belfast Port to import cement from around Europe which is distributed domestically.","€44,300,000","€5,400,000",95,Lansdown Cement Works  Killaskillen  Kinnegad  Co Meath,http://www.top1000.ie/lagan-cement,"53.43443,-7.137863",,,,http://www.lagangroup.co.uk/,
Lagan Group,,,,Construction,"Lagan was founded 50 years ago with quarrying as core business. Lagan produces in excess of 3.5 million tonnes of quarry material every year. In addition to quarrying, the materials, cement and bricks divisions manufacture or supply bitumen, sand, cement, roof tiles, ready mix concrete, concrete blocks, bricks and clay products.","€400,000,000",,"1,500",19 Clarendon Road  Belfast  Co.Antrim  BT1 3BG,http://www.top1000.ie/lagan-group,"54.591217,-5.883645",,,,http://www.lagangroup.co.uk/,
Lake Region Medical,,,,Health,"Lake Region Medical is a manufacturer of minimally invasive medical devices.Founded in 1947, the company specialises in marketing medical devices to meet clinical challenges in stimulation therapy, cardiovascular, neurovascular, and peripheral vascular applications, serving customers in over 50 countries.The company partners established device companies needing development support for non-core products and start-ups needing new product development assistance.Lake Region Medical is a privately held corporation with over 1,600 employees. It is headquartered in Chaska near Minneapolis, Minnesota and has manufacturing facilities in New Ross and Galway in Ireland and a business office in Shanghai, China.","€77,600,000","€11,300,000",890,Butlersland  New Ross  Co Wexford,http://www.top1000.ie/lake-region-medical,"52.384749,-6.940446",,,,http://www.lakeregionmedical.com/,
Lakeland Dairies,,,,Agribusiness,"Lakeland Dairies, Ireland's second largest dairy processing co-operative, operates within a fifteen county catchment area in the northern half of the island of Ireland. The Group processes about one billion litres of quality milk annually into a range of value added dairy foodservice products and functional food ingredients.It exports to 70 countries, has 170 branded products and employs 576 people. Its main food division is Pritchitts which manufactures cream, ice cream powdered diary products, butter and dessert bases under the brands Lakeland, Comelle and Springcool.","€473,000,000","€7,900,000",576,Killeshandra  Co. Cavan,http://www.top1000.ie/lakeland-dairies,"54.014862,-7.52644",,,,http://www.lakeland.ie/,
Lan Med Nautilus,,,,Communications,"Mediterranean Nautilus is a provider of network services in the Eastern Mediterranean basin. Using its fibre optic network, Mediterranean Nautilus provides connectivity between Eastern Mediterranean countries, Western Europe and the US.Mediterranean Nautilus is a fully owned subsidiary of Telecom Italia Sparkle Mediterranean Nautilus also operates the Lev Submarine Cable linking Israel, Cyprus and Italy and the Minerva Sub-System. Minerva is the first and only ring-protected cable system providing connectivity to Cyprus whilst utilising elements from both MedNautilus and Lev Systems. Mediterranean Nautilus is also a major supplier of co-location and disaster recovery services with state-of-the-art facilities in Athens, Chania (Crete) and Istanbul. The company's headquarters are in Dublin's IFSC.","€154,700,000","€53,100,000",138,"3 Harbourmaster place  IFSC  Dublin 1, Ireland ",http://www.top1000.ie/lan-med-nautilus,"53.350193,-6.250985",,,,http://www.mednautilus.com/,
Landmark Media Investments,,,,Media And Marketing,"Formally known as Thomas Crosbie Holdings, Landmark Media Investments emerged following a restructuring and examinership of the group in March 2013. It comprises newspapers including the Irish Examiner, the Evening Echo and regional titles.The company also has a new media division including RecruitIreland.com, Breakingnews.ie, and Motornet.ie and shareholdings in local and regional radio stations WLR FM, Beat 102 103, Red FM, and MidWest Radio.","€71,800,000",,658,Linn Dubh  Assumption Road  Blackpool  Cork  Ireland. ,http://www.top1000.ie/landmark-media-investments,"51.910488,-8.470984",,,,http://tch.ie/,
Largo Foods,,,,Agribusiness,"Established in 1983, Largo Foods is an Irish company which manufactures and distributes snack foods (crisps, snacks, peanuts and popcorn) in Ireland, supplying branded and own label products to Ireland, the UK, continental Europe, Australia, US and Middle East. Its brands include Tayto, Hunky Dorys, King and Perri. It has production facilities in Ashbourne, Co Meath, Gweedore, Co Donegal and Barnsley, UK.Largo Foods is the leading snack-food company in Ireland with a close to 50% market share, employing 550 people with an annual turnover in the region of €100 million.","€100,000,000",,450,Largo Foods  Kilbrew  Ashbourne  Co Meath,http://www.top1000.ie/largo-foods,"53.536237,-6.446955",,,,http://www.largofoods.ie/,
Laya Healthcare,,,,Financial Services Insurance,"Originally established over 15 years ago as BUPA Ireland Ltd, Laya Healthcare was launched in May 2012 following a management led buy-out of QUINN Healthcare. Laya Healthcare is underwritten by Elips Insurance Ltd (trading as laya healthcare), a wholly owned subsidiary of Swiss Re.","€33,800,000","€5,000,000",348,Eastgate Road  Eastgate Business Park  Little Island  Co Cork.,http://www.top1000.ie/laya-healthcare,"51.905695,-8.363725",,,,http://www.layahealthcare.ie/,
Leanort,,,,Construction,"Leanort is the company behind the Xtratherm and Hythern businesses. The company provides insualtion products, including polystyrene board insulation and rigid board insulation. It has operations in Navan in Co Meath and Chesterfield in the UK In 2006 the Competition Authority blocked a proposed acquisition of the company by Kingspan.","€105,600,000","€8,000,000",263,Liscarton Industrial Estate  Kells Road  Navan  County Meath,http://www.top1000.ie/leanort,"53.658523,-6.713011",http://www.top1000.ie/images/logo/leanort,,,http://www.xtratherm.com/,@xtratherm
Leaseplan,,,,Transport,"Established in 1963, LeasePlan Group now provides fleet management services in 30 countries employing more than 6,000 people. Leaseplan Ireland provides car lease financing, car fleet management and the sale of new and used vehicles. It has a fleet in excess of 11,000 vehicles including nearly 4,000 commercial vehicles.","€59,800,000","€4,900,000",55,1st Floor  LeasePlan House  Central Park  Leopardstown  Dublin 18,http://www.top1000.ie/leaseplan,"53.265758,-6.206294",http://www.top1000.ie/images/logo/leaseplan,,,http://www.leaseplan.ie/,@leaseplan_ie
Leaseplan Information Services,,,,Business Technology,LeasePlan Information Services provides centralised information communication technology and infrastructure services within the LeasePlan group. It was established in Dublin in 2003.,"€33,500,000","€2,200,000",130,LeasePlan House  Central Park  Leopardstown  Dublin 18.,http://www.top1000.ie/leaseplan-information-services,"53.270403,-6.207925",,,,http://www.leaseplanis.com/,
Leefield,,,,Retailing,"Leefield is a holding company primarily concerned with the operation of supermarkets. It trades as Quish's Supervalu in Tramore, Co Waterford and also owns 100% of Lemac Retailing.","€31,200,000","€400,000",184,Supervalu  Priest's Road  Tramore  Co Waterford,http://www.top1000.ie/leefield,"52.161766,-7.153791",,,,,
Liberty Medical Services,,,,Health,"Liberty Medical Services, based in Ballina, Co Mayo, replenishes medical products to Hollister distribution centres and business units worldwide. It also sells directly to distributors and other customers in the Middle East and Africa.","€220,400,000","€7,200,000",,Rehins  Ballina  Co Mayo,http://www.top1000.ie/liberty-medical-services,"54.097909,-9.160432",,,,http://www.libertymedical.com/,
Lidl,,,,Retailing,Lidl is a discount supermarket chain founded in Germany. The company has 156 stores across the island of Ireland.,"€787,500,000",,"3,700",Great Connell Road  Newbridge  Co Kildare.,http://www.top1000.ie/lidl,"53.183035,-6.783393",http://www.top1000.ie/images/logo/lidl,,,http://www.lidl.ie/,@lidl_ireland
Liebherr,,,,Manufacturing,"Based in Killarney Co. Kerry, the principal activity of Liebherr Container Cranes is the manufacture and supply of container handling equipment such as cranes. Liebherr Container Cranes is a part of the Liebherr Group, a group of companies, employing a workforce of 32,979 in more than 120 companies on all continents.The decentrally organised Liebherr Group is divided into company units, operating independently. Operative management of the production and sales companies for the individual product segments is in the hands of divisional control companies. The Liebherr Group’s holding company is Liebherr-International AG in Bulle, Switzerland, which is entirely owned by members of the Liebherr family.","€227,800,000","€6,100,000",663,"Lower Road  Fossa  Killarney, Co.Kerry",http://www.top1000.ie/liebherr,"52.067299,-9.578035",,,,http://www.liebherr.com/,
Lifestyle Sports,,,,Retailing,"Ellsont Fashion has a number of retail sports outlets throughout the Republic of Ireland and Northern Ireland. The outlets - Lifestyle Sports - retail sports footwear, apparel and equipment. It is a subsidiary of Stafford Holdings","€42,700,000","€200,000",317,40 Mary Street  Dublin 1,http://www.top1000.ie/lifestyle-sports,"53.349032,-6.26502",http://www.top1000.ie/images/logo/lifestyle-sports,,,http://www.lifestylesports.com/,@lifestylesports
Liffey Meats,,,,Food,"Liffey Meats is a beef processor and meat exporter based in Ballyjamesduff, Co Cavan. The company exports beef to the UK and mainland Europe. It has a number of portion controlled and pre-packed products including hamburgers, grillsteaks, diced beef and retailed packed fresh meat.","€200,000,000",,400,Ballyjamesduff  Co Cavan,http://www.top1000.ie/liffey-meats,"53.856693,-7.200925",,,,http://www.liffeymeats.ie/,
Liffey Mills,,,,Agribusiness,"Liffey Mills (Labtop Ltd) sells fertilisers and agricultural products. In addition it manufactures and sells feedmeals. Labtop Ltd's best known subsidiary is Liffey Mills which was founded in 1982 by Richard Liffey Jnr. It is based in Roscrea and has operations in Shinrone, Nenagh, Athy and Banagher. The company employs 65 people.","€76,900,000","€1,800,000",66,Bunnow  Roscrea  Co. Tipperary,http://www.top1000.ie/liffey-mills,"52.955096,-7.799178",,,,http://www.liffeymills.ie/,
Lillington Limited,,,,Professional Services Consultancy,"The Lillington Group act as advertising agents and provide sales, promotion and marketing consultancy services. It owns Dublin ad agency DDFH&B.","€35,900,000","€4,300,000",152,3 Christchurch Square  Dublin 8.,http://www.top1000.ie/lillington-limited,"53.343087,-6.2707",,,,,
Lily O'Brien's Chocolates,,,,Food,"Lily O'Brien's is one of Ireland's leading chocolate manufacturers. Founded in 1992 in the Kildare kitchen of Mary Ann O'Brien, the company was named after Mary Ann's eldest daughter, Lily, and since then has grown into a truly global brand with an international reputation for product excellence, innovation and style-driven packaging design.Lily O'Brien's exports to nine markets worldwide and these exports account for approximately 75 per cent of the company's annual turnover. Export markets include the UK, USA, Canada, Australia, New Zealand, Norway, Sweden, Denmark and Portugal.Primarily focused on the retail channel, the company also boasts a strong foodservice presence with longstanding relationships with top international airlines, railways and hotels.","€22,000,000",,130,Lily O'Briens  Green Road  Newbridge  Co Kildare,http://www.top1000.ie/lily-obriens-chocolates,"53.167779,-6.808667",http://www.top1000.ie/images/logo/lily-obriens-chocolates,,,http://www.lilyobriens.ie/,@lilyobriens
Limcor,,,,Agribusiness,Limcor is engaged in the manufacturing and distribution of animal feed. It is the holding company for a group which includes Cork-based Southern Mills and Longford-base Paul & Vincent.,"€187,200,000","€4,600,000",123,Marina Mills  Cork,http://www.top1000.ie/limcor,"51.897872,-8.471087",,,,http://www.southernmilling.ie/,
Limerick Alumina,,,,Resources,"Limerick Alumina Refining Limited is a subsidiary of RUSAL.RUSAL’s largest alumina refinery, Aughinish Alumina, based in Limerick is Europe’s largest alumina refinery and a major alumina asset of RUSAL.The facility infrastructure includes a deepwater terminal on the Shannon estuary that facilitates efficient deliveries to European smelters","€479,000,000","€12,300,000",450,Aughinish Island  Limerick,http://www.top1000.ie/limerick-alumina,"52.602357,-8.975423",,,,http://www.rusal.ru/en,
Lindsay Ford,,,,Transport,"Lindsay Ford is one of the largest car dealers in Northern Ireland and one of the biggest in the UK. Annually, the firm sells over 7,500 new and used vehicles.The company has sales and service at 8 locations in the North. The company also has a very successful rental business, centralised parts distribution operation and two Mazda franchises.","€126,900,000","-€600,000",385,"18-20 Market Place., Lisburn  County Antrim., BT28 1AR",http://www.top1000.ie/lindsay-ford,"54.510157,-6.048202",http://www.top1000.ie/images/logo/lindsay-ford,,,http://www.lindsayford.co.uk/,@lindsayfordni
Linkedin,,,,Consumer Technology,"LinkedIn operates the world’s largest professional network on the Internet with 161 million members in over 200 countries and territories. The company's revenues come from hiring solutions, marketing solutions and premium subscriptions.","€150,000,000",,450,70 Sir John Rogerson's Quay  Dublin 2.,http://www.top1000.ie/linkedin,"53.345279,-6.235216",http://www.top1000.ie/images/logo/linkedin,,,http://www.linkedin.com/,@LinkedIn
Lisavaird Co-op Creameries,,,,Energy,"Lisavaird Co-Op was established in 1925 by a group of local farmers around Clonakilty to market their produce collectively and to purchase their inputs at the best possible terms. Its customer base has now extended to the wider West Cork community, to which it supplies a wide range of goods for the farm, household, building, garden and much more.Lisavaird Co-Op consists of six branches in West Cork, a hardware and DIY store at Lisavaird, a feed mill, a farm building division, a fertiliser division, an engineering division and a specialist advisory and animal nutrition service.","€60,700,000","€3,500,000",76,Clonakilty  Co Cork,http://www.top1000.ie/lisavaird-coop-creameries,"51.620867,-8.894256",,,,http://www.lisavairdco-op.ie/,
Lisheen,,,,Resources,"Lisheen Milling Limited owns and operates lead and zinc reserves. The company was incorporated in 1997 and is based in Thurles, Co. Tipperary. The Lisheen Mine is wholly owned by Vedanta Resources plc,","€210,800,000","€27,100,000",74,Killoran  Moyne  Thurles  Co.Tipperary  Ireland,http://www.top1000.ie/lisheen,"52.831071,-7.755554",,,,http://www.lisheenmine.ie/,
Littlewoods,,,,Retailing,"Shop Direct ireland Limited is the company behind Littlewoods Ireland, the online retailer. Based in Blanchardstown in Dublin, it is the Irish division of Shop Direct, the UK online retailer which was formed following the merger of Shop Direct and Littlewoods.","€56,100,000","€2,600,000",17,Cape House  Westend Office Park  Blanchardstown  Dublin 15.,http://www.top1000.ie/littlewoods,"53.388451,-6.369809",http://www.top1000.ie/images/logo/littlewoods,,,http://www.littlewoodsireland.ie/,@littlewoods
Livisham,,,,Transport,Livisham Ltd is the European Sales company for SRAM LLC and is responsible for all sales of its bicycle components to the company's European customer base.,"€194,500,000","€12,300,000",15,8a Maritana Gate  Canada Street  Waterford,http://www.top1000.ie/livisham,"52.257928,-7.103088",http://www.top1000.ie/images/logo/livisham,,,http://www.sram.com/,@SRAM_mtb
Lloyds Pharmacy,,,,Pharma,"Formerly Doc Morris and under the Celesio umbrella, the now re-branded Lloyds Pharmacy chain began life in Dublin in 2001 with the acquisition of nine stores. It later expanded across the country to 73 pharmacies by 2012. Last year saw its first franchise pharmacy opening in Tullamore, Co. Offaly. The Celesio Group operates in 14 countries and employs some 39,000 people, serving two million people per day at 2,200 pharmacies of its own and 4,300 participants in brand partnership schemes.","€150,000,000",,950,Block A/D  2nd Floor  Cherrywood Science and Technology Park  Co Dublin,http://www.top1000.ie/lloyds-pharmacy,"53.244687,-6.138075",http://www.top1000.ie/images/logo/lloyds-pharmacy,,,http://www.docmorris.ie/,@docmorris_ie
Logicalis,,,,Consumer Technology,"With operations in Dublin and Cork, Logicalis has been successfully operating in Ireland for almost 25 years. It is part of US IT solutions and managed services group Logicalis.","€25,400,000","€1,100,000",39,62a Heather Road  Sandyford Industrial Estate  Dublin 18,http://www.top1000.ie/logicalis,"53.272717,-6.213777",,,,http://www.morse.ie/,
Londis,,,,Retailing,"ADM Londis plc services independently owned stores in communities across Ireland, the Group employs over 8,000 people in retail, distribution and support services. As Ireland's only unlisted plc ADM Londis is also the only Irish symbol group where Londis retailers can own the company through share holdings and realise the value in their shares at market price.","€195,000,000","€1,700,000",85,ADM Londis Plc  Johnstown  Naas  Co. Kildare,http://www.top1000.ie/londis,"53.232117,-6.617296",,,,http://www.londis.ie/,
