Name,Role,Motive,Sex,Date Killed,Year of Death,Month of Death,Country Killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local/Foreign,Source of Fire,Type of Death,Impunity (for Murder),Taken Captive,Threatened,Tortured,Profile on CPJ,Image,Description
Raeda Wazzan,Journalist,Motive Confirmed,Female,"February 25, 2005",2005,February,Iraq,Al-Iraqiya,Iraq,Television,Broadcast,"Politics, War",No,Local,Political Group,Murder,Yes,Yes,Yes,No,http://cpj.org/killed/2005/raeda-wazzan.php,http://cpj.org/killed/photos/raeda_wazzan_iraq_2005.jpg,"Wazzan, a news anchor with the Iraqi state TV channel Al-Iraqiya who was kidnapped on February 20, was found dead five days later on a roadside in Mosul, where the journalist had lived and worked, according to press reports citing her husband. She had been shot in the head repeatedly. Gunmen had also kidnapped Wazzan's 10-year-old son, but he was released days later. Wazzan's husband said that his wife had received several death threats with demands that she quit her job, The Associated Press reported. The station, funded by the Iraqi government, also came under mortar attack the previous week, injuring three technicians, according to press reports. The AP reported that al-Qaeda's affiliate in Iraq claimed responsibility for the attacks in Internet postings, but those claims could not be independently verified."
Rafed Mahmoud Said al-Anbagy,Journalist,Motive Confirmed,Male,"August 27, 2005",2005,August,Iraq,Diyala,Iraq,Television,"Broadcast, Producer","Culture, Sports, War",No,Local,Political Group,Murder,Yes,No,Yes,No,http://cpj.org/killed/2005/rafed-mahmoud-said-al-anbagy.php,,"Al-Anbagy, a 36-year-old news anchor and director at Diyala, part of the U.S.-backed Iraq Media Network, was shot dead in Za'toun neighborhood in the city of Baaquba, east of Baghdad, while covering a football match, sources at the broadcaster told CPJ.Al-Anbagy was interviewing one of the team's coaches when gunmen opened fire, killing both men. Al-Anbagy was shot in the head. Diyala sources said they believe al-Anbagy was killed because of his on-air criticism of insurgent groups and former Baathists. The sources said al-Anbagy had received several death threats for his reporting."
Raffaele Ciriello,Journalist,Motive Confirmed,Male,"March 13, 2002",2002,March,Israel and the Occupied Palestinian Territory,Freelance,Italy,Print,Photographer,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,http://cpj.org/killed/2002/raffaele-ciriello.php,http://cpj.org/killed/photos/raffaele_ciriello_pakistan_2002.jpg,"Ciriello, an Italian freelance photographer who was on assignment for the Italian daily Corriere della Sera, was killed by Israeli gunfire in the West Bank city of Ramallah, according to press reports and eyewitness testimony. Ciriello was the first foreign journalist killed while covering the current Palestinian uprising, which began in September 2000. The photographer died after being hit by a burst of machine gun fire from the direction of an Israeli tank during an Israeli military offensive in the West Bank and Gaza Strip. Amedeo Ricucci of the Italian television station Rai Uno told CPJ that he and his cameraman were accompanying Ciriello and trailing a group of Palestinian gunmen at the time of the incident. Ricucci said the area was quiet and was located roughly 500 yards (455 meters) to a half-mile (0.8 kilometers) from a nearby refugee camp where fighting between Israelis and Palestinians was taking place. The three journalists were standing inside a building off an alleyway, Ricucci said. Shortly afterward, a tank emerged at one end of the street 150 to 200 yards (135 to 180 meters) away, he said. Ciriello left the building and pointed his camera at the tank. He then came under fire without warning. Ciriello was shot six times and died of his wounds soon after. At least one Palestinian gunman was in Ciriello's vicinity at the time of the shooting, according to press reports. The Italian government has demanded a full investigation into the attack. After Ciriello's death, an Israel Defense Forces (IDF) spokesperson was unable to provide details about the circumstances of the shooting and claimed to have no information about the presence of journalists in Ramallah, which the IDF said was a closed military area at the time. The IDF added that journalists who entered the area were ""endangering"" themselves. In late August, the IDF announced that it had concluded an investigation into the incident and said that there was ""no evidence and no knowledge of an [army] force that fired in the direction of the photographer."""
Rafiq Tagi,Journalist,Motive Confirmed,Male,"November 23, 2011",2011,November,Azerbaijan,Freelance,Azerbaijan,Radio,Internet Reporter,"Culture, Politics",Yes,Local,Political Group,Murder,Yes,No,Yes,No,http://cpj.org/killed/2011/rafiq-tagi.php,http://cpj.org/killed/Tagi.IRFS1.jpg,"Tagi, 61, a freelance reporter who contributed to the Azerbaijani service of the U.S. government-funded Radio Free Europe/Radio Liberty (RFE/RL) and a number of local news websites and newspapers, was known for his opposition to political Islam and his criticism of the Azerbaijani authorities. He died in a Baku hospital, days after being treated for stab wounds he suffered in a November 19 attack.In a November 21 interview conducted by RFE/RL at the hospital, the journalist described the attack and speculated on its motive. Tagi said he was returning to his Baku home, located near the main police headquarters, when he heard an unidentified man running behind him. The man ran up to Tagi and, without saying or taking anything, stabbed him seven times. Tagi underwent surgery for a damaged spleen.In the interview, Tagi suggested the attack could have been related to an October article in which he criticized Iranian authorities for their theologically based policies and suppression of human rights. Tagi said Iranian clerics had issued a fatwa against him.Tagi died in the hospital two days after giving the interview; initial reports said he had choked. A subsequent report by the Ministry of Health attributed the death to peritonitis. Colleagues found his death to be suspicious. According to local press reports and CPJ sources, Tagi was making a good recovery and his condition was considered stable at the time of his death. Doctors had checked on Tagi 10 minutes before he was found dead and found nothing of concern, the Azerbaijani division of PEN International reported. PEN said that visitors were concerned by lax security at the hospital given that Tagi had received death threats.Tagi was imprisoned in May 2007 in connection with an article in the independent newspaper Senet, which asserted that Islam was hampering Azerbaijan's economic and political progress. At the time, Tagi was convicted of inciting religious hatred and sentenced to three years in prison. Tagi had received death threats from Islamists in Azerbaijan and neighboring Iran. CPJ spoke with his supporters in 2007, who expressed concern that Tagi was in danger.A presidential spokesman said authorities were investigating the stabbing. The Iranian embassy in Azerbaijan denied official involvement in the attack, press reports said, although the Iranian cleric Mohammed Fazel Lankarani welcomed Tagi's death as a ""just sentence"" in a published statement."
Rajesh Mishra,Journalist,Motive Confirmed,Male,"March  1, 2012",2012,March,India,Media Raj,India,Print,Print Reporter,Corruption,No,Local,Criminal Group,Murder,Yes,No,Yes,No,http://cpj.org/killed/2012/rajesh-mishra.php,,"Two assailants hit Mishra on the head with an iron rod while he was at a public tea stall in Rewa town in the central state of Madhya Pradesh, according to local news reports. The journalist died at a local hospital, the reports said.Mishra, a journalist for the local Hindi-language weekly Media Raj, had written articles on alleged financial irregularities in local schools, according to the news reports. The reports cited the journalist's family members as saying that he had been threatened during the week leading up to the attack.Police arrested at least four men for carrying out the murder, including Rajneesh Banerjee, who owned the schools Mishra was covering and a rival Hindi-language weekly, Vindhya Bharat. Vindhya Bharat Editor Anil Tripathi and two other employees were also arrested.Rewa Superintendent of Police Umesh Joga told the New Delhi-based media watchdog website The Hoot that Banerjee and his associates had retaliated against Mishra in connection with his reports. Vindhya Bharat and Media Raj each had a circulation of about 500 copies, The Hoot reported."
Rajesh Verma,Journalist,Motive Confirmed,Male,"September  7, 2013",2013,September,India,IBN 7,India,Television,"Broadcast, Camera Operator","Crime, Politics",No,Local,Unknown Fire,Dangerous Assignment,,No,No,No,http://cpj.org/killed/2013/rajesh-verma.php,,"Unidentified assailants fatally shot Rajesh Verma, a part-time stringer for the TV news channel IBN 7, in the chest while he was covering confrontations between Hindus and Muslims in the small city of Muzaffarnagar, according to Ajesh Mohan, senior assistant editor at IBN 7, and local news reports.Mohan told CPJ that Verma had worked for the station for about five years. Poh Si Teng, a former freelance journalist for Global Post, told CPJ that in the past Verma had also worked as a fixer for the Global Post.Indian officials said they had not been able to identify the perpetrator and that they were investigating the fatality.The clashes erupted following police dispersal of a meeting by Hindu farmers calling for justice in the killings of two Hindu men, according to The New York Times. The victims were believed to have been killed by Muslims, news reports said. Officials said the clashes were also fueled by a false video circulated last week that purportedly showed the two men being lynched. At least 28 people were killed and more than 90 individuals arrested in the violence.Indian prime minister Manmohan Singh met with Verma's family and told them the culprits would be held responsible. Chief Minister Akhilesh Yadav announced financial support of Rs. 1,500,000 (US $23,870) for Mr. Verma's family."
Ram Chander Chaterpatti,Journalist,Motive Confirmed,Male,"November 21, 2002",2002,November,India,Poora Sach,India,Print,Editor,Crime,No,Local,Political Group,Murder,Yes,No,No,No,http://cpj.org/killed/2002/ram-chander-chaterpatti.php,,"Chaterpatti, editor of the Hindi-language newspaper Poora Sach, died in a New Delhi hospital of injuries sustained in an assassination attempt made a month earlier. On October 24, a gunman fired several shots at Chaterpatti, a journalist based in Sirsa, a town in the northern state of Haryana. Chaterpatti was taken to an area hospital but was later transferred to the Apollo Hospital in New Delhi. Police arrested three suspects, including the alleged gunman and a leader of the Sirsa-based religious sect Dera Sacha Sauda, according to the Press Trust of India news agency. Officials said that Dera Sacha Sauda members are believed to have ordered Chaterpatti's murder in reprisal for the journalist's reporting on sexual abuse and other crimes allegedly committed at the group's compound in Sirsa. A delegation of journalists, including the president of the regional journalists' group Haryana Patrakar Sangh and representatives of India's National Union of Journalists, met with the director general of police in Haryana on the day of Chatterpatti's death, November 21, to press authorities to bring the journalist's killers to justice. The delegation also complained that several journalists in the area have received death threats for reporting on the activities of Dera Sacha Sauda."
Ram Singh Biling,Journalist,Motive Confirmed,Male,"January  3, 1992",1992,January,India,"Azdi Awaz, Daily Ajit",India,Print,Print Reporter,"Corruption, Human Rights, Politics",Yes,Local,Government Officials,Dangerous Assignment,,Yes,No,No,http://cpj.org/killed/1992/ram-singh-biling.php,,"Biling, the Amargarh-based correspondent for two Punjab newspapers, Azdi Awaz and Daily Ajit, was picked up by police while traveling by bus to the town of Jalandhar. Although officials denied the arrest, Biling, who is also a human rights activist, was reportedly seen in custody by village elders. Police did not acknowledgehis detention, but it is believed that he died in custody."
Rami al-Sayed,Journalist,Motive Confirmed,Male,"February 21, 2012",2012,February,Syria,Freelance,Syria,Radio,Camera Operator,"Human Rights, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,,,,http://cpj.org/killed/2012/rami-al-sayed.php,http://cpj.org/killed/Al-Sayed.2.22.12.afp.jpg,"Al-Sayed, a videographer, died at a local hospital soon after being wounded while covering Syrian forces' bombardment of the city of Homs, news reports said. The central city was under the 18th consecutive day of intense shelling by forces loyal to President Bashar al-Assad.Al-Sayed was a videographer whose work appeared on a live-streaming site and was picked up by international and regional news organizations. He had transmitted videos of events in the Homs neighborhood of Baba Amr to the live-streaming site Bambuser, and had uploaded hundreds of videos to his YouTube channel. His footage was used by several news organizations, news reports said.By controlling local news reports and expelling or denying entry to dozens of international journalists, the Syrian government had sought to impose a blackout on independent news coverage after the country's uprising began in early 2011. In the face of this attempted news blackout, international media relied heavily on footage shot by citizen journalists such as al-Sayed.Al-Sayed was the cousin of Basil al-Sayed, a videographer killed while working in Baba Amr in December."
Rami Rayan,Journalist,Motive Confirmed,Male,"July 30, 2014",2014,July,Israel and the Occupied Palestinian Territory,Palestine Network for Press and Media,Israel and the Occupied Palestinian Territory,"Print, Television, Radio",Photographer,"Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,http://cpj.org/killed/2014/rami-rayan.php,http://cpj.org/killed/rami.facebook.jpg,"Palestinian journalist Rayan was killed in an Israeli bombardment on a market in the Shijaiyah neighborhood of Gaza, according to his employer and news reports. At least 16 other people were killed and 160 wounded in the strike, according to news reports."
Ramzan Khadzhiev,Journalist,Motive Confirmed,Male,"August 11, 1996",1996,August,Russia,Russian Public Television,Russia,Television,Producer,War,No,Local,Unknown Fire,Murder,Yes,No,No,No,http://cpj.org/killed/1996/ramzan-khadzhiev.php,http://cpj.org/killed/khadzhiev-ramzan.russia.1996.jpg,"Khadzhiev, chief of the Northern Caucasus bureau of Russian Public Television (ORT), was fatally shot while attempting to leave Grozny by car with his wife and young son. ORT reported that Chechen rebels targeted Khadzhiev, an ethnic Chechen, because he supported the Moscow-installed government. But an unidentified passenger in their car told NTV, Russia's only independent television station, that Russian armored vehicles had opened fire on them."
Ramzan Mezhidov,Journalist,Motive Confirmed,Male,"October 29, 1999",1999,October,Russia,TV Tsentr,Russia,Television,Camera Operator,War,Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,http://cpj.org/killed/1999/ramzan-mezhidov.php,,"The journalists were covering a refugee convoy en route from Grozny to Nazran, in neighboring Ingushetia. As the convoy approached the Chechen town of Shaami Yurt, a Russian bomber fired several rockets from the air, hitting a busload of refugees. Despite warnings from colleagues traveling with them, Mezhidov and Gigayev left their vehicle to film the carnage. As they approached the bus, another Russian rocket hit a nearby truck, fatally wounding both journalists.October 29, 1999, in Shaami Yurt, RussiaMezhidov, a freelance cameraman working for the Moscow-based TV Tsentr, and Shamil Gigayev, a cameraman for independent Nokh Cho Television in Grozny, were killed during a Russian air attack on refugees fleeing Chechnya.The journalists were covering a refugee convoy en route from Grozny to Nazran, in neighboring Ingushetia. As the convoy approached the Chechen town of Shaami Yurt, a Russian bomber fired several rockets from the air, hitting a busload of refugees. Despite warnings from colleagues traveling with them, Mezhidov and Gigayev left their vehicle to film the carnage. As they approached the bus, another Russian rocket hit a nearby truck, fatally wounding both journalists."
Rashid Hamid Wali,Journalist,Motive Confirmed,Male,"May 21, 2004",2004,May,Iraq,Al-Jazeera,Iraq,Television,Camera Operator,War,No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,No,http://cpj.org/killed/2004/rashid-hamid-wali.php,,"Wali, assistant cameraman and fixer for the Qatar-based satellite channel Al-Jazeera, was killed by gunfire early in the morning in the city of Karbala, the station reported.According to a statement on Al-Jazeera's Web site, Wali was killed by a single gunshot to the head when he peered over the edge of the rooftop of the Khaddam Al-Hussein Hotel, where an Al-Jazeera news team was covering fighting between U.S. troops and members the Mehdi Army, which is loyal to radical Shiite cleric Muqtada al-Sadr.Al-Jazeera said there was ""no verifiable information ... as to the source of the bullet."""
Rashmi Mohamed,Journalist,Motive Confirmed,Male,"October 6, 2008",2008,October,Sri Lanka,Sirasa TV,Sri Lanka,Television,Broadcast,"Politics, War",No,Local,Political Group,Dangerous Assignment,,No,No,No,http://cpj.org/killed/2008/rashmi-mohamed.php,,"Mohamed, a provincial correspondent for Sirasa TV, was covering the opening ceremony of the new office of the United National Party (UNP) in Anuradhapura when a suicide bomber detonated an explosive device.The blast apparently came from a member of the Liberation Tigers of Tamil Eelam (LTTE) inside the newly opened and crowded office of the opposition UNP. The target appeared to be retired Maj. Gen. Janaka Perera, who died in the blast. At least 27 people died, and at least 80 more were wounded in the explosion.Security was apparently lax at the event. UNP officials quoted by The Associated Press accused the government of ignoring repeated requests for a stronger security detail for Perera, who was a vocal critic of the way the government had conducted its military campaign against the LTTE secessionists. ""The government must take full responsibility. They did not give him adequate security for political reasons,"" AP quoted party official Tissa Attanayake as saying."
Razzaq Gul,Journalist,Motive Confirmed,Male,"May 19, 2012",2012,May,Pakistan,Express News,Pakistan,Television,Broadcast,"Politics, War",No,Local,Unknown Fire,Murder,Yes,Yes,No,Yes,http://cpj.org/killed/2012/razzaq-gul.php,,"Gul, 35, a senior reporter with Express News TV in Turbat, a city in the Kech district of Baluchistan, was abducted near his home on the evening of May 18, according to news reports. His body was found the next day with several bullet wounds and marks that indicated he had been tortured, his family told local journalists.Gul was a member of the Baluch National Movement, a nationalist political organization, and was the secretary of the Press Club of Turbat, according to news reports. His colleagues at the club told Express News TV that Gul had not mentioned receiving any threats. No group claimed responsibility for his death."
Regina Martínez Pérez,Journalist,Motive Confirmed,Male,"April 28, 2012",2012,April,Mexico,Proceso,Mexico,Print,Print Reporter,"Crime, Politics",No,Local,Unknown Fire,Murder,Yes,No,No,No,http://cpj.org/killed/2012/regina-martinez-perez-1.php,,"Martínez' body was found in her home in Xalapa, the capital of the Gulf Coast state of Veracruz, news reports said. She had been badly beaten around the face and ribs and had been strangled to death, according to news reports. The state attorney general, Amadeo Flores Espinoza, said in a news briefing that it appeared her TV, cellphones, and computer had been stolen.Martínez had worked for the national magazine Proceso for more than 10 years and was known for her in-depth reporting on drug cartels and the links between organized crime and government officials. In the week before her murder, she covered the arrest of an allegedly high-ranking leader of the Zetas; the arrests of nine police officers charged with working for a cartel; and the story of a local mayor who was arrested with other alleged cartel gunmen after a shootout with the Mexican Army, according to news reports.Martínez' colleagues said she had not told them about any threats prior to her death. Two days after the murder, a state spokesperson, Gina Domínguez, said that authorities would look into Martínez' journalism as a possible motive.Since Martínez's death, Proceso has alleged that the most likely motive for her murder was the journalist's critical reporting on state officials. Officials have denied the claim.The office of the state governor, Javier Duarte de Ochoa, ordered a special group of agents to investigate the murder. Procesostated on its website that the state government had granted the magazine staff access to any information resulting from the investigation. The magazine also said that its executives had told the governor they were skeptical that the investigation would succeed because of the systemic dysfunction in the country.In November 2012, the state attorney general announced that Jorge Antonio Hernández Silva had confessed and that robbery was the motive. But in his first court appearance, Hernández claimed he had been tortured and his family threatened if he did not make a false confession. Hernández was convicted in April 2013 and sentenced to 38 years in prison, but four months later judges voted to vacate the sentence, citing irregularities.In April, Proceso reported a plot by officials in the government of Veracruz to harm Jorge Carrasco, senior editor with the magazine, who had reported extensively on Martínez's murder. A source close to the case who asked to remain anonymous told CPJ that there had been a plan under way to kill Carrasco, and that men were looking for him in Mexico City. Carrasco went into hiding with federal government protection. Proceso later published a letter from the Veracruz state attorney general's office, calling the accusations ""unfounded.""While Governor Duarte made efforts in public statements to cast the state as a safe place for the press, under his tenure Veracruz became one of the most dangerous states for journalists in Mexico. At least eight journalists had been murdered since he took office in late 2010, and many more fled--permanently or temporarily--not only because of threats from organized crime but also from state government officials, according to CPJ research."
Rehmatullah Abid,Journalist,Motive Confirmed,Male,"November 18, 2012",2012,November,Pakistan,"Dunya News TV, Intikhaab",Pakistan,"Print, Television","Broadcast, Camera Operator, Print Reporter","Business, Corruption, Crime, Human Rights, Politics, War",No,Local,Unknown Fire,Murder,Yes,No,No,No,http://cpj.org/killed/2012/rehmatullah-abid.php,,"Unidentified gunmen on a motorcycle killed Abid in a barber shop in Panjgur district, about 375 miles (600 kilometers) from Quetta. Abid had worked as a general assignment reporter for the Urdu-language Dunya News, a news and current affairs TV channel, for several years and had also worked for the Urdu-language daily Intikhaab.According to the Pakistan Press Foundation, Abid was shot six times, once in the head. The PPF also reported that Eesa Tareen, president of the Baluchistan Union of Journalists, said Abid's family was unaware of any personal enmities that would have caused his death.Aslam Raisani, chief minister of Baluchistan, issued a statement saying that ""hidden hands"" were attacking Baluchi journalists to stop them from working, according to news reports. Abid's colleagues at the PPF said that they believed Abid had been killed because of his reporting. The Baluchistan Union of Journalists appealed to the local and federal governments to address the rising levels of threats to Pakistani journalists."
Reinaldo Coutinho da Silva,Journalist,Motive Confirmed,Male,"August 29, 1995",1995,August,Brazil,Cachoeiras Jornal,Brazil,Print,,Corruption,No,Local,Government Officials,Murder,Yes,No,Yes,No,http://cpj.org/killed/1995/reinaldo-coutinho-da-silva.php,,"Coutinho da Silva, owner of the weekly Cachoeiras Jornal in the village of Cachoeiras de Macacu, Rio de Janeiro, was killed by unknown assassins. The assailants fired 14 shots at close range while the journalist sat in his car at a stoplight in the neighboring town of São Gonçalo. A police investigation revealed several possible motives for the killing, all linked to Coutinho da Silva's work. Motives include his investigation of police corruption, which led to the arrest of a group of officers who have been detained after August 7, and his investigation of a local politician's involvement in an environmental scandal, which he was planning to publish at the time of his murder."
Relangi Selvarajah,Journalist,Motive Confirmed,Female,"August 12, 2005",2005,August,Sri Lanka,Sri Lanka Rupavahini Corp.,Sri Lanka,Radio,Columnist,"Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,No,No,http://cpj.org/killed/2005/relangi-selvarajah.php,,"Popular Tamil broadcaster Relangi Selvarajah and her husband, a political activist, were killed by unidentified gunmen in Colombo on the same day that Lakshman Kadirgamar, Sri Lanka's foreign minister, was assassinated. Political leaders blamed the rebel Liberation Tigers of Tamil Eelam (LTTE) for all three killings, charges the LTTE denied. The attackers shot Selvarajah, 44, and her husband, Senathurai, in the office where they ran a travel agency. Sri Lanka's Sunday Times reported that the LTTE had criticized Selvarajah for broadcasting anti-LTTE programs.Selvarajah was a radio and television host for 20 years, presenting news programs for the state-run Sri Lanka Broadcasting Corporation (SLBC) and more recently for the Sri Lanka Rupavahini Corp., according to the Free Media Movement, a local press freedom organization.Local newspapers reported that Selvarajah also produced the SLBC program ""Ithaya Veenai,"" a program known for criticizing the LTTE, and allegedly funded by the opposition Tamil political party, the Eelam People's Democratic Party.Selvarajah's husband was affiliated with the formerly militant and now mainstream group, the People's Liberation Organization of Tamil Eelam (PLOTE), according to local news reports and sources. PLOTE is critical of the LTTE; the LTTE accuses PLOTE of attacking its members, according to The Associated Press. Sri Lanka's Daily Mirror quoted police as saying that they suspected the couple may have been murdered because of Selvarajah's anti-LTTE programs. But their connection to PLOTE also raised the possibility that their killing may have been part of a larger cycle of violence and could be connected to the April murder of well-known pro-LTTE Tamil journalist Dharmeratnam Sivaram, local sources told CPJ. Sivaram was a former member of PLOTE who defected to the LTTE. Political and ethnic factions began a series of revenge killings across the country last year when a Tamil rebel leader known as Colonel Karuna split from the LTTE.The government declared a state of emergency on August 13 and President Chandrika Kumaratunga accused the LTTE of killing Kadirgamar, a critic of the LTTE."
Rémi Ochlik,Journalist,Motive Confirmed,Male,"February 22, 2012",2012,February,Syria,Freelance,France,Print,Photographer,"Human Rights, War",Yes,Foreign,Military Officials,Crossfire/Combat-Related,,,,,http://cpj.org/killed/2012/remi-ochlik.php,http://cpj.org/killed/Ochlik.afp.jpg,"French photojournalist Ochlik and American-born correspondent Marie Colvin were killed when their makeshift press center in Homs was struck during shelling of the city by Syrian forces, news reports said. Ochlik was reporting on the Syrian conflict as a freelancer. The central city was under the 19th consecutive day of intense bombardment by forces loyal to President Bashar al-Assad.At least three other journalists were reported injured. Paul Conroy, a SundayTimes photographer, and Edith Bouvier, a reporter for Le Figaro, suffered leg wounds in the strike, news reports said. William Daniels, another photographer for TheSundayTimes, was slightly injured, according to news reports.By controlling local news reports and expelling or denying entry to dozens of international journalists, the Syrian government had sought to impose a blackout on independent news coverage after the country's uprising began in early 2011. Despite extremely high risk, international journalists smuggled themselves into Syria to cover the conflict.Born in 1983, Ochlik had covered the Tunisian and Egyptian revolutions of 2011 and the 2011 war in Libya, according to his website. His work had appeared in Le Monde, VSD, Paris Match, Time, and The Wall Street Journal, his website said."
Rey Bancayrin,Journalist,Motive Confirmed,Male,"March 30, 1998",1998,March,Philippines,DXLL,Philippines,Radio,Columnist,"Corruption, Crime",No,Local,Unknown Fire,Murder,Yes,No,No,No,http://cpj.org/killed/1998/rey-bancayrin.php,,"Bancayrin, a well-known broadcaster for Radio DXLL in the southern region of Mindanao, was shot to death while on the air. Two unidentified gunmen entered the broadcast booth while he was talking to a listener and shot him three times at point-blank range. The killers calmly left the station and escaped. Bancayrin was known for his outspoken attacks on local corruption, illegal logging, and drug smugglers. The Zamboanga Press Club called his death ""a blow to press freedom."" In a letter to President Fidel V. Ramos, CPJ pointed out that Bancayrin was the 33rd journalist killed in the line of duty in the Philippines since the ouster of Ferdinand Marcos in 1986 and called for an immediate investigation into his murder."
Rey Merisco,Journalist,Motive Confirmed,Male,"November 23, 2009",2009,November,Philippines,Periodico Ini,Philippines,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,http://cpj.org/killed/2009/rey-merisco.php,,"In the deadliest event for the press ever recorded by CPJ, 30 Philippine journalists and two media support workers were ambushed and brutally slain on November 23 as they traveled in Maguindanao province with a convoy of people who intended to file gubernatorial candidacy papers for a local politician. In all, 57 people were killed in a shocking display of barbarism apparently motivated by political clan rivalries. Most of the bodies were dumped in a mass hillside grave in the town of Ampatuan.A fact-finding report by four local press organizations—the Freedom Fund for Filipino Journalists, the National Union of Journalists of the Philippines, MindaNews, and the Philippine Center for Investigative Journalism—said most of the victims had worked for Mindanao-based newspapers, with some employed by radio and television outlets. “The massacre claimed nearly an entire generation of journalists from the small print and broadcast communities of General Santos, Koronadal City, and nearby areas,” said the report, noting that most of the victims were married and had children.The entourage was on its way to Shariff Aguak to file documents in support of local political leader Esmael Mangudadatu’s candidacy for provincial governor. Having been warned of a possible ambush, Mangudadatu did not travel with the group but instead sent female family members and supporters, and invited the press to go along, in the belief that women and independent witnesses would not be attacked, according to local and foreign media reports.Police quickly identified Andal Ampatuan Jr., mayor of Datu Unsay in Maguindanao and son of the provincial governor, as a prime suspect behind the killings. Ampatuan surrendered to authorities but proclaimed his innocence. Investigators said that about 100 heavily armed men loyal to Ampatuan abducted the group, took them to a more remote hillside, and then opened fire. Reuters quoted one of its photographers at the scene as saying that many bodies had both bullet and machete wounds. Some of the victims had their hands tied behind their backs, and one of the female victims was pregnant, Reuters and other sources reported.The journalists were not directly targeted for their work, but were the victims of a long- running feud between two rival political clans competing for supremacy in the area. The massacre was not linked to Mindanao’s decades-old guerrilla battle between Muslim secessionist and the Philippine army.In their fact-finding report, the four local press groups highlighted a number of concerns about the initial police investigation. The report said the crime scene had not been well preserved and that personal belongings were still strewn about several days after the massacre. The recovery effort, which relied on the use of excavation equipment, compromised forensic evidence, it added. The report also expressed concern that potential witnesses—seemingly many since a number of homes and a mosque overlook the crime scene—had been intimidated into silence.The report, quoting retrieval team members, said the pit where many bodies were buried might have been dug several days before the massacre.The massacre occurred just 300 meters (1,000 feet) from a detachment of the Civilian Armed Forces, a local government militia. Members of the unit initially claimed to have seen no convoy, even though the vehicles were intercepted in a nearby spot that would have been clearly visible, the fact-finding report said.No single event has claimed as many journalists’ lives in the 18 years since CPJ began compiling detailed records. According to CPJ research, the deadliest prior event for the press came in Iraq on October 12, 2006, when 11 employees of Al-Shaabiya television were killed in an attack at the station’s Baghdad studios."
