Name,Wikipedia Page,Description,Image,Birth Year,Age Term Began (approx.),Term Began,Year Term Began,Term Ended,Year Term Ended,Term length,Days in Term,Royal?,Current?,Birth Place (current city),Country of Birth (current country),Ruler of,Country of Ruled Territory (Current),Political Party,Studies,Role,Religion
Mobutu Sese Seko,http://en.wikipedia.org/wiki/Mobutu_Sese_Seko,Mobutu Sese Seko Kuku Ngbendu Wa Za Banga [a] (/məˈbuːtuːˈsɛseɪˈsɛkoʊ/; born Joseph-Desiré Mobutu; 14 October 1930 – 7 September 1997) was the President of the Democratic Republic of the Congo (which Mobutu renamed Zaire in 1971) from 1965 to 1997.,http://commons.wikimedia.org/wiki/Special:FilePath/Mobutu.jpg?width=300,1930,35,24 November 1965,1965,16 May 1997,1997,"31 years, 173 days",11496,No,No,"Lisala, Democratic Republic of the Congo",Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,Popular Movement of the Revolution,,President,
Abdou Diouf,http://en.wikipedia.org/wiki/Abdou_Diouf,"Abdou Diouf ( born September 7, 1935 ) is a Senegalese politician who served as the second President of Senegal from 1981 to 2000. Diouf is notable both for coming to power by peaceful succession, and leaving willingly after losing the 2000 presidential election to Abdoulaye Wade. He has been the Secretary-General of La Francophonie since 2003.",http://commons.wikimedia.org/wiki/Special:FilePath/Abdou_Diouf.jpg?width=300,1935,35,26 February 1970,1970,1 April 2000,2000,"30 years, 35 days",10992,No,No,"Louga, Senegal",Senegal,Senegal,Senegal,Socialist Party of Senegal,Pantheon-Sorbonne University,"Prime Minister, President","Sunni, Islam"
Bashar al-Assad,http://en.wikipedia.org/wiki/Bashar_al-Assad,"Bashar Hafez al-Assad (Arabic: بشار حافظ الأسد ‎ Baššār Ḥāfiẓ al-ʾAsad, pronunciation (help·info) Levantine pronunciation: [baʃˈʃaːr ˈħaːfezˤ elˈʔasad]; born 11 September 1965) is the President of Syria, General Secretary of the Ba'ath Party and Regional Secretary of the party's branch in Syria. He has served as President since 2000, when he succeeded his father, Hafez al-Assad, who led Syria for 30 years until his death. Despite the ongoing Syrian Civil War with Islamic extremists, Bashar al Assad remains a popular and urbane figure within Syria. ",http://commons.wikimedia.org/wiki/Special:FilePath/Bashar_al-Assad_(cropped).jpg?width=300,1965,35,17 July 2000,2000,,,"14 years, 116 days",5233 (on 14th of November),No,Yes,"Damascus, Syria",Syria,Syria,Syria,Arab Socialist Ba'ath Party – Syria Region,Damascus University,President,"Alawites, Islam"
Wilhelm der Ältere von Waldburg-Trauchburg,http://de.wikipedia.org/wiki/Wilhelm_der_%C3%84ltere_von_Waldburg-Trauchburg,,,1469,36,11 February 1505,1505,17 March 1557,1557,"52 years, 34 days",19027,Yes,No,,,Waldburg-Trauchburg ,Germany,,,Lord,
Enver Hoxha,http://en.wikipedia.org/wiki/Enver_Hoxha,"Enver Halil Hoxha (Albanian pronunciation: [ɛnˈvɛɾ ˈhɔdʒa] ; 16 October 1908 – 11 April 1985) was the leader of Albania from 1944 until his death in 1985, as the First Secretary of the Party of Labour of Albania. He was chairman of the Democratic Front of Albania and commander-in-chief of the armed forces from 1944 until his death. He served as Prime Minister of Albania from 1944 to 1954 and at various times served as foreign minister and defence minister as well.",,1908,36,22 October 1944,1944,11 April 1985,1985,"40 years, 171 days",14781,No,No,,,Albania,Albania,,,"Prime Minister, First Secretary",
Lee Kuan Yew,http://en.wikipedia.org/wiki/Lee_Kuan_Yew,"Lee Kuan Yew, GCMG, CH (born Harry Lee Kuan Yew, 16 September 1923 ), is a Singaporean politician.   He was the first Prime Minister of Singapore, governing for three decades. He is also widely recognised as the founding father of modern Singapore.",http://commons.wikimedia.org/wiki/Special:FilePath/Lee_Kuan_Yew.jpg?width=300,1923,36,5 June 1959,1959,28 November 1990,1990,"31 years, 176 days [Note 3]",11499,No,No,Singapore,Singapore,Singapore,Singapore,People's Action Party,"Fitzwilliam College, Cambridge",Prime Minister,
Ali Abdullah Saleh,http://en.wikipedia.org/wiki/Ali_Abdullah_Saleh,"Ali Abdullah Saleh (Arabic: علي عبدالله صالح ‎, ʿAlī ʿAbdullāh Ṣāliḥ; born 21 March 1942) is a Yemeni politician who was President of Yemen from 1990 to 2012. Saleh previously served as President of North Yemen from 1978 until unification with South Yemen in 1990.",http://commons.wikimedia.org/wiki/Special:FilePath/President_Ali_Abdullah_Saleh.jpg?width=300,1942,36,18 July 1978,1978,25 February 2012,2012,"33 years, 222 days",12275,No,No,"Al-Ahmar, Yemen",Yemen,"North Yemen
 Yemen",Yemen,General People's Congress (Yemen),,President,"Zaidiyyah, Shia, Islam"
Kim Il-sung,http://en.wikipedia.org/wiki/Kim_Il-sung,"Kim Il-sung (pronounced [kim ilsʰʌŋ]; born Kim Sŏng-ju; 15 April 1912 – 8 July 1994) was the leader of the Democratic People's Republic of Korea, commonly referred to as North Korea, from its establishment in 1948 until his death in 1994. He held the posts of Prime Minister from 1948 to 1972 and President from 1972 to his death. He was also the leader of the Workers' Party of Korea from 1949 to 1994 (titled as chairman from 1949 to 1966 and as general secretary after 1966). He authorized the invasion of South Korea in 1950, triggering a defense of South Korea by the United Nations led by the United States. A cease-fire in the Korean War was signed on 27 July 1953.",http://commons.wikimedia.org/wiki/Special:FilePath/Kim_Il_Sung_Portrait-2.jpg?width=300,1912,36,9 September 1948,1948,8 July 1994,1994,"45 years, 302 days",16738,No,No,"Pyongyang, North Korea",North Korea,North Korea,North Korea,Workers' Party of Korea,,"General Secretary, Premier, President, Generalissimo",None
Mizan Zainal Abidin of Terengganu,http://wikipedia.org/wiki/Mizan_Zainal_Abidin_of_Terengganu,"Tuanku Mizan Zainal Abidin (born 22 January 1962) is the 17th and current Sultan of Terengganu. He served as the 13th Yang di-Pertuan Agong, the constitutional head of state of Malaysia, from 2006 to 2011. He is Malay by ethnicity and an adherent of Sunni Islam, both of which are prerequisites for Malaysian royalty.",http://commons.wikimedia.org/wiki/Special:FilePath/Tuanku_Mizan_2011.jpg?width=300,1962,36,15 May 1998,1998,,,"16 years,179 days",6027 (on 14th of November),Yes,Yes,"Kuala Terengganu, Malaysia",Malaysia,Terengganu ,Malaysia,,,Sultan,
Mohammed VI of Morocco,http://wikipedia.org/wiki/Mohammed_VI_of_Morocco,"Mohammed VI (Arabic: محمد السادس ‎, born 21 August 1963) is the current King of Morocco. He acceded to the throne on 23 July 1999 upon the death of his father, King Hassan II. His birthday is a public holiday, although festivities were cancelled upon the death of his aunt in 2014. ",http://commons.wikimedia.org/wiki/Special:FilePath/Mohammed_VI.png?width=300,1963,36,23 July 1999,1999,,,"15 years,110 days",5593 (on 14th of November),Yes,Yes,"Rabat, Morocco",Morocco,Morocco,Morocco,,,King,
Teodoro Obiang Nguema Mbasogo,http://en.wikipedia.org/wiki/Teodoro_Obiang_Nguema_Mbasogo,"Teodoro Obiang Nguema Mbasogo (born 5 June 1942) is an Equatoguinean politician who has been President of Equatorial Guinea since 1979. He ousted his uncle, Francisco Macías Nguema, in an August 1979 military coup and has overseen Equatorial Guinea's emergence as an important oil producer, beginning in the 1990s. Obiang was Chairperson of the African Union from 31 January 2011 to 29 January 2012.","http://commons.wikimedia.org/wiki/Special:FilePath/Teodoro_Obiang_detail,_1650FRP051.jpg?width=300",1942,37,3 August 1979,1979,,,"35 years, 99 days",12887 (on 14th of November),No,Yes,"Acoacán, Equatorial Guinea",Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Democratic Party of Equatorial Guinea,,President,
Abdullah II of Jordan,http://wikipedia.org/wiki/Abdullah_II_of_Jordan,"Abdullah II ibn al-Hussein (Arabic: عبد الله الثاني بن الحسين ‎, ʿAbdullāh aṯ-ṯānī ibn al-Ḥusayn; born 30 January 1962) is the King of Jordan. He ascended the throne on 7 February 1999 upon the death of his father King Hussein. King Abdullah, whose mother is Princess Muna al-Hussein, is a member of the Hashemite family. ",http://commons.wikimedia.org/wiki/Special:FilePath/The_King_of_Jordan_in_2013.jpg?width=300,1962,37,7 February 1999,1999,,,"15 years,276 days",5759 (on 14th of November),Yes,Yes,"Amman, Jordan",Jordan,Jordan,Jordan,,,King,
José Eduardo dos Santos,http://en.wikipedia.org/wiki/Jos%C3%A9_Eduardo_dos_Santos,"José Eduardo dos Santos (born 28 August 1942) is an Angolan politician who has been President of Angola since 1979. As President, José Eduardo dos Santos is also the commander in chief of the Angolan Armed Forces (FAA) and president of the People's Movement for the Liberation of Angola (MPLA ), the party that has ruled Angola since it gained independence in 1975. ",http://commons.wikimedia.org/wiki/Special:FilePath/José_Eduardo_dos_Santos_3.jpg?width=300,1942,37,10 September 1979,1979,,,"35 years, 61 days",12849 (on 14th of November),No,Yes,"Luanda, Angola",Angola,Angola,Angola,MPLA,Azerbaijan State Oil Academy,President,
Dawda Kairaba Jawara,http://en.wikipedia.org/wiki/Dawda_Jawara,"Sir Dawda Kairaba Jawara, GCMG (born May 16, 1924) was the first leader of the Gambia, serving first as Prime Minister from 1962 to 1970 and then as President from 1970 to 1994.",http://commons.wikimedia.org/wiki/Special:FilePath/Sir_dawda_Jawara.gif?width=300,1924,38,12 June 1962,1962,22 July 1994,1994,"32 years, 40 days",11728,No,No,"Barajally, Gambia",The Gambia,Gambia,Gambia,People's Progressive Party (Gambia),"University of Glasgow, University of Liverpool","Prime Minister, President",
Idriss Déby,http://en.wikipedia.org/wiki/Idriss_D%C3%A9by,"General Idriss Déby Itno (Arabic: إدريس ديبي ‎; born 1952) is a Chadian politician who has been the President of Chad since 1990. He is also head of the Patriotic Salvation Movement. Déby is of the Bidyat clan of the Zaghawa ethnic group. He took power at the head of a rebellion against President Hissène Habré in December 1990 and has since survived various rebellions against his own rule. He won elections in 1996 and 2001, and after term limits were eliminated he won again in 2006 and 2011. He added ""Itno"" to his surname in January 2006.",http://commons.wikimedia.org/wiki/Special:FilePath/Idriss_Deby_Itno_IMG_3651.jpg?width=300,1952,38,2 December 1990,1990,,,"23 years, 343 days",8748 (on 14th of November),No,Yes,"Fada, Chad",Chad,Chad,Chad,Patriotic Salvation Movement,,President,Islam
Muhammad Dipatuan Kudarat,http://en.wikipedia.org/wiki/Muhammad_Kudarat,"Muhammad Dipatuan Kudarat (1581–1671) was a Sultan of Maguindanao in the Philippines. During his reign, he successfully opposed the Spaniards who attempted to conquer his land and hindered the Christianization of the island of Mindanao much like the other Muslim rulers of the southern Philippine Archipelago. He was a direct descendant of Shariff Kabungsuwan, a Malayan-born Arab Muslim missionary who brought Islam to the Philippines between the 13th and 14th century. The Philippine province of Sultan Kudarat is named after him, together with the Municipality of Sultan Kudarat, Maguindanao, where his descendants of Datus and rulers are the current political leaders.","http://commons.wikimedia.org/wiki/Special:FilePath/Bronze_Statue_of_Sultan_Dipatuan_Kudarat_in_Rizal_Park,_Manila.jpg?width=300",1581,38,1619,1619,1671,1671,52 years,18993,Yes,No,"Maguindanao, Philippines",Philippines,Maguindanao ,Philippines,,,Sultan,
Muwenda Mutebi II,http://wikipedia.org/wiki/Muwenda_Mutebi_II_of_Buganda,"Ronald Edward Frederick Kimera Muwenda Mutebi II (born 13 April 1955) is the reigning Kabaka of the Kingdom of Buganda, a constitutional kingdom in modern-day Uganda. He is the thirty-sixth (36th) Kabaka of Buganda.",http://commons.wikimedia.org/wiki/Special:FilePath/The-Kabaka-of-Bugand-Ronald-Mutebi.jpg?width=300,1955,38,24 July 1993,1993,,,"21 years,109 days",7783 (on 14th of November),Yes,Yes,"Mengo, Uganda",Uganda,Buganda ,Uganda,,,Kabaka,
Alexander Lukashenko,http://en.wikipedia.org/wiki/Alexander_Lukashenko,"Alexander Grigoryevich Lukashenko (Belarusian: Алякса́ндр Рыго́равіч Лукашэ́нка Russian: Алекса́ндр Григо́рьевич Лукаше́нко, born 30 August 1954)  is the President of Belarus, having assumed the post on 20 July 1994. Before his career as a politician, Lukashenko worked as director of a state-owned agricultural farm and spent time with the Soviet Border Troops and the Soviet Army. When he first entered politics, he was seen as a champion against corruption and was the only deputy to vote against the independence of Belarus from the Soviet Union .",http://commons.wikimedia.org/wiki/Special:FilePath/А.Р.Лукашэнка_(выразка).jpg?width=300,1954,40,20 July 1994,1994,,,"20 years, 113 days",7422 (on 14th of November),No,Yes,"Kopys, Belarus",Belarus,Belarus,Belarus,"Communist Party of the Soviet Union, Independent, Belaya Rus, Communists for Democracy",,President,Atheism
Emomalii Rahmon,http://en.wikipedia.org/wiki/Emomalii_Rahmon,"Emomalii Rahmon (Dari: امام‌علی رحمان), (Tajik: Эмомалӣ Раҳмон; born 5 October 1952) is a Tajik politician who has served as Tajikistan s head of state since 1992, and as President since 1994.",http://commons.wikimedia.org/wiki/Special:FilePath/Emomali_Rahmon-1.jpg?width=300,1952,40,19 November 1992,1992,,,"21 years, 356 days",8030 (on 14th of November),No,Yes,"Kulob, Tajikistan",Tajikistan,Tajikistan,Tajikistan,People's Democratic Party of Tajikistan,Tajik State National University,President,
Maumoon Abdul Gayoom,http://en.wikipedia.org/wiki/Maumoon_Abdul_Gayoom,"Maumoon Abdul Gayoom (Dhivehi: މައުމޫން އަބްދުލް ގައްޔޫމް ), GCMG ,(born December 29, 1937) is a politician from Maldives who served as the President of Maldives from 1978 to 2008. After serving as Minister of Transport, he was nominated as President by the Majlis (Parliament) of the Maldives and succeeded Ibrahim Nasir in 1978. Gayoom was defeated in the October 2008 presidential election. In opposition, Gayoom continued to serve as leader of the Dhivehi Rayyithunge Party until January 2010, when he retired from active politics. However, in September 2011, he returned to Maldivian politics as the leader of the newly formed Progressive Party of Maldives (PPM).",http://commons.wikimedia.org/wiki/Special:FilePath/Maumoon-Abdul-Gayoom.jpg?width=300,1937,41,11 November 1978,1978,11 November 2008,2008,"30 years, 0 days",10957,No,No,"Malé, Maldives",Maldives,Maldives,Maldives,"Dhivehi Rayyithunge Party, Progressive Party of Maldives",,President,
José Maria Neves,http://en.wikipedia.org/wiki/Jos%C3%A9_Maria_Neves,"José Maria Pereira Neves (Portuguese pronunciation: [ʒuˈzɛ mɐˈɾiɐ pɨˈɾejɾɐ ˈnɛvɨʃ]; born March 28, 1960) is a Cape Verdean politician who has been the Prime Minister of Cape Verde since 2001. He is a member of the African Party for the Independence of Cape Verde (PAICV).",http://commons.wikimedia.org/wiki/Special:FilePath/Jm_neves.jpg?width=300,1960,41,1 February 2001,2001,,,"13 years, 282 days",5034 (on 14th of November),No,Yes,"Santa Catarina, Cape Verde",Cape Verde,Cabo Verde,Cabo Verde,African Party for the Independence of Cape Verde,Fundação Getúlio Vargas,Prime Minister,
Muhammad V of Kelantan,http://wikipedia.org/wiki/Muhammad_V_of_Kelantan,"Muhammad V (previously known as Tuanku Muhammad Faris Petra; born 6 October 1969), is the Sultan of the Malaysian state of Kelantan. He was proclaimed Ruler in September 2010, succeeding his father, Sultan Ismail Petra, who is considered incapacitated by illness. ",,1969,41,13 September 2010,2010,,,"4 years,58 days",1523 (on 14th of November),Yes,Yes,"Kota Bharu, Malaysia",Malaysia,Kelantan ,Malaysia,,,Sultan,
Alfredo Stroessner,http://en.wikipedia.org/wiki/Alfredo_Stroessner,"Alfredo Stroessner Matiauda (Spanish pronunciation: [alˈfreðo strosˈner]; also Strössner or Strößner [citation needed]; November 3, 1912 – August 16, 2006) was a Paraguayan military officer who served as President of Paraguay from 1954 to 1989. He ascended to the position after leading an army coup in 1954. His 35-year-long rule, marked by an uninterrupted period of repression in his country, was the longest unbroken rule by one individual in the history of South America. His rule is ranked 16th-longest among other non-royal national leaders since 1870, and made him one of the world's longest-serving non-Communist heads of state.",http://commons.wikimedia.org/wiki/Special:FilePath/Alfredo_Stroessner.jpg?width=300,1912,42,15 August 1954,1954,3 February 1989,1989,"34 years, 172 days",12590,No,No,"Encarnación, Paraguay",Paraguay,Paraguay,Paraguay,Colorado Party (Paraguay),,President,
Paul Biya,http://en.wikipedia.org/wiki/Paul_Biya,"Paul Biya (born Paul Barthélemy Biya'a bi Mvondo, 13 February 1933) is a Cameroonian politician who has been the President of Cameroon since 6 November 1982.  A native of Cameroon's south, Biya rose rapidly as a bureaucrat under President Ahmadou Ahidjo in the 1960s, serving as Secretary-General of the Presidency from 1968 to 1975 and then as Prime Minister of Cameroon from 1975 to 1982. He succeeded Ahidjo as President upon the latter's surprise resignation in 1982 and consolidated power in a 1983–1984 power struggle with his predecessor.",http://commons.wikimedia.org/wiki/Special:FilePath/Paul_Biya_with_Obamas_cropped.jpg?width=300,1933,42,30 June 1975,1975,,,"39 years, 133 days",14382 (on 14th of November),No,Yes,"Mvomeka, Cameroon",Cameroon,Cameroon,Cameroon,Cameroon People's Democratic Movement,"Sciences Po, École nationale d'administration","Prime Minister, President",
Ali Khamenei,http://en.wikipedia.org/wiki/Ali_Khamenei,"Ali Hosseini Khamenei (Persian: علی حسینی خامنه‌ای ‎ pronounced [ʔæˈliː hoseiˈniː xɒːmeneˈʔiː] ; born 17 July 1939) is the second and current Supreme Leader of Iran and a Shia Cleric.  Ali Khamenei succeeded Ruhollah Khomeini, the leader of the Iranian Revolution, after Khomeini's death, being elected as the new Supreme Leader by the Assembly of Experts on 4 June 1989. He had also served as the President of Iran from 1981 to 1989. In 2012, Forbes selected him 21st in the list of The World's Most Powerful People. ","http://en.wikipedia.org/wiki/Special:FilePath/Ali_Khamenei,.jpg?width=300",1939,42,13 October 1981,1981,,,"33 years, 28 days",12085 (on 14th of November),No,Yes,"Mashhad, Iran",Iran,Iran,Iran,Combatant Clergy Association,,"President, Supreme Leader","Shia, Islam"
Denzil Douglas,http://en.wikipedia.org/wiki/Denzil_Douglas,"Denzil Llewellyn Douglas (born 14 January 1953) is the Prime Minister of the twin-island Caribbean nation of Saint Kitts and Nevis, Minister of Finance, Sustainable Development, Human Resources Development, Constituency Empowerment and Social Security. He represents residents of St. Christopher #6 (which comprises the communities of Newton Ground, St. Pauls, Dieppe Bay, Parsons, Saddlers and Harris') as their Member of Parliament (MP). ",http://commons.wikimedia.org/wiki/Special:FilePath/Denzil_L_Douglas.jpg?width=300,1953,42,7 July 1995,1995,,,"19 years, 126 days",7070 (on 14th of November),No,Yes,"Saint Paul Capisterre, Saint Kitts and Nevis",Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis Labour Party,University of the West Indies,Prime Minister,
Ilham Aliyev,http://en.wikipedia.org/wiki/Ilham_Aliyev,"Ilham Heydar oglu Aliyev (Azerbaijani: İlham Heydər oğlu Əliyev; born 24 December 1961) is the fourth and current President of Azerbaijan, since 2003. He also functions as the Chairman of the New Azerbaijan Party and the head of the National Olympic Committee. Apart from his native Azerbaijani, he speaks English, French, Russian, and Turkish. Ilham Aliyev is the son of Heydar Aliyev, who was Azerbaijan's president from 1993 to 2003.",http://commons.wikimedia.org/wiki/Special:FilePath/Ilham_Aliyev_-_World_Economic_Forum_Annual_Meeting_Davos_2009.jpg?width=300,1961,42,4 August 2003,2003,,,"11 years, 98 days",4120 (on 14th of November),No,Yes,"Baku, Azerbaijan",Azerbaijan,Azerbaijan,Azerbaijan,,Moscow State Institute of International Relations,"Prime Minister, President",
António de Oliveira Salazar,http://en.wikipedia.org/wiki/Ant%C3%B3nio_de_Oliveira_Salazar,"António de Oliveira Salazar GCSE, GCIC, GCTE, GColIH (Portuguese pronunciation: [ɐ̃ˈtɔniu dɨ oliˈvɐjɾɐ sɐlɐˈzaɾ]; 28 April 1889 – 27 July 1970) was a Portuguese professor and politician who served as Prime Minister of Portugal from 1932 to 1968. His Council of Ministers briefly served as acting President of the Republic in 1951; he was never President of the Republic, but was the virtual dictator of the country in the manner of Franco and Mussolini. He founded and led the Estado Novo (New State ), the authoritarian, right-wing government that presided over and controlled Portugal from 1932 to 1974. In 1940, Life called Salazar ""the greatest Portuguese since Prince Henry the Navigator "" and Oxford University conferred him the Honorary Degree of Doctor of Civil Law. ",http://commons.wikimedia.org/wiki/Special:FilePath/Antonio_Salazar-1.jpg?width=300,1889,43,5 July 1932,1932,25 September 1968,1968,"36 years, 82 days",13231,No,No,"Santa Comba Dão, Portugal",Portugal,Portugal,Portugal,"National Union (Portugal), Roman Catholic Diocese of Coimbra",,Prime Minister,"Catholicism, Christianism"
Todor Zhivkov,http://en.wikipedia.org/wiki/Todor_Zhivkov,"Todor Hristov Zhivkov (Bulgarian: То̀дор Хрѝстов Жѝвков, tr. Todor Hristov Živkov; IPA: [ˈtɔdɔr ˈxristɔf ˈʒifkɔf]; 7 September 1911 – 5 August 1998), was the communist head of state of the People's Republic of Bulgaria (PRB) from March 4, 1954 until November 10, 1989.","http://commons.wikimedia.org/wiki/Special:FilePath/Bundesarchiv_Bild_183-B0115-0010-066,_Berlin,_VI._SED-Parteitag,_Warnke,_Shiwkow_-_Zhivkov.jpg?width=300",1911,43,4 March 1954,1954,17 November 1989,1989,"35 years, 258 days",13041,No,No,"Pravets, Bulgaria",Bulgaria,Bulgaria,Bulgaria,Bulgarian Communist Party,,"General Secretary, Prime Minister","Bulgarian Church, Orthodox, Christianism"
Paul Kagame,http://en.wikipedia.org/wiki/Paul_Kagame,"Paul Kagame (/kəˈɡɑːmeɪ/ kə-GAH-may; born 23 October 1957) is the sixth and current President of Rwanda having taken office in 2000 when his predecessor, Pasteur Bizimungu, resigned. Kagame previously commanded the rebel force that ended the 1994 Rwandan Genocide. He was considered Rwanda's de facto leader when he served as Vice President and Minister of Defence from 1994 to 2000.","http://commons.wikimedia.org/wiki/Special:FilePath/Paul_Kagame,_2009_World_Economic_Forum_on_Africa-3_cropped.jpg?width=300",1957,43,24 March 2000,2000,,,"14 years, 231 days",5348 (on 14th of November),No,Yes,"Nyarutovu, Rwanda",Rwanda,Rwanda,Rwanda,Rwandan Patriotic Front,,President,
Hamengkubuwana X,http://wikipedia.org/wiki/Hamengkubuwana_X,"His Majesty Sri Sultan Hamengkubuwono X (also seen as Hamengkubuwana) (born BRM Herjuno Darpito, 2 April 1946 in Yogyakarta) is the current monarch of the historic Yogyakarta Sultanate in Indonesia, and is currently also the governor of the modern Yogyakarta Special Region (Daerah Istimewa Yogyakarta ). He was inaugurated on 3 October 1998.",http://commons.wikimedia.org/wiki/Special:FilePath/Hamengkubuwono_x.jpg?width=300,1946,43,7 March 1989,1989,,,"25 years,248 days",9383 (on 14th of November),Yes,Yes,"Yogyakarta, Indonesia",Indonesia,Yogyakarta ,Indonesia,,,Sultan,"Islam, Kejawen"
Joseph Stalin,http://en.wikipedia.org/wiki/Joseph_Stalin,"Joseph Stalin or Iosif Vissarionovich Stalin (Russian: Ио́сиф Виссарио́нович Ста́лин, pronounced [ˈjosʲɪf vʲɪsɐˈrʲonəvʲɪt͡ɕ ˈstalʲɪn]; born Ioseb Besarionis Dze Jugashvili, Georgian: იოსებ ბესარიონის ძე ჯუღაშვილი, pronounced [iɔsɛb bɛsɑriɔnis dzɛ dʒuɣɑʃvili]; 18 December 1878 – 5 March 1953) was the dictator of the Soviet Union from the mid-1920s until his death in 1953.",http://commons.wikimedia.org/wiki/Special:FilePath/CroppedStalin1943.jpg?width=300,1878,44,3 April 1922,1922,5 March 1953,1953,"30 years, 336 days",11293,No,No,"Gori, Georgia",Georgia,Soviet Union,Russia,,,"General Secretary, Prime Minister",None
Francisco Franco,http://en.wikipedia.org/wiki/Francisco_Franco,"Francisco Franco Bahamonde (Spanish pronunciation: [fɾanˈθisko ˈfɾaŋko βa(a)ˈmonde]; 4 December 1892 – 20 November 1975) was the dictator of Spain from 1939 to his death in 1975. Coming from a military background, he became the youngest general in Europe in the 1920s. ",http://en.wikipedia.org/wiki/Special:FilePath/Franco0001.PNG?width=300,1892,44,1 October 1936,1936,20 November 1975,1975,"39 years, 50 days",14294,No,No,"Ferrol (Galicia), Spain",Spain,Spain,Spain,Falange - FET y de las JONS,,"Caudillo, Generalísimo, Prime Minister",
Hans Adam II of Liechtenstein,"http://wikipedia.org/wiki/Hans-Adam_II,_Prince_of_Liechtenstein","Hans-Adam II (Johannes ""Hans"" Adam Ferdinand Alois Josef Maria Marco d'Aviano Pius Fürst von und zu Liechtenstein; born 14 February 1945) is the reigning Prince (Fürst) of Liechtenstein. He is the son of Franz Joseph II, Prince (Fürst) of Liechtenstein (1906–1989) and his wife Countess Georgina von Wilczek (1921–1989). He also bears the titles Duke of Troppau and Jägerndorf, and Count Rietberg. He descends in the direct male line from merely three of the previous fourteen Princes of Liechtenstein, and of another (again from two of the above-mentioned three) in the female line.",,1945,44,13 November 1989,1989,,,"24 years,362 days",9132 (on 14th of November),Yes,Yes,,,Liechtenstein,Liechtenstein,,,Prince,
János Kádár,http://en.wikipedia.org/wiki/J%C3%A1nos_K%C3%A1d%C3%A1r,"János Kádár ([ˈjaːnoʃ ˈkaːdaːr]; 26 May 1912 – 6 July 1989) was a Hungarian communist leader and the General Secretary of the Hungarian Socialist Workers' Party, presiding over the country from 1956 until his retirement in 1988. His 32-year term as General Secretary covered most of the period the People's Republic of Hungary existed. Kádár's regime continued until Mikhail Gorbachev became General Secretary. Due to Kádár's age and his declining health, he retired as Secretary-General of the party in 1988, and a younger generation consisting mostly of reformers took over.",http://commons.wikimedia.org/wiki/Special:FilePath/János_Kádár_(fototeca.iiccr.ro).jpg?width=300,1912,44,25 October 1956,1956,27 May 1988,1988,"31 years, 215 days",11538,No,No,"Rijeka, Croatia",Croatia,Hungary,Hungary,"Hungarian Socialist Workers' Party, Hungarian Working People's Party, Hungarian Communist Party",,"General Secretary, Prime Minister",
Ahmad Shah of Pahang,http://wikipedia.org/wiki/Ahmad_Shah_of_Pahang,"Ahmad Shah ibni Abu Bakar (born 24 October 1930 at Istana Mangga Tunggal, Pekan) is the fifth Sultan of Pahang of Pahang, and also served as the seventh Yang di-Pertuan Agong of Malaysia from 1979 to 1984.",http://commons.wikimedia.org/wiki/Special:FilePath/Sultan_Ahmad_Shah_Mosque.jpg?width=300,1930,44,7 May 1974,1974,,,"40 years,187 days",14801 (on 14th of November),Yes,Yes,"Pekan, Malaysia",Malaysia,Pahang ,Malaysia,,,Sultan,
Isaias Afwerki,http://en.wikipedia.org/wiki/Isaias_Afwerki,"Isaias Afwerki (sometimes spelled Afewerki;  Tigrinya: ኢሳይያስ ኣፈወርቂ ? [isajas afwɐrkʼi]) (born February 2, 1946), is the first President of the State of Eritrea, a position he has held since its independence in 1993. He led the Eritrean People's Liberation Front (EPLF) to victory in May 1991, thus ending the 30-year-old armed liberation struggle that the Eritrean people refer to as ""Gedli"". The EPLF adopted a new political party name, People's Front for Democracy and Justice (PFDJ) to reflect its new responsibilities. The PFDJ, with Afwerki as its leader, still rules Eritrea.",http://commons.wikimedia.org/wiki/Special:FilePath/Isaias_Afwerki_in_2002.jpg?width=300,1946,45,27 April 1991,1991,,,"23 years, 197 days",8602 (on 14th of November),No,Yes,"Asmara, Eritrea",Eritrea,Eritrea,Eritrea,People's Front for Democracy and Justice,Addis Ababa University,President,Eritrean Orthodox Tewahedo Church
"Henri, Grand Duke of Luxembourg","http://wikipedia.org/wiki/Henri,_Grand_Duke_of_Luxembourg","Henri (given names: Henri Albert Gabriel Félix Marie Guillaume; born 16 April 1955) is the current Grand Duke of Luxembourg, reigning since 7 October 2000. He is the eldest son of Grand Duke Jean and Princess Joséphine-Charlotte of Belgium, and a first cousin of the current King of the Belgians, Philippe .",http://en.wikipedia.org/wiki/Special:FilePath/Henri_of_Luxembourg_(2009).jpg?width=300,1955,45,7 October 2000,2000,,,"14 years,34 days",5151 (on 14th of November),Yes,Yes,"Betzdorf, Luxembourg",Luxembourg,Luxembourg,Luxembourg,,,Duke,
