Car,Car Name,Image,Manufacturer,Model Year,Serial umber,Date Auctioned,Auction House,Locale,Original Price,Adjusted Price,Wikipedia Profile,Description
Ferrari 340 Mexico Berlinetta 1952 0226AT,Ferrari 340 Mexico Berlinetta,http://www.prewarcar.com/images/stories/editor_images/1952_Ferrari_340_Mexico_Berlinetta.jpg,Ferrari,1952,0226AT,20/08/2011,RM Auctions,"Monterey, California, United States","$3,685,000","$3,863,254",http://en.wikipedia.org/wiki/Ferrari,"Ferrari S.p.A. is an Italian luxury sports car manufacturer based in Maranello. Founded by Enzo Ferrari in 1929, as Scuderia Ferrari, the company sponsored drivers and manufactured race cars before moving  into production of street-legal vehicles as Ferrari S.p.A. in 1947. Fiat acquired 50% of Ferrari in 1969 and expanded its stake to 85% in 2008. Fiat currently owns 90% of Ferrari. Throughout its history, the company has been noted for its continued  participation in racing, especially in Formula One, where it has had great success. Ferrari road cars are generally seen as a symbol of speed, luxury and wealth."
Ferrari 340 Mexico Coupe 1952 0224AT,Ferrari 340 Mexico Coupe,http://www.supercars.net/gallery/119513/2616/986784.jpg,Ferrari,1952,0224AT,12/03/2011,RM Auctions,"Amelia Island, Florida, United States","$4,290,000","$4,497,519",http://en.wikipedia.org/wiki/Ferrari,"Ferrari S.p.A. is an Italian luxury sports car manufacturer based in Maranello. Founded by Enzo Ferrari in 1929, as Scuderia Ferrari, the company sponsored drivers and manufactured race cars before moving  into production of street-legal vehicles as Ferrari S.p.A. in 1947. Fiat acquired 50% of Ferrari in 1969 and expanded its stake to 85% in 2008. Fiat currently owns 90% of Ferrari. Throughout its history, the company has been noted for its continued  participation in racing, especially in Formula One, where it has had great success. Ferrari road cars are generally seen as a symbol of speed, luxury and wealth."
Ferrari 340 MM Competition Spyder 1953 0268 AM,Ferrari 340 MM Competition Spyder,http://assets.hemmings.com/uimage/720633-1067-1600.jpg,Ferrari,1953,0268 AM,20/05/2007,"RM Auctions, Sotheby's","Maranello, Emilia-Romagna, Italy","$3,164,700","$3,599,459",http://en.wikipedia.org/wiki/Ferrari_340,"The Ferrari 340 Mexico was a Ferrarirace car. It used 4.1l Lampredi V12 engine producing around 280bhp. Just 4 were made in 1952, 3 Vignale Berlinettas and 1 Vignale Spyder; all designed by Giovanni Michelotti."
Ferrari 340 MM Spider 1953 0350 AM,Ferrari 340 MM Spider,http://pictures.topspeed.com/IMG/crop/201207/ferrari-340-mm-compe-1_600x0w.jpg,Ferrari,1953,0350 AM,18/08/2012,Goodings & Company,"Pebble Beach, California, United States","$4,730,000","$4,858,894",http://en.wikipedia.org/wiki/Ferrari_340,"The Ferrari 340 Mexico was a Ferrarirace car. It used 4.1l Lampredi V12 engine producing around 280bhp. Just 4 were made in 1952, 3 Vignale Berlinettas and 1 Vignale Spyder; all designed by Giovanni Michelotti."
Ferrari 340/375 MM Berlinetta 'Competizione' 1953 0320AM,Ferrari 340/375 MM Berlinetta 'Competizione',http://www.blogcdn.com/www.autoblog.com/media/2013/02/01-ferrari-340-375-628.jpg,Ferrari,1953,0320AM,25/05/2013,RM Auctions,"Tivoli, Lazio, Italy","$12,812,800","$12,972,045",http://en.wikipedia.org/wiki/Ferrari_340,"The Ferrari 340 Mexico was a Ferrarirace car. It used 4.1l Lampredi V12 engine producing around 280bhp. Just 4 were made in 1952, 3 Vignale Berlinettas and 1 Vignale Spyder; all designed by Giovanni Michelotti."
Ferrari 340/375 MM Berlinetta Competizione 1953 0396 AM,Ferrari 340/375 MM Berlinetta Competizione,http://images.thecarconnection.com/lrg/1953-ferrari-340-375-mm-berlinetta-competizione_100425185_l.jpg,Ferrari,1953,0396 AM,20/05/2007,"RM Auctions, Sotheby's","Maranello, Emilia-Romagna, Italy","$5,692,000","$6,473,953",http://en.wikipedia.org/wiki/Ferrari_America,"Ferrari America is a series of top-end Ferrari models built in the 1950s and 1960s. They were large touring cars with the largest V12 engines and often had custom bodywork. All America models used a live axle in the rear, were front-engined, and had worm and sector steering."
Ferrari 375 MM Berlinetta 1955 0490AM,Ferrari 375 MM Berlinetta,http://www.supercars.net/gallery/119513/2656/995606small.jpg,Ferrari,1955,0490AM,21/05/2011,RM Auctions,"Tivoli, Lazio, Italy","$4,794,720","$5,026,654",http://en.wikipedia.org/wiki/Ferrari,"Ferrari S.p.A. is an Italian luxury sports car manufacturer based in Maranello. Founded by Enzo Ferrari in 1929, as Scuderia Ferrari, the company sponsored drivers and manufactured race cars before moving  into production of street-legal vehicles as Ferrari S.p.A. in 1947. Fiat acquired 50% of Ferrari in 1969 and expanded its stake to 85% in 2008. Fiat currently owns 90% of Ferrari. Throughout its history, the company has been noted for its continued  participation in racing, especially in Formula One, where it has had great success. Ferrari road cars are generally seen as a symbol of speed, luxury and wealth."
Ferrari 375 MM Berlinetta 1962 0416AM,Ferrari 375 MM Berlinetta,http://www.sportscardigest.com/wp-content/uploads/1954-Ferrari-375MM-Pinin-Farina-Berlinetta1.jpg,Ferrari,1962,0416AM,14/08/2010,RM Auctions,"Monterey, California, United States","$4,620,000","$4,996,481",http://en.wikipedia.org/wiki/Ferrari,"Ferrari S.p.A. is an Italian luxury sports car manufacturer based in Maranello. Founded by Enzo Ferrari in 1929, as Scuderia Ferrari, the company sponsored drivers and manufactured race cars before moving  into production of street-legal vehicles as Ferrari S.p.A. in 1947. Fiat acquired 50% of Ferrari in 1969 and expanded its stake to 85% in 2008. Fiat currently owns 90% of Ferrari. Throughout its history, the company has been noted for its continued  participation in racing, especially in Formula One, where it has had great success. Ferrari road cars are generally seen as a symbol of speed, luxury and wealth."
Ferrari 375 MM Spider 1953 0364AM,Ferrari 375 MM Spider,http://www.supercars.net/gallery/119513/3007/1070061-1024.jpg,Ferrari,1953,0364AM,16/08/2013,RM Auctions,"Monterey, California, United States","$9,075,000","$9,187,789",http://en.wikipedia.org/wiki/Ferrari_375_MM,"Ferrari 375 MM, was a Ferrarirace car produced in 1953. amed after unitary displacement of 4,5L V12 engine and Mille Miglia race. With engine based on its F1 counterpart but with smaller stroke and bigger bore. First prototype being a Vignale Spyder and 3 next cars were Pinin Farina Berlinettas, all converted from Ferrari 340 MM."
Ferrari 375-Plus Spider Competizione 1954 0384,Ferrari 375-Plus Spider Competizione,http://www.artvalue.com/image.aspx?PHOTO_ID=4144737,Ferrari,1954,0384,27/06/2014,Bonhams,"Goodwood, West Sussex, United Kingdom","$18,400,177","$18,400,177",http://en.wikipedia.org/wiki/Ferrari_375_MM,"Ferrari 375 MM, was a Ferrarirace car produced in 1953. amed after unitary displacement of 4,5L V12 engine and Mille Miglia race. With engine based on its F1 counterpart but with smaller stroke and bigger bore. First prototype being a Vignale Spyder and 3 next cars were Pinin Farina Berlinettas, all converted from Ferrari 340 MM."
Ferrari 400 Superamerica 1962 SA3309 (1),Ferrari 400 Superamerica,http://files.conceptcarz.com/img/Ferrari/62_Ferrari-400_SA_Cpe_4251_SA_DV_07-CC_011.jpg,Ferrari,1962,SA3309,1/05/2010,RM Auctions,"Monte Carlo, Monaco","$3,799,600","$4,109,227",http://en.wikipedia.org/wiki/Ferrari_America,"Ferrari America is a series of top-end Ferrari models built in the 1950s and 1960s. They were large touring cars with the largest V12 engines and often had custom bodywork. All America models used a live axle in the rear, were front-engined, and had worm and sector steering."
Ferrari 400 Superamerica 1962 SA3309 (2),Ferrari 400 Superamerica,http://files.conceptcarz.com/img/Ferrari/62_Ferrari-400_SA_Cpe_4251_SA_DV_07-CC_011.jpg,Ferrari,1962,SA3309,17/01/2014,Gooding & Company,"Scottsdale, Arizona, United States","$3,300,000","$3,300,000",http://en.wikipedia.org/wiki/Ferrari_America,"Ferrari America is a series of top-end Ferrari models built in the 1950s and 1960s. They were large touring cars with the largest V12 engines and often had custom bodywork. All America models used a live axle in the rear, were front-engined, and had worm and sector steering."
Ferrari 410 Sport 1956 0596 CM,Ferrari 410 Sport,http://www.rickcarey.com/images/RM%20Monterey%20410%20Sport/RM%20Mon2.jpg,Ferrari,1956,0596 CM,26/08/2001,RM Auctions,"Monterey, California, United States","$3,822,500","$5,091,159",http://en.wikipedia.org/wiki/Ferrari,"Ferrari S.p.A. is an Italian luxury sports car manufacturer based in Maranello. Founded by Enzo Ferrari in 1929, as Scuderia Ferrari, the company sponsored drivers and manufactured race cars before moving  into production of street-legal vehicles as Ferrari S.p.A. in 1947. Fiat acquired 50% of Ferrari in 1969 and expanded its stake to 85% in 2008. Fiat currently owns 90% of Ferrari. Throughout its history, the company has been noted for its continued  participation in racing, especially in Formula One, where it has had great success. Ferrari road cars are generally seen as a symbol of speed, luxury and wealth."
Ferrari 410S 1955 0594CM,Ferrari 410S,http://autooftheday.files.wordpress.com/2012/08/410s.jpg,Ferrari,1955,0594CM,17/08/2012,RM Auctions,"Monterey, California, United States","$8,250,000","$8,474,815",http://en.wikipedia.org/wiki/Ferrari,"Ferrari S.p.A. is an Italian luxury sports car manufacturer based in Maranello. Founded by Enzo Ferrari in 1929, as Scuderia Ferrari, the company sponsored drivers and manufactured race cars before moving  into production of street-legal vehicles as Ferrari S.p.A. in 1947. Fiat acquired 50% of Ferrari in 1969 and expanded its stake to 85% in 2008. Fiat currently owns 90% of Ferrari. Throughout its history, the company has been noted for its continued  participation in racing, especially in Formula One, where it has had great success. Ferrari road cars are generally seen as a symbol of speed, luxury and wealth."
Ferrari 412S 1958 0744,Ferrari 412S,http://cdn-6.motorsport.com/static/img/amp/100000/170000/172000/172900/172946/s4_2553/fisichella-returns-to-enstone.jpg,Ferrari,1958,0744,19/08/2006,RM Auctions,"Monterey, California, United States","$5,610,000","$6,562,904",http://en.wikipedia.org/wiki/Ferrari,"Ferrari S.p.A. is an Italian luxury sports car manufacturer based in Maranello. Founded by Enzo Ferrari in 1929, as Scuderia Ferrari, the company sponsored drivers and manufactured race cars before moving  into production of street-legal vehicles as Ferrari S.p.A. in 1947. Fiat acquired 50% of Ferrari in 1969 and expanded its stake to 85% in 2008. Fiat currently owns 90% of Ferrari. Throughout its history, the company has been noted for its continued  participation in racing, especially in Formula One, where it has had great success. Ferrari road cars are generally seen as a symbol of speed, luxury and wealth."
Ferrari 500 Mondial Spider Series I 1954 0418MD,Ferrari 500 Mondial Spider Series I,http://www.supercars.net/gallery/119513/3023/1072753-1024.jpg,Ferrari,1954,0418MD,17/08/2013,RM Auctions,"Monterey, California, United States","$3,520,000","$3,563,749",http://en.wikipedia.org/wiki/Ferrari_Monza,"A Ferrari Monza is one of a series of cars built by Ferrari. In the early 1950s, Ferrari shifted from using the compact Gioacchino Colombo-designed V12 engine in its smallest class of sports racers to a line of four-cylinder engines designed by Aurelio Lampredi. Inspired by the success of the light and reliable 2.5 L 553 F1 car, the four-cylinder sports racers competed successfully through the late 1950s, culminating with the famed 500 Mondial and 750 Monza."
Ferrari 500 TRC 1957 0662 MDTR,Ferrari 500 TRC,http://www.supercars.net/gallery/119513/2864/1041600.jpg,Ferrari,1957,0662 MDTR,18/08/2012,Goodings & Company,"Pebble Beach, California, United States","$4,510,000","$4,632,899",http://en.wikipedia.org/wiki/Ferrari_Monza,"A Ferrari Monza is one of a series of cars built by Ferrari. In the early 1950s, Ferrari shifted from using the compact Gioacchino Colombo-designed V12 engine in its smallest class of sports racers to a line of four-cylinder engines designed by Aurelio Lampredi. Inspired by the success of the light and reliable 2.5 L 553 F1 car, the four-cylinder sports racers competed successfully through the late 1950s, culminating with the famed 500 Mondial and 750 Monza."
Ferrari 500 TRC 1957 0690 MDTR,Ferrari 500 TRC,http://images.conceptcarz.com/imgxra/Ferrari/57_Ferrari-500TRC_0690MDTR_DV-13-GCP-01.jpg,Ferrari,1957,0690 MDTR,17/08/2013,Gooding & Company,"Pebble Beach, California, United States","$3,080,000","$3,118,280",http://en.wikipedia.org/wiki/Ferrari_Monza,"A Ferrari Monza is one of a series of cars built by Ferrari. In the early 1950s, Ferrari shifted from using the compact Gioacchino Colombo-designed V12 engine in its smallest class of sports racers to a line of four-cylinder engines designed by Aurelio Lampredi. Inspired by the success of the light and reliable 2.5 L 553 F1 car, the four-cylinder sports racers competed successfully through the late 1950s, culminating with the famed 500 Mondial and 750 Monza."
Ferrari 512 1971 1024,Ferrari 512,http://assets.hemmings.com/uimage/1622857-1600-1325.jpg,Ferrari,1971,1024,18/05/2008,"RM Auctions, Sotheby's","Maranello, Emilia-Romagna, Italy","$3,234,275","$3,542,706",http://en.wikipedia.org/wiki/Ferrari_512,"Ferrari 512 S was the designation of 26 five litre sports cars built until January 1970, related to the Ferrari P sports prototypes. The V12-powered cars were entered in the 1970 International Championship for Makes by the factory Scuderia Ferrari and private teams. Later that year, modified versions resembling the main competitor Porsche 917 were called Ferrari 512 M (for modificata). In the 1971 International Championship for Makes, the factory focused on the new Ferrari 312PB and abandoned the 512 which was only entered by privateers. From 1972 onwards, the 512 (as the 917) was withdrawn from the world championship following a change in the regulations, and some 512 in private hands were entered in CanAm and Interserie races."
Ferrari 512S 1970 1006,Ferrari 512S,http://assets.hemmings.com/uimage/741616-1600-1274.jpg,Ferrari,1970,1006,20/05/2007,"RM Auctions, Sotheby's","Maranello, Emilia-Romagna, Italy","$3,616,800","$4,113,667",http://en.wikipedia.org/wiki/Ferrari_512S,"Ferrari 512 S was the designation of 26 five litre sports cars built until January 1970, related to the Ferrari P sports prototypes. The V12-powered cars were entered in the 1970 International Championship for Makes by the factory Scuderia Ferrari and private teams. Later that year, modified versions resembling the main competitor Porsche 917 were called Ferrari 512 M (for modificata). In the 1971 International Championship for Makes, the factory focused on the new Ferrari 312PB and abandoned the 512 which was only entered by privateers. From 1972 onwards, the 512 (as the 917) was withdrawn from the world championship following a change in the regulations, and some 512 in private hands were entered in CanAm and Interserie races."
Ferrari 625 TRC Spider 1957 0680 MDTR,Ferrari 625 TRC Spider,http://www.sportscardigest.com/wp-content/uploads/1957-Ferrari-625-TRC-Spider1.jpg,Ferrari,1957,0680 MDTR,12/05/2012,RM Auctions,"Monte Carlo, Monaco","$6,526,800","$6,704,657",http://en.wikipedia.org/wiki/Ferrari_Monza,"A Ferrari Monza is one of a series of cars built by Ferrari. In the early 1950s, Ferrari shifted from using the compact Gioacchino Colombo-designed V12 engine in its smallest class of sports racers to a line of four-cylinder engines designed by Aurelio Lampredi. Inspired by the success of the light and reliable 2.5 L 553 F1 car, the four-cylinder sports racers competed successfully through the late 1950s, culminating with the famed 500 Mondial and 750 Monza."
Ferrari 750 Monza Spider 1955 0530M,Ferrari 750 Monza Spider,http://www.sportscardigest.com/wp-content/uploads/1955-Ferrari-750-Monza-Spider1.jpg,Ferrari,1955,0530M,16/08/2013,RM Auctions,"Monterey, California, United States","$4,070,000","$4,120,584",http://en.wikipedia.org/wiki/Ferrari_Monza,"A Ferrari Monza is one of a series of cars built by Ferrari. In the early 1950s, Ferrari shifted from using the compact Gioacchino Colombo-designed V12 engine in its smallest class of sports racers to a line of four-cylinder engines designed by Aurelio Lampredi. Inspired by the success of the light and reliable 2.5 L 553 F1 car, the four-cylinder sports racers competed successfully through the late 1950s, culminating with the famed 500 Mondial and 750 Monza."
Ferrari 857 Sport 1955 0588 M,Ferrari 857 Sport,http://www.sportscardigest.com/wp-content/uploads/1955_Ferrari_857S-14.jpg,Ferrari,1955,0588 M,19/08/2012,Goodings & Company,"Pebble Beach, California, United States","$6,270,000","$6,440,860",http://en.wikipedia.org/wiki/Ferrari_Monza,"A Ferrari Monza is one of a series of cars built by Ferrari. In the early 1950s, Ferrari shifted from using the compact Gioacchino Colombo-designed V12 engine in its smallest class of sports racers to a line of four-cylinder engines designed by Aurelio Lampredi. Inspired by the success of the light and reliable 2.5 L 553 F1 car, the four-cylinder sports racers competed successfully through the late 1950s, culminating with the famed 500 Mondial and 750 Monza."
Ferrari Dino 206SP 1966 008,Ferrari Dino 206SP,http://assets.blog.hemmings.com/wp-content/uploads/2007/04/1966%20Ferrari%20Dino%20206%20SP_001.jpg,Ferrari,1966,008,20/05/2007,"RM Auctions, Sotheby's","Maranello, Emilia-Romagna, Italy","$3,315,400","$3,770,862",http://en.wikipedia.org/wiki/Ferrari_Dino,"Dino was a marque for mid-engined, rear-drivesports cars produced by Ferrari from 1968 to 1976. Used for models with engines with fewer than 12 cylinders, it was an attempt by the company to offer a relatively low-cost sports car. The Ferrari name remained reserved for its premium V-12 and flat 12 models until 1976, when ""Dino"" was retired in favour of full Ferrari branding."
Ferrari F2004 2004 234,Ferrari F2004,http://www.supercars.net/gallery/119513/2921/1055874-1024.jpg,Ferrari,2004,234,28/06/2005,Sotheby's,"Maranello, Emilia-Romagna, Italy","$3,200,670","$3,864,909",http://en.wikipedia.org/wiki/Ferrari_F2004,"The Ferrari F2004 is a championship-winning Formula One racecar, designed by Rory Byrne, Ross Brawn and Aldo Costa for the 2004 Formula One season. Heavily based on the previous season's F2003-GA, the F2004 continued the run of success the team had enjoyed since 1999, winning the team's 6th straight Constructors' Championship and 5th straight Drivers' Championship in 2004."
Ford GT40 1967 P/1058,Ford GT40,http://www.supercars.net/gallery/119513/3171/1093838small.jpg,Ford,1967,P/1058,17/08/2014,Gooding & Company,"Pebble Beach, California, United States","$3,520,000","$3,520,000",http://en.wikipedia.org/wiki/Ford_GT40,"The Ford GT40 is a high performance American-British endurance racing car, built and designed in England (Mk I, Mk II, and Mk III) and in the United States (Mk IV), and powered by a series of American-built engines, which won the 24 Hours of Le Mans four consecutive times, from 1966 to 1969 (1966 being the Mk II, 1967 the Mk IV, and 1968-1969 the oldest chassis design, the Mk I). In 1966, with Henry Ford II himself in attendance at Le Mans, the Mk II GT40 provided Ford with the first overall Le Mans victory for an American manufacturer  and the first victory for an American manufacturer at a major European race since Jimmy Murphy´s triumph with Duesenberg at the 1921 French Grand Prix. The Mk IV GT40, which won the race in 1967, remains, to this day, the only car designed and built entirely in the United States to claim an overall win at Le Mans."
Ford GT40 1968 P/1074,Ford GT40,http://www.sportscardigest.com/wp-content/uploads/Ford-GT40-P-1074.jpg,Ford,1968,P/1074,17/08/2012,RM Auctions,"Monterey, California, United States","$11,000,000","$11,299,754",http://en.wikipedia.org/wiki/Ford_GT40,"The Ford GT40 is a high performance American-British endurance racing car, built and designed in England (Mk I, Mk II, and Mk III) and in the United States (Mk IV), and powered by a series of American-built engines, which won the 24 Hours of Le Mans four consecutive times, from 1966 to 1969 (1966 being the Mk II, 1967 the Mk IV, and 1968-1969 the oldest chassis design, the Mk I). In 1966, with Henry Ford II himself in attendance at Le Mans, the Mk II GT40 provided Ford with the first overall Le Mans victory for an American manufacturer  and the first victory for an American manufacturer at a major European race since Jimmy Murphy´s triumph with Duesenberg at the 1921 French Grand Prix. The Mk IV GT40, which won the race in 1967, remains, to this day, the only car designed and built entirely in the United States to claim an overall win at Le Mans."
Ford GT40 Prototype 1964 GT/104,Ford GT40 Prototype,http://assets.blog.hemmings.com/wp-content/uploads//2014/03/08.jpg,Ford,1964,GT/104,12/04/2014,Mecum,"Houston, Texas, United States","$7,000,000","$7,000,000",http://en.wikipedia.org/wiki/Ford_GT40,"The Ford GT40 is a high performance American-British endurance racing car, built and designed in England (Mk I, Mk II, and Mk III) and in the United States (Mk IV), and powered by a series of American-built engines, which won the 24 Hours of Le Mans four consecutive times, from 1966 to 1969 (1966 being the Mk II, 1967 the Mk IV, and 1968-1969 the oldest chassis design, the Mk I). In 1966, with Henry Ford II himself in attendance at Le Mans, the Mk II GT40 provided Ford with the first overall Le Mans victory for an American manufacturer  and the first victory for an American manufacturer at a major European race since Jimmy Murphy´s triumph with Duesenberg at the 1921 French Grand Prix. The Mk IV GT40, which won the race in 1967, remains, to this day, the only car designed and built entirely in the United States to claim an overall win at Le Mans."
Ford GT40 Roadster 1965 GT/108,Ford GT40 Roadster,http://images.conceptcarz.com/imgxra/Ford/65-Ford-GT40-Rdstr-DV-13-AI_016.jpg,Ford,1965,GT/108,15/08/2014,RM Auctions,"Monterrey, California, United States","$6,930,000","$6,930,000",http://en.wikipedia.org/wiki/Ford_GT40,"The Ford GT40 is a high performance American-British endurance racing car, built and designed in England (Mk I, Mk II, and Mk III) and in the United States (Mk IV), and powered by a series of American-built engines, which won the 24 Hours of Le Mans four consecutive times, from 1966 to 1969 (1966 being the Mk II, 1967 the Mk IV, and 1968-1969 the oldest chassis design, the Mk I). In 1966, with Henry Ford II himself in attendance at Le Mans, the Mk II GT40 provided Ford with the first overall Le Mans victory for an American manufacturer  and the first victory for an American manufacturer at a major European race since Jimmy Murphy´s triumph with Duesenberg at the 1921 French Grand Prix. The Mk IV GT40, which won the race in 1967, remains, to this day, the only car designed and built entirely in the United States to claim an overall win at Le Mans."
GM Futurliner 1950 011,GM Futurliner,http://silodrome.com/wp-content/uploads/2011/07/1950-GM-Futurliner.jpg,General Motors,1950,011,21/01/2006,Barrett-Jackson,"Scottsdale, Arizona, United States","$4,320,000","$5,053,787",http://en.wikipedia.org/wiki/GM_Futurliner,"The GM Futurliners were a group of stylized buses designed in the 1940s by Harley Earl for General Motors. They were used in GM's Parade of Progress, which traveled the United States exhibiting new cars and technology. The Futurliners were used from 1940 to 1941 and again from 1953 to 1956. A total of 12 were built, and 9 were still known to exist as of 2007."
Gordini Type 24S 1953 36,Gordini Type 24S,http://www.wallpaperup.com/uploads/wallpapers/2013/09/25/151134/bcbadeaff04ba571b8a27a7bf190c7f1.jpg,Gordini,1953,36,5/02/2014,RM Auctions,"Paris, France","$3,346,750","$3,346,750",http://en.wikipedia.org/wiki/Gordini,"Gordini (French pronunciation: ​[ɡɔʁdini]) is a division of Renault Sport Technologies (Renault Sport). In the past, it was a sports car manufacturer and performance tuner, established in 1946 by Amédée Gordini, nicknamed ""Le Sorcier"" (The Sorcerer). Gordini became a division of Renault in 1968 and of Renault Sport in 1976."
Gurney Eagle Mk1 1966 AAR-102,Gurney Eagle Mk1,http://www.supercars.net/gallery/119513/3020/1072343-1024.jpg,All American Racers,1966,AAR-102,17/08/2013,Gooding & Company,"Pebble Beach, California, United States","$3,740,000","$3,786,483",http://en.wikipedia.org/wiki/Eagle_Mk1,"The Eagle Mk1, commonly referred to as the Eagle T1G, was a Formula Oneracing car, designed by Len Terry for Dan Gurneys Anglo American Racers team. The Eagle, introduced for the start of the 1966 Formula One season, is often regarded as being one of the most beautiful Grand Prix cars ever raced at the top levels of international motorsport. Initially appearing with a 2.7L Coventry Climax inline 4-cylinder engine, the car was designed around a 3.0L Gurney-WeslakeV12 which was introduced after its first four races. In the hands of team boss Gurney, the Eagle-Weslake won the 1967 Belgian Grand Prix, making Dan Gurney only the second driver at the time, and one of only three to date, to win a Formula One Grand Prix in a car of their own construction. That win in Belgium still stands as the only Formula One victory for a USA-built car."
Horch 853A Special Roadster 1939 854275,Horch 853A Special Roadster,http://files.conceptcarz.com/img/Horch/38-Horch_853_ErdmanRossi_DV-08_GG_02.jpg,Horch,1939,854275,17/08/2012,RM Auctions,"Monterey, California, United States","$5,170,000","$5,310,884",http://en.wikipedia.org/wiki/Horch,"Horch was a car brand manufactured in Germany by August Horch & Cie, at the beginning of the 20th century."
Jaguar C-Type 1952 XKC 042,Jaguar C-Type,http://images1.bonhams.com/image?src=Images/live/2013-10/30/8843743-2-38.jpg&width=150,Jaguar,1952,XKC 042,1/12/2013,Bonhams,"London, United Kingdom","$4,794,407","$4,853,995",http://en.wikipedia.org/wiki/Jaguar_C-Type,"The Jaguar C-Type (also called the Jaguar XK120-C) is a racing sports car built by Jaguar and sold from 1951 to 1953. The ""C"" designation stood for ""competition""."
Jaguar C-Type 1953 XKC-050,Jaguar C-Type,http://www.sportscardigest.com/wp-content/uploads/037_Jaguar_1953_C-type__XKC050_900.jpg,Jaguar,1953,XKC-050,18/08/2012,Goodings & Company,"Pebble Beach, California, United States","$3,725,000","$3,826,507",http://en.wikipedia.org/wiki/Jaguar_C-Type,"The Jaguar C-Type (also called the Jaguar XK120-C) is a racing sports car built by Jaguar and sold from 1951 to 1953. The ""C"" designation stood for ""competition""."
Jaguar D-Type 1955 XKD 520,Jaguar D-Type,http://www.sportscardigest.com/wp-content/uploads/30_Jaguar_1955_D-Type-_XKD-520_900.jpg,Jaguar,1955,XKD 520,5/02/2014,RM Auctions,"Paris, France","$4,947,835","$4,947,835",http://en.wikipedia.org/wiki/Jaguar_D-Type,"The Jaguar D-Type is a sports racing car that was produced by Jaguar Cars Ltd. between 1954 and 1957. Although it shares many of its mechanical components with the C-Type, including the basic Straight-6XK engine design (initially 3.4 litres and uprated to 3.8 litres in the late fifties), the structure of the car was radically different. The innovative monocoque construction brought aviation industry technology to competition car design, together with an aeronautical understanding of aerodynamic efficiency."
Jaguar D-Type 1955 XKD 530,Jaguar D-Type,http://assets.blog.hemmings.com/wp-content/uploads//2013/07/MO13_r178_20.jpg,Jaguar,1955,XKD 530,16/08/2013,RM Auctions,"Monterey, California, United States","$3,905,000","$3,953,534",http://en.wikipedia.org/wiki/Jaguar_D-Type,"The Jaguar D-Type is a sports racing car that was produced by Jaguar Cars Ltd. between 1954 and 1957. Although it shares many of its mechanical components with the C-Type, including the basic Straight-6XK engine design (initially 3.4 litres and uprated to 3.8 litres in the late fifties), the structure of the car was radically different. The innovative monocoque construction brought aviation industry technology to competition car design, together with an aeronautical understanding of aerodynamic efficiency."
Jaguar D-Type 1956 XKD 561,Jaguar D-Type,http://images1.bonhams.com/image?src=Images/live/2013-09/05/8843743-3-2.jpg&width=150,Jaguar,1956,XKD 561,1/12/2013,Bonhams,"London, United Kingdom","$4,241,491","$4,294,207",http://en.wikipedia.org/wiki/Jaguar_D-Type,"The Jaguar D-Type is a sports racing car that was produced by Jaguar Cars Ltd. between 1954 and 1957. Although it shares many of its mechanical components with the C-Type, including the basic Straight-6XK engine design (initially 3.4 litres and uprated to 3.8 litres in the late fifties), the structure of the car was radically different. The innovative monocoque construction brought aviation industry technology to competition car design, together with an aeronautical understanding of aerodynamic efficiency."
Jaguar D-Type 1956 XKD528,Jaguar D-Type,http://www.sportscardigest.com/wp-content/uploads/1956-Jaguar-DType-Side.jpg,Jaguar,1956,XKD528,23/01/2010,Gooding & Company,"Scottsdale, Arizona, United States","$3,740,000","$4,044,770",http://en.wikipedia.org/wiki/Jaguar_D-Type,"The Jaguar D-Type is a sports racing car that was produced by Jaguar Cars Ltd. between 1954 and 1957. Although it shares many of its mechanical components with the C-Type, including the basic Straight-6XK engine design (initially 3.4 litres and uprated to 3.8 litres in the late fifties), the structure of the car was radically different. The innovative monocoque construction brought aviation industry technology to competition car design, together with an aeronautical understanding of aerodynamic efficiency."
Jaguar E2A 1960 E2A,Jaguar E2A,http://media.caranddriver.com/images/02q3/267409/1960-jaguar-e2a-prototype-photo-201337-s-429x262.jpg,Jaguar,1960,E2A,15/08/2008,Bonhams,"Carmel, California, United States","$4,957,000","$5,429,715",http://en.wikipedia.org/wiki/Jaguar_E-Type,"The Jaguar E-Type (a.k.a. Jaguar XK-E) is a British sports car, which was manufactured by Jaguar Cars Ltd between 1961 and 1975. Its combination of good looks, high performance and competitive pricing established the marque as an icon of 1960s motoring. More than 70,000 E-Types were sold."
"Maserati 450S Prototype 1956 3501, 4501, 350SI-10",Maserati 450S Prototype,http://www.supercars.net/gallery/119513/3134/1087799-1024.jpg,Maserati,1956,"3501, 4501, 350SI-10",10/05/2014,RM Auctions,"Monte Carlo, Monaco","$4,816,350","$4,816,350",http://en.wikipedia.org/wiki/Maserati_450S,"Maserati 450S (built 1956-1958) were nine racing cars made by Maserati of Italy, and used in FIAs endurance World Sportscar Championship racing."
