ID Number,Department,Contracting Agency,Year Contract Signed,Year Contract Effective,Current Contract Value,Major Program,Vendor,Vendor DBA,Date Contract Signed,Date Contract Effective,Current Completion Date,Amount Obligated,Base and all options value,Extent Competed,Reason Not Competed,Purchase Card Payment Method,Type of Contract Pricing,Place of Manufacture,CCR Exception Type,Reason for Modification,Product/Service Description,Requirement Description,Place of Performance,Place of Performance - City,Place of Performance - State,Award / IDV,Award Type,Location of Vendo,Location of Vendor - City,Location of Vendor - State,Small Business?,Small Disadvantaged Business?,Historically Underutilized Business Zone?,Sheltered Workshop?,Women Owned Business?,Veteran Owned Business?,Service Related Disabled Veteran Owned Business?,Minority Owned Business?,Minority Institution?,Black American Owned Business?,Historic Black College Or University?,Native American Owned Business?,Hispanic American Owned Business?,Asian Pacific American Owned Business?,Asian Indian Owned Business?,Subcontinent Asian (Asian-Indian) American Owned Business?,Eight?,Local Government?,Hospital?,Nonprofit Organization?,Educational Institution?,Federal Government?,State Government?,Tribal Government?
Contract ID n. 605,Department Of Homeland Security,U.S. Coast Guard,2011,2011,"991,855.00",,Bollinger Fourchon,,9/17/2010,9/17/2010,10/17/2010,"991,855.00","991,855.00",Full And Open Competition,,No,Fixed Price,Not A Manufactured End Product,,,Non-nuclear Ship Repair (east),Award Pr For Cgc Walnut Post-dwh Decontimation Dd. Pop 16sep-07oct 2011.,"Golden Meadow, Louisiana, United States",Golden Meadow,Louisiana,Award,Delivery Order,"Golden Meadow, Louisiana, United States",Golden Meadow,Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 611,Department Of Homeland Security,U.S. Coast Guard,2011,2011,"1,196,814.00",,Bollinger Fourchon,,11/9/2010,11/9/2010,12/9/2010,"1,196,814.00","1,196,814.00",Full And Open Competition,,No,Fixed Price,Not A Manufactured End Product,,,Non-nuclear Ship Repair (east),Decon Walnut,"Golden Meadow, Louisiana, United States",Golden Meadow,Louisiana,Award,Delivery Order,"Golden Meadow, Louisiana, United States",Golden Meadow,Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 612,Department Of Homeland Security,U.S. Coast Guard,2011,2011,"-1,196,814.00",,Bollinger Fourchon,,11/10/2010,11/10/2010,12/9/2010,"-1,196,814.00","-1,196,814.00",Full And Open Competition,,No,Fixed Price,Not A Manufactured End Product,,Other Administrative Action,Non-nuclear Ship Repair (east),Decon Walnut,"Golden Meadow, Louisiana, United States",Golden Meadow,Louisiana,Award,Delivery Order,"Golden Meadow, Louisiana, United States",Golden Meadow,Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 706,Department Of Homeland Security,U.S. Coast Guard,2011,2011,"1,196,814.00",,Bollinger Fourchon,,11/10/2010,9/10/2010,10/17/2010,"1,196,814.00","1,196,814.00",Full And Open Competition,,No,Fixed Price,Not A Manufactured End Product,,,Non-nuclear Ship Repair (east),"Decontamination Of Walnut Post-dwh Mission.

Note:  This Document Was Created To Correct Original Doc 2410850v36xp7 That Had Incorrect Duns No. Associated With It.  No Expenditures Had Ever Been Made Against That Doc.

850v36xp7 Bollinger Lockport Duns 008163842 (incorrect)
850v36xp8 Bollinger Fourchon Duns 112768127 (correct)

Per Tier 2 Advice, Will Have Contractor Invoice Against Doc 850v36xp8.","Golden Meadow, Louisiana, United States",Golden Meadow,Louisiana,Award,Delivery Order,"Golden Meadow, Louisiana, United States",Golden Meadow,Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1147,Department Of Commerce,National Oceanic And Atmospheric Administration,2011,2011,"646,707.01",,Booz Allen Hamilton,,9/26/2011,9/26/2011,9/27/2011,"646,707.01","646,707.01",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,,Restoration,Continued Development Of Rc Database,"Mc Lean, Virginia, United States",Mc Lean,Virginia,Award,Delivery Order,"Mc Lean, Virginia, United States",Mc Lean,Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 967,Department Of Defense,Department Of The Army,2011,2011,"32,795.00",,Bottom Line Equipment,,5/14/2010,5/14/2010,7/1/2010,"32,795.00","32,795.00",Not Competed,Urgency,No,Fixed Price,U.S.,,,Misc Service & Trade Eq,Light Sets,"Galliano, Louisiana, United States",Galliano,Louisiana,Award,Purchase Order,"Saint Rose, Louisiana, United States",Saint Rose,Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1011,Department Of Defense,Department Of The Army,2011,2011,"5,400.00",,Bottom Line Equipment,,5/4/2010,5/4/2010,6/16/2010,"5,400.00","5,400.00",Not Competed,Urgency,No,Fixed Price,U.S.,,,Misc Service & Trade Eq,Light Sets,"Pineville, Louisiana, United States",Pineville,Louisiana,Award,Purchase Order,"Saint Rose, Louisiana, United States",Saint Rose,Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 149,Department Of The Interior,Geological Survey,2011,2011,"8,352.50",,Brettly C. Wilson,,7/2/2013,7/8/2013,7/7/2015,"8,352.50","8,352.50",Competed Under Sap,,No,Fixed Price,Not A Manufactured End Product,,,Special Studies/analysis- Geophysical,Igf::ot::igf,"Lafayette, Louisiana, United States",Lafayette,Louisiana,Award,Purchase Order,"Lafayette, Louisiana, United States",Lafayette,Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 262,Department Of The Interior,U.S. Fish And Wildlife Service,2011,2011,"46,000.00",,Bright Flying Service,,8/10/2010,8/10/2010,8/13/2010,"46,000.00","46,000.00",Not Competed Under Sap,Sap Non-competition,No,Fixed Price,Not A Manufactured End Product,,,Oil Spill Response,"Aerial Seeding Of 2600 Acres Of Big Lake National Wildlife Refuge, Manila, Ar.","Manila, Arkansas, United States",Manila,Arkansas,Award,Purchase Order,"Manila, Arkansas, United States",Manila,Arkansas,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 148,Department Of The Interior,Geological Survey,2011,2011,"7,710.00",,Brodee J. Landry,,7/1/2013,7/15/2013,7/14/2015,"7,710.00","7,710.00",Competed Under Sap,,No,Fixed Price,Not A Manufactured End Product,,,Special Studies/analysis- Geophysical,Igf::ot::igf,"Lafayette, Louisiana, United States",Lafayette,Louisiana,Award,Purchase Order,"Scott, Louisiana, United States",Scott,Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 278,Department Of The Interior,U.S. Fish And Wildlife Service,2011,2011,"-3,918.60",,Brookfield Relocation,,6/25/2013,6/25/2013,12/14/2013,"-3,918.60","-3,918.60",Full And Open Competition,,No,Fixed Price,Not A Manufactured End Product,,Close Out,Transportation/travel/relocation- Relocation: Relocation,Igf::ot::igf Functions. Relocation Services (relo - Jon M. Hemming),"Atlanta, Georgia, United States",Atlanta,Georgia,Award,Delivery Order,"Washington, District Of Columbia, United States",Washington,District Of Columbia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 393,Department Of The Interior,U.S. Fish And Wildlife Service,2011,2011,"7,638.50",,Brunson Net & Supply,,4/5/2011,4/5/2011,4/30/2011,"7,638.50","7,638.50",Competed Under Sap,,No,Fixed Price,U.S.,,,Misc Ship & Marine Eq,Gills Net,"Atlanta, Georgia, United States",Atlanta,Georgia,Award,Purchase Order,"Foley, Alabama, United States",Foley,Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 324,Department Of The Interior,U.S. Fish And Wildlife Service,2011,2011,"-8,100.00",,Buccaneer Inn Of St. George,,8/4/2010,8/4/2010,8/31/2010,"-8,100.00","-8,100.00",Not Competed,Urgency,Yes,Fixed Price,Not A Manufactured End Product,,Terminate For Convenience,Lodging - Hotel/motel,"Cancel 10 Hotel Rooms For 27 Nights Through August 31, 2010.  These Rooms Are No Longer Needed To Support Oil Spill Response Workers.","Eastpoint, Florida, United States",Eastpoint,Florida,Award,Purchase Order,"Eastpoint, Florida, United States",Eastpoint,Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 325,Department Of The Interior,U.S. Fish And Wildlife Service,2011,2011,"20,400.00",,Buccaneer Inn Of St. George,,7/24/2010,7/10/2010,8/31/2010,"20,400.00","20,400.00",Not Competed,Urgency,Yes,Fixed Price,Not A Manufactured End Product,,,Lodging - Hotel/motel,Sleeping Rooms For Personnel In Support Of The Deep Horizon Oil Spill,"Eastpoint, Florida, United States",Eastpoint,Florida,Award,Purchase Order,"Eastpoint, Florida, United States",Eastpoint,Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 326,Department Of The Interior,U.S. Fish And Wildlife Service,2011,2011,"19,800.00",,Buccaneer Inn Of St. George,,8/10/2010,8/11/2010,8/31/2010,"19,800.00","19,800.00",Not Competed,Urgency,Yes,Fixed Price,Not A Manufactured End Product,,Additional Work,Lodging - Hotel/motel,Add Ten Hotel Rooms That Were Previously Canceled By Modification 1.,"Eastpoint, Florida, United States",Eastpoint,Florida,Award,Purchase Order,"Eastpoint, Florida, United States",Eastpoint,Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 327,Department Of The Interior,U.S. Fish And Wildlife Service,2011,2011,"-17,560.00",,Buccaneer Inn Of St. George,,6/27/2011,6/27/2011,6/27/2011,"-17,560.00","-17,560.00",Not Competed,Urgency,No,Fixed Price,Not A Manufactured End Product,,Change Order,Lodging - Hotel/motel,Deobligate Remaining Funds And Close Out The Purchase Order.,"Eastpoint, Florida, United States",Eastpoint,Florida,Award,Purchase Order,"Eastpoint, Florida, United States",Eastpoint,Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 216,Department Of The Interior,National Park Service,2011,2011,"-8,687.48",,Budget Inn Of Daphne,,9/26/2010,9/26/2010,11/1/2010,"-8,687.48","-8,687.48",Competed Under Sap,,No,Fixed Price,Not A Manufactured End Product,,Change Order,Lease-rent Of Family Housing,Add Conference Room For The Oil Spill,"Daphne, Alabama, United States",Daphne,Alabama,Award,Purchase Order,"Daphne, Alabama, United States",Daphne,Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 217,Department Of The Interior,National Park Service,2011,2011,"50,000.00",,Budget Inn Of Daphne,,9/20/2010,9/20/2010,12/30/2010,"50,000.00","50,000.00",Competed Under Sap,,No,Fixed Price,Not A Manufactured End Product,,,Lease-rent Of Family Housing,Hotel Rooms For The Oil Spill Operations,"Daphne, Alabama, United States",Daphne,Alabama,Award,Purchase Order,"Daphne, Alabama, United States",Daphne,Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 528,Department Of The Interior,U.S. Fish And Wildlife Service,2011,2011,"-3,889.50",,Budget Inn Of Daphne,,6/19/2011,6/19/2011,6/19/2011,"-3,889.50","-3,889.50",Not Competed Under Sap,Sap Non-competition,No,Fixed Price,Not A Manufactured End Product,,Change Order,Lodging - Hotel/motel,Deobligate Remaining Funds And Close Out The Order.,"Daphne, Alabama, United States",Daphne,Alabama,Award,Purchase Order,"Daphne, Alabama, United States",Daphne,Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 529,Department Of The Interior,U.S. Fish And Wildlife Service,2011,2011,"6,300.00",,Budget Inn Of Daphne,,7/24/2010,7/4/2010,10/16/2010,"6,300.00","6,300.00",Not Competed Under Sap,Sap Non-competition,Yes,Fixed Price,Not A Manufactured End Product,,,Lodging - Hotel/motel,Meeting Room To Be Utilize By Personnel Supporting The Deep Horizon Oil Spill,"Daphne, Alabama, United States",Daphne,Alabama,Award,Purchase Order,"Daphne, Alabama, United States",Daphne,Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 530,Department Of The Interior,U.S. Fish And Wildlife Service,2011,2011,79.50,,Budget Inn Of Daphne,,8/2/2010,8/2/2010,10/16/2010,79.50,79.50,Not Competed Under Sap,Sap Non-competition,Yes,Fixed Price,Not A Manufactured End Product,,Change Order,Lodging - Hotel/motel,Add Funding For Phone Charges In Meeting Room Not Negotiated In Original Order.,"Daphne, Alabama, United States",Daphne,Alabama,Award,Purchase Order,"Daphne, Alabama, United States",Daphne,Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 531,Department Of The Interior,U.S. Fish And Wildlife Service,2011,2011,"-91,620.00",,Budget Inn Of Daphne,,9/23/2010,9/23/2010,10/16/2010,"-91,620.00","-91,620.00",Not Competed Under Sap,Sap Non-competition,Yes,Fixed Price,Not A Manufactured End Product,,Change Order,Lodging - Hotel/motel,"Cancel Conference, Meeting And Sleeping Rooms","Daphne, Alabama, United States",Daphne,Alabama,Award,Purchase Order,"Daphne, Alabama, United States",Daphne,Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 532,Department Of The Interior,U.S. Fish And Wildlife Service,2011,2011,"123,225.00",,Budget Inn Of Daphne,,9/4/2010,9/4/2010,10/31/2010,"123,225.00","123,225.00",Not Competed Under Sap,Sap Non-competition,Yes,Fixed Price,Not A Manufactured End Product,,Change Order,Lodging - Hotel/motel,"Sleeping, Meeting, & Conference Rooms For Oil Spill Responders","Daphne, Alabama, United States",Daphne,Alabama,Award,Purchase Order,"Daphne, Alabama, United States",Daphne,Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1094,Department Of Commerce,National Oceanic And Atmospheric Administration,2011,2011,"10,880.00",,C & C Technologies,,5/19/2010,5/19/2010,6/18/2010,"10,880.00","10,880.00",Full And Open Competition,,No,Fixed Price,Not A Manufactured End Product,,,Other Architects & Engin Gen,Magnometer Survey Services,"Venice, Louisiana, United States",Venice,Louisiana,Award,Delivery Order,"Lafayette, Louisiana, United States",Lafayette,Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 889,Department Of Defense,Department Of The Navy,2011,2011,"7,615.58",,C Tech Industries,,6/21/2010,6/21/2010,6/25/2010,"7,615.58","7,615.58",Full And Open Competition,,No,Fixed Price,U.S.,,,Misc Special Industry Machine,Pressure Washer,"Camas, Washington, United States",Camas,Washington,Award,Delivery Order,"Camas, Washington, United States",Camas,Washington,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 61,Department Of Justice,"Offices, Boards And Divisions",2011,2011,"75,000.00",,Caci Incorporated Commercial,,3/1/2011,3/1/2011,5/31/2013,"75,000.00","75,000.00",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,Supplemental Agreement For Work Within Scope,Tech Rep Svcs /Misc Eq,Automated Litigation Support Services In New Orleans For The Enrd Gulf Oil Spill (gos) Support Enrd Dj#ec20100061,"Arlington, Virginia, United States",Arlington,Virginia,Award,Delivery Order,"Arlington, Virginia, United States",Arlington,Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 62,Department Of Justice,"Offices, Boards And Divisions",2011,2011,"800,000.00",,Caci Incorporated Commercial,,6/18/2010,6/18/2010,5/31/2013,"800,000.00","800,000.00",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,,Tech Rep Svcs /Misc Eq,Automated Litigation Support Services In New Orleans For The Enrd Gulf Oil Spill (gos) Support Enrd Dj#ec20100061,"Arlington, Virginia, United States",Arlington,Virginia,Award,Delivery Order,"Arlington, Virginia, United States",Arlington,Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 63,Department Of Justice,"Offices, Boards And Divisions",2011,2011,"200,000.00",,Caci Incorporated Commercial,,9/22/2010,9/22/2010,5/31/2013,"200,000.00","200,000.00",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,,Tech Rep Svcs /Misc Eq,Automated Litigation Support Services In New Orleans For Deepwater Horizon Facility Costs Ecs Dj# 198-32-01230,"Arlington, Virginia, United States",Arlington,Virginia,Award,Delivery Order,"Arlington, Virginia, United States",Arlington,Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 64,Department Of Justice,"Offices, Boards And Divisions",2011,2011,"200,000.00",,Caci Incorporated Commercial,,9/28/2010,9/28/2010,5/31/2013,"200,000.00","200,000.00",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,,Tech Rep Svcs /Misc Eq,Automated Litigation Support Services In New Orleans La For The Enrd Deepwater Horizon Support Fbi - Fbi Dj#198-32-01230,"Arlington, Virginia, United States",Arlington,Virginia,Award,Delivery Order,"Arlington, Virginia, United States",Arlington,Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 65,Department Of Justice,"Offices, Boards And Divisions",2011,2011,"348,759.00",,Caci Incorporated Commercial,,8/11/2011,8/11/2011,5/31/2013,"348,759.00","348,759.00",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,Supplemental Agreement For Work Within Scope,Tech Rep Svcs /Misc Eq,Automated Litigation Support Services In New Orleans For Deepwater Support Ecs Dj# 198-32-01230,"Arlington, Virginia, United States",Arlington,Virginia,Award,Delivery Order,"Arlington, Virginia, United States",Arlington,Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 66,Department Of Justice,"Offices, Boards And Divisions",2011,2011,"70,567.00",,Caci Incorporated Commercial,,7/1/2011,7/1/2011,5/31/2013,"70,567.00","70,567.00",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,Supplemental Agreement For Work Within Scope,Tech Rep Svcs /Misc Eq,Automated Litigation Support Services In New Orleans For Deepwater Support Ecs Dj# 198-32-01230,"Arlington, Virginia, United States",Arlington,Virginia,Award,Delivery Order,"Arlington, Virginia, United States",Arlington,Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 67,Department Of Justice,"Offices, Boards And Divisions",2011,2011,"2,000,000.00",,Caci Incorporated Commercial,,4/22/2011,4/22/2011,5/31/2013,"2,000,000.00","2,000,000.00",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,,Tech Rep Svcs /Misc Eq,Automated Litigation Support Services In New Orleans For Deepwater Support Ecs Dj# 198-32-01230,"Arlington, Virginia, United States",Arlington,Virginia,Award,Delivery Order,"Arlington, Virginia, United States",Arlington,Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 68,Department Of Justice,"Offices, Boards And Divisions",2011,2011,"-651,241.00",,Caci Incorporated Commercial,,6/8/2011,6/8/2011,5/31/2013,"-651,241.00","-651,241.00",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,Funding Only Action,Tech Rep Svcs /Misc Eq,Automated Litigation Support Services In New Orleans For Deepwater Support Ecs Dj# 198-32-01230,"Arlington, Virginia, United States",Arlington,Virginia,Award,Delivery Order,"Arlington, Virginia, United States",Arlington,Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 69,Department Of Justice,"Offices, Boards And Divisions",2011,2011,"538,000.00",,Caci Incorporated Commercial,,7/2/2012,7/2/2012,5/31/2013,"538,000.00","538,000.00",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,Funding Only Action,Technical Representative- Miscellaneous,"Critical Function: This Contract Will Be Used To Provide Professional Litigation Support Products And Services To The Department Of Justice And Other Federal Agencies On An Indefinite Delivery, Indefinite Quantity Task Order Basis.  Individual Task Orders Issued Under This Contract May Support Any Department Of Justice Organization Or Federal Agency On A Local And/or Nationwide Basis.  Services May Be Required Anywhere In Or Outside Of The United States And Its Territories.  This Contract Will Also Be Used To Support Case- Or Investigation-related Administrative Functions.","Arlington, Virginia, United States",Arlington,Virginia,Award,Delivery Order,"Arlington, Virginia, United States",Arlington,Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 70,Department Of Justice,"Offices, Boards And Divisions",2011,2011,"2,000,000.00",,Caci Incorporated Commercial,,4/18/2012,4/18/2012,5/31/2012,"2,000,000.00","2,000,000.00",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,Supplemental Agreement For Work Within Scope,Technical Representative- Miscellaneous,"Critical Function: This Contract Will Be Used To Provide Professional Litigation Support Products And Services To The Department Of Justice And Other Federal Agencies On An Indefinite Delivery, Indefinite Quantity Task Order Basis.  Individual Task Orders Issued Under This Contract May Support Any Department Of Justice Organization Or Federal Agency On A Local And/or Nationwide Basis.  Services May Be Required Anywhere In Or Outside Of The United States And Its Territories.  This Contract Will Also Be Used To Support Case- Or Investigation-related Administrative Functions.","Arlington, Virginia, United States",Arlington,Virginia,Award,Delivery Order,"Arlington, Virginia, United States",Arlington,Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 71,Department Of Justice,"Offices, Boards And Divisions",2011,2011,"500,000.00",,Caci Incorporated Commercial,,3/29/2012,3/29/2012,5/31/2012,"500,000.00","500,000.00",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,,Technical Representative- Miscellaneous,"Igf::ct::igf Critical Function:  This Contract Will Be Used To Provide Professional Litigation Support Products And Services To The Department Of Justice And Other Federal Agencies On An Indefinite Delivery, Indefinite Quantity Task Order Basis.  Individual Task Orders Issued Under This Contract May Support Any Department Of Justice Organization Or Federal Agency On A Local And/or Nationwide Basis.  Services May Be Required Anywhere In Or Outside Of The United States And Its Territories.  This Contract Will Also Be Used To Support Case- Or Investigation-related Administrative Functions.","Arlington, Virginia, United States",Arlington,Virginia,Award,Delivery Order,"Arlington, Virginia, United States",Arlington,Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 72,Department Of Justice,"Offices, Boards And Divisions",2011,2011,"90,000.00",,Caci Incorporated Commercial,,6/17/2013,6/13/2013,9/30/2013,"90,000.00","90,000.00",Full And Open Competition,,No,Fixed Price,Not A Manufactured End Product,,,Technical Representative- Miscellaneous,"Igf::ct::igf  This Contract Will Be Used To Provide Professional Litigation Support Products And Services To The Department Of Justice And Other Federal Agencies On An Indefinite Delivery, Indefinite Quantity Task Order Basis.  Individual Task Orders Issued Under This Contract May Support Any Department Of Justice Organization Or Federal Agency On A Local And/or Nationwide Basis.  Services May Be Required Anywhere In Or Outside Of The United States And Its Territories.  This Contract Will Also Be Used To Support Case- Or Investigation-related Administrative Functions.","Arlington, Virginia, United States",Arlington,Virginia,Award,Delivery Order,"Arlington, Virginia, United States",Arlington,Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 90,Department Of Justice,"Offices, Boards And Divisions",2011,2011,"222,026.95",,Caci Incorporated Commercial,,9/23/2011,9/23/2011,5/31/2013,"222,026.95","222,026.95",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,Supplemental Agreement For Work Within Scope,Tech Rep Svcs /Misc Eq,Automated Litigation Support Services For Deepwater Horizon,"Arlington, Virginia, United States",Arlington,Virginia,Award,Delivery Order,"Arlington, Virginia, United States",Arlington,Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 91,Department Of Justice,"Offices, Boards And Divisions",2011,2011,"125,000.00",,Caci Incorporated Commercial,,6/14/2011,6/14/2011,5/31/2013,"125,000.00","125,000.00",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,,Tech Rep Svcs /Misc Eq,Automated Litigation Support Services In Washington Dc For The Enrd Deepwater Document Processing Dj# 90-5-1-1-10026,"Arlington, Virginia, United States",Arlington,Virginia,Award,Delivery Order,"Arlington, Virginia, United States",Arlington,Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 92,Department Of Justice,"Offices, Boards And Divisions",2011,2011,"50,000.00",,Caci Incorporated Commercial,,8/17/2011,8/17/2011,5/31/2013,"50,000.00","50,000.00",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,Funding Only Action,Tech Rep Svcs /Misc Eq,Automated Litigation Support Services In Washington Dc For The Enrd Deepwater Document Processing Dj# 90-5-1-1-10026,"Arlington, Virginia, United States",Arlington,Virginia,Award,Delivery Order,"Arlington, Virginia, United States",Arlington,Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 93,Department Of Justice,"Offices, Boards And Divisions",2011,2011,"1,000,000.00",,Caci Incorporated Commercial,,3/15/2011,3/15/2011,5/31/2013,"1,000,000.00","1,000,000.00",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,,Tech Rep Svcs /Misc Eq,"Automated Litigation Support Services In New Orleans For Deepwater Support Ecs Dj# 198-32-01230
","Arlington, Virginia, United States",Arlington,Virginia,Award,Delivery Order,"Arlington, Virginia, United States",Arlington,Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 94,Department Of Justice,"Offices, Boards And Divisions",2011,2011,"957,482.00",,Caci Incorporated Commercial,,6/8/2011,6/8/2011,5/31/2013,"957,482.00","957,482.00",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,Supplemental Agreement For Work Within Scope,Tech Rep Svcs /Misc Eq,Automated Litigation Support Services In New Orleans For Deepwater Support Ecs Dj# 198-32-01230,"Arlington, Virginia, United States",Arlington,Virginia,Award,Delivery Order,"Arlington, Virginia, United States",Arlington,Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 95,Department Of Justice,"Offices, Boards And Divisions",2011,2011,"-957,482.00",,Caci Incorporated Commercial,,4/19/2011,4/19/2011,5/31/2013,"-957,482.00","-957,482.00",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,Funding Only Action,Tech Rep Svcs /Misc Eq,Automated Litigation Support Services In New Orleans For Deepwater Support Ecs Dj# 198-32-01230,"Arlington, Virginia, United States",Arlington,Virginia,Award,Delivery Order,"Arlington, Virginia, United States",Arlington,Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
