Vendors,Number of Contracts,Total Value of Contracts,Average Value of Contracts,Location,Location - State,Small Business?,Small Disadvantaged Business?,Historically Underutilized Business Zone?,Sheltered Workshop?,Women Owned Business?,Veteran Owned Business?,Service Related Disabled Veteran Owned Business?,Minority Owned Business?,Minority Institution?,Black American Owned Business?,Historic Black College Or University?,Native American Owned Business?,Hispanic American Owned Business?,Asian Pacific American Owned Business?,Asian Indian Owned Business?,Subcontinent Asian (Asian-Indian) American Owned Business?,Local Government?,Hospital?,Nonprofit Organization?,Educational Institution?,Federal Government?,State Government?,Tribal Government?,Eight?
Leica Microsystems,1,"14,111.46","14,111.46","Deerfield, Illinois, United States",Illinois,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Life Safety Concepts,3,"47,400.00","15,800.00","Madison, Alabama, United States",Alabama,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Lifesaving Systems,5,"133,502.00","26,700.40","Apollo Beach, Florida, United States",Florida,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Linde,1,"49,947.00","49,947.00","Murray Hill, New Jersey, United States",New Jersey,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Lockheed Martin Services,11,"6,622,932.11","602,084.74","Gaithersburg, Maryland, United States",Maryland,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Long's Personnel Services,1,"-1,603.10","-1,603.10","Mobile, Alabama, United States",Alabama,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Louis Berger Group/URS Group JV,1,"286,943.00","286,943.00","Kansas City, Missouri, United States",Missouri,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Louisiana Grill Restaurant And Catering,1,"236,605.00","236,605.00","Mandeville, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Louisiana Machinery Company,1,"161,849.55","161,849.55","Gonzales, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Louisiana State University System,18,"1,369,188.33","76,066.02","Baton Rouge, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
Lumen Dynamics Group,1,"7,450.00","7,450.00","Mississauga, , United States",,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Lyme Computer Systems,2,"31,953.00","15,976.50","Lyme, New Hampshire, United States",New Hampshire,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
M & T Oceanographic Research,1,"28,800.00","28,800.00","Cut Off, Louisiana, United States",Louisiana,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
M A Federal,1,"8,028.30","8,028.30","Mc Lean, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
M M International,1,"5,345.00","5,345.00","Honolulu, Hawaii, United States",Hawaii,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
M7 Aerospace,1,0.00,0.00,"San Antonio, Texas, United States",Texas,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mackay Communications,2,"228,203.90","114,101.95","Jacksonville, Florida, United States",Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Madeira Marine Services,1,"240,000.00","240,000.00","Saint Petersburg, Florida, United States",Florida,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Manomet,2,"2,843,226.98","1,421,613.49","Manomet, Massachusetts, United States",Massachusetts,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
MAR,3,"171,148.87","57,049.62","Rockville, Maryland, United States",Maryland,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Marine Environmental Sciences Consortium,1,"18,939.11","18,939.11","Dauphin Island, Alabama, United States",Alabama,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
Maritime Telecommunications,3,"111,606.00","37,202.00","Miramar, Florida, United States",Florida,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mark Bias,1,"2,400.00","2,400.00","Ona, West Virginia, United States",West Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Markey Machinery,1,"15,000.00","15,000.00","Seattle, Washington, United States",Washington,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Marriott International,3,"59,359.30","19,786.43","Atlanta, Georgia, United States",Georgia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Martha Laguardia-Kotite,1,"1,500.00","1,500.00","Niceville, Florida, United States",Florida,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
MAS Solutions Services,5,"14,646.24","2,929.25","Gulfport, Mississippi, United States",Mississippi,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
MBJV,1,"142,325.26","142,325.26","Metairie, Louisiana, United States",Louisiana,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
McGrath Rent,2,"1,510.00",755.00,"Livermore, California, United States",California,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mclemore Distributors,1,"6,000.00","6,000.00","Silas, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
McPherson Companies,1,"4,257.00","4,257.00","Trussville, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Merlin Petroleum,1,"1,030,974.00","1,030,974.00","Westport, Connecticut, United States",Connecticut,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Messer Power Systems,2,"31,260.00","15,630.00","Ware, Massachusetts, United States",Massachusetts,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Metocean Data Systems,1,"9,000.00","9,000.00","Dartmouth, , United States",,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Metrica,2,"618,738.10","309,369.05","San Antonio, Texas, United States",Texas,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Metropolitan Interpreters And Translators,1,"20,337.60","20,337.60","New York, New York, United States",New York,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Miami Cordage,1,"7,100.00","7,100.00","Miami, Florida, United States",Florida,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Michael J Gately,1,"7,710.00","7,710.00","Lafayette, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Michael J. Conroy,2,"54,998.67","27,499.34","Athens, Georgia, United States",Georgia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Micro Optics Of Florida,1,"4,381.00","4,381.00","Plantation, Florida, United States",Florida,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Microtech,1,"9,756.96","9,756.96","Vienna, Virginia, United States",Virginia,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Microwave Telemetry,1,"195,000.00","195,000.00","Columbia, Maryland, United States",Maryland,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Midstream Fuel Service,1,"167,507.20","167,507.20","Mobile, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Miller Environmental Services,2,"112,024.19","56,012.10","Corpus Christi, Texas, United States",Texas,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mine Safety Appliances,1,"12,988.40","12,988.40","Pittsburgh, Pennsylvania, United States",Pennsylvania,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Moore Clark USA,1,"7,501.12","7,501.12","Ferndale, Washington, United States",Washington,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Moss Point Motel,3,"132,690.50","44,230.17","Moss Point, Mississippi, United States",Mississippi,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mote Marine Laboratory,3,"206,962.85","68,987.62","Sarasota, Florida, United States",Florida,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Mustang Survival,1,"14,012.64","14,012.64","Bellingham, Washington, United States",Washington,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Myriax Software Pty,1,"2,740.00","2,740.00","Hobart, , United States",,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
National Academy Of Science,1,"1,500,000.00","1,500,000.00","Washington, District Of Columbia, United States",District Of Columbia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
National Audubon Society,2,"19,718.38","9,859.19","New York, New York, United States",New York,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
National Cotton,2,0.00,0.00,"Galveston, Texas, United States",Texas,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
National Response,2,"25,750.00","12,875.00","Great River, New York, United States",New York,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
National Steel & Shipbuilding,1,0.00,0.00,"San Diego, California, United States",California,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
NCS Technologies,1,461.60,461.60,"Manassas, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
New Line Environmental Systems,1,"8,500.00","8,500.00","Jefferson, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
New Orleans Airport Motel Associates,4,"27,597.09","6,899.27","Kenner, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Noble Sales,1,"19,755.05","19,755.05","Norwell, Massachusetts, United States",Massachusetts,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Northern Safety,1,"6,048.00","6,048.00","Frankfort, New York, United States",New York,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Northrop Grumman Systems,2,"19,355.44","9,677.72","Charlottesville, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Nvision Solutions,1,"16,320.00","16,320.00","Bay Saint Louis, Mississippi, United States",Mississippi,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
Ocean Associates,5,"199,446.99","39,889.40","Arlington, Virginia, United States",Virginia,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Ocean Test Equipment,1,"6,620.00","6,620.00","Fort Lauderdale, Florida, United States",Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Odim Brooke Ocean,6,"276,978.44","46,163.07","Dartmouth, , United States",,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Oilfield Testing & Consulting,2,"317,450.00","158,725.00","Houston, Texas, United States",Texas,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
On-site Dental Care,4,"199,380.00","49,845.00","San Carlos, California, United States",California,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Oneida Total Integrated Enterprises,4,"468,000.00","117,000.00","Milwaukee, Wisconsin, United States",Wisconsin,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes
Onset Computer,1,"10,097.00","10,097.00","Bourne, Massachusetts, United States",Massachusetts,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Pacific Wildlife Foundation,1,"93,870.00","93,870.00","Vancouver, , United States",,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Palmer Staffing Services,1,"148,696.80","148,696.80","Washington, District Of Columbia, United States",District Of Columbia,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Papco,1,"-3,346.64","-3,346.64","Virginia Beach, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Paradise Services,7,"45,196.88","6,456.70","Orange Beach, Alabama, United States",Alabama,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Parker-Hannifin,1,"7,610.40","7,610.40","Gardena, California, United States",California,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Parramore,1,"22,400.00","22,400.00","Robertsdale, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Patton Contractors,1,"28,523.73","28,523.73","Fort Worth, Texas, United States",Texas,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Paul R Portney,2,"200,000.00","100,000.00","Tucson, Arizona, United States",Arizona,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Peak Scientific Instruments,1,"4,950.00","4,950.00","Renfrew, , United States",,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Pegasus Technical Services,9,"3,293,238.04","365,915.34","Cincinnati, Ohio, United States",Ohio,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Penobscot Bay Media,1,"18,200.00","18,200.00","Camden, Maine, United States",Maine,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Pentaho,1,"47,500.00","47,500.00","Orlando, Florida, United States",Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Phase 2  Electrical Services,2,"23,985.00","11,992.50","Mandeville, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Phenomenex,2,"5,471.27","2,735.64","Torrance, California, United States",California,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
PHI,1,"40,218.98","40,218.98","Lafayette, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Pier Systems,4,"25,273.31","6,318.33","Bellingham, Washington, United States",Washington,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Point Clear Holdings,1,"7,110.46","7,110.46","Point Clear, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Polar King International.,5,"176,340.80","35,268.16","Fort Wayne, Indiana, United States",Indiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Polar Leasing,3,"7,545.00","2,515.00","Fort Wayne, Indiana, United States",Indiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Potomac Management Group,7,"79,867.05","11,409.58","Alexandria, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
Prairie Ocean Technologies,1,"21,775.00","21,775.00","Whiteshell, , United States",,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Premier Leasing,1,"14,392.00","14,392.00","Lake Charles, Louisiana, United States",Louisiana,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Prime Hotel Group At Homestead,1,"8,910.00","8,910.00","Hollywood, Florida, United States",Florida,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Prime Source Technologies,1,"85,819.88","85,819.88","Washington, District Of Columbia, United States",District Of Columbia,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
Prizim,2,"110,434.25","55,217.13","Gaithersburg, Maryland, United States",Maryland,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Professional Services Of America,3,"345,874.69","115,291.56","Parkersburg, West Virginia, United States",West Virginia,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Professional Shorthand Reporters,2,"6,670.00","3,335.00","New Orleans, Louisiana, United States",Louisiana,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Progressive Environmental Services,1,"222,000.00","222,000.00","Panama City, Florida, United States",Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Provantage Software,21,"433,878.02","20,660.86","Kirkland, Washington, United States",Washington,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Public Communications,1,"58,800.00","58,800.00","Chicago, Illinois, United States",Illinois,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Pumpelly Oil Company,1,"17,559.36","17,559.36","Sulphur, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Quest Technologies,1,"10,211.25","10,211.25","Oconomowoc, Wisconsin, United States",Wisconsin,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
R & L Leasing,1,-100.00,-100.00,"Juneau, Alaska, United States",Alaska,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
R G Ford Consulting,20,"3,168,763.46","158,438.17","Portland, Oregon, United States",Oregon,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
R L J Atlanta Century Center Hotel Lesee,3,"74,760.00","24,920.00","Atlanta, Georgia, United States",Georgia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
R. T.,1,"4,462.00","4,462.00","Laramie, Wyoming, United States",Wyoming,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
R.G. Hughes And Associates,1,"40,100.00","40,100.00","Baton Rouge, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
RAE Systems,3,"166,157.00","55,385.67","San Jose, California, United States",California,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Rajchandra,3,"146,813.05","48,937.68","Fort Walton Beach, Florida, United States",Florida,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Red River Computer,3,"648,106.65","216,035.55","Claremont, New Hampshire, United States",New Hampshire,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Reddoch Enterprises,4,"89,419.83","22,354.96","Lafayette, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Redlands Community College,1,"39,516.00","39,516.00","El Reno, Oklahoma, United States",Oklahoma,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
Regency Consulting,1,"28,133.00","28,133.00","Norfolk, Nebraska, United States",Nebraska,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Rentex,2,760.00,380.00,"Canton, Massachusetts, United States",Massachusetts,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Research Planning,28,"12,177,770.51","434,920.38","Columbia, South Carolina, United States",South Carolina,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Reson,1,"23,591.90","23,591.90","Goleta, California, United States",California,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ricoh Americas,1,"4,500.00","4,500.00","Arlington, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
RMF Engineering,1,"20,263.35","20,263.35","Baltimore, Maryland, United States",Maryland,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Robbins Gioia,2,"221,712.80","110,856.40","Alexandria, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Robert F. Engle,2,"200,000.00","100,000.00","Mahopac, New York, United States",New York,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Rolling Bay,1,"55,837.40","55,837.40","Anchorage, Alaska, United States",Alaska,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes
Rolls-royce Naval Marine,1,"14,751.00","14,751.00","Walpole, Massachusetts, United States",Massachusetts,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Rosario's Cucina,1,"48,451.80","48,451.80","Morgan City, Louisiana, United States",Louisiana,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Roy Bailey Construction,1,"102,251.50","102,251.50","Bell City, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
RSC Equipment Rental,1,"30,448.98","30,448.98","Scottsdale, Arizona, United States",Arizona,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
S & B Boats Beau Rivage,2,"403,000.00","201,500.00","Pascagoula, Mississippi, United States",Mississippi,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
S & S Trawl Shop,1,"24,800.00","24,800.00","Supply, North Carolina, United States",North Carolina,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
S.N.L.,2,"17,740.00","8,870.00","Sebastian, Florida, United States",Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Safetech Defense Systems,1,"95,947.40","95,947.40","Humble, Texas, United States",Texas,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Safety Unlimited,1,"7,000.00","7,000.00","Simi Valley, California, United States",California,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Safety-Kleen,2,"7,000.00","3,500.00","Plano, Texas, United States",Texas,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Salmi And Company,2,"27,253.40","13,626.70","Pasadena, Maryland, United States",Maryland,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sam Grimes,2,"7,296.00","3,648.00","Benton, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sanibel Captiva Conservation Foundation,1,"38,776.85","38,776.85","Sanibel, Florida, United States",Florida,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Sanjo Security Services,1,"33,388.48","33,388.48","Jackson, Mississippi, United States",Mississippi,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Science Applications International,2,"25,074.00","12,537.00","Mclean, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Scott Rentals,2,"5,000.00","2,500.00","Panama City, Florida, United States",Florida,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sea Gear,1,"7,120.00","7,120.00","Melbourne, Florida, United States",Florida,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sea-Bird Electronics,12,"200,117.70","16,676.48","Bellevue, Washington, United States",Washington,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Seafood Packaging,1,"20,412.48","20,412.48","New Orleans, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Selrico Service,1,"115,687.94","115,687.94","San Antonio, Texas, United States",Texas,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Separ Of The Americas,1,"3,506.00","3,506.00","Fort Lauderdale, Florida, United States",Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sequoia Scientific,1,"28,978.22","28,978.22","Bellevue, Washington, United States",Washington,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Serco Services,1,"26,844.34","26,844.34","Colorado Springs, Colorado, United States",Colorado,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Seven Corners,1,"2,000.00","2,000.00","Indianapolis, Indiana, United States",Indiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
SGO Services,1,"751,388.00","751,388.00","Buras, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Shred-it USA,1,"13,000.00","13,000.00","Rockville, Maryland, United States",Maryland,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
