ID,Date,Month,Narration,Actual or Attempted Attack?,Type of Attack,Status of Vessel,Name of Vessel(s),Type of Vessel(s),Category of Vessel(s),Flag of Vessel,Gross register tonnage,IMO,"Time  (local, unless specified)",Coordinates,Area,Location of Incident,Country of Incident,Year,Ref,*DELETE Name of Ship SPLITType/Flag/Grt/ SPLITIMO Number,Position
Marine 711 - 05/06/2014,05/06/2014,June,"Pirates hijacked a fishing vessel, took hostage all the 41 crew and tied their hands. The pirates then cut off all power supply to communication equipment and forced the Master to sail the vessel towards Nigeria in an attempt to hijack other vessels. However, fearing that the Nigerian Navy were in pursuit, the pirates disembarked and escaped within 24 hours. The crew and fishing vessel arrived at a safe port.",Actual Attack,Hijacked,Steaming,Marine 711,Fishing Vessel,Fishing Vessel,Ghana,454,7395870,18:00,Ghana,Africa (Excluding Somalia / Gulf of Aden / Red Sea),Ghana,Ghana,2014,14,Marine 711 Fishing Vessel Ghana 454 7395870,Off Ghana
Marine Express - 14/11/2013,14/11/2013,November,"Seven robbers boarded an anchored tanker unnoticed and entered the engine room. Duty oiler noticed the robbers during his routine rounds and informed the duty engineer who raised the alarm. Seeing the alerted crew, the robbers escaped with ship’s stores.  All crew safe.",Actual Attack,Boarded,Anchored,Marine Express,Product Tanker,Tanker,Panama,28054,9403322,03:45,"N01°23',E104°42'",South Asia (Excluding Malacca Straits),"Bintan Island, Indonesia",Indonesia,2013,100,Marine Express SPLITProduct Tanker SPLITPanama SPLIT28054 SPLIT9403322,"01:23N – SPLIT104:42E, Around SPLIT11nm NE of SPLITTanjung Berakit, SPLITPulau Bintan, SPLITIndonesia"
Mary Schulte - 31/07/2013,31/07/2013,July,A/B on duty noticed a robber inside the forward store. He informed the D/O and inspected the store but could not find the robber but the life raft in the store had been opened and damaged.,Actual Attack,Boarded,Berthed,Mary Schulte,Container,Cargo,Liberia,20624,9214525,02:00,"Alexandria, Egypt",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Alexandria, Egypt",Egypt,2013,33,Mary Schulte SPLITContainer SPLITLiberia SPLIT20624 SPLIT9214525,"Berth No.49, SPLITAlexandria Port, SPLITEgypt"
Masters Force II - 19/02/2014,19/02/2014,February,Six pirates in a small boat approached the tanker underway and tried to hook on a boarding ladder. Alarm raised and tanker immediately started taking evasive manoeuvres. The pirates tried to hook on the ladder several times at different positions along the port and starboard quarters. The armed security team fired warning shots resulting in the pirates aborting the attempt and moving away.,Attempted Attack,Attempted,Steaming,Masters Force II,Product Tanker,Tanker,Liberia,4847,9036923,04:45,"N03°57',E005°18'",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Pennington, Nigeria",Nigeria,2014,2,Masters Force II Product Tanker Liberia 4847 9036923,"03:57N – 005:18E, 26nm SW of Pennington Oil Terminal, Nigeria"
Matrix I - 24/05/2013,24/05/2013,May,"Around seven to eight pirates armed with guns, in a boat, fired upon and boarded the tanker underway. They stole ships and crew properties, kidnapped five crewmembers and escaped. The kidnapped crew were released on 07.07.2013.",Actual Attack,Boarded,Steaming,Matrix I,Product Tanker,Tanker,Nigeria,3338,9041136,20:30 UTC,"N03°52'5"",E005°28'",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Brass, Nigeria",Nigeria,2013,21,Matrix I SPLITProduct Tanker SPLITNigeria SPLIT3338 SPLIT9041136,"03:52.5N – SPLIT005:28.0E, SPLITAround 50nm SPLITWSW of Brass, SPLITNigeria"
MDPL Continental One - 13/06/2013,13/06/2013,June,"While underway two speedboats with 14 pirates armed with pistols and AK47 rifles attacked the tug. Eight pirates boarded the tug, captured four crewmembers, stole their personal belongings and took them ashore. On 21.06.2013, the four kidnapped crewmembers were safely released. It is believed a ransom was paid for their safe release.",Actual Attack,Boarded,Steaming,MDPL Continental One,Offshore Tug,Tug,Singapore,2558,9527477,03:15,"N04°02',E008°02'",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Kwa Ibo, Nigeria",Nigeria,2013,26,MDPL Continental SPLITOne SPLITOffshore Tug SPLITSingapore SPLIT2558 SPLIT9527477,"04:02N – SPLIT008:02E, SPLITApproximately SPLIT30nm South of SPLITKwa Ibo, SPLITNigeria"
Mika Manx - 19/10/2013,19/10/2013,October,"Six robbers armed with long knives boarded an anchored ship via the anchor chain. The robbers took hostage two duty watchmen, tied them up and stole their personal belongings. After 45 minutes, the 2/O on routine deck rounds noticed the robbers and raised the alarm. Seeing the crew alertness, the robbers escaped with stolen ship’s stores.",Actual Attack,Boarded,Anchored,Mika Manx,Bulk Carrier,Cargo,Isle of Man,32400,9492907,04:15,"S00°14',E117°33'",South Asia (Excluding Malacca Straits),"Samarinda, Indonesia",Indonesia,2013,89,Mika Manx SPLITBulk Carrier SPLITIsle of Man SPLIT32400 SPLIT9492907,"00:14S – SPLIT117:33E, Muara SPLITBerau Anchorage, SPLITSamarinda, SPLITIndonesia"
Moresby 9 - 04/07/2014,04/07/2014,July,"Armed pirates boarded and hijacked the tanker. All crewmembers taken hostage. Communication equipment damaged. Owners reported the incident to the Authorities and a search carried out. On 05.07.2014, the Owners informed the Authorities that they had established contact with the tanker. The pirates had stolen part of the cargo before escaping. Malaysian Maritime Enforcement Agency (MMEA) informed.",Actual Attack,Hijacked,Steaming,Moresby 9,Product Tanker,Tanker,Honduras,1321,7705740,19:38,"N03°23',E105°08'",South Asia (Excluding Malacca Straits),"Anambas Islands, Indonesia",Indonesia,2014,63,Moresby 9 Product Tanker Honduras 1321 7705740,"03:23N – 105:08E, Around 34nm WNW of Anambas Island, Indonesia"
Mosor - 26/03/2013,26/03/2013,March,"Robbers boarded an anchored ship and were noticed by the alert duty crew who informed D/O. Alarm raised and crew alerted. Seeing the alert crew, the robbers jumped overboard and escaped.",Actual Attack,Boarded,Anchored,Mosor,Bulk Carrier,Cargo,Croatia,24533,9191527,04:05,"S03°04'45"",E114°26'06""",South Asia (Excluding Malacca Straits),"Taboneo, Indonesia",Indonesia,2013,24,Mosor SPLITBulk Carrier SPLITCroatia SPLIT24533 SPLIT9191527,"03:04.45S – SPLIT114:26.06E, SPLITTaboneo SPLITAnchorage, SPLITIndonesia"
MSC Jasmine - 05/01/2013,05/01/2013,January,"Six pirates in a skiff chased and fired upon the ship using automatic weapons and RPG. Master raised alarm, crew mustered in the citadel and armed security team fired warning shots resulting in the pirates aborting and moving away. A warship and a naval helicopter were dispatched towards the ship. Crew and the ship are safe.",Attempted Attack,Fired upon,Steaming,MSC Jasmine,Container,Cargo,Panama,31430,8420907,11:00 UTC,"N03°07'2"",E051°51'1""",Africa (Somalia),"Mogadishu, Somalia",Somalia,2013,1,MSC Jasmine SPLITContainer  SPLITPanama SPLIT31430 SPLIT8420907,"03:07.2N – SPLIT051:51.1E, SPLITAround 400nm SPLITENE of SPLITMogadishu, SPLITSomalia"
MSC Melatilde - 03/05/2014,03/05/2014,May,Three robbers wearing hoods boarded the drifting ship unnoticed. Alert crew noticed an unlit speedboat approaching the ship and then manoeuvring towards its stern. Alarm raised and crew mustered. The robbers were spotted escaping via the stern on the ship’s CCTV monitors. As the ship was properly secured the robbers were unable to steal any ship properties.,Actual Attack,Boarded,Steaming,MSC Melatilde,Container,Cargo,Panama,153092,9404675,04:30,"N01°10',E103°30'",South Asia (Excluding Malacca Straits),"Karimun, Indonesia",Indonesia,2014,34,MSC Melatilde Container Panama 153092 9404675,"01:10N – 103:30E, Around 5nm ENE of Pulau Karimun Kecil, Indonesia"
Mystic - 31/03/2014,31/03/2014,March,"Four robbers boarded the ship underway. They entered into the engine room, threatened the duty oiler with a knife, tied him up, stole engine spares, and escaped. Later the duty 2/E found the oiler, released him and raised the alarm. Incident report to MPA Singapore.",Actual Attack,Boarded,Steaming,Mystic,Bulk Carrier,Cargo,Malta,89510,9421831,05:05,"N01°06',E103°34'",South Asia (Excluding Malacca Straits),"Karimun, Indonesia",Indonesia,2014,24,Mystic Bulk Carrier Malta 89510 9421831,"01:06N – 103:34E, Around 9nm ENE of Pulau Karimun Besar, Indonesia"
Nadir - 27/08/2013,27/08/2013,August,"16 robbers in two boats approached an anchored ship. Five robbers armed with long knives boarded the ship and began to lower ship’s stores into their boats. Duty officer noticed the robbers, raised the alarm and crew mustered. Seeing crew alertness, the robbers escaped with stolen ship's stores. Incident reported to the coast guard.",Actual Attack,Boarded,Anchored,Nadir,Container,Cargo,Marshall Islands,21199,9127784,20:25,"N22°11',E091°42'",Indian Sub Continent,"Chittagong, Bangladesh",Bangladesh,2013,17,Nadir SPLITContainer SPLITMarshall Islands SPLIT21199 SPLIT9127784,"22:11N – SPLIT091:42E, SPLITChittagong SPLITAnchorage, SPLITBangladesh"
Nadiya Melisende - 24/04/2013,24/04/2013,April,Pirates boarded the tanker underway and robbed crew personal belongings and cash and escaped. No injuries to crew and tanker continued passage.,Actual Attack,Boarded,Steaming,Nadiya Melisende,Product Tanker,Tanker,Kiribati,1584,9118745,04:10,"N01°17',E104°50'",South Asia (Excluding Malacca Straits),"Bintan Island, Indonesia",Indonesia,2013,34,Nadiya Melisende SPLITProduct Tanker SPLITKiribati SPLIT1584 SPLIT9118745,"01:17N – SPLIT104:50E, SPLITAround 16nm NE SPLITof Bintan Island, SPLITIndonesia"
Name Withheld - 03/06/2014,03/06/2014,June,"Nine robbers armed with guns boarded an anchored ship. They took hostage all crewmembers, stole ship’s cash, crew cash and personal effects and escaped. No injuries to crew. Incident reported to the Coast Guard who came onboard for investigation.",Actual Attack,Boarded,Anchored,Name Withheld,General Cargo,Cargo,Panama,5002,,21:50,"N14°29'1"",E120°37'7""",South Asia (Excluding Malacca Straits),"Manila, Philippines",Philippines,2014,49,Name Withheld General Cargo Panama 5002 -,"14:29.1N – 120:37.7E, Manila Anchorage Area, Philippines"
Name Withheld - 04/03/2013,04/03/2013,March,Armed pirates attacked and boarded the supply ship underway. They kidnapped three crewmembers.  On the 5.4.2013 the 3 crew were safely released.,Actual Attack,Boarded,Steaming,Name Withheld,Offshore Supply Ship,Supply Vessel,Liberia,1333,,09:07,"N03°57'3"",E005°21'",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Brass, Nigeria",Nigeria,2013,10,Name Withheld  SPLITOffshore Supply SPLITShip SPLITLiberia SPLIT1333 SPLIT-,"03:57.3N – SPLIT005:21.0E SPLITAround 57nm SPLITWSW of Brass, SPLITNigeria"
Name Withheld - 04/03/2014,04/03/2014,March,"Armed pirates in two skiffs chased, fired upon and attempted to board the ship underway. The ship raised the alarm and the non-essential crew mustered in the citadel. Master increased speed, took evasive manoeuvres and sent SSAS alert. Due to the hardening measures taken by the Master, the pirates aborted the attempted attack and moved away. The ship sustained bullet marks at the accommodation due to the firing.",Attempted Attack,Fired upon,Steaming,Name Withheld,Bulk Carrier,Cargo,Marshall Islands,27656,,19:15 UTC,"N04°00'2"",E005°16'6""",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Brass, Nigeria",Nigeria,2014,3,Name Withheld Bulk Carrier Marshall Islands 27656,"04:00.2N – 005:16.6E, Around 58nm WSW of Brass, Nigeria"
Name Withheld - 05/04/2014,05/04/2014,April,"Five persons in a skiff approached the tanker underway. Master raised alarm, altered course and the non-essential crewmembers mustered in a safe room. The on board armed security team noticed a ladder when the skiff closed in to 0.3nm and a warning shot was fired resulting in the skiff aborting the approach and moving away.",Attempted Attack,Attempted,Steaming,Name Withheld,Chemical Tanker,Tanker,Panama,8638,,12:15 UTC,"N12°35'5"",E043°26'0""",Africa (Gulf of Aden / Red Sea),"Bab El Mandeb Strait, Red Sea",Red Sea,2014,4,Name Withheld Chemical Tanker Panama 8638 -,"12:35.5N – 043:26.0E, Bab El Mandeb, Red Sea"
Name Withheld - 08/06/2014,08/06/2014,June,"Six armed robbers in a small boat approached and boarded an anchored tanker using a hooked portable ladder. Duty A/B informed the bridge who raised the alarm, sounded ship’s whistle and crew mustered on the bridge.  SSAS activated and two rocket parachute flares fired. The robbers forced open the bosun store, stole ship’s properties and escaped.",Actual Attack,Boarded,Anchored,Name Withheld,LPG Tanker,Tanker,Singapore,4485,,23:20,"N22°29',E091°40'",Indian Sub Continent,"Chittagong, Bangladesh",Bangladesh,2014,11,Name Withheld LPG Tanker Singapore 4485 -,"22:29N – 091:40E, Chittagong Anchorage, Bangladesh"
Name Withheld - 09/07/2014,09/07/2014,July,"Six robbers boarded an anchored tanker. Duty A/B on routine rounds noticed the robbers at poop deck and informed the D/O who raised the alarm. All crew mustered and a search carried out. Upon hearing the alarm, the robbers escaped empty handed.",Actual Attack,Boarded,Anchored,Name Withheld,Product Tanker,Tanker,Vietnam,30042,,03:00,"N01°27'2"",E104°38'5""",South Asia (Excluding Malacca Straits),"Bintan Island, Indonesia",Indonesia,2014,64,Name Withheld Product Tanker Vietnam 30042 -,"01:27.2N – 104:38.5E, Around 13nm NNE of Pulau Bintan, Indonesia"
Name Withheld - 10/05/2014,10/05/2014,May,15 robbers in a wooden boat approached an anchored tanker. One robber attempted to board the tanker using a portable ladder but the duty watchman managed to deter the boarding. Alarm raised and crew mustered. The robbers aborted the attempted attack and moved away. Coast Guard informed.,Attempted Attack,Attempted,Anchored,Name Withheld,Product Tanker,Tanker,Marshall Islands,29993,,23:10,"N22°13'4"",E091°45'9""",Indian Sub Continent,"Chittagong, Bangladesh",Bangladesh,2014,2,Name Withheld Product Tanker Marshall Islands 29993 -,"22:13.4N – 091:45.9E, Chittagong Anchorage, Bangladesh"
Name Withheld - 12/02/2013,12/02/2013,February,"Robbers boarded the tanker at anchor. On sighting the robbers, Master raised alarm and crew mustered. Robbers escaped with ship’s stores.",Actual Attack,Boarded,Anchored,Name Withheld,Chemical Tanker,Tanker,Denmark,23246,,05:40,"S01°17'09"",E116°47'73""",South Asia (Excluding Malacca Straits),"Balikpapan, Indonesia",Indonesia,2013,9,Name Withheld SPLITChemical Tanker SPLITDenmark SPLIT23246 SPLIT-,"01:17.09S – SPLIT116:47.73E, SPLITBalikpapan Inner SPLITAnchorage, SPLITIndonesia"
Name Withheld - 12/04/2014,12/04/2014,April,"Duty Officer on board an anchored ship saw some movement near the forecastle and informed the duty watchman to investigate. As the watchman approached he saw a robber armed with a long knife. Ship’s alarm raised and all crew mustered. Seeing the crew alertness, the robber escaped with stolen ship’s properties.",Actual Attack,Boarded,Anchored,Name Withheld,Bulk Carrier,Cargo,Singapore,41668,,04:30,"S01°04'7"",W048°29'7""",Americas,"Mosqueiro, Brazil",Brazil,2014,1,Name Withheld Bulk Carrier Singapore 41668 -,"01:04.7S – 048:29.7W, Mosqueiro Pilot Station Anchorage, Brazil"
Name Withheld - 13/06/2013,13/06/2013,June,"Three robbers armed with long knives boarded the tanker engaged in STS operations, stole engine spares and escaped. Duty crew raised alarm and a search was carried out. Master reported the incident to the local Authorities who came on board to investigate.",Actual Attack,Boarded,Anchored,Name Withheld,Tanker,Tanker,Singapore,80783,,03:42,"N01°06',E103°36'",South Asia (Excluding Malacca Straits),"Nipah, Indonesia",Indonesia,2013,47,Name Withheld SPLITTanker SPLITSingapore SPLIT80783 SPLIT-,"01:06N – SPLIT103:36E, SPLITNipah Anchorage, SPLITIndonesia"
Name Withheld - 16/12/2013,16/12/2013,December,Heavily armed pirates boarded a tanker  and stole crew personal belongings and escaped. Further report awaited.,Actual Attack,Boarded,Steaming,Name Withheld,Chemical Tanker,Tanker,,,,,Nigeria,Africa (Excluding Somalia / Gulf of Aden / Red Sea),Nigeria,Nigeria,2013,41,Name Withheld SPLITChemical Tanker SPLIT- SPLIT- SPLIT-,Off Nigeria
Name Withheld - 17/07/2013,17/07/2013,July,"About ten robbers armed with a gun and knives boarded the ship underway. They entered the bridge and assaulted the Master who managed to escape and stop the engine.  The robbers stole crew personal belongings and cash and escaped. Master Three robbers in boiler suits boarded an anchored ship awaiting for the cargo barge. The robbers held the 3/O who was on routine rounds at the forecastle. They hit him and threatened him with a knife while another five robbers boarded the ship, brokesustained minor injuries to hands.",Actual Attack,Boarded,Steaming,Name Withheld,General Cargo,Cargo,Netherlands,13706,,17:16 UTC,"N01°07',E104°52'",South Asia (Excluding Malacca Straits),"Mapur Island, Indonesia",Indonesia,2013,58,Name Withheld SPLITGeneral Cargo  SPLITNetherlands SPLIT13706 SPLIT-,"01:07N – SPLIT104:52E, Around SPLIT7nm NxE of SPLITPulau Mapur, SPLITIndonesia"
Name Withheld - 17/09/2014,17/09/2014,September,"Three robbers boarded an anchored tanker. Duty AB on routine rounds spotted the robbers and informed the D/O who raised the alarm. All crew mustered. Upon hearing the alarm, the robbers escaped in their small wooden boat with stolen ship’s stores.",Actual Attack,Boarded,Anchored,Name Withheld,Tanker,Tanker,Marshall Islands,62619,,02:30,"N10°14'9"",E107°03'1""",Far East,"Vung Tau, Vietnam",Vietnam,2014,2,Name Withheld Tanker Marshall Islands 62619 -,"10:14.9N – 107:03.1E, Vung Tau Inner Anchorage, Vietnam"
Name Withheld - 21/09/2013,21/09/2013,September,"Duty crew on board an anchored tanker noticed five robbers disembarking the tanker and escaping in a small-unlit boat near the stern. Alarm raised and all crew mustered. Upon searching the tanker it was observed that the robbers had gained access probably during the watch change over time, entered the engine room and stolen ship’s stores. Police complaint lodged by the tanker.",Actual Attack,Boarded,Anchored,Name Withheld,Product Tanker,Tanker,Panama,28063,,22:30,"S06°01',E106°53'",South Asia (Excluding Malacca Straits),"Jakarta, Indonesia",Indonesia,2013,72,Name Withheld SPLITProduct Tanker SPLITPanama SPLIT28063 SPLIT-,"06:01S-106:53E, SPLITJakarta SPLITAnchorage, SPLITIndonesia"
Name Withheld - 23/10/2013,23/10/2013,October,"Two robbers in a small-unlit boat approached and boarded an anchored tanker. Alert crew on watch noticed the robbers near the forecastle, raised the alarm and sounded the forward horn resulting in the robbers jumping overboard and escaping without stealing anything.",Actual Attack,Boarded,Anchored,Name Withheld,Chemical Tanker,Tanker,Denmark,23246,,00:25,"S07°05',E112°39'",South Asia (Excluding Malacca Straits),"Gresik, Indonesia",Indonesia,2013,93,Name Withheld SPLITChemical TankerSPLITDenmark SPLIT23246 SPLIT-,"07:05S – SPLIT112:39E,SPLITGresik SPLITAnchorage, SPLITIndonesia"
Name Withheld - 23/11/2013,23/11/2013,November,"While at anchor, duty officer on bridge noticed one robber escaping from the ship. Upon investigation, it was discovered that the robber had managed to gain access to the forecastle store and had stolen ship’s equipment.",Actual Attack,Boarded,Anchored,Name Withheld,Bulk Carrier,Cargo,Marshall Islands,19846,,12:20,"N03°55'17"",E098°45'04""",South Asia (Excluding Malacca Straits),"Belawan, Indonesia",Indonesia,2013,103,Name Withheld SPLITBulk Carrier SPLITMarshall Islands SPLIT19846 SPLIT-,"03:55.17N – SPLIT098:45.04E, SPLITBelawan SPLITAnchorage, SPLITIndonesia"
Name Withheld - 25/06/2014,25/06/2014,June,"Five robbers armed with long knives boarded the tanker underway. They entered into the engine room, took hostage the 3/E and tied him up. The other crew freed the 3/E and raised the alarm. Upon hearing the alarm, the robbers escaped with the stolen ship’s properties.",Actual Attack,Boarded,Steaming,Name Withheld,Chemical Tanker,Tanker,Saudi Arabia,29575,,06:10,"N01°11',E103°52'",South Asia (Excluding Malacca Straits),Singapore Straits,Singapore Straits,2014,55,Name Withheld Chemical Tanker Saudi Arabia 29575 -,"01:11N – 103:52E, Singapore Straits"
Name Withheld - 27/08/2014,27/08/2014,August,Four persons armed with long knives boarded an anchored ship via the stern using a grapnel hook and rope. Alert duty crew raised the alarm resulting in the suspected robbers escaping without stealing anything. All crew safe.,Actual Attack,Boarded,Anchored,Name Withheld,General Cargo,Cargo,Marshall Islands,19846,,04:30,"N01°28',E104°44'",South Asia (Excluding Malacca Straits),"Bintan Island, Indonesia",Indonesia,2014,83,Name Withheld General Cargo Marshall Islands 19846 -,"01:28N – 104:44E, Around 18nm NE of Tg. Berakit, Bintan Island, Indonesia"
Name Withheld - 28/08/2013,28/08/2013,August,"Six robbers boarded an anchored ship via the anchor chain and hawse pipe by removing the hawse pipe cover and anchor lashing. They cut open the padlock to the forecastle store and stole ship’s properties. Duty officer noticed the robbers and raised the alarm. Hearing the alarm, the robbers escaped with stolen ship's properties. Incident reported to the local police who boarded the ship for investigation.",Actual Attack,Boarded,Anchored,Name Withheld,Bulk Carrier,Cargo,Marshall Islands,19846,,23:30,"N20°56',E107°19'",Far East,"Cam Pha, Vietnam",Vietnam,2013,10,Name Withheld SPLITBulk Carrier SPLITMarshall Islands SPLIT19846 SPLIT-,"20:56N – SPLIT107:19E, Cam SPLITPha Anchorage, SPLITVietnam"
Name Withheld - 29/03/2014,29/03/2014,March,"Four robbers wearing masks armed with knives boarded the tanker underway. They entered into the engine room and aggressively approached the duty motorman who escaped and informed the bridge. Alarm raised, SSAS activated, authorities informed and crew mustered. A complete search of the tanker carried out.",Actual Attack,Boarded,Steaming,Name Withheld,Product Tanker,Tanker,Denmark,42010,,04:20,"N01°07'8"",E103°30'6""",South Asia (Excluding Malacca Straits),"Karimun, Indonesia",Indonesia,2014,22,Name Withheld Product Tanker Denmark 42010 -,"01:07.8N – 103:30.6E, Around 6nm East of Pulau Karimun Kecil, Indonesia"
Name Withheld - 30/10/2013,30/10/2013,October,Five robbers armed with guns and long knives boarded the tanker underway unnoticed. They took hostage the OOW and duty A/B and tied up their hands. The robbers took the OOW to his cabin and stole personal belongings and cash and then targeted and stole belongings from four other crew cabins before escaping.,Actual Attack,Boarded,Steaming,Name Withheld,Asphalt Tanker,Tanker,Singapore,5076,,03:45,"N01°21'2"",E104°24'3""",South Asia (Excluding Malacca Straits),"Horsburgh Light House, Singapore Straits",Singapore Straits,2013,95,Name Withheld SPLITAsphalt Tanker SPLITSingapore SPLIT5076 SPLIT-,"01:21.2N – SPLIT104:24.3E, SPLITHorsburgh Light SPLITHouse, SPLITSingapore Straits"
Naniwa Maru No. 1 - 22/04/2014,22/04/2014,April,Armed pirates boarded and hijacked the tanker and stole part of the fuel oil cargo. Crew and ship's properties were stolen and ship's communication equipment damaged. The pirates kidnapped three crewmembers and escaped. The tanker and remaining crew safely arrived at a port.,Actual Attack,Hijacked,Steaming,Naniwa Maru No. 1,Product Tanker,Tanker,St. Kitts and Nevis,2991,9058907,00:55,"N02°59',E100°54'",South East Asia (Malacca Straits),"Port Klang, Malacca Straits",Malacca Straits,2014,1,Naniwa Maru No. 1 Product Tanker St. Kitts and Nevis 2991 9058907,"02:59N – 100:54E, 3nm WNW of One Fathom Bank, Off Port Klang, Malacca Straits"
Nara - 06/10/2013,06/10/2013,October,"Duty crew on board an anchored tanker, preparing for STS operations, noticed some suspicious boats near aft of the tanker.  As he approached closer, he found portable ladders rigged along the shipside and some robbers attempting to board. He immediately alerted the OOW, raised the alarm and all crew proceeded towards the poop deck. On seeing the alert crew, the robbers aborted their attempt to board and moved away.  All other vessels nearby were alerted.",Attempted Attack,Attempted,Anchored,Nara,Tanker,Tanker,Liberia,28433,9120918,02:42,"Nipah, Indonesia",South Asia (Excluding Malacca Straits),"Nipah, Indonesia",Indonesia,2013,6,Nara SPLITTanker SPLITLiberia SPLIT28433 SPLIT9120918,"Nipah Anchorage, SPLITIndonesia"
Nave Atropos - 17/01/2014,17/01/2014,January,"Pirates in a skiff, launched from a recently hijacked mother vessel, approached and fired upon the tanker underway. Master raised alarm, increased speed, altered course, activated SSAS, contacted UKMTO and the non-essential crewmembers mustered in the citadel. The on board armed security team returned fire resulting in the pirates aborting the attack. A coalition helicopter came to the location to assist.",Attempted Attack,Fired upon,Steaming,Nave Atropos,Product Tanker,Tanker,Marshall Islands,42341,9638563,18:04 UTC,"N15°06',E054°23'",Africa (Somalia),"Salalah, Oman",Oman,2014,1,Nave Atropos Product Tanker Marshall Islands 42341 9638563,"15:06N – 054:23E (Around 115nm South of Salalah, Oman), Off Somalia"
Navios Oriana - 22/08/2014,22/08/2014,August,Four robbers armed with knives boarded the ship underway. They threatened the duty watchmen who retreated into the accommodation and locked the doors. The robbers stole mooring ropes from the stern lockers and escaped. No injuries to crew. Port Control and Coast Guard informed who ask for more information and ship’s details.,Actual Attack,Boarded,Steaming,Navios Oriana,Bulk Carrier,Cargo,Panama,34795,9614969,00:30,"N22°15',E091°43'",Indian Sub Continent,"Chittagong, Bangladesh",Bangladesh,2014,17,Navios Oriana Bulk Carrier Panama 34795 9614969,"22:15N – 091:43E, Around 4nm West of Patenga, Chittagong, Bangladesh"
NCC Huda - 05/02/2014,05/02/2014,February,"Five robbers armed with knives boarded an anchored tanker unnoticed.  The duty watch on board during routine rounds noticed some footprints in the engine room and immediately informed the OOW on the bridge who raised alarm and alerted the crew. On hearing the alarm, the robbers escaped in their boat with the stolen stores.",Actual Attack,Boarded,Anchored,NCC Huda,Chemical Tanker,Tanker,Saudi Arabia,29168,9399272,03:00,"N01°25',E104°34'",South Asia (Excluding Malacca Straits),"Bintan Island, Indonesia",Indonesia,2014,11,NCC Huda Chemical Tanker Saudi Arabia 29168 9399272,"01:25N – 104:34E, Around 11nm North of Tg. Berakit, Pulau Bintan, Indonesia"
New Century - 05/04/2013,05/04/2013,April,Seven robbers in three fishing boats approached an anchored tanker. Two robbers managed to reach the ship rails using hooks attached to heaving lines but were noticed by the alert duty crew who raised the alarm and prevented them from gaining access to the ship decks. The robbers moved away from the boat and waited a short distance away. Incident reported to port control and a patrol boat came and searched the waters around the tanker.,Attempted Attack,Attempted,Anchored,New Century,Tanker,Tanker,Marshall Islands,41994,9298272,06:40,"N17°39',E083°24'",Indian Sub Continent,"Visakhapatnam, India",India,2013,1,New Century SPLITTanker SPLITMarshall Islands SPLIT41994 SPLIT9298272,"17:39N – SPLIT083:24E, SPLITVisakhapatnam SPLITAnchorage, SPLITIndia"
New Glory - 25/05/2014,25/05/2014,May,"Armed pirates boarded the tanker underway, stole cash, crew personal effects and provisions and damaged some ship’s equipment before leaving the tanker.  All crew safe and the tanker continued her passage to the next port.",Actual Attack,Hijacked,Steaming,New Glory,Asphalt Tanker,Tanker,Singapore,4268,9154141,05:20,"N01°51',E104°31'",South Asia (Excluding Malacca Straits),"Pulau Aur, Malaysia",Malaysia,2014,41,New Glory Asphalt Tanker Singapore 4268 9154141,"01:51N – 104:31E, Around 30nm South of Pulau Aur, Malaysia"
New Sailing 2 - 19/04/2014,19/04/2014,April,"Five robbers armed with knives boarded an anchored ship. They took hostage the duty A/B on the forecastle and stole his personal belongings. Another duty crew, near the stern noticed the incident and informed the bridge. Alarm raised and crew mustered. Upon hearing the alarm, the robbers escaped with the stolen items in their wooden boat. The duty A/B received minor injuries.",Actual Attack,Boarded,Anchored,New Sailing 2,General Cargo,Cargo,Panama,5542,9071167,00:30,"N03°55',E098°46'",South Asia (Excluding Malacca Straits),"Belawan, Indonesia",Indonesia,2014,29,New Sailing 2 General Cargo Panama 5542 9071167,"03:55N – 098:46E, Belawan Anchorage, Indonesia"
Njord Thyra - 30/04/2014,30/04/2014,April,"Two robbers boarded an anchored tanker from the stern. Ship’s alarm raised, all crew mustered and Port Control notified. Seeing the crew alertness, the robbers escaped with stolen ship’s properties.",Actual Attack,Boarded,Anchored,Njord Thyra,Tanker,Tanker,Singapore,30068,9304588,01:50,"N22°08'1"",E091°41'6""",Indian Sub Continent,"Chittagong, Bangladesh",Bangladesh,2014,8,Njord Thyra Tanker Singapore 30068 9304588,"22:08.1N – 091:41.6E, Chittagong Anchorage, Bangladesh"
Noemi - 28/12/2013,28/12/2013,December,"Robbers boarded an anchored tanker via the hawse pipe, stole properties and ship’s escaped without being noticed by the deck patrol. Robbery reported to the local authorities and port agent.",Actual Attack,Boarded,Anchored,Noemi,Tanker,Tanker,Marshall Islands,41526,9286023,01:00-02:00,"N10°18',W075°32'",Americas,"Mamonal, Colombia",Colombia,2013,15,Noemi SPLITTanker SPLITMarshall Islands SPLIT41526 SPLIT9286023,"10:18N – SPLIT075:32W, SPLITMamonal SPLITAnchorage, SPLITColombia"
